,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Twenty,NUM,23.04094123840332,13643,20,NUM,36.56852722167969,13643
1,years,NOUN,22.31063461303711,13643,años,NOUN,35.694488525390625,13643
2,ago,ADV,20.409656524658203,13643,Hace,AUX,35.54270553588867,13643
3,",",PUNCT,21.87132453918457,13643,",",PUNCT,31.373184204101562,13643
4,my,DET,21.796199798583984,15033,mi,DET,36.34546661376953,15033
5,family,NOUN,20.614931106567383,15033,familia,NOUN,33.706478118896484,15033
6,introduced,VERB,21.70435905456543,15033,introdujo,VERB,33.04912185668945,15033
7,a,DET,23.34441375732422,15033,un,DET,38.06841278076172,15033
8,system,NOUN,20.430124282836914,15033,sistema,NOUN,34.1866340637207,15033
9,called,VERB,18.982036590576172,15033,llamado,ADJ,35.36625289916992,15033
10,"""",PUNCT,19.62071990966797,15033,"""",PUNCT,28.898561477661133,15033
11,Friday,PROPN,20.8762264251709,15033,Reuniones,PROPN,33.20665740966797,15033
12,Democracy,PROPN,22.90423011779785,15033,de,ADP,31.82874870300293,15033
13,Meetings,PROPN,21.14513397216797,15033,la,DET,30.704816818237305,15033
14,0,0,0.0,0,democracia,NOUN,30.384721755981445,15033
15,0,0,0.0,0,los,DET,30.608659744262695,15033
16,0,0,0.0,0,viernes,NOUN,34.05592346191406,15033
17,"""",PUNCT,20.881336212158203,15033,"""",PUNCT,30.714929580688477,15033
18,.,PUNCT,20.343475341796875,15033,.,PUNCT,33.90524673461914,15033
19,Every,DET,20.369895935058594,21812,Cada,DET,34.923316955566406,21812
20,pm,NOUN,21.001920700073242,21812,viernes,NOUN,33.22537612915039,21812
21,at,ADP,22.855234146118164,21812,a,ADP,31.921220779418945,21812
22,Friday,PROPN,22.11095428466797,21812,las,DET,32.768829345703125,21812
23,7,NUM,21.29331398010254,21812,19,NUM,34.78757095336914,21812
24,",",PUNCT,18.75801658630371,21812,hs,ADP,28.184919357299805,21812
25,my,DET,21.39844512939453,21812,mi,DET,32.671260833740234,21812
26,family,NOUN,20.971214294433594,21812,familia,NOUN,32.011051177978516,21812
27,together,ADV,21.41259765625,21812,se,PRON,31.81715202331543,21812
28,came,VERB,22.513591766357422,21812,juntaba,VERB,34.39922332763672,21812
29,for,ADP,21.327045440673828,21812,para,ADP,33.471710205078125,21812
30,0,0,0.0,0,tener,VERB,38.07883834838867,21812
31,an,DET,21.43646812438965,21812,una,DET,35.71023178100586,21812
32,meeting,NOUN,22.924402236938477,21812,reunión,NOUN,34.827693939208984,21812
33,official,ADJ,21.072010040283203,21812,oficial,ADJ,36.31105041503906,21812
34,to,PART,20.44643211364746,27130,y,CONJ,33.67822265625,27130
35,discuss,VERB,24.430341720581055,27130,discutir,VERB,36.13637161254883,27130
36,the,DET,20.669979095458984,27130,los,DET,34.3467903137207,27130
37,current,ADJ,18.037307739257812,27130,familiares,ADJ,34.398284912109375,27130
38,family,NOUN,18.260622024536133,27130,asuntos,NOUN,34.860267639160156,27130
39,affairs,NOUN,20.767553329467773,27130,actuales,ADJ,34.84930419921875,27130
40,.,PUNCT,20.81007194519043,27130,.,PUNCT,32.80267333984375,27130
41,These,DET,23.762815475463867,31740,Estas,DET,31.96367835998535,31740
42,meetings,NOUN,22.800291061401367,31740,reuniones,NOUN,35.2672004699707,31740
43,were,AUX,24.4206600189209,31740,las,PRON,29.86845588684082,31740
44,facilitated,VERB,23.368471145629883,31740,dirigía,VERB,31.88251495361328,31740
45,by,ADP,22.96357536315918,31740,uno,PRON,33.29454803466797,31740
46,one,NUM,22.21674346923828,31740,0,0,0.0,0
47,of,ADP,24.384157180786133,31740,de,ADP,29.623615264892578,31740
48,my,DET,23.258525848388672,31740,mis,DET,34.556846618652344,31740
49,parents,NOUN,18.442440032958984,31740,padres,NOUN,34.01096725463867,31740
50,",",PUNCT,20.04389190673828,31740,0,0,0.0,0
51,and,CCONJ,20.95608901977539,35058,e,CONJ,33.5709228515625,35058
52,we,PRON,23.97037124633789,35058,0,0,0.0,0
53,even,ADV,23.113853454589844,35058,incluso,ADV,34.865753173828125,35058
54,had,AUX,23.046262741088867,35058,teníamos,VERB,32.61540985107422,35058
55,a,DET,22.496675491333008,35058,un,DET,36.62727355957031,35058
56,notetaker,NOUN,21.024581909179688,35058,anotador,NOUN,33.816097259521484,35058
57,.,PUNCT,23.1280460357666,35058,.,PUNCT,30.844772338867188,35058
58,These,DET,24.01165008544922,37551,Estas,DET,31.675621032714844,37551
59,meetings,NOUN,22.22547149658203,37551,reuniones,NOUN,35.47487258911133,37551
60,had,AUX,24.52525520324707,37551,tenían,VERB,33.59690856933594,37551
61,two,NUM,25.888290405273438,37551,dos,NUM,34.87582778930664,37551
62,rules,NOUN,23.413801193237305,37551,reglas,NOUN,35.278045654296875,37551
63,.,PUNCT,21.895051956176758,37551,.,PUNCT,33.14368438720703,37551
64,First,ADV,21.028104782104492,39690,Primero,ADV,34.2274169921875,39690
65,",",PUNCT,22.328594207763672,39690,",",PUNCT,29.524375915527344,39690
66,you,PRON,23.36213493347168,39690,se,PRON,31.73383331298828,39690
67,are,AUX,24.288318634033203,39690,le,PRON,33.52033615112305,39690
68,allowed,VERB,22.711599349975586,39690,permite,VERB,37.559696197509766,39690
69,to,PART,24.526016235351562,39690,0,0,0.0,0
70,speak,VERB,24.058029174804688,39690,hablar,VERB,36.37598419189453,39690
71,open,ADJ,18.74164390563965,39690,abierta,ADJ,32.93392562866211,39690
72,and,CCONJ,22.033464431762695,39690,y,CONJ,33.75524139404297,39690
73,freely,ADV,23.745132446289062,39690,libremente,ADV,34.32136535644531,39690
74,.,PUNCT,21.73401641845703,39690,.,PUNCT,32.81684875488281,39690
75,0,0,0.0,0,A,ADP,33.88466262817383,42931
76,were,AUX,23.12771987915039,42931,los,DET,36.15017318725586,42931
77,kids,NOUN,23.0360164642334,42931,niños,NOUN,36.72667694091797,42931
78,Us,PRON,20.733152389526367,42931,se,PRON,32.05931091308594,42931
79,to,PART,24.63551139831543,42931,nos,PRON,33.56862258911133,42931
80,criticize,VERB,27.048490524291992,42931,permitía,VERB,34.277427673339844,42931
81,allowed,VERB,22.858633041381836,42931,criticar,VERB,37.55540466308594,42931
82,0,0,0.0,0,a,ADP,33.83449172973633,42931
83,our,DET,24.821542739868164,42931,nuestros,DET,33.50236892700195,42931
84,parents,NOUN,20.649497985839844,42931,padres,NOUN,34.890846252441406,42931
85,without,ADP,20.95933723449707,45628,sin,ADP,34.91533660888672,45628
86,that,DET,21.0986328125,45628,que,SCONJ,30.922719955444336,45628
87,being,AUX,23.015409469604492,45628,eso,PRON,33.43809127807617,45628
88,disrespectful,ADJ,20.603986740112305,45628,se,PRON,30.753948211669922,45628
89,considered,VERB,23.369487762451172,45628,considerara,VERB,33.28489303588867,45628
90,rude,ADJ,18.941675186157227,45628,irrespetuoso,ADJ,31.806947708129883,45628
91,or,CCONJ,21.949689865112305,45628,o,CONJ,31.52139663696289,45628
92,0,0,0.0,0,grosero,NOUN,33.470375061035156,45628
93,.,PUNCT,22.935413360595703,45628,.,PUNCT,30.763288497924805,45628
94,0,0,0.0,0,La,DET,33.424110412597656,48968
95,Second,ADJ,19.89445686340332,48968,segunda,ADJ,34.149559020996094,48968
96,rule,NOUN,20.760236740112305,48968,regla,NOUN,29.535051345825195,48968
97,was,AUX,22.573463439941406,48968,era,AUX,33.70292663574219,48968
98,the,DET,21.861116409301758,48968,la,DET,32.814483642578125,48968
99,rule,NOUN,21.576536178588867,48968,regla,NOUN,29.215774536132812,48968
100,0,0,0.0,0,de,ADP,27.61396598815918,48968
101,House,PROPN,21.3889102935791,48968,Chatham,PROPN,37.37563705444336,48968
102,Chatham,PROPN,22.463768005371094,48968,House,PROPN,37.03805160522461,48968
103,",",PUNCT,20.01426124572754,48968,",",PUNCT,29.760480880737305,48968
104,whatever,DET,20.63809585571289,51778,lo,DET,33.669464111328125,51778
105,meaning,VERB,23.532472610473633,51778,que,PRON,32.888004302978516,51778
106,said,VERB,20.178485870361328,51778,significa,VERB,35.55047607421875,51778
107,is,AUX,21.824472427368164,51778,que,SCONJ,34.2315788269043,51778
108,the,DET,22.599132537841797,51778,lo,DET,33.32023620605469,51778
109,in,ADP,20.88224983215332,51778,que,PRON,33.788719177246094,51778
110,meeting,NOUN,21.286338806152344,51778,se,PRON,32.86160659790039,51778
111,stays,VERB,22.823223114013672,51778,dice,VERB,37.171722412109375,51778
112,in,ADP,21.462499618530273,51778,en,ADP,34.17832565307617,51778
113,the,DET,22.603668212890625,51778,la,DET,33.49345779418945,51778
114,meeting,NOUN,20.640195846557617,51778,reunión,NOUN,31.677946090698242,51778
115,0,0,0.0,0,se,PRON,30.607267379760742,51778
116,0,0,0.0,0,queda,VERB,33.448307037353516,51778
117,0,0,0.0,0,en,ADP,33.19502258300781,51778
118,0,0,0.0,0,la,DET,34.234493255615234,51778
119,0,0,0.0,0,reunión,NOUN,31.543888092041016,51778
120,.,PUNCT,21.83922004699707,51778,.,PUNCT,33.359527587890625,51778
121,(,PUNCT,19.138301849365234,55752,(,PUNCT,28.748825073242188,55752
122,Laughter,PROPN,20.165264129638672,55752,Risas,PROPN,34.865478515625,55752
123,),PUNCT,20.96363067626953,55752,),PUNCT,32.331058502197266,55752
124,The,DET,21.63950538635254,56777,Los,DET,35.3786735534668,56777
125,topics,NOUN,20.730815887451172,56777,temas,NOUN,34.77679443359375,56777
126,which,DET,24.8276424407959,56777,discutidos,ADJ,36.334327697753906,56777
127,were,AUX,23.456987380981445,56777,0,0,0.0,0
128,discussed,VERB,23.395315170288086,56777,0,0,0.0,0
129,in,ADP,22.90035057067871,56777,en,ADP,35.223289489746094,56777
130,these,DET,25.174985885620117,56777,estas,DET,35.084266662597656,56777
131,meetings,NOUN,20.232208251953125,56777,reuniones,NOUN,35.96599578857422,56777
132,varied,ADJ,19.816137313842773,59165,variaban,VERB,31.386960983276367,59165
133,from,ADP,21.031496047973633,59165,de,ADP,30.621505737304688,59165
134,one,NUM,21.178865432739258,59165,otra,PRON,33.74566650390625,59165
135,week,NOUN,21.15178108215332,59165,semana,NOUN,32.41606903076172,59165
136,to,ADP,20.3543643951416,59165,a,ADP,31.722515106201172,59165
137,another,DET,20.54410743713379,59165,una,DET,32.82187271118164,59165
138,.,PUNCT,21.64861488342285,59165,.,PUNCT,32.66072463989258,59165
139,One,NUM,23.433225631713867,61600,Una,DET,30.703208923339844,61600
140,week,NOUN,20.34952163696289,61600,semana,NOUN,32.205902099609375,61600
141,",",PUNCT,22.30413818359375,61600,",",PUNCT,31.669843673706055,61600
142,we,PRON,23.458759307861328,61600,qué,DET,32.25840759277344,61600
143,'d,VERB,22.704797744750977,61600,hablábamos,VERB,33.997798919677734,61600
144,talk,VERB,22.42369270324707,61600,queríamos,VERB,32.03247833251953,61600
145,about,ADP,22.797571182250977,61600,sobre,ADP,33.809425354003906,61600
146,what,PRON,21.272550582885742,61600,0,0,0.0,0
147,food,NOUN,20.489974975585938,61600,comida,NOUN,32.23684310913086,61600
148,we,PRON,24.611082077026367,61600,0,0,0.0,0
149,wanted,VERB,25.385948181152344,61600,comer,VERB,35.59870910644531,61600
150,to,PART,22.166549682617188,61600,0,0,0.0,0
151,eat,VERB,25.386293411254883,61600,0,0,0.0,0
152,",",PUNCT,21.4545955657959,61600,",",PUNCT,30.404312133789062,61600
153,0,0,0.0,0,a,ADP,34.664703369140625,65090
154,what,DET,20.348054885864258,65090,qué,DET,35.02843475341797,65090
155,time,NOUN,18.745981216430664,65090,hora,NOUN,32.876380920410156,65090
156,us,PRON,22.22661018371582,65090,los,DET,34.547950744628906,65090
157,kids,NOUN,21.78047752380371,65090,niños,NOUN,36.275333404541016,65090
158,should,VERB,25.05278205871582,65090,debíamos,AUX,33.57793045043945,65090
159,go,VERB,24.36641502380371,65090,ir,VERB,35.63710403442383,65090
160,to,ADP,20.69574737548828,65090,a,ADP,32.329307556152344,65090
161,0,0,0.0,0,la,DET,33.06599044799805,65090
162,bed,NOUN,19.997222900390625,65090,cama,NOUN,31.86224937438965,65090
163,and,CCONJ,20.104354858398438,67815,y,CONJ,33.34766387939453,67815
164,how,ADV,20.96686363220215,67815,cómo,PRON,34.502750396728516,67815
165,to,PART,22.258798599243164,67815,0,0,0.0,0
166,improve,VERB,26.422523498535156,67815,mejorar,VERB,35.40741729736328,67815
167,things,NOUN,21.530960083007812,67815,cosas,NOUN,34.64828872680664,67815
168,as,SCONJ,23.92650604248047,67815,como,SCONJ,35.53330612182617,67815
169,a,DET,24.092714309692383,67815,las,DET,34.042701721191406,67815
170,family,NOUN,21.117828369140625,67815,familia,NOUN,32.13320541381836,67815
171,",",PUNCT,19.990692138671875,67815,.,PUNCT,32.376739501953125,67815
172,0,0,0.0,0,Mientras,CONJ,33.68578338623047,70426
173,while,SCONJ,20.14556312561035,70426,que,SCONJ,33.69493865966797,70426
174,discussed,VERB,24.862462997436523,70426,en,ADP,33.11777877807617,70426
175,another,DET,23.27741241455078,70426,otra,DET,34.51133728027344,70426
176,meeting,NOUN,20.645809173583984,70426,reunión,NOUN,33.88626480102539,70426
177,pretty,ADV,23.63564682006836,70426,se,PRON,30.05218505859375,70426
178,happened,VERB,23.891395568847656,70426,discutían,VERB,33.89145278930664,70426
179,events,NOUN,22.536399841308594,70426,eventos,NOUN,34.27360534667969,70426
180,much,ADJ,22.394556045532227,70426,ocurridos,ADJ,36.069061279296875,70426
181,at,ADP,23.099746704101562,70426,en,ADP,32.75035858154297,70426
182,that,DET,22.377519607543945,70426,la,DET,32.31149673461914,70426
183,school,NOUN,18.178993225097656,70426,escuela,NOUN,31.114025115966797,70426
