,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.270933151245117,15260,estado,VERB,32.7304573059082,15260
1,'ve,AUX,22.521862030029297,15260,He,AUX,34.26084518432617,15260
2,been,AUX,23.189430236816406,15260,soy,AUX,35.215423583984375,20260
3,in,ADP,21.582904815673828,15260,en,ADP,31.700576782226562,15260
4,Afghanistan,PROPN,24.807405471801758,15260,Afganistán,PROPN,36.51715087890625,15260
5,for,ADP,21.400320053100586,15260,durante,ADP,33.12939453125,15260
6,21,NUM,24.91193389892578,15260,21,NUM,34.93385314941406,15260
7,years,NOUN,23.593402862548828,15260,años,NOUN,35.673336029052734,15260
8,.,PUNCT,20.850460052490234,15260,.,PUNCT,33.32917404174805,15260
9,I,PRON,23.55726432800293,17260,Trabajo,NOUN,32.447113037109375,17260
10,work,VERB,22.6838321685791,17260,y,CONJ,32.11332702636719,20260
11,for,ADP,20.1026668548584,17260,para,ADP,33.6436653137207,17260
12,the,DET,21.240123748779297,17260,la,DET,28.203954696655273,17260
13,Red,PROPN,20.315942764282227,17260,Roja,PROPN,37.343692779541016,17260
14,Cross,PROPN,20.162036895751953,17260,Cruz,PROPN,37.39795684814453,17260
15,and,CCONJ,20.077041625976562,20260,fisioterapeuta,NOUN,32.345394134521484,20260
16,I,PRON,24.89550018310547,20260,.,PUNCT,33.011085510253906,20260
17,'m,AUX,22.802021026611328,20260,es,AUX,34.989131927490234,24260
18,a,DET,22.33237648010254,20260,Mi,DET,33.24622344970703,24260
19,physical,ADJ,22.055316925048828,20260,trabajo,NOUN,34.014503479003906,24260
20,therapist,NOUN,20.53183364868164,20260,brazos,NOUN,34.80905532836914,24260
21,.,PUNCT,20.906476974487305,20260,",",PUNCT,31.12830924987793,24260
22,My,DET,23.612625122070312,24260,y,CONJ,33.78896713256836,24260
23,job,NOUN,22.335248947143555,24260,piernas,NOUN,32.62398147583008,24260
24,is,AUX,23.360107421875,24260,es,AUX,33.58992004394531,27260
25,to,PART,23.48068618774414,24260,aunque,SCONJ,35.579044342041016,27260
26,make,VERB,26.557592391967773,24260,hacer,VERB,33.817100524902344,24260
27,arms,NOUN,22.529460906982422,24260,no,ADV,34.45618438720703,27260
28,and,CCONJ,22.267005920410156,24260,exactamente,ADV,33.49324417114258,27260
29,legs,NOUN,19.332286834716797,24260,así,ADV,32.76072692871094,27260
30,--,PUNCT,20.24806785583496,24260,.,PUNCT,33.206214904785156,27260
31,well,INTJ,23.935972213745117,27260,Hacemos,VERB,33.06547927856445,29260
32,it,PRON,22.507753372192383,27260,eso,PRON,32.170413970947266,29260
33,'s,AUX,21.979690551757812,27260,que,SCONJ,29.730804443359375,29260
34,not,PART,24.87813377380371,27260,Brindamos,VERB,29.758106231689453,31260
35,completely,ADV,26.01367950439453,27260,más,ADV,33.870548248291016,29260
36,true,ADJ,22.914548873901367,27260,afganos,ADJ,35.95623779296875,33260
37,.,PUNCT,22.199731826782227,27260,.,PUNCT,33.195533752441406,29260
38,We,PRON,24.42227554321289,29260,a,ADP,33.75385284423828,31260
39,do,AUX,23.411331176757812,29260,pacientes,NOUN,37.39232635498047,31260
40,more,ADJ,21.217561721801758,29260,discapacitados,ADJ,33.13319778442383,33260
41,than,SCONJ,23.08185386657715,29260,en,ADP,32.135047912597656,35260
42,that,DET,21.27602767944336,29260,los,DET,35.68605041503906,31260
43,.,PUNCT,22.143861770629883,29260,",",PUNCT,30.07430648803711,33260
44,We,PRON,24.66986656188965,31260,primer,ADJ,35.47445297241211,35260
45,provide,VERB,24.711647033691406,31260,lugar,NOUN,33.392189025878906,35260
46,the,DET,22.017465591430664,31260,física,ADJ,34.045318603515625,35260
