,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.64702796936035,12562,Me,PRON,30.98072624206543,12562
1,'d,VERB,22.904706954956055,12562,gustaría,VERB,33.58267593383789,12562
2,like,VERB,21.594768524169922,12562,hablarles,ADJ,32.02171325683594,12562
3,to,PART,23.281124114990234,12562,0,0,0.0,0
4,tell,VERB,25.50735855102539,12562,0,0,0.0,0
5,you,PRON,25.093505859375,12562,llamada,ADJ,33.594200134277344,12562
6,about,ADP,21.358442306518555,12562,de,ADP,29.91513442993164,12562
7,a,DET,21.731443405151367,12562,una,DET,33.617374420166016,12562
8,patient,NOUN,19.779449462890625,12562,paciente,NOUN,35.03788757324219,12562
9,named,VERB,23.44509506225586,12562,0,0,0.0,0
10,Donna,PROPN,22.16753387451172,12562,Donna,PROPN,33.69174575805664,12562
11,.,PUNCT,19.231706619262695,12562,.,PUNCT,32.07831573486328,12562
12,In,ADP,20.17925262451172,16239,En,ADP,32.2269287109375,16239
13,this,DET,25.151456832885742,16239,esta,DET,34.588600158691406,16239
14,photograph,NOUN,21.99274444580078,16239,fotografía,NOUN,32.572200775146484,16239
15,",",PUNCT,21.708988189697266,16239,",",PUNCT,31.02865982055664,16239
16,Donna,PROPN,23.066970825195312,16239,Donna,PROPN,34.143131256103516,16239
17,was,AUX,22.492937088012695,16239,tenía,VERB,35.20350646972656,16239
18,her,DET,21.795255661010742,16239,más,ADV,36.913822174072266,16239
19,in,ADP,22.066986083984375,16239,de,ADP,32.61772537231445,16239
20,0,0,0.0,0,70,NUM,34.884071350097656,16239
21,mid-70s,NOUN,18.459075927734375,16239,años,NOUN,35.96400833129883,16239
22,",",PUNCT,19.79202651977539,16239,.,PUNCT,33.11241149902344,16239
23,0,0,0.0,0,Era,AUX,34.004638671875,18718
24,a,DET,21.733596801757812,18728,una,DET,33.94908142089844,18718
25,woman,NOUN,18.116867065429688,18728,mujer,NOUN,32.992855072021484,18718
26,healthy,ADJ,19.790987014770508,18728,vigorosa,ADJ,34.88557434082031,18718
27,",",PUNCT,20.328100204467773,18728,",",PUNCT,29.457029342651367,18718
28,vigorous,ADJ,19.43353271484375,18728,saludable,ADJ,32.304168701171875,18718
29,",",PUNCT,22.062313079833984,18728,",",PUNCT,30.912878036499023,18718
30,the,DET,20.543594360351562,20127,la,DET,32.55685043334961,18718
31,matriarch,NOUN,17.87333869934082,20127,matriarca,NOUN,33.11927032470703,18718
32,of,ADP,22.81447410583496,20127,de,ADP,32.90113830566406,18718
33,a,DET,23.40978240966797,20127,un,DET,33.48020935058594,18718
34,large,ADJ,20.187244415283203,20127,gran,ADJ,36.19169616699219,18718
35,clan,NOUN,20.044246673583984,20127,clan,NOUN,33.24665069580078,18718
36,.,PUNCT,21.20374298095703,20127,.,PUNCT,32.65027618408203,18718
37,She,PRON,23.720813751220703,22586,Pero,CONJ,34.258033752441406,22526
38,had,AUX,24.73316764831543,22586,tenía,VERB,36.81543731689453,22526
39,a,DET,23.829456329345703,22586,una,DET,34.923641204833984,22526
40,family,NOUN,20.48586654663086,22586,historia,NOUN,35.17845153808594,22526
41,history,NOUN,20.011423110961914,22586,familiar,ADJ,35.61491775512695,22526
42,of,ADP,22.99536895751953,22586,de,ADP,32.45285415649414,22526
43,heart,NOUN,20.245391845703125,22586,enfermedad,NOUN,31.67698097229004,22526
44,disease,NOUN,19.271203994750977,22586,coronaria,ADJ,33.45341491699219,22526
45,",",PUNCT,21.876691818237305,22586,",",PUNCT,31.465129852294922,22526
46,however,ADV,19.523881912231445,22586,0,0,0.0,0
47,",",PUNCT,20.643028259277344,22586,0,0,0.0,0
48,and,CCONJ,20.124780654907227,25015,0,0,0.0,0
49,one,NUM,21.81584358215332,25015,0,0,0.0,0
50,day,NOUN,19.965070724487305,25015,0,0,0.0,0
51,",",PUNCT,21.368072509765625,25015,0,0,0.0,0
52,she,PRON,24.753931045532227,25015,0,0,0.0,0
53,had,AUX,24.5985050201416,25015,0,0,0.0,0
54,the,DET,22.332061767578125,25015,0,0,0.0,0
55,sudden,ADJ,20.737503051757812,25015,0,0,0.0,0
56,onset,NOUN,21.258041381835938,25015,0,0,0.0,0
57,of,ADP,23.264955520629883,25015,0,0,0.0,0
58,crushing,VERB,22.71112060546875,25015,0,0,0.0,0
59,chest,NOUN,19.42906951904297,25015,0,0,0.0,0
60,pain,NOUN,19.3925838470459,25015,0,0,0.0,0
61,.,PUNCT,21.55057144165039,25015,0,0,0.0,0
62,Now,ADV,22.193376541137695,28742,Pero,CONJ,32.98307418823242,28742
63,unfortunately,ADV,22.963960647583008,28742,lamentablemente,ADV,32.96678924560547,28742
64,",",PUNCT,20.599761962890625,28742,",",PUNCT,31.338014602661133,28742
65,rather,ADV,21.69915199279785,28742,en,ADP,33.87718963623047,28742
66,than,SCONJ,21.91120719909668,28742,vez,NOUN,35.39331817626953,28742
67,0,0,0.0,0,de,ADP,29.673152923583984,28742
68,seeking,VERB,25.772743225097656,28742,buscar,VERB,36.297889709472656,28742
69,attention,NOUN,19.391849517822266,28742,asistencia,NOUN,30.73940086364746,28742
70,medical,ADJ,20.361772537231445,28742,médica,ADJ,33.910888671875,28742
71,",",PUNCT,20.255918502807617,28742,",",PUNCT,30.819856643676758,28742
72,Donna,PROPN,23.341188430786133,31434,guardó,VERB,34.53047561645508,31434
73,took,VERB,22.661449432373047,31434,cama,VERB,32.03958511352539,31434
74,to,ADP,19.046852111816406,31434,durante,ADP,33.26784133911133,31434
75,her,DET,22.91248321533203,31434,0,0,0.0,0
76,bed,NOUN,20.078689575195312,31434,horas,NOUN,33.52358627319336,31434
77,for,ADP,21.054981231689453,31434,hasta,ADP,35.02727127075195,31434
78,about,ADV,20.944721221923828,31434,que,SCONJ,34.7916145324707,31434
79,12,NUM,24.558589935302734,31434,12,NUM,33.92136764526367,31434
80,hours,NOUN,23.97772789001465,31434,le,PRON,33.45133590698242,31434
81,until,ADP,22.669933319091797,31434,se,PRON,32.50920867919922,31434
82,the,DET,22.458650588989258,31434,el,DET,36.98369598388672,31434
83,pain,NOUN,19.99616050720215,31434,dolor,NOUN,31.126445770263672,31434
84,passed,VERB,21.82761001586914,31434,pasó,VERB,36.50629425048828,31434
85,.,PUNCT,20.33126449584961,31434,.,PUNCT,32.172054290771484,31434
86,The,DET,19.645408630371094,35374,Cuando,SCONJ,33.933868408203125,35374
87,next,ADJ,20.704483032226562,35374,fue,AUX,35.47450256347656,35374
88,time,NOUN,20.946414947509766,35374,médico,NOUN,32.43406677246094,35374
89,she,PRON,25.58304214477539,35374,a,ADP,33.38606643676758,35374
90,went,VERB,26.283462524414062,35374,ver,VERB,35.87340545654297,35374
