,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Food,NOUN,23.591690063476562,12049,La,DET,33.79731369018555,12049
1,design,NOUN,21.624343872070312,12049,comida,NOUN,32.36233901977539,12049
2,is,AUX,21.840728759765625,12049,es,AUX,33.82427215576172,12049
3,0,0,0.0,0,diseño,ADJ,32.707603454589844,12049
4,.,PUNCT,22.952106475830078,12049,.,PUNCT,33.150760650634766,12049
5,is,AUX,26.07732391357422,14350,Es,AUX,33.88486099243164,14350
6,It,PRON,24.68040657043457,14350,diseño,ADJ,34.45534896850586,14350
7,design,NOUN,23.40279769897461,14350,",",PUNCT,30.09416961669922,14350
8,when,ADV,22.274349212646484,14350,como,SCONJ,35.49995803833008,14350
9,compose,VERB,19.939119338989258,14350,un,DET,31.918716430664062,14350
10,you,PRON,22.72703742980957,14350,todo,PRON,33.41246795654297,14350
11,",",PUNCT,20.78252601623535,14350,",",PUNCT,30.05110740661621,14350
12,0,0,0.0,0,en,ADP,32.79304122924805,14350
13,0,0,0.0,0,el,DET,33.90932846069336,14350
14,plates,NOUN,20.782794952392578,14350,plato,NOUN,30.72205352783203,14350
15,0,0,0.0,0,.,PUNCT,31.80052375793457,14350
16,but,CCONJ,21.654521942138672,16916,Pero,CONJ,33.603179931640625,16916
17,it,PRON,24.035661697387695,16916,un,DET,36.74516296386719,16916
18,is,AUX,27.11920166015625,16916,es,AUX,32.79513168334961,16916
19,amazing,ADJ,20.580101013183594,16916,diseño,NOUN,34.78498458862305,16916
20,",",PUNCT,22.896713256835938,16916,",",PUNCT,30.584999084472656,16916
21,even,ADV,22.631996154785156,16916,incluso,ADV,35.05984115600586,16916
22,better,ADJ,19.721981048583984,16916,increíble,ADJ,34.35639572143555,16916
23,and,CCONJ,23.28848648071289,16916,e,CONJ,32.62904357910156,16916
24,most,ADV,20.396610260009766,16916,más,ADV,35.51847839355469,16916
25,delightful,ADJ,20.701412200927734,16916,atractivo,ADJ,36.1012077331543,16916
26,design,NOUN,19.030611038208008,16916,",",PUNCT,29.69516372680664,16916
27,when,ADV,23.7198429107666,21457,si,SCONJ,33.553062438964844,21457
28,it,PRON,24.112937927246094,21457,miramos,VERB,33.226383209228516,21457
29,'s,AUX,21.488788604736328,21457,0,0,0.0,0
30,about,ADP,21.706674575805664,21457,0,0,0.0,0
31,the,DET,20.357789993286133,21457,las,DET,34.185794830322266,21457
32,units,NOUN,21.050167083740234,21457,partes,NOUN,35.9710693359375,21457
33,.,PUNCT,21.78740882873535,21457,.,PUNCT,33.39350509643555,21457
34,[,PUNCT,20.90171241760254,22778,[,PROPN,35.563655853271484,22778
35,Small,ADJ,23.28504180908203,22778,pequeña,ADJ,33.73557662963867,22778
36,thing,NOUN,19.313457489013672,22778,],NOUN,31.751222610473633,22778
37,.,PUNCT,20.67987632751465,22778,.,PUNCT,32.982425689697266,22778
38,],PUNCT,22.490388870239258,22778,Cosa,PROPN,33.125770568847656,22778
39,[,PUNCT,20.073740005493164,23979,[,PROPN,35.224082946777344,23979
40,Big,ADJ,20.29944610595703,23979,grande,ADJ,30.4514217376709,23979
41,idea,NOUN,21.456132888793945,23979,Idea,PROPN,31.853403091430664,23979
42,.,PUNCT,20.30303192138672,23979,.,PUNCT,34.73814010620117,23979
43,],PUNCT,22.544694900512695,23979,],ADJ,31.27239227294922,23979
44,"""",PUNCT,19.544662475585938,28714,"""",PUNCT,31.969341278076172,28714
45,Pasta,PROPN,17.967483520507812,28714,Pasta,PROPN,33.23736572265625,28714
46,"""",PUNCT,20.97639274597168,28714,"""",PUNCT,33.216556549072266,28714
47,comes,VERB,20.05601692199707,28714,viene,VERB,32.83542251586914,28714
48,from,ADP,21.170963287353516,28714,del,ADP,34.91181182861328,28714
49,Latin,PROPN,21.605056762695312,28714,latín,NOUN,32.24834060668945,28714
50,",",PUNCT,20.201828002929688,28714,0,0,0.0,0
51,and,CCONJ,20.286163330078125,30314,y,CONJ,34.243656158447266,30314
52,it,PRON,25.82615852355957,30314,0,0,0.0,0
53,means,VERB,22.085094451904297,30314,significa,VERB,31.95865821838379,30314
54,"""",PUNCT,23.89704132080078,30314,"""",PUNCT,29.201393127441406,30314
55,paste,VERB,20.086597442626953,30314,masa,NOUN,30.858850479125977,30314
56,.,PUNCT,21.634565353393555,30314,.,PUNCT,33.36445617675781,30314
57,"""",PUNCT,22.912687301635742,30314,"""",PUNCT,32.91191101074219,30314
58,It,PRON,23.30898666381836,32204,0,0,0.0,0
59,'s,AUX,21.960384368896484,32204,Es,AUX,34.57051467895508,32204
60,about,ADP,23.252233505249023,32204,de,ADP,32.20455551147461,32204
61,putting,VERB,25.11842155456543,32204,masa,NOUN,33.129573822021484,32204
62,together,ADV,20.598155975341797,32204,y,CONJ,34.824668884277344,32204
63,water,NOUN,19.041481018066406,32204,agua,NOUN,28.5425968170166,32204
64,and,CCONJ,24.35025978088379,32204,0,0,0.0,0
65,some,DET,21.35582733154297,32204,una,DET,32.056007385253906,32204
66,powder,NOUN,17.868925094604492,32204,harina,NOUN,33.615623474121094,32204
67,",",PUNCT,21.61287498474121,32204,0,0,0.0,0
68,so,SCONJ,19.029165267944336,36154,que,SCONJ,33.56058120727539,36154
69,that,SCONJ,21.67864990234375,36154,puede,AUX,35.645626068115234,36154
70,you,PRON,24.538631439208984,36154,se,PRON,33.66841125488281,36154
71,can,VERB,24.2602596282959,36154,modelar,VERB,34.59589767456055,36154
72,actually,ADV,25.271747589111328,36154,0,0,0.0,0
73,shape,VERB,22.997404098510742,36154,0,0,0.0,0
74,it,PRON,21.05035972595215,36154,0,0,0.0,0
75,.,PUNCT,20.998043060302734,36154,.,PUNCT,32.9748649597168,36154
76,There,PRON,21.37841033935547,38684,que,PRON,34.211647033691406,38684
77,are,AUX,23.060380935668945,38684,hay,AUX,32.963287353515625,38684
78,cultures,NOUN,20.84175682067871,38684,mundo,NOUN,31.98691749572754,38684
79,in,ADP,23.420265197753906,38684,En,ADP,32.050987243652344,38684
80,the,DET,23.440139770507812,38684,el,DET,34.853736877441406,38684
81,world,NOUN,17.54165267944336,38684,culturas,NOUN,33.08439254760742,38684
82,that,DET,20.870019912719727,38684,de,ADP,31.684663772583008,38684
83,use,VERB,21.358917236328125,38684,usan,VERB,35.59209442138672,38684
84,rice,NOUN,21.077810287475586,38684,harina,NOUN,32.909969329833984,38684
85,powder,NOUN,19.254220962524414,38684,arroz,NOUN,30.03337287902832,38684
86,",",PUNCT,21.43526840209961,38684,",",PUNCT,30.496185302734375,38684
87,others,NOUN,22.141948699951172,41724,otras,PRON,34.258052825927734,41724
88,use,VERB,22.315271377563477,41724,usan,VERB,33.297664642333984,41724
89,soy,NOUN,19.346284866333008,41724,harina,PROPN,32.623931884765625,41724
90,powder,NOUN,18.721874237060547,41724,de,ADP,32.330013275146484,41724
91,0,0,0.0,0,soja,PROPN,31.67006492614746,41724
92,.,PUNCT,21.649662017822266,41724,.,PUNCT,33.45967483520508,41724
93,In,ADP,19.46648406982422,44155,En,ADP,33.41575622558594,44155
94,Italy,PROPN,22.31177520751953,44155,Italia,PROPN,36.22039794921875,44155
95,",",PUNCT,21.844547271728516,44155,0,0,0.0,0
96,we,PRON,22.7108211517334,44155,el,DET,36.48251724243164,44155
97,tend,VERB,24.360219955444336,44155,solemos,VERB,31.268491744995117,44155
98,to,PART,23.388715744018555,44155,candeal,ADJ,33.161251068115234,44155
99,use,VERB,26.022762298583984,44155,usar,VERB,35.67195129394531,44155
100,durum,NOUN,19.644685745239258,44155,trigo,NOUN,32.98809051513672,44155
101,wheat,NOUN,19.672170639038086,44155,0,0,0.0,0
102,.,PUNCT,22.62741470336914,44155,.,PUNCT,32.896484375,44155
103,Pasta,PROPN,19.638174057006836,46364,La,DET,34.45030212402344,46364
104,centuries,NOUN,21.680757522583008,46364,pasta,NOUN,34.09420394897461,46364
105,existed,VERB,22.96377182006836,46364,existe,VERB,36.329307556152344,46364
106,for,ADP,25.564212799072266,46364,desde,ADP,35.161827087402344,46364
107,0,0,0.0,0,hace,AUX,34.469974517822266,46364
108,0,0,0.0,0,siglos,NOUN,35.5562629699707,46364
109,",",PUNCT,20.248414993286133,46364,",",PUNCT,32.234703063964844,46364
110,but,CCONJ,21.0711727142334,48234,pero,CONJ,33.870845794677734,48234
111,it,PRON,23.493820190429688,48234,0,0,0.0,0
112,really,ADV,26.593219757080078,48234,0,0,0.0,0
113,blossomed,VERB,23.07802963256836,48234,floreció,VERB,36.63442611694336,48234
114,during,ADP,24.030094146728516,48234,durante,ADP,35.17998123168945,48234
115,the,DET,20.671873092651367,48234,el,DET,33.24458312988281,48234
116,Renaissance,PROPN,20.95571517944336,48234,Renacimiento,PROPN,34.5206184387207,48234
117,.,PUNCT,21.03632164001465,48234,.,PUNCT,31.72740364074707,48234
118,And,CCONJ,20.445898056030273,50744,La,DET,35.80022048950195,50744
119,it,PRON,24.51025390625,50744,se,PRON,30.535654067993164,50744
120,'s,AUX,21.55970573425293,50744,0,0,0.0,0
121,only,ADV,22.2748966217041,50744,más,ADV,36.86912155151367,50744
122,later,ADV,21.130769729614258,50744,inició,VERB,36.472537994384766,50744
123,on,ADV,18.598880767822266,50744,tarde,ADV,34.77931213378906,50744
124,in,ADP,20.232086181640625,50744,0,0,0.0,0
125,the,DET,22.011756896972656,50744,",",PUNCT,31.23332405090332,50744
126,17th,ADJ,18.911792755126953,50744,masiva,ADJ,35.285072326660156,50744
127,century,NOUN,19.55933380126953,50744,producción,NOUN,31.989641189575195,50744
128,that,SCONJ,20.451086044311523,53814,en,ADP,32.89148712158203,53814
129,it,PRON,25.253868103027344,53814,el,DET,32.96314239501953,53814
130,became,VERB,25.542896270751953,53814,siglo,NOUN,34.191497802734375,53814
131,more,ADV,22.66819190979004,53814,XVII,NOUN,32.83192825317383,53814
132,mass,ADJ,20.694332122802734,53814,0,0,0.0,0
133,produced,VERB,21.52212905883789,53814,0,0,0.0,0
134,.,PUNCT,20.661888122558594,53814,.,PUNCT,34.238834381103516,53814
135,Whenever,ADV,20.951759338378906,56046,Al,ADP,35.23796463012695,56046
136,you,PRON,23.724790573120117,56046,0,0,0.0,0
137,design,VERB,24.067974090576172,56046,diseñar,VERB,35.0987663269043,56046
138,an,DET,23.71257781982422,56046,un,DET,35.60871124267578,56046
139,object,NOUN,20.47852897644043,56046,objeto,NOUN,30.997350692749023,56046
140,of,ADP,23.142986297607422,56046,de,ADP,29.87727928161621,56046
141,any,DET,22.51776885986328,56046,cualquier,DET,36.24737548828125,56046
