,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,This,DET,23.411474227905273,12857,Este,PRON,32.076847076416016,12857
1,is,AUX,24.814300537109375,12857,es,AUX,31.13248062133789,12857
2,a,DET,24.49428939819336,12857,un,DET,37.40195083618164,12857
3,graph,NOUN,20.611539840698242,12857,gráfico,NOUN,31.921138763427734,12857
4,0,0,0.0,0,que,PRON,33.372108459472656,14360
5,represents,VERB,25.27817726135254,14360,representa,VERB,37.29340362548828,14360
6,the,DET,22.519287109375,14360,la,DET,33.0235710144043,14360
7,history,NOUN,17.970619201660156,14360,historia,NOUN,34.20425033569336,14360
8,economic,ADJ,20.31016731262207,14360,económica,ADJ,35.61160659790039,14360
9,of,ADP,23.80289649963379,14360,de,ADP,30.946426391601562,14360
10,that,DET,19.894731521606445,14360,la,DET,32.31784439086914,14360
11,civilization,NOUN,19.760435104370117,14360,civilización,NOUN,32.364295959472656,14360
12,human,ADJ,18.45267105102539,14360,humana,ADJ,34.54691696166992,14360
13,.,PUNCT,20.90982437133789,14360,.,PUNCT,33.35318374633789,14360
14,[,PUNCT,20.51917839050293,18043,[,PROPN,35.80630111694336,18043
15,World,NOUN,19.415407180786133,18043,PBI,PROPN,33.76365661621094,18043
16,GDP,NOUN,23.799583435058594,18043,mundial,ADJ,32.504085540771484,18043
17,per,ADP,22.485353469848633,18043,per,ADP,32.87874221801758,18043
18,capita,NOUN,20.858497619628906,18043,cápita,NOUN,29.171689987182617,18043
19,over,ADP,19.50383758544922,18043,en,ADP,32.88380813598633,18043
20,the,DET,20.038658142089844,18043,los,DET,33.67603302001953,18043
21,last,ADJ,19.916139602661133,18043,últimos,ADJ,33.12227249145508,18043
22,"200,000",NUM,24.060718536376953,18043,200,NUM,32.121639251708984,18043
23,0,0,0.0,0,000,NUM,35.00236892700195,18043
24,],PUNCT,23.38047218322754,18043,años,NOUN,35.3546028137207,18043
25,years,NOUN,21.876502990722656,18043,],NOUN,30.55062484741211,18043
26,There,PRON,21.399702072143555,23757,No,ADV,32.89842987060547,23757
27,'s,AUX,22.44586944580078,23757,pasa,VERB,37.102195739746094,23757
28,not,PART,23.533933639526367,23757,0,0,0.0,0
29,much,ADV,23.77167320251465,23757,mucho,ADV,33.60420227050781,23757
30,going,VERB,24.4002628326416,23757,está,VERB,35.05223846435547,23757
31,on,ADP,20.773639678955078,23757,0,0,0.0,0
