,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.925682067871094,12837,y,CONJ,34.2267951965332,14718
1,want,VERB,25.60413932800293,12837,traten,VERB,34.0367431640625,14718
2,around,ADP,22.83083152770996,12837,de,ADP,32.617347717285156,14718
3,look,VERB,24.3668155670166,12837,encontrar,VERB,37.41529846191406,14718
4,the,DET,21.52947235107422,12837,la,DET,35.86713790893555,14718
5,room,NOUN,18.402179718017578,12837,persona,NOUN,32.357208251953125,14718
6,you,PRON,22.757034301757812,12837,más,ADV,38.425785064697266,14718
7,to,PART,22.700735092163086,12837,paranoica,ADJ,34.013893127441406,14718
8,for,ADP,19.659526824951172,12837,aquí,ADV,36.84785079956055,14718
9,a,DET,21.023115158081055,12837,presente,ADJ,32.986080169677734,14718
10,minute,NOUN,18.008342742919922,12837,...,PUNCT,29.454891204833984,14718
11,and,CCONJ,20.62126922607422,15128,(,PUNCT,28.748825073242188,17691
12,try,VERB,22.838768005371094,15128,Risas,PROPN,34.865478515625,17691
13,to,PART,24.06662940979004,15128,),PUNCT,32.331058502197266,17691
14,find,VERB,26.75326156616211,15128,0,0,0.0,0
15,the,DET,21.256460189819336,15128,0,0,0.0,0
16,most,ADV,21.28824234008789,15128,0,0,0.0,0
17,paranoid,ADJ,21.497920989990234,15128,0,0,0.0,0
18,person,NOUN,20.74448585510254,15128,0,0,0.0,0
19,here,ADV,20.73370933532715,15128,0,0,0.0,0
20,--,PUNCT,20.972257614135742,15128,0,0,0.0,0
21,(,PUNCT,19.138301849365234,17871,y,CONJ,34.10597229003906,18779
22,Laughter,PROPN,20.165264129638672,17871,luego,ADV,33.7125358581543,18779
23,0,0,0.0,0,me,PRON,31.093700408935547,18779
24,0,0,0.0,0,la,PRON,29.737401962280273,18779
25,0,0,0.0,0,señalen,VERB,31.831939697265625,18779
26,),PUNCT,20.96363067626953,17871,.,PUNCT,32.26042175292969,18779
27,And,CCONJ,21.441078186035156,18959,(,PUNCT,28.748825073242188,21255
28,then,ADV,19.117090225219727,18959,Risas,PROPN,34.865478515625,21255
29,I,PRON,25.709354400634766,18959,),PUNCT,32.331058502197266,21255
30,want,VERB,24.74357032775879,18959,0,0,0.0,0
31,you,PRON,22.523176193237305,18959,0,0,0.0,0
32,to,PART,21.03874969482422,18959,0,0,0.0,0
33,point,VERB,24.138940811157227,18959,0,0,0.0,0
34,at,ADP,22.895008087158203,18959,0,0,0.0,0
35,that,DET,20.452571868896484,18959,0,0,0.0,0
36,person,NOUN,22.15178680419922,18959,0,0,0.0,0
37,for,ADP,21.628915786743164,18959,0,0,0.0,0
38,me,PRON,24.92788314819336,18959,0,0,0.0,0
39,.,PUNCT,20.25511360168457,18959,0,0,0.0,0
40,0,0,0.0,0,Bueno,INTJ,33.63425827026367,22314
41,(,PUNCT,19.138301849365234,21435,",",PUNCT,29.689775466918945,22314
42,Laughter,PROPN,20.165264129638672,21435,en,ADP,35.17669677734375,22314
43,0,0,0.0,0,realidad,NOUN,33.39424133300781,22314
44,0,0,0.0,0,no,ADV,31.127225875854492,22314
45,0,0,0.0,0,lo,PRON,33.03388595581055,22314
46,0,0,0.0,0,hagan,VERB,35.25303268432617,22314
47,),PUNCT,20.96363067626953,21435,.,PUNCT,31.907779693603516,22314
48,OK,INTJ,23.650789260864258,22494,0,0,0.0,0
49,",",PUNCT,20.172679901123047,22494,(,PUNCT,28.748825073242188,23823
50,do,AUX,21.491701126098633,22494,Risas,PROPN,34.865478515625,23823
51,n't,PART,23.77254867553711,22494,0,0,0.0,0
52,actually,ADV,26.06661605834961,22494,0,0,0.0,0
53,do,AUX,23.94367218017578,22494,0,0,0.0,0
54,it,PRON,22.313156127929688,22494,0,0,0.0,0
55,.,PUNCT,22.087570190429688,22494,),PUNCT,32.331058502197266,23823
56,0,0,0.0,0,Pero,CONJ,33.67817306518555,24840
57,(,PUNCT,19.138301849365234,23877,",",PUNCT,30.416675567626953,24840
58,Laughter,PROPN,20.165264129638672,23877,como,SCONJ,34.727909088134766,24840
59,0,0,0.0,0,psicólogo,NOUN,31.27488899230957,24840
60,0,0,0.0,0,organizacional,ADJ,32.21059799194336,24840
61,),PUNCT,20.96363067626953,23877,",",PUNCT,30.506446838378906,24840
62,But,CCONJ,21.596132278442383,25020,paso,VERB,32.952545166015625,26733
63,",",PUNCT,19.01372718811035,25020,mucho,DET,34.53652572631836,26733
64,as,SCONJ,22.394338607788086,25020,tiempo,NOUN,34.404754638671875,26733
65,organizational,ADJ,19.932331085205078,25020,en,ADP,31.45337677001953,26733
66,an,DET,23.46847152709961,25020,diferentes,DET,34.48637008666992,26733
67,psychologist,NOUN,18.32050132751465,25020,lugares,NOUN,35.52547836303711,26733
68,",",PUNCT,20.27003288269043,25020,de,ADP,31.139930725097656,26733
69,0,0,0.0,0,trabajo,NOUN,32.068294525146484,26733
70,and,CCONJ,19.79890251159668,28819,y,CONJ,33.131004333496094,29334
71,I,PRON,25.219308853149414,28819,veo,VERB,34.86976623535156,29334
72,find,VERB,25.43634033203125,28819,aflorar,VERB,34.272891998291016,29334
73,0,0,0.0,0,la,DET,34.32705307006836,29334
74,paranoia,NOUN,19.686691284179688,28819,paranoia,NOUN,32.62841033935547,29334
75,0,0,0.0,0,en,ADP,33.65974807739258,29334
76,0,0,0.0,0,todas,DET,34.56313705444336,29334
77,0,0,0.0,0,partes,NOUN,35.31496047973633,29334
78,.,PUNCT,22.637874603271484,28819,",",PUNCT,30.690702438354492,29334
79,0,0,0.0,0,provocada,ADJ,33.82192611694336,31389
80,everywhere,ADV,20.44011116027832,28819,especialmente,ADV,36.18321990966797,31389
81,0,0,0.0,0,por,ADP,33.08298110961914,31389
82,0,0,0.0,0,gente,NOUN,31.72806167602539,31389
83,0,0,0.0,0,oportunista,ADJ,33.80295181274414,31389
84,0,0,0.0,0,.,PUNCT,33.71745681762695,31389
85,Paranoia,NOUN,22.700138092041016,31532,oportunistas,NOUN,36.814910888671875,33785
86,is,AUX,22.809200286865234,31532,son,AUX,33.79356002807617,33785
87,caused,VERB,23.98427391052246,31532,0,0,0.0,0
88,by,ADP,22.078937530517578,31532,egocéntrica,ADJ,34.77618408203125,33785
89,people,NOUN,22.161781311035156,31532,gente,NOUN,32.955848693847656,33785
