,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,25.125185012817383,16260,Me,PRON,31.956716537475586,16260
1,want,VERB,24.103052139282227,16260,gustaría,VERB,31.592622756958008,16260
2,to,PART,24.02716636657715,16260,lo,DET,33.693092346191406,18260
3,talk,VERB,26.273717880249023,16260,hablar,VERB,35.031734466552734,16260
4,about,ADP,20.430511474609375,16260,de,ADP,28.355304718017578,16260
5,what,PRON,22.104509353637695,18260,que,PRON,31.163246154785156,18260
6,we,PRON,26.990449905395508,18260,los,DET,36.20420837402344,18260
7,learn,VERB,23.309219360351562,18260,aprendemos,VERB,34.63971710205078,18260
8,from,ADP,22.633066177368164,18260,de,ADP,31.856327056884766,18260
9,conservatives,NOUN,21.338607788085938,18260,conservadores,NOUN,33.498355865478516,18260
10,.,PUNCT,21.050100326538086,18260,.,PUNCT,32.17974853515625,18260
11,And,CCONJ,20.202707290649414,21260,Estoy,VERB,32.66338348388672,21260
12,I,PRON,24.740245819091797,21260,en,ADP,35.05522155761719,21260
13,'m,AUX,21.55681610107422,21260,una,DET,34.84959411621094,21260
14,at,ADP,22.056896209716797,21260,de,ADP,30.91718101501465,21260
15,a,DET,23.234933853149414,21260,mi,DET,35.19209671020508,21260
16,stage,NOUN,21.84382438659668,21260,etapa,NOUN,33.76554870605469,21260
17,in,ADP,22.231033325195312,21260,en,ADP,33.13092041015625,21260
18,life,NOUN,19.703697204589844,21260,vida,NOUN,31.522695541381836,21260
19,where,ADV,21.77968978881836,21260,la,DET,34.99088668823242,21260
20,I,PRON,25.023618698120117,21260,que,PRON,33.39676284790039,21260
21,'m,AUX,24.020784378051758,21260,anhelo,PROPN,30.37383270263672,21260
22,yearning,VERB,21.635089874267578,21260,volver,VERB,34.36252212524414,21260
23,for,ADP,21.052148818969727,21260,a,ADP,31.65875816345215,21260
24,my,DET,21.472803115844727,21260,mi,DET,35.620235443115234,21260
25,old,ADJ,20.818994522094727,21260,confesarles,ADJ,32.95437240600586,24260
26,days,NOUN,20.896352767944336,21260,juventud,NOUN,30.68128776550293,21260
27,",",PUNCT,20.5674991607666,21260,",",PUNCT,29.744836807250977,21260
28,so,CCONJ,18.228683471679688,24260,que,SCONJ,30.665525436401367,24260
29,I,PRON,25.490192413330078,24260,así,ADV,36.64253234863281,24260
