,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,is,AUX,24.860998153686523,13441,Es,AUX,34.81397247314453,13459
1,hard,ADJ,22.061992645263672,13441,difícil,ADJ,34.80781936645508,13459
2,Speaking,VERB,24.77141761779785,13441,imponer,VERB,35.44068145751953,13459
3,0,0,0.0,0,el,DET,34.238014221191406,13459
4,to,PART,23.658939361572266,13441,punto,NOUN,32.0218505859375,13459
5,up,ADP,21.647672653198242,13441,de,ADP,31.877811431884766,13459
6,do,AUX,23.935344696044922,13441,vista,NOUN,32.39264678955078,13459
7,.,PUNCT,22.5751895904541,13441,.,PUNCT,34.07407760620117,13459
8,I,PRON,25.432144165039062,16588,Yo,PRON,34.04998016357422,16588
9,understood,VERB,25.051836013793945,16588,entendí,VERB,33.931575775146484,16588
10,the,DET,23.109859466552734,16588,el,DET,34.509559631347656,16588
11,true,ADJ,20.497203826904297,16588,verdadero,ADJ,33.835872650146484,16588
12,meaning,NOUN,19.686368942260742,16588,significado,NOUN,31.758874893188477,16588
13,of,ADP,24.371484756469727,16588,de,ADP,31.911243438720703,16588
14,this,DET,24.040790557861328,16588,esta,DET,34.41936111450195,16588
15,phrase,NOUN,20.45425033569336,16588,frase,NOUN,33.48771667480469,16588
16,exactly,ADV,24.40973472595215,16588,exactamente,ADV,35.026187896728516,16588
17,one,NUM,20.815439224243164,16588,hace,AUX,35.249610900878906,16588
18,ago,ADV,19.208227157592773,16588,un,DET,32.534423828125,16588
19,month,NOUN,20.750608444213867,16588,mes,NOUN,32.490501403808594,16588
20,",",PUNCT,20.92951774597168,16588,",",PUNCT,30.192115783691406,16588
21,when,ADV,22.652437210083008,21531,cuando,SCONJ,35.76975631713867,21531
22,my,DET,21.679122924804688,21531,mi,DET,32.5050048828125,21531
23,wife,NOUN,20.297637939453125,21531,esposa,NOUN,30.359758377075195,21531
24,and,CCONJ,19.630109786987305,21531,y,CONJ,34.095157623291016,21531
25,I,PRON,26.248994827270508,21531,yo,PRON,32.54066467285156,21531
26,became,VERB,25.325300216674805,21531,tuvimos,VERB,35.413997650146484,21531
27,0,0,0.0,0,nuestro,DET,35.32179260253906,21531
28,new,ADJ,22.157424926757812,21531,primer,ADJ,36.92856216430664,21531
29,parents,NOUN,22.201852798461914,21531,hijo,NOUN,34.27623748779297,21531
30,.,PUNCT,20.999597549438477,21531,.,PUNCT,30.773704528808594,21531
31,It,PRON,24.352258682250977,25113,0,0,0.0,0
32,was,AUX,24.768346786499023,25113,Fue,AUX,31.72551918029785,25113
33,an,DET,26.262046813964844,25113,un,DET,37.46181106567383,25113
34,amazing,ADJ,21.17871856689453,25113,increíble,ADJ,34.171958923339844,25113
35,moment,NOUN,22.744421005249023,25113,momento,NOUN,33.61750793457031,25113
36,.,PUNCT,22.51470184326172,25113,.,PUNCT,34.40104293823242,25113
37,It,PRON,23.954931259155273,26815,emocionante,ADJ,30.34381675720215,26815
38,was,AUX,25.927886962890625,26815,y,CONJ,31.22933006286621,26815
39,exhilarating,VERB,23.238800048828125,26815,eufórico,ADJ,32.11792755126953,26815
40,and,CCONJ,24.96466827392578,26815,0,0,0.0,0
