,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,25.734405517578125,12970,de,ADP,33.152408599853516,12970
1,am,AUX,23.142946243286133,12970,Soy,AUX,29.683927536010742,12970
2,a,DET,23.03775978088379,12970,los,DET,35.7181282043457,15092
3,plant,NOUN,19.31156349182129,12970,plantas,NOUN,34.56569290161133,12970
4,geneticist,NOUN,19.190595626831055,12970,genetista,NOUN,35.17893600463867,12970
5,.,PUNCT,22.20089340209961,12970,.,PUNCT,33.18489456176758,12970
6,I,PRON,24.303760528564453,15292,que,PRON,34.20641326904297,15092
7,study,VERB,21.658384323120117,15292,Estudio,VERB,31.544326782226562,15092
8,genes,NOUN,21.43484115600586,15292,genes,NOUN,34.97599792480469,15092
9,that,DET,23.223278045654297,15292,las,DET,33.98707962036133,15092
10,make,VERB,23.831687927246094,15292,hacen,VERB,37.33374786376953,15092
11,plants,NOUN,21.411109924316406,15292,plantas,NOUN,34.833641052246094,15092
12,resistant,ADJ,22.155702590942383,15292,que,SCONJ,32.53112030029297,15092
13,to,ADP,21.025781631469727,15292,resistan,VERB,34.8567008972168,17187
14,disease,NOUN,19.93145751953125,15292,enfermedades,NOUN,35.26213455200195,17187
15,and,CCONJ,19.379262924194336,18867,y,CONJ,34.84217071533203,17187
16,tolerant,NOUN,19.643972396850586,18867,toleren,VERB,31.8493709564209,17187
17,of,ADP,20.30186653137207,18867,el,DET,34.67839431762695,17187
18,stress,NOUN,20.55980682373047,18867,estrés,NOUN,31.081573486328125,17187
19,.,PUNCT,22.309301376342773,18867,.,PUNCT,32.05439376831055,17187
20,In,ADP,20.324506759643555,21189,En,ADP,34.114593505859375,21595
21,recent,ADJ,22.413267135620117,21189,recientes,ADJ,35.36753845214844,21595
22,years,NOUN,20.683565139770508,21189,años,NOUN,36.0887336730957,21595
23,",",PUNCT,20.369483947753906,21189,",",PUNCT,30.77951431274414,21595
24,millions,NOUN,21.56692886352539,23465,millones,NOUN,33.18811798095703,23285
25,of,ADP,23.61327362060547,23465,de,ADP,31.607919692993164,23285
26,people,NOUN,21.720788955688477,23465,personas,NOUN,34.17984390258789,23285
27,around,ADP,21.683412551879883,23465,del,ADP,34.54914474487305,23285
28,the,DET,21.788724899291992,23465,alrededor,ADV,32.81562042236328,23285
29,world,NOUN,18.417638778686523,23465,mundo,NOUN,31.127864837646484,23285
30,have,AUX,22.15081024169922,23465,han,AUX,35.635440826416016,25247
31,come,VERB,24.013547897338867,23465,dado,VERB,34.75940704345703,25247
32,to,PART,21.428510665893555,23465,en,ADP,34.81508255004883,25247
33,believe,VERB,22.822418212890625,23465,creer,AUX,36.560672760009766,25247
34,Today,NOUN,22.375455856323242,26367,que,SCONJ,34.49949645996094,25247
35,",",PUNCT,20.909656524658203,26367,.,PUNCT,33.36336135864258,25247
36,I,PRON,24.712602615356445,26367,algo,PRON,34.82396697998047,25247
37,am,AUX,24.113826751708984,26367,hay,AUX,34.77727508544922,25247
38,going,VERB,25.330276489257812,26367,en,ADP,33.32498550415039,25247
39,to,PART,23.086938858032227,26367,siniestro,ADJ,31.79166030883789,25247
40,provide,VERB,25.306577682495117,26367,genética,ADJ,35.19103240966797,25247
41,a,DET,21.233081817626953,26367,la,DET,34.10210418701172,25247
42,different,ADJ,22.24756622314453,26367,diferente,ADJ,32.84446334838867,30646
43,perspective,NOUN,20.675180435180664,26367,modificación,NOUN,32.78483581542969,25247
44,.,PUNCT,21.63155746459961,26367,",",PUNCT,29.534502029418945,30646
45,First,ADV,21.186307907104492,36003,Hoy,ADV,35.73435974121094,30646
46,",",PUNCT,20.16010856628418,36003,voy,AUX,34.46959686279297,30646
47,let,VERB,22.704898834228516,36003,a,ADP,35.10839080810547,30646
48,me,PRON,25.41737174987793,36003,les,PRON,30.292173385620117,30646
49,introduce,VERB,24.0516414642334,36003,dar,VERB,35.25008773803711,30646
50,my,DET,23.364667892456055,36003,una,DET,34.08706283569336,30646
51,husband,NOUN,21.601152420043945,36003,perspectiva,NOUN,32.730873107910156,30646
52,",",PUNCT,20.760597229003906,36003,.,PUNCT,33.61281967163086,30646
53,Raoul,PROPN,21.927146911621094,36003,permítanme,PROPN,35.01333236694336,35423
54,.,PUNCT,19.189016342163086,36003,",",PUNCT,29.0166072845459,35423
55,He,PRON,22.92858123779297,38569,Primero,ADV,32.8128547668457,35423
