,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,In,ADP,19.421525955200195,12495,En,ADP,32.550575256347656,12495
1,two,NUM,24.81903648376465,12495,dos,NUM,35.06976318359375,12495
2,weeks,NOUN,20.42201805114746,12495,semanas,NOUN,34.12836456298828,12495
3,time,NOUN,17.482662200927734,12495,aniversario,NOUN,34.219051361083984,12495
4,",",PUNCT,20.601160049438477,12495,.,PUNCT,30.88680648803711,15270
5,that,DET,18.33116912841797,12495,el,DET,34.22415542602539,12495
6,'s,AUX,22.279203414916992,12495,será,AUX,34.42451095581055,12495
7,the,DET,22.488399505615234,12495,del,ADP,33.679962158203125,15270
8,ninth,ADJ,19.4063663482666,12495,noveno,ADJ,35.30877685546875,12495
9,anniversary,NOUN,19.6923828125,12495,día,NOUN,31.036041259765625,15270
10,of,ADP,19.66201400756836,15270,en,ADP,31.530977249145508,15270
11,the,DET,24.36223030090332,15270,aquel,DET,35.54056167602539,15270
12,day,NOUN,18.267948150634766,15270,escenario,NOUN,29.956680297851562,15270
13,I,PRON,22.538162231445312,15270,que,PRON,32.806217193603516,15270
14,first,ADV,21.606264114379883,15270,O,CONJ,34.53588104248047,19370
15,stepped,VERB,24.507537841796875,15270,salí,VERB,33.951908111572266,15270
16,out,ADP,21.639848709106445,15270,de,ADP,29.746076583862305,15270
17,onto,ADP,21.863733291625977,15270,a,ADP,34.500511169433594,15270
18,that,DET,20.703536987304688,15270,mucho,DET,34.710445404052734,19370
19,hallowed,ADJ,19.02401351928711,15270,sea,NOUN,32.34612274169922,19370
20,"""",PUNCT,21.903457641601562,15270,",",PUNCT,29.357952117919922,19370
21,Jeopardy,PROPN,18.57030487060547,15270,Jeopardy,PROPN,35.446128845214844,15270
22,"""",PUNCT,21.617576599121094,15270,es,AUX,33.71549606323242,19370
23,set,NOUN,19.65875816345215,15270,años,NOUN,34.98619842529297,19370
24,.,PUNCT,21.966835021972656,15270,.,PUNCT,31.369770050048828,19370
25,I,PRON,25.714658737182617,19370,tiempo,NOUN,33.97761535644531,19370
26,mean,VERB,22.09256362915039,19370,dada,VERB,33.399227142333984,21220
27,",",PUNCT,20.43364715576172,19370,Y,CONJ,34.10105514526367,21220
28,nine,NUM,22.85711669921875,19370,nueve,NUM,35.22967529296875,19370
29,years,NOUN,20.78281593322754,19370,demografía,NOUN,32.100257873535156,21220
30,is,AUX,21.392332077026367,19370,Jeopardy,PROPN,35.57783889770508,21220
31,a,DET,23.882116317749023,19370,la,DET,30.601552963256836,21220
32,long,ADJ,20.878847122192383,19370,de,ADP,31.83656120300293,21220
33,time,NOUN,20.972930908203125,19370,promedio,NOUN,29.519634246826172,21220
34,.,PUNCT,21.64455795288086,19370,",",PUNCT,29.438064575195312,21220
35,And,CCONJ,21.07744026184082,21220,que,SCONJ,30.225000381469727,23138
36,given,VERB,21.614267349243164,21220,creo,VERB,35.98590850830078,23138
37,"""",PUNCT,21.711088180541992,21220,eso,PRON,33.4598274230957,23138
38,Jeopardy,PROPN,19.688922882080078,21220,significa,VERB,33.01309585571289,23138
39,'s,PART,19.265167236328125,21220,que,SCONJ,31.962404251098633,24430
40,"""",PUNCT,22.18809700012207,21220,la,DET,35.01369857788086,24430
41,average,ADJ,18.663818359375,21220,mayoría,NOUN,31.677576065063477,24430
42,demographics,NOUN,19.774436950683594,21220,gente,NOUN,33.04094696044922,24430
43,",",PUNCT,21.35686683654785,21220,de,ADP,29.449687957763672,24430
44,I,PRON,25.41876220703125,23138,que,PRON,33.31113052368164,24430
45,think,VERB,23.158205032348633,23138,vio,VERB,35.77762222290039,24430
46,what,PRON,19.32332992553711,23138,me,PRON,33.54814910888672,24430
47,that,DET,20.833581924438477,23138,la,DET,33.128700256347656,24430
48,means,VERB,21.997560501098633,23138,muerto,VERB,34.44870376586914,24430
49,is,AUX,20.32681655883789,24430,ha,AUX,35.55048370361328,24430
50,most,ADJ,22.114208221435547,24430,.,PUNCT,33.57237243652344,24430
51,of,ADP,23.892715454101562,24430,en,ADP,35.99516677856445,24430
52,the,DET,23.222728729248047,24430,ese,DET,36.81206512451172,24430
53,people,NOUN,21.2652645111084,24430,programa,NOUN,33.69502639770508,24430
54,who,PRON,23.344890594482422,24430,(,PUNCT,28.748825073242188,27621
55,saw,VERB,26.82779312133789,24430,Risas,PROPN,34.865478515625,27621
56,me,PRON,25.146413803100586,24430,todos,PRON,31.408716201782227,29804
57,on,ADP,19.139535903930664,24430,con,ADP,33.86559295654297,29804
58,that,DET,21.589635848999023,24430,Pero,CONJ,32.90583801269531,29804
59,show,NOUN,19.530227661132812,24430,vida,NOUN,32.695125579833984,29804
60,are,AUX,23.631004333496094,24430,algunos,PRON,36.810279846191406,29804
61,now,ADV,22.91449737548828,24430,no,ADV,33.28483200073242,29804
62,dead,ADJ,22.81961441040039,24430,siguen,VERB,35.29399490356445,29804
63,.,PUNCT,21.322336196899414,24430,",",PUNCT,30.412965774536133,29804
64,(,PUNCT,19.138301849365234,27621,),PUNCT,32.331058502197266,27621
65,Laughter,PROPN,20.165264129638672,27621,Ocasionalmente,ADV,33.273555755615234,31243
66,),PUNCT,20.96363067626953,27621,.,PUNCT,33.652427673339844,29804
67,But,CCONJ,22.48198890686035,29804,me,PRON,32.628028869628906,31243
68,not,PART,21.579761505126953,29804,reconoce,VERB,38.10615921020508,31243
69,all,DET,19.74468231201172,29804,alguien,PRON,34.76336669921875,31243
70,",",PUNCT,20.815677642822266,29804,en,ADP,29.7034969329834,31243
71,a,DET,20.580394744873047,29804,el,DET,34.1634635925293,31243
72,few,ADJ,19.930688858032227,29804,centro,NOUN,32.42628860473633,31243
73,are,AUX,25.280193328857422,29804,sea,AUX,32.46963119506836,31243
74,still,ADV,25.08106803894043,29804,o,CONJ,34.79011154174805,31243
75,alive,ADJ,23.033443450927734,29804,comercial,ADJ,33.98286437988281,31243
76,.,PUNCT,21.164888381958008,29804,.,PUNCT,32.13734436035156,31243
