,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,ADV,20.177642822265625,12919,Bueno,INTJ,32.9037971496582,12919
1,",",PUNCT,19.764049530029297,12919,",",PUNCT,30.923019409179688,12919
2,I,PRON,24.80396842956543,12919,subvalorada,NOUN,31.498207092285156,12919
3,have,AUX,22.016788482666016,12919,",",PUNCT,30.074220657348633,12919
4,an,DET,20.811546325683594,12919,una,DET,33.80347442626953,12919
5,overlooked,VERB,19.869998931884766,12919,tengo,VERB,34.49630355834961,12919
6,but,CCONJ,23.429916381835938,12919,pero,CONJ,32.97322082519531,12919
7,potentially,ADV,23.312545776367188,12919,potencialmente,ADV,34.48733901977539,12919
8,lucrative,ADJ,19.916292190551758,12919,lucrativa,ADJ,30.828371047973633,12919
9,investment,NOUN,20.12247085571289,17285,oportunidad,NOUN,30.695314407348633,17285
10,opportunity,NOUN,18.297836303710938,17285,inversión,NOUN,28.48609161376953,17285
11,for,ADP,21.133914947509766,17285,de,ADP,31.27916145324707,17285
12,you,PRON,22.567729949951172,17285,para,ADP,33.937076568603516,17285
13,.,PUNCT,21.283414840698242,17285,Uds.,PROPN,36.330745697021484,17285
14,Over,ADP,19.60536003112793,20447,En,ADP,33.06722640991211,20447
15,the,DET,21.304851531982422,20447,los,DET,34.33913803100586,20447
16,past,ADJ,17.901472091674805,20447,últimos,ADJ,34.138343811035156,20447
17,10,NUM,23.355453491210938,20447,10,NUM,35.05143356323242,20447
18,years,NOUN,24.153156280517578,20447,años,NOUN,35.236515045166016,20447
19,0,0,0.0,0,",",PUNCT,32.07444763183594,20447
20,in,ADP,20.13640594482422,20447,en,ADP,32.649436950683594,20447
21,the,DET,21.469337463378906,20447,el,DET,34.08305358886719,20447
22,UK,PROPN,20.83811378479004,20447,Reino,PROPN,36.92182922363281,20447
23,0,0,0.0,0,Unido,PROPN,36.345252990722656,20447
24,",",PUNCT,20.684261322021484,20447,",",PUNCT,29.335283279418945,20447
25,the,DET,20.039897918701172,22885,la,DET,35.20323944091797,22645
26,return,NOUN,20.743980407714844,22885,rentabilidad,NOUN,31.435062408447266,22645
27,on,ADP,21.147218704223633,22885,de,ADP,31.816843032836914,22645
28,burial,NOUN,19.17388343811035,22885,terrenos,NOUN,34.8900260925293,22645
29,plots,NOUN,20.49666976928711,22885,de,ADP,30.277427673339844,22645
30,has,AUX,23.84311294555664,22885,ha,AUX,34.413658142089844,22645
31,outperformed,VERB,23.584529876708984,22885,superado,VERB,33.764923095703125,22645
32,the,DET,21.92494010925293,22885,los,DET,34.777854919433594,22645
33,UK,PROPN,21.921537399291992,22885,0,0,0.0,0
34,property,NOUN,20.810392379760742,22885,cementerio,NOUN,33.074951171875,22645
35,market,NOUN,18.940380096435547,22885,0,0,0.0,0
36,by,ADP,22.142080307006836,26344,al,ADP,36.53418731689453,25380
37,ratio,NOUN,19.578006744384766,26344,mercado,NOUN,32.4260139465332,25380
38,0,0,0.0,0,inmobiliario,ADJ,35.29771041870117,25380
39,of,ADP,22.33255958557129,26344,del,ADP,32.252906799316406,25380
40,around,ADV,19.990249633789062,26344,Reino,PROPN,37.032066345214844,25380
41,three,NUM,23.177717208862305,26344,Unido,PROPN,35.345767974853516,25380
42,to,ADP,21.16679573059082,26344,en,ADP,31.828977584838867,25380
43,a,DET,22.90354347229004,26344,una,DET,35.048194885253906,25380
44,0,0,0.0,0,proporción,NOUN,31.117734909057617,25380
45,0,0,0.0,0,de,ADP,31.240236282348633,25380
46,one,NUM,20.364290237426758,26344,tres,NUM,35.041114807128906,25380
47,0,0,0.0,0,a,ADP,30.88481903076172,25380
48,0,0,0.0,0,uno,PRON,32.91727066040039,25380
49,.,PUNCT,22.058368682861328,26344,.,PUNCT,32.25472640991211,25380
50,There,PRON,21.866744995117188,29924,que,PRON,33.590328216552734,29660
51,are,AUX,24.604639053344727,29924,Hay,AUX,35.70458221435547,29660
52,private,ADJ,23.86587142944336,29924,privados,ADJ,35.782928466796875,29660
53,cemeteries,NOUN,22.853322982788086,29924,cementerios,ADJ,34.74705123901367,29660
54,being,AUX,23.904163360595703,29924,están,AUX,35.86098861694336,29660
55,set,VERB,21.02212905883789,29924,construyendo,VERB,35.354156494140625,29660
56,up,ADP,22.96160125732422,29924,se,PRON,31.355154037475586,29660
57,with,ADP,22.83060646057129,29924,0,0,0.0,0
58,plots,NOUN,22.977783203125,29924,0,0,0.0,0
59,for,ADP,23.7677059173584,29924,0,0,0.0,0
60,sale,NOUN,20.70429039001465,29924,0,0,0.0,0
61,to,ADP,20.433120727539062,29924,0,0,0.0,0
