,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Your,DET,20.892778396606445,12901,Su,DET,33.14729690551758,12000
1,company,NOUN,23.285512924194336,12901,empresa,NOUN,33.34797668457031,12000
2,launches,VERB,23.12914276123047,12901,realiza,VERB,35.638916015625,12000
3,a,DET,22.8253173828125,12901,una,DET,35.703956604003906,12000
4,search,NOUN,21.573501586914062,12901,búsqueda,NOUN,31.373504638671875,12000
5,for,ADP,21.03713607788086,12901,para,ADP,33.55964660644531,12000
6,an,DET,23.091157913208008,12901,un,DET,36.51210021972656,12000
7,open,ADJ,21.010459899902344,12901,vacante,ADJ,34.629844665527344,12000
8,position,NOUN,23.398962020874023,12901,puesto,NOUN,31.604297637939453,12000
9,.,PUNCT,21.274089813232422,12901,.,PUNCT,34.194068908691406,12000
10,The,DET,21.84505271911621,16848,Las,DET,31.125137329101562,16698
11,applications,NOUN,21.215442657470703,16848,solicitudes,NOUN,34.73373794555664,16698
12,start,VERB,20.862899780273438,16848,empiezan,AUX,35.06415939331055,16698
13,rolling,VERB,23.32884979248047,16848,llegar,VERB,36.7211799621582,16698
14,in,ADP,18.6029052734375,16848,a,ADP,34.410953521728516,16698
15,",",PUNCT,20.48968505859375,16848,0,0,0.0,0
16,and,CCONJ,19.117862701416016,19238,0,0,0.0,0
17,the,DET,23.082950592041016,19238,0,0,0.0,0
18,qualified,ADJ,22.4400577545166,19238,0,0,0.0,0
19,candidates,NOUN,24.245412826538086,19238,0,0,0.0,0
20,are,AUX,25.16432762145996,19238,0,0,0.0,0
21,identified,VERB,23.610231399536133,19238,0,0,0.0,0
22,.,PUNCT,22.1391658782959,19238,0,0,0.0,0
23,Now,ADV,22.585735321044922,22613,0,0,0.0,0
24,the,DET,21.349628448486328,22613,la,DET,34.02552795410156,22553
25,choosing,NOUN,19.3264217376709,22613,selección,NOUN,31.3405704498291,22553
26,begins,VERB,24.277769088745117,22613,Empieza,VERB,32.1082763671875,22553
27,.,PUNCT,20.059080123901367,22613,.,PUNCT,33.759315490722656,22553
28,0,0,0.0,0,Primer,ADJ,31.988574981689453,25530
29,A,NOUN,19.86343002319336,25780,candidato,NOUN,34.349910736083984,25530
30,:,PUNCT,21.27873992919922,25780,:,PUNCT,31.78367805480957,25530
31,Person,NOUN,22.069656372070312,25780,universidad,NOUN,32.21246337890625,25530
32,Ivy,PROPN,19.451210021972656,25780,de,ADP,31.083494186401367,25530
33,League,PROPN,21.93863296508789,25780,élite,PROPN,28.027029037475586,25530
34,",",PUNCT,22.540918350219727,25780,",",PUNCT,31.203046798706055,25530
35,4.0,NUM,20.774486541748047,25780,notas,NOUN,36.00565719604492,25530
36,flawless,ADJ,18.67920684814453,25780,excelentes,ADJ,35.05477523803711,25530
37,",",PUNCT,21.2154541015625,25780,",",PUNCT,32.376914978027344,25530
38,resume,NOUN,20.507673263549805,25780,currículo,NOUN,31.443056106567383,25530
39,0,0,0.0,0,impecable,ADJ,33.51303482055664,25530
40,",",PUNCT,21.08570671081543,25780,",",PUNCT,30.622230529785156,25530
41,great,ADJ,19.34418487548828,31482,excelentes,ADJ,35.06167984008789,31482
42,recommendations,NOUN,19.75914192199707,31482,referencias,NOUN,35.74298858642578,31482
43,.,PUNCT,21.37319564819336,31482,.,PUNCT,33.11453628540039,31482
44,All,DET,20.305356979370117,33390,Todo,DET,34.60005569458008,33390
45,the,DET,21.1588077545166,33390,lo,DET,32.085262298583984,33390
46,right,ADJ,20.07697296142578,33390,ideal,ADJ,31.86319923400879,33390
47,stuff,NOUN,20.350921630859375,33390,0,0,0.0,0
48,.,PUNCT,22.087852478027344,33390,.,PUNCT,31.52490234375,33390
49,Person,NOUN,20.87244987487793,35784,candidato,NOUN,33.76046371459961,35784
50,B,PROPN,18.833106994628906,35784,Segundo,ADJ,30.994516372680664,35784
51,:,PUNCT,19.204051971435547,35784,:,PUNCT,33.42827606201172,35784
52,state,NOUN,19.97028160095215,35784,escuela,NOUN,31.370582580566406,35784
53,school,NOUN,19.525239944458008,35784,inestabilidad,NOUN,30.527359008789062,35784
54,",",PUNCT,21.587196350097656,35784,",",PUNCT,30.964269638061523,35784
55,fair,ADJ,18.6242733001709,35784,pública,ADJ,33.019683837890625,35784
56,amount,NOUN,19.75641441345215,35784,sus,DET,32.07606506347656,35784
57,of,ADP,23.42587661743164,35784,en,ADP,33.50297927856445,35784
58,job,NOUN,22.75935935974121,35784,puestos,NOUN,32.85706329345703,35784
