,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,This,DET,23.61068344116211,12992,Este,DET,31.626924514770508,12992
1,year,NOUN,21.17635726928711,12992,año,NOUN,32.0062370300293,12992
2,",",PUNCT,20.59050178527832,12992,aniversario,NOUN,30.902618408203125,14470
3,Germany,PROPN,24.239076614379883,12992,Alemania,PROPN,36.421112060546875,12992
4,is,AUX,23.979047775268555,12992,25º,NUM,34.360939025878906,14470
5,celebrating,VERB,23.44630241394043,12992,celebra,VERB,33.02535629272461,12992
6,the,DET,19.81273651123047,14470,el,DET,34.28685760498047,14470
7,25th,ADJ,19.290861129760742,14470,pacífica,ADJ,33.628028869628906,14470
8,anniversary,NOUN,18.961708068847656,14470,revolución,NOUN,30.965909957885742,14470
9,of,ADP,21.89866828918457,14470,de,ADP,31.512147903442383,14470
10,the,DET,21.816452026367188,14470,la,DET,32.01084899902344,14470
11,peaceful,PROPN,18.779869079589844,14470,Alemania,PROPN,36.8278923034668,17556
12,revolution,NOUN,21.409982681274414,14470,1989,NOUN,35.383480072021484,19092
13,in,ADP,19.523685455322266,17556,en,ADP,32.71250534057617,17556
14,East,PROPN,19.524978637695312,17556,Oriental,PROPN,35.77151107788086,17556
15,Germany,PROPN,22.84869956970215,17556,se,PRON,32.023826599121094,19092
16,.,PUNCT,20.254138946533203,17556,.,PUNCT,32.23849105834961,17556
17,In,ADP,20.45851707458496,19092,En,ADP,31.923513412475586,19092
18,1989,NUM,23.28534698486328,19092,terminó,VERB,36.767765045166016,19092
19,",",PUNCT,23.535186767578125,19092,",",PUNCT,30.55159568786621,19092
20,the,DET,20.636672973632812,19092,el,DET,37.66915512084961,19092
21,Communist,ADJ,21.987049102783203,19092,comunista,ADJ,33.824951171875,19092
22,regime,NOUN,20.261987686157227,19092,régimen,NOUN,33.7741584777832,19092
23,was,AUX,23.5136775970459,19092,el,DET,35.76262283325195,23858
24,moved,VERB,22.07945442199707,19092,cayó,VERB,34.8454475402832,23858
25,away,ADV,21.838884353637695,19092,muro,NOUN,29.636009216308594,23858
26,",",PUNCT,19.936279296875,19092,de,ADP,29.706724166870117,23858
27,the,DET,19.6809139251709,23858,un,DET,33.74734115600586,23858
28,Berlin,PROPN,23.365365982055664,23858,Berlín,PROPN,36.781654357910156,23858
29,Wall,PROPN,23.50674057006836,23858,República,PROPN,37.878509521484375,27320
30,came,VERB,23.972110748291016,23858,y,CONJ,30.663663864135742,23858
31,down,ADP,20.267322540283203,23858,de,ADP,29.773096084594727,27320
32,",",PUNCT,22.158071517944336,23858,más,ADV,36.4378547668457,23858
33,and,CCONJ,21.008827209472656,23858,la,DET,33.22784423828125,27320
34,one,NUM,21.8411865234375,23858,Democrática,PROPN,37.06209945678711,27320
35,year,NOUN,19.989484786987305,23858,año,NOUN,31.95502281188965,23858
36,later,ADV,19.998260498046875,23858,tarde,ADV,35.99005889892578,23858
37,",",PUNCT,20.123889923095703,23858,",",PUNCT,29.850055694580078,27320
38,the,DET,19.49358367919922,27320,el,DET,34.59782409667969,31485
39,German,PROPN,21.25490951538086,27320,RDA,PROPN,33.424949645996094,27320
40,Democratic,PROPN,20.985210418701172,27320,Alemania,PROPN,37.24567413330078,27320
41,Republic,PROPN,19.981475830078125,27320,en,ADP,32.11846160888672,31485
42,",",PUNCT,21.833654403686523,27320,",",PUNCT,30.815202713012695,27320
43,the,DET,19.821529388427734,27320,este,NOUN,30.135265350341797,31485
44,GDR,PROPN,19.961458206176758,27320,Federal,PROPN,35.90175247192383,33154
45,",",PUNCT,20.97553825378418,27320,se,PRON,32.347625732421875,31485
46,in,ADP,20.754955291748047,31485,a,ADP,33.92967224121094,33154
47,the,DET,23.105600357055664,31485,la,DET,31.950241088867188,33154
48,East,PROPN,20.459230422973633,31485,República,PROPN,37.181434631347656,33154
49,was,AUX,22.88522720336914,31485,de,ADP,29.704395294189453,33154
50,unified,VERB,19.396102905273438,31485,unificó,VERB,36.11125946044922,31485
51,with,ADP,22.0905818939209,33154,en,ADP,29.708097457885742,33154
52,the,DET,22.128969192504883,33154,el,DET,33.3270149230957,33154
53,Federal,PROPN,22.271413803100586,33154,Alemania,PROPN,37.000701904296875,33154
54,Republic,PROPN,21.2172908782959,33154,oeste,NOUN,30.968496322631836,33154
55,of,ADP,22.97948455810547,33154,para,ADP,36.38390350341797,35844
56,Germany,PROPN,22.802934646606445,33154,crear,VERB,37.00752639770508,35844
57,in,ADP,21.784879684448242,33154,de,ADP,29.99542236328125,35844
58,the,DET,22.635147094726562,33154,la,DET,31.114299774169922,35844
59,West,PROPN,20.706411361694336,33154,Alemania,PROPN,37.62296676635742,35844
60,to,PART,20.618255615234375,35844,hoy,ADV,32.604915618896484,35844
61,found,VERB,22.86207389831543,35844,heredó,VERB,32.44279479980469,39117
62,today,NOUN,21.582534790039062,35844,cosas,NOUN,34.12977981567383,39117
63,'s,PART,19.831279754638672,35844,.,PUNCT,32.86497497558594,35844
64,Germany,PROPN,22.251131057739258,35844,Alemania,PROPN,34.54099655151367,39117
65,.,PUNCT,19.53497314453125,35844,",",PUNCT,29.444332122802734,39117
66,Among,ADP,20.947980880737305,39117,entre,ADP,32.98769760131836,39117
67,many,ADJ,21.493623733520508,39117,otras,DET,36.12818145751953,39117
68,other,ADJ,22.83136749267578,39117,los,DET,34.65125274658203,42511
69,things,NOUN,23.34259033203125,39117,archivos,NOUN,34.11104202270508,42511
70,",",PUNCT,22.88768768310547,39117,",",PUNCT,30.831233978271484,39117
71,Germany,PROPN,24.702089309692383,39117,Alemania,PROPN,38.817222595214844,42511
72,inherited,VERB,21.396202087402344,39117,de,ADP,31.48700523376465,42511
73,the,DET,19.587459564208984,42511,la,DET,32.92524719238281,42511
74,archives,NOUN,20.072751998901367,42511,policía,NOUN,36.08625793457031,42511
75,of,ADP,22.020038604736328,42511,de,ADP,30.698793411254883,42511
76,the,DET,20.625141143798828,42511,la,DET,31.598941802978516,42511
77,East,ADJ,19.876800537109375,42511,secreta,ADJ,30.79295539855957,42511
78,German,ADJ,22.3328857421875,42511,Oriental,PROPN,36.7849235534668,42511
79,secret,ADJ,19.83879280090332,42511,conocida,ADJ,33.19046401977539,47104
80,police,NOUN,18.805463790893555,42511,apenas,ADV,33.46687316894531,50420
81,",",PUNCT,21.134002685546875,42511,",",PUNCT,30.059791564941406,42511
82,known,VERB,22.079500198364258,47104,En,ADP,33.41926956176758,50420
83,as,SCONJ,22.766489028930664,47104,como,SCONJ,34.26252746582031,47104
84,the,DET,20.800617218017578,47104,la,DET,31.439165115356445,47104
85,Stasi,PROPN,20.27229118347168,47104,Stasi,PROPN,36.927955627441406,47104
86,.,PUNCT,19.791362762451172,47104,.,PUNCT,32.29433822631836,47104
87,Only,ADV,21.42169761657715,50420,luego,ADV,35.447547912597656,50420
88,two,NUM,23.68668556213379,50420,2,NUM,31.881671905517578,50420
89,years,NOUN,23.617313385009766,50420,años,NOUN,34.076866149902344,50420
90,after,ADP,22.65891456604004,50420,de,ADP,31.51337432861328,50420
91,its,DET,23.441837310791016,50420,la,DET,32.9188232421875,50420
92,dissolution,NOUN,18.73703384399414,50420,disolución,NOUN,30.985307693481445,50420
93,",",PUNCT,20.571542739868164,50420,",",PUNCT,29.622426986694336,50420
94,its,DET,23.999174118041992,52960,sus,DET,31.884544372558594,52960
95,documents,NOUN,22.610729217529297,52960,documentos,NOUN,35.57652282714844,52960
96,were,AUX,23.472776412963867,52960,se,PRON,32.75619888305664,52960
97,opened,VERB,23.085203170776367,52960,hicieron,VERB,35.05769348144531,52960
98,to,ADP,21.249332427978516,52960,a,ADP,33.261898040771484,59677
99,the,DET,22.585500717163086,52960,estos,DET,36.19532775878906,59677
100,public,NOUN,18.937274932861328,52960,historiadores,NOUN,35.9437370300293,56602
101,",",PUNCT,20.042232513427734,52960,e,CONJ,32.255455017089844,56602
102,and,CCONJ,22.056936264038086,56602,comenzaron,VERB,32.33378982543945,56602
103,historians,NOUN,21.59585952758789,56602,documentos,NOUN,35.87934112548828,59677
104,such,ADJ,20.619003295898438,56602,públicos,ADJ,33.84920120239258,52960
105,as,SCONJ,24.531253814697266,56602,como,SCONJ,34.49688720703125,56602
106,me,PRON,25.08980941772461,56602,yo,PRON,31.55682373046875,56602
107,started,VERB,21.697294235229492,56602,estudiar,VERB,37.52472686767578,59677
108,to,PART,23.670265197753906,59677,para,ADP,36.09049987792969,61105
109,study,VERB,26.099613189697266,59677,conocer,VERB,33.37961959838867,61105
110,these,DET,23.588422775268555,59677,más,ADV,34.72334289550781,61105
111,documents,NOUN,19.259632110595703,59677,funcionamiento,NOUN,31.348920822143555,61105
112,to,PART,22.21139144897461,61105,del,ADP,36.01664733886719,61105
113,learn,VERB,24.209810256958008,61105,del,ADP,33.38318634033203,65797
114,more,ADJ,21.05315399169922,61105,vigilante,ADJ,32.63162612915039,65797
