,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,ADV,19.696550369262695,13112,0,0,0.0,0
1,",",PUNCT,18.243408203125,13112,0,0,0.0,0
2,my,DET,20.71295738220215,13112,Mi,DET,32.83449935913086,12932
3,journey,NOUN,19.51432228088379,13112,viaje,NOUN,30.06006622314453,12932
4,began,VERB,24.063262939453125,13112,comenzó,VERB,33.110450744628906,12932
5,in,ADP,22.03257179260254,13112,en,ADP,32.31197738647461,12932
6,the,DET,22.101123809814453,13112,el,DET,32.41387939453125,12932
7,Bronx,PROPN,20.637588500976562,13112,Bronx,PROPN,36.17594528198242,12932
8,",",PUNCT,21.889047622680664,13112,",",PUNCT,31.429447174072266,12932
9,New,PROPN,21.34038734436035,13112,York,PROPN,36.41937255859375,12932
10,York,PROPN,20.493667602539062,13112,Nueva,PROPN,36.054283142089844,12932
11,",",PUNCT,21.55875015258789,13112,",",PUNCT,30.18035125732422,12932
12,in,ADP,19.778657913208008,18098,en,ADP,34.71238327026367,17918
13,a,DET,21.402347564697266,18098,un,DET,36.9498291015625,17918
14,one,NUM,22.6926212310791,18098,de,ADP,30.823904037475586,17918
15,-,PUNCT,24.48504638671875,18098,un,DET,35.89405822753906,17918
16,bedroom,NOUN,22.433609008789062,18098,apartamento,NOUN,31.05325698852539,17918
17,apartment,NOUN,21.5334529876709,18098,dormitorio,NOUN,31.846923828125,17918
18,",",PUNCT,21.62649154663086,18098,",",PUNCT,29.271236419677734,17918
19,with,ADP,19.598583221435547,19890,con,ADP,33.16093826293945,19710
20,my,DET,20.33765983581543,19890,mis,DET,32.087013244628906,19710
21,two,NUM,22.79366111755371,19890,dos,NUM,34.3963623046875,19710
22,sisters,NOUN,21.045650482177734,19890,hermanas,NOUN,35.23697280883789,19710
23,and,CCONJ,24.227428436279297,19890,y,CONJ,33.18031692504883,19710
24,0,0,0.0,0,una,DET,32.75309371948242,19710
25,mother,NOUN,18.377182006835938,19890,madre,NOUN,32.96565246582031,19710
26,immigrant,ADJ,18.896024703979492,19890,inmigrante,ADJ,34.87828063964844,19710
27,.,PUNCT,21.8577880859375,19890,.,PUNCT,32.901641845703125,19710
28,I,PRON,25.189424514770508,23712,Me,PRON,30.632863998413086,23532
29,loved,VERB,25.413532257080078,23712,encantaba,VERB,35.99514389038086,23532
30,our,DET,24.363174438476562,23712,nuestro,DET,35.29955291748047,23532
31,neighborhood,NOUN,20.6441707611084,23712,barrio,NOUN,32.23594665527344,23532
32,.,PUNCT,20.745492935180664,23712,.,PUNCT,32.60966873168945,23532
33,It,PRON,23.916757583618164,27382,0,0,0.0,0
34,was,AUX,26.411176681518555,27382,Era,AUX,36.04319381713867,27202
35,lively,ADJ,22.791025161743164,27382,animado,ADJ,35.107425689697266,27202
36,.,PUNCT,21.334850311279297,27382,.,PUNCT,34.88477325439453,27202
37,There,PRON,21.206253051757812,28914,tronadura,NOUN,32.26948928833008,28734
38,was,AUX,23.046173095703125,28914,Había,AUX,32.609657287597656,28734
39,all,DET,20.67143440246582,28914,esa,DET,34.675323486328125,28734
40,this,DET,20.844924926757812,28914,toda,DET,36.80197525024414,28734
41,merengue,ADJ,19.72194480895996,28914,de,ADP,32.37928009033203,28734
42,blasting,VERB,22.146970748901367,28914,merengue,NOUN,29.773813247680664,28734
43,",",PUNCT,20.078109741210938,28914,",",PUNCT,30.975282669067383,28734
44,neighbors,NOUN,20.383867263793945,31383,vecinos,NOUN,33.576560974121094,31203
45,socializing,VERB,21.236042022705078,31383,que,PRON,33.499855041503906,31203
46,building,VERB,23.396535873413086,31383,socializaban,VERB,34.493045806884766,31203
47,on,ADP,21.578819274902344,31383,en,ADP,34.11792755126953,31203
48,0,0,0.0,0,las,DET,33.12936782836914,31203
49,stoops,NOUN,19.278278350830078,31383,escalinatas,NOUN,34.30522155761719,31203
50,0,0,0.0,0,del,ADP,33.488407135009766,31203
51,0,0,0.0,0,edificio,NOUN,31.535120010375977,31203
52,and,CCONJ,21.315467834472656,33796,y,CONJ,34.42698669433594,33616
53,conversations,NOUN,21.57044219970703,33796,conversaciones,NOUN,36.62138366699219,33616
54,animated,VERB,20.57790184020996,33796,animadas,ADJ,32.763309478759766,33616
55,0,0,0.0,0,alrededor,ADV,32.15131378173828,33616
56,over,ADP,21.399444580078125,33796,del,ADP,35.13761520385742,33616
57,playing,NOUN,21.513452529907227,33796,juego,NOUN,30.426435470581055,33616
58,0,0,0.0,0,de,ADP,32.2576789855957,33616
59,domino,NOUN,18.782562255859375,33796,dominó,NOUN,31.88359832763672,33616
60,.,PUNCT,21.075925827026367,33796,.,PUNCT,32.445098876953125,33616
61,It,PRON,24.02039337158203,38327,mi,DET,32.40725326538086,38147
62,was,AUX,26.009464263916016,38327,Era,AUX,34.97086715698242,38147
63,home,NOUN,20.87118911743164,38327,hogar,NOUN,31.88024139404297,38147
64,",",PUNCT,19.814355850219727,38327,",",PUNCT,29.064743041992188,38147
65,and,CCONJ,20.58357048034668,40852,y,CONJ,32.72567367553711,40672
66,it,PRON,24.87954330444336,40852,0,0,0.0,0
67,was,AUX,25.95136070251465,40852,era,AUX,34.3430061340332,40672
68,sweet,ADJ,20.96466064453125,40852,dulce,VERB,33.40642547607422,40672
69,.,PUNCT,21.655187606811523,40852,.,PUNCT,33.56916809082031,40672
70,But,CCONJ,22.012922286987305,43368,Pero,CONJ,33.63053512573242,43188
71,it,PRON,24.59267234802246,43368,no,ADV,33.95414733886719,43188
72,was,AUX,24.70284080505371,43368,fue,AUX,34.45294952392578,43188
73,n't,PART,24.045469284057617,43368,0,0,0.0,0
74,simple,ADJ,19.716392517089844,43368,sencillo,ADJ,35.701263427734375,43188
75,.,PUNCT,20.927392959594727,43368,.,PUNCT,33.3702507019043,43188
76,In,ADP,21.439926147460938,45645,De,ADP,33.42815399169922,45465
77,fact,NOUN,21.609678268432617,45645,hecho,NOUN,30.713905334472656,45465
78,",",PUNCT,21.880815505981445,45645,",",PUNCT,30.28275489807129,45465
79,everyone,PRON,21.335538864135742,45645,todos,PRON,31.23520851135254,45465
80,at,ADP,22.869779586791992,45645,en,ADP,33.476070404052734,45465
81,the,DET,22.275123596191406,45645,la,DET,32.19097137451172,45465
82,school,NOUN,19.349273681640625,45645,escuela,NOUN,31.42254066467285,45465
83,knew,VERB,24.150100708007812,45645,sabían,VERB,34.66938400268555,45465
84,0,0,0.0,0,que,SCONJ,35.36125183105469,45465
85,where,ADV,21.06325340270996,45645,al,ADP,35.0030632019043,45465
86,block,NOUN,19.155675888061523,45645,barrio,NOUN,32.937530517578125,45465
87,0,0,0.0,0,en,ADP,32.38654327392578,45465
88,0,0,0.0,0,el,DET,34.08486557006836,45465
89,we,PRON,24.3327579498291,45645,que,PRON,33.28976058959961,45465
90,lived,VERB,23.891334533691406,45645,vivíamos,VERB,33.632232666015625,45465
91,",",PUNCT,20.09520721435547,45645,",",PUNCT,29.436368942260742,45465
92,because,SCONJ,21.570005416870117,49283,la,DET,34.2036247253418,49103
93,it,PRON,24.37603187561035,49283,gente,NOUN,32.76140213012695,49103
94,was,AUX,24.363779067993164,49283,iba,AUX,32.972984313964844,49103
95,where,ADV,20.904125213623047,49283,a,ADP,32.02849578857422,49103
96,people,NOUN,21.667877197265625,49283,marihuana,NOUN,32.959754943847656,49103
97,came,VERB,22.377071380615234,49283,comprar,VERB,35.341529846191406,49103
98,to,PART,21.863449096679688,49283,y,CONJ,33.6136589050293,49103
99,buy,VERB,20.929018020629883,49283,otras,DET,35.44349670410156,49103
100,weed,NOUN,20.064464569091797,49283,drogas,NOUN,34.785438537597656,49103
101,and,CCONJ,25.01737403869629,49283,0,0,0.0,0
102,other,ADJ,21.003559112548828,49283,0,0,0.0,0
103,drugs,NOUN,22.969554901123047,49283,0,0,0.0,0
104,.,PUNCT,21.139083862304688,49283,.,PUNCT,33.369667053222656,49103
105,And,CCONJ,21.30321502685547,53950,Y,CONJ,32.31489562988281,53770
106,-,PUNCT,21.771648406982422,53950,el,DET,35.95615005493164,53770
107,drug,NOUN,20.511083602905273,53950,tráfico,NOUN,30.542415618896484,53770
108,with,ADP,18.759319305419922,53950,de,ADP,29.359037399291992,53770
109,dealing,NOUN,21.189300537109375,53950,drogas,NOUN,34.93400192260742,53770
110,comes,VERB,21.507307052612305,53950,viene,VERB,35.94023132324219,53770
111,0,0,0.0,0,acompañado,ADJ,33.44817352294922,53770
112,0,0,0.0,0,de,ADP,32.58157730102539,53770
113,conflict,NOUN,17.823335647583008,53950,conflictos,NOUN,32.327239990234375,53770
114,",",PUNCT,20.78044319152832,53950,",",PUNCT,30.476957321166992,53770
115,so,ADV,19.532333374023438,56544,así,ADV,36.88972473144531,56364
116,0,0,0.0,0,que,SCONJ,31.549104690551758,56364
117,often,ADV,22.8310489654541,56544,a,ADP,32.58335876464844,56364
118,went,VERB,23.161239624023438,56544,menudo,NOUN,31.731111526489258,56364
119,we,PRON,24.704666137695312,56544,nos,PRON,30.776464462280273,56364
120,to,PART,20.44926643371582,56544,íbamos,AUX,32.46227264404297,56364
121,to,ADP,19.40091323852539,56544,a,ADP,34.13003158569336,56364
122,sleep,VERB,20.950284957885742,56544,dormir,VERB,35.861392974853516,56364
123,of,ADP,23.893461227416992,56544,con,ADP,32.19015121459961,56364
124,the,DET,23.30354881286621,56544,el,DET,33.735294342041016,56364
125,gunshots,NOUN,20.247943878173828,56544,sonido,NOUN,29.6883602142334,56364
126,0,0,0.0,0,de,ADP,30.503313064575195,56364
127,sound,NOUN,19.530254364013672,56544,disparos,NOUN,35.119789123535156,56364
128,.,PUNCT,21.103464126586914,56544,.,PUNCT,33.20170593261719,56364
129,I,PRON,24.363971710205078,61839,parte,NOUN,31.65144920349121,61659
130,spent,VERB,23.706092834472656,61839,Pasé,VERB,33.13057327270508,61659
131,much,ADJ,22.291791915893555,61839,gran,ADJ,34.09138870239258,61659
132,of,ADP,24.0695858001709,61839,de,ADP,29.057870864868164,61659
133,my,DET,20.303726196289062,61839,mi,DET,34.22351837158203,61659
134,childhood,NOUN,21.827985763549805,61839,infancia,NOUN,28.561573028564453,61659
135,worried,VERB,21.205238342285156,61839,preocupada,ADJ,32.76896667480469,61659
136,",",PUNCT,19.438989639282227,61839,",",PUNCT,31.064067840576172,61659
137,worried,ADJ,21.040180206298828,65121,preocupada,ADJ,34.00717544555664,64941
138,about,ADP,22.687911987304688,65121,por,ADP,33.874549865722656,64941
139,our,DET,23.617170333862305,65121,nuestra,DET,35.63963317871094,64941
140,safety,NOUN,19.473278045654297,65121,seguridad,NOUN,33.259952545166016,64941
141,.,PUNCT,21.355937957763672,65121,.,PUNCT,33.98724365234375,64941
142,And,CCONJ,19.842313766479492,68803,Y,CONJ,34.2306022644043,68623
143,so,ADV,19.064109802246094,68803,también,ADV,34.93944549560547,68623
144,did,AUX,20.00359344482422,68803,0,0,0.0,0
145,our,DET,24.245662689208984,68803,nuestra,DET,33.92113494873047,68623
146,mother,NOUN,20.931171417236328,68803,madre,NOUN,31.817380905151367,68623
147,.,PUNCT,20.930599212646484,68803,.,PUNCT,33.522281646728516,68623
148,She,PRON,23.251773834228516,71277,Le,PRON,30.6677188873291,71097
149,worried,VERB,24.620508193969727,71277,preocupaba,VERB,37.20542526245117,71097
150,that,SCONJ,20.549076080322266,71277,que,SCONJ,33.01905822753906,71097
151,the,DET,21.76235008239746,71277,la,DET,34.429840087890625,71097
152,violence,NOUN,20.475521087646484,71277,violencia,NOUN,32.306941986083984,71097
153,we,PRON,25.085826873779297,71277,que,PRON,33.191471099853516,71097
154,witnessed,VERB,23.35601234436035,71277,de,ADP,30.631790161132812,71097
155,would,VERB,24.669904708862305,71277,0,0,0.0,0
156,overtake,VERB,26.12407875061035,71277,éramos,AUX,30.988065719604492,71097
157,our,DET,24.8421688079834,71277,la,DET,34.31819152832031,71097
158,lives,NOUN,21.511821746826172,71277,testigos,NOUN,35.30606460571289,71097
159,;,PUNCT,18.75770378112793,71277,0,0,0.0,0
160,that,SCONJ,19.479318618774414,76338,que,SCONJ,32.33130645751953,76157
161,our,DET,23.19877052307129,76338,nuestra,DET,33.68837356567383,76157
162,poverty,NOUN,19.800405502319336,76338,pobreza,NOUN,33.95713424682617,76157
163,meant,VERB,20.881851196289062,76338,significaba,VERB,33.232845306396484,76157
164,that,SCONJ,18.441993713378906,78087,que,SCONJ,31.573137283325195,77907
165,the,DET,21.44777488708496,78087,los,DET,36.13426208496094,77907
166,neighbors,NOUN,20.702686309814453,78087,vecinos,NOUN,34.803199768066406,77907
167,with,ADP,21.92531394958496,78087,con,ADP,33.36382293701172,77907
168,whom,PRON,22.301223754882812,78087,los,DET,36.36845397949219,77907
169,we,PRON,24.711742401123047,78087,que,PRON,33.0771484375,77907
170,lived,VERB,25.43290901184082,78087,vivíamos,VERB,32.39316177368164,77907
171,and,CCONJ,22.626903533935547,78087,y,CONJ,33.17030334472656,77907
172,shared,VERB,21.275285720825195,78087,compartíamos,VERB,32.5180549621582,77907
173,space,NOUN,19.464487075805664,78087,espacio,NOUN,31.706098556518555,77907
174,would,VERB,22.069042205810547,80786,pudieran,AUX,33.64301300048828,80606
175,harm,VERB,25.553112030029297,80786,hacernos,NOUN,35.8087043762207,80606
176,us,PRON,24.34210777282715,80786,daño,NOUN,33.07698059082031,80606
177,.,PUNCT,20.924997329711914,80786,.,PUNCT,32.37202453613281,80606
178,Our,DET,23.063386917114258,82851,Toda,DET,35.77217483520508,82671
179,entire,ADJ,20.986766815185547,82851,nuestra,DET,33.09787368774414,82671
180,life,NOUN,21.16687774658203,82851,vida,NOUN,32.02586364746094,82671
181,was,AUX,22.80034065246582,82851,estaba,AUX,35.39213562011719,82671
182,in,ADP,22.0659122467041,82851,en,ADP,32.126487731933594,82671
183,the,DET,21.913557052612305,82851,el,DET,32.916114807128906,82671
184,Bronx,PROPN,20.64679527282715,82851,Bronx,PROPN,36.04217529296875,82671
185,",",PUNCT,20.57769012451172,82851,",",PUNCT,30.855018615722656,82671
186,but,CCONJ,20.73809242248535,86566,pero,CONJ,33.05439758300781,86386
187,my,DET,21.69226837158203,86566,el,DET,33.63575744628906,86386
188,mother,NOUN,18.875986099243164,86566,miedo,NOUN,30.58932113647461,86386
189,'s,PART,22.94788932800293,86566,de,ADP,31.77653694152832,86386
190,anxiety,NOUN,19.93746566772461,86566,mi,DET,33.784175872802734,86386
191,spurred,VERB,21.39032745361328,86566,movió,VERB,36.524112701416016,86386
192,her,PRON,20.769350051879883,86566,le,PRON,32.36093521118164,86386
193,into,ADP,20.896100997924805,86566,a,ADP,32.32612228393555,86386
194,action,NOUN,20.499568939208984,86566,madre,NOUN,31.261474609375,86386
195,",",PUNCT,21.134050369262695,86566,actuar,VERB,35.303321838378906,86386
196,and,CCONJ,20.40186882019043,89586,y,CONJ,33.81757736206055,89406
197,soon,ADV,20.911014556884766,89586,pronto,ADV,32.05586624145508,89406
198,we,PRON,23.314180374145508,89586,nos,PRON,32.02005386352539,89406
199,were,AUX,26.18402671813965,89586,0,0,0.0,0
200,driving,VERB,23.9807071685791,89586,llevó,VERB,37.598907470703125,89406
201,so,ADV,23.022668838500977,89586,0,0,0.0,0
202,fast,ADV,22.834434509277344,89586,0,0,0.0,0
203,to,ADP,19.62067985534668,89586,a,ADP,32.42859649658203,89406
204,Connecticut,PROPN,18.752241134643555,89586,Connecticut,PROPN,38.31036376953125,89406
205,--,PUNCT,20.097064971923828,89586,",",PUNCT,30.62602996826172,89406
206,(,PUNCT,19.138301849365234,94380,(,PUNCT,28.748825073242188,94200
207,Laughter,PROPN,20.165264129638672,94380,Risas,PROPN,34.865478515625,94200
208,),PUNCT,20.96363067626953,94380,),PUNCT,32.331058502197266,94200
