,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.82282829284668,16093,neurocientífica,ADJ,31.63810920715332,16093
1,'m,AUX,23.0322208404541,16093,Soy,AUX,32.342769622802734,16093
2,a,DET,20.911205291748047,16093,la,DET,32.336063385009766,16093
3,neuroscientist,NOUN,19.179588317871094,16093,estudio,NOUN,33.18722152709961,16093
4,",",PUNCT,20.735746383666992,16093,y,CONJ,35.085670471191406,16093
5,and,CCONJ,18.806472778320312,16093,0,0,0.0,0
6,I,PRON,24.28191375732422,16093,de,ADP,32.3148307800293,16093
7,study,VERB,20.58542251586914,16093,0,0,0.0,0
8,decision,NOUN,19.49399757385254,16093,decisiones,NOUN,34.370479583740234,16093
9,-,PUNCT,22.035696029663086,16093,.,PUNCT,33.24480056762695,16093
10,making,NOUN,19.405792236328125,16093,toma,NOUN,32.01462173461914,16093
11,.,PUNCT,22.968021392822266,16093,0,0,0.0,0
12,I,PRON,24.877199172973633,19970,cómo,PRON,35.34907913208008,19970
13,do,AUX,23.50527000427246,19970,analizar,AUX,37.442813873291016,19970
14,experiments,NOUN,22.099098205566406,19970,experimentos,NOUN,33.98876953125,19970
15,to,PART,22.899076461791992,19970,para,ADP,35.882137298583984,19970
16,test,VERB,23.988908767700195,19970,Realizo,VERB,29.90264892578125,19970
17,how,ADV,25.813180923461914,19970,los,DET,35.859352111816406,19970
18,different,ADJ,22.635147094726562,19970,0,0,0.0,0
19,chemicals,NOUN,21.97868537902832,19970,químicos,NOUN,33.2691764831543,19970
20,in,ADP,20.45437240600586,22277,en,ADP,32.14519500732422,22277
21,the,DET,23.17535972595215,22277,el,DET,33.70182800292969,22277
22,brain,NOUN,17.82142448425293,22277,cerebro,NOUN,31.087373733520508,22277
23,influence,VERB,21.104766845703125,22277,influyen,VERB,33.898887634277344,22277
24,0,0,0.0,0,sobre,ADP,31.93788719177246,22277
25,the,DET,21.078203201293945,22277,las,DET,33.50446701049805,22277
26,choices,NOUN,20.750164031982422,22277,decisiones,NOUN,36.23553466796875,22277
27,we,PRON,25.472354888916016,22277,que,PRON,34.11106872558594,22277
28,make,VERB,22.956932067871094,22277,tomamos,VERB,32.90240478515625,22277
29,.,PUNCT,21.718219757080078,22277,.,PUNCT,31.672441482543945,22277
30,I,PRON,24.57642936706543,25877,0,0,0.0,0
31,'m,AUX,22.117019653320312,25877,para,ADP,33.385868072509766,25877
32,here,ADV,19.12957763671875,25877,aquí,ADV,35.85663986206055,25877
33,to,PART,23.353487014770508,25877,contarles,ADJ,32.93849182128906,25877
34,tell,VERB,24.718412399291992,25877,Estoy,VERB,31.64935302734375,25877
35,you,PRON,22.31688117980957,25877,el,DET,33.332244873046875,25877
36,the,DET,20.911773681640625,25877,una,DET,35.376502990722656,25877
37,secret,NOUN,18.112945556640625,25877,secreto,NOUN,30.397493362426758,25877
38,to,ADP,19.87688446044922,25877,para,ADP,32.131561279296875,25877
39,successful,ADJ,19.820552825927734,25877,exitosa,ADJ,33.802825927734375,25877
