,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Why,ADV,22.575843811035156,18330,¿,PUNCT,30.641828536987305,18330
1,do,AUX,24.40653419494629,18330,Por,ADP,33.07729721069336,18330
2,so,ADV,22.011140823364258,18330,qué,PRON,33.22349548339844,18330
3,many,ADJ,21.641569137573242,18330,tantas,DET,35.29908752441406,18330
4,people,NOUN,22.426591873168945,18330,personas,NOUN,38.011905670166016,18330
5,reach,VERB,21.796072006225586,18330,alcanzan,VERB,35.72176742553711,18330
6,and,CCONJ,21.16948127746582,18330,el,DET,35.95399475097656,18330
7,success,NOUN,18.51683235168457,18330,éxito,NOUN,31.80575180053711,18330
8,?,PUNCT,19.914976119995117,18330,",",PUNCT,30.01462173461914,18330
9,0,0,0.0,0,y,CONJ,32.559268951416016,18330
10,then,ADV,22.044227600097656,18330,luego,ADV,34.01704788208008,18330
11,fail,VERB,21.662490844726562,18330,fallan,VERB,34.19931411743164,18330
12,0,0,0.0,0,?,PUNCT,30.931676864624023,18330
13,One,NUM,22.41449737548828,23330,Una,DET,32.39883041381836,23330
14,big,ADJ,20.172168731689453,23330,gran,ADJ,35.688541412353516,23330
15,reasons,NOUN,20.387208938598633,23330,razón,NOUN,33.15775680541992,23330
16,is,AUX,20.581626892089844,23330,es,AUX,33.67369079589844,23330
17,",",PUNCT,20.63498878479004,23330,",",PUNCT,30.666276931762695,23330
18,of,ADP,24.271814346313477,23330,porque,SCONJ,36.2647705078125,23330
19,think,VERB,21.450531005859375,23330,creemos,VERB,33.26964569091797,23330
20,we,PRON,23.689109802246094,23330,que,SCONJ,30.504886627197266,23330
21,the,DET,21.775957107543945,23330,el,DET,35.60974884033203,23330
22,success,NOUN,19.676410675048828,23330,éxito,NOUN,33.41773986816406,23330
23,is,AUX,23.08241081237793,23330,es,AUX,33.726505279541016,23330
24,a,DET,22.826894760131836,23330,una,DET,33.7215461730957,23330
25,way,NOUN,22.419118881225586,23330,calle,NOUN,30.97700309753418,23330
26,one,NUM,22.194093704223633,23330,de,ADP,32.22988510131836,23330
27,-,PUNCT,24.313844680786133,23330,un,DET,32.90964126586914,23330
28,0,0,0.0,0,solo,ADJ,36.05945587158203,23330
29,street,NOUN,17.67479705810547,23330,sentido,NOUN,35.074947357177734,23330
30,.,PUNCT,21.710594177246094,23330,.,PUNCT,33.47566223144531,23330
31,So,ADV,19.246566772460938,27330,Así,ADV,35.62445068359375,27330
32,we,PRON,25.385622024536133,27330,que,SCONJ,32.24286651611328,27330
33,do,AUX,23.55208396911621,27330,hacemos,VERB,35.541656494140625,27330
34,0,0,0.0,0,todo,DET,34.64605712890625,27330
35,that,DET,23.681047439575195,27330,lo,DET,32.710182189941406,27330
36,everything,PRON,22.583065032958984,27330,que,PRON,31.53143882751465,27330
37,up,ADP,23.15260124206543,27330,nos,PRON,34.421714782714844,27330
38,leads,VERB,24.673372268676758,27330,lleva,VERB,36.02821731567383,27330
39,to,ADP,20.291643142700195,27330,al,ADP,36.28556442260742,27330
40,success,NOUN,19.39346694946289,27330,éxito,NOUN,31.2039737701416,27330
41,",",PUNCT,21.516700744628906,27330,.,PUNCT,32.34526062011719,27330
42,but,CCONJ,21.470766067504883,29330,Pero,CONJ,31.8569393157959,29330
43,then,ADV,21.095901489257812,29330,cuando,SCONJ,35.20187759399414,29330
44,we,PRON,26.581392288208008,29330,lo,PRON,32.669952392578125,29330
45,get,VERB,24.16814422607422,29330,alcanzamos,VERB,34.23081970214844,29330
46,there,ADV,19.546974182128906,29330,0,0,0.0,0
47,.,PUNCT,22.45586395263672,29330,",",PUNCT,31.797130584716797,29330
48,We,PRON,23.604713439941406,29330,que,SCONJ,32.10565185546875,29330
49,figure,VERB,20.40753936767578,29330,creemos,VERB,35.00474166870117,29330
50,we,PRON,23.973785400390625,29330,lo,PRON,33.04035949707031,29330
51,'ve,AUX,22.232059478759766,29330,hemos,AUX,33.6656608581543,29330
52,made,VERB,25.079174041748047,29330,logrado,VERB,33.12398147583008,29330
53,it,PRON,22.74790382385254,29330,0,0,0.0,0
54,",",PUNCT,21.084821701049805,29330,",",PUNCT,29.224937438964844,29330
55,we,PRON,25.71697425842285,31330,nos,PRON,31.536470413208008,31330
56,sit,VERB,23.938400268554688,31330,recostamos,VERB,36.8676872253418,31330
57,back,ADV,22.13796043395996,31330,en,ADP,35.93013000488281,31330
58,in,ADP,20.58028793334961,31330,de,ADP,32.06636047363281,31330
59,our,DET,23.715211868286133,31330,nuestra,DET,35.23166275024414,31330
60,comfort,NOUN,18.804208755493164,31330,zona,NOUN,32.408546447753906,31330
61,zone,NOUN,19.336610794067383,31330,comodidad,NOUN,31.005573272705078,31330
62,",",PUNCT,19.777544021606445,31330,",",PUNCT,30.81736946105957,31330
63,and,CCONJ,20.631410598754883,33330,y,CONJ,33.479103088378906,33330
64,we,PRON,25.12464714050293,33330,todo,DET,34.434085845947266,33330
65,actually,ADV,27.76152992248535,33330,de,ADP,32.352481842041016,33330
66,stop,VERB,24.050193786621094,33330,hacer,VERB,35.68744659423828,33330
67,doing,VERB,27.248287200927734,33330,dejamos,VERB,31.526033401489258,33330
68,everything,PRON,21.299083709716797,33330,que,PRON,31.61012840270996,33330
69,that,DET,23.594270706176758,33330,lo,DET,33.66221237182617,33330
70,made,VERB,25.94902992248535,33330,hizo,VERB,33.66356658935547,33330
71,us,PRON,23.685596466064453,33330,nos,PRON,32.528907775878906,33330
72,successful,ADJ,23.21556854248047,33330,exitosos,NOUN,33.45878601074219,33330
73,.,PUNCT,22.63408851623535,33330,.,PUNCT,33.54453659057617,33330
74,And,CCONJ,20.409387588500977,36330,Y,CONJ,33.14210891723633,36330
75,it,PRON,25.08797836303711,36330,0,0,0.0,0
76,does,AUX,26.323455810546875,36330,tarda,AUX,30.133541107177734,36330
77,n't,PART,25.035507202148438,36330,en,ADP,35.17438507080078,36330
78,take,VERB,24.11893081665039,36330,decaer,VERB,35.144554138183594,36330
79,long,ADV,23.01473617553711,36330,no,ADV,36.62856674194336,36330
80,to,PART,22.809890747070312,36330,0,0,0.0,0
81,go,VERB,24.324384689331055,36330,0,0,0.0,0
82,downhill,ADV,21.21626091003418,36330,0,0,0.0,0
83,.,PUNCT,22.05283546447754,36330,.,PUNCT,34.25449752807617,36330
84,And,CCONJ,19.534536361694336,38330,Y,CONJ,33.74763107299805,38330
85,I,PRON,25.180437088012695,38330,yo,PRON,33.768001556396484,38330
86,can,VERB,24.63216781616211,38330,puedo,AUX,34.94554138183594,38330
87,tell,VERB,25.031518936157227,38330,decirles,NOUN,34.68541717529297,38330
88,you,PRON,23.218395233154297,38330,que,PRON,31.081470489501953,38330
89,this,DET,18.904563903808594,38330,esto,PRON,34.90914535522461,38330
90,happens,VERB,21.74994468688965,38330,sucede,VERB,36.35905456542969,38330
91,",",PUNCT,20.97421646118164,38330,.,PUNCT,31.642555236816406,38330
92,because,SCONJ,21.645429611206055,40330,Porque,SCONJ,32.0614128112793,40330
93,it,PRON,25.303014755249023,40330,me,PRON,34.0716552734375,40330
94,happened,VERB,24.041032791137695,40330,sucedió,VERB,36.43479919433594,40330
95,to,ADP,21.638124465942383,40330,a,ADP,34.577091217041016,40330
96,me,PRON,26.506864547729492,40330,mi,DET,32.78240203857422,40330
97,.,PUNCT,19.87110137939453,40330,.,PUNCT,32.372528076171875,40330
98,Reaching,VERB,21.743059158325195,43330,Mientras,SCONJ,34.57314682006836,43330
