,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,First,ADV,21.76323890686035,3000,Primero,ADV,31.62211799621582,3000
1,of,ADP,23.9802188873291,3000,que,SCONJ,31.231159210205078,3000
2,all,DET,20.683862686157227,3000,0,0,0.0,0
3,",",PUNCT,21.38273811340332,3000,",",PUNCT,31.022462844848633,3000
4,I,PRON,23.461214065551758,3000,todo,PRON,32.150848388671875,3000
5,'ve,AUX,22.396997451782227,3000,estado,AUX,36.289337158203125,3000
6,been,AUX,26.269624710083008,3000,he,AUX,34.91783905029297,3000
7,watching,VERB,25.450927734375,3000,observando,VERB,33.84024429321289,3000
8,this,DET,22.78066062927246,3000,esta,DET,37.017520904541016,3000
9,trend,NOUN,21.269786834716797,3000,tendencia,NOUN,32.98466873168945,3000
10,simplicity,NOUN,21.04606056213379,25000,Acerca,ADV,30.992799758911133,25000
11,On,ADP,21.9503173828125,25000,de,ADP,31.21721649169922,25000
12,a,DET,21.721769332885742,25000,la,DET,29.64540672302246,25000
13,What,DET,19.173904418945312,25000,Simplicidad,PROPN,37.829933166503906,25000
14,.,PUNCT,19.365400314331055,25000,.,PUNCT,31.48390769958496,25000
15,0,0,0.0,0,Que,SCONJ,32.040897369384766,25000
16,great,ADJ,20.641263961791992,25000,gran,ADJ,32.839561462402344,25000
17,way,NOUN,22.191499710083008,25000,manera,NOUN,34.49518585205078,25000
18,to,PART,22.2372989654541,25000,de,ADP,30.88220977783203,25000
19,start,VERB,24.161243438720703,25000,comenzar,VERB,34.826358795166016,25000
20,.,PUNCT,21.64771270751953,25000,.,PUNCT,33.38726806640625,25000
21,where,ADV,21.54846954345703,32000,en,ADP,34.57467269897461,32000
22,we,PRON,24.43758773803711,32000,cual,PRON,32.55498123168945,32000
23,have,AUX,23.519968032836914,32000,tenemos,VERB,35.82729721069336,32000
24,these,DET,21.803762435913086,32000,la,DET,33.426307678222656,32000
25,books,NOUN,22.317712783813477,32000,libros,NOUN,33.62094497680664,32000
26,like,SCONJ,20.416532516479492,32000,como,SCONJ,35.5562744140625,32000
27,such,ADJ,19.712520599365234,32000,Tal,NOUN,29.7456111907959,32000
28,and,CCONJ,22.451740264892578,32000,y,CONJ,33.70473861694336,32000
29,such,ADJ,19.18294334411621,32000,tal,NOUN,29.15285873413086,32000
30,"""",PUNCT,20.554908752441406,32000,"""",PUNCT,31.872089385986328,32000
31,For,ADP,20.905475616455078,32000,para,ADP,31.34940528869629,32000
32,Dummies,PROPN,21.647735595703125,32000,Dummies,PROPN,36.30259704589844,32000
33,.,PUNCT,19.603891372680664,32000,"""",PUNCT,30.687471389770508,32000
34,"""",PUNCT,21.24860382080078,32000,0,0,0.0,0
35,Do,AUX,22.05398941040039,35000,¿,PUNCT,30.06387710571289,35000
36,know,VERB,23.123498916625977,35000,Conocen,VERB,31.537555694580078,35000
37,these,DET,21.35993003845215,35000,estos,DET,35.63097381591797,35000
38,books,NOUN,20.848217010498047,35000,libros,NOUN,32.75154495239258,35000
39,",",PUNCT,19.56512451171875,35000,?,PUNCT,31.658842086791992,35000
40,such,ADJ,18.692672729492188,35000,",",PUNCT,32.29960250854492,35000
41,these,DET,20.409704208374023,35000,¿,PUNCT,30.288423538208008,35000
42,you,PRON,23.007553100585938,35000,estos,PRON,32.381004333496094,35000
43,"""",PUNCT,20.802772521972656,35000,"""",PUNCT,28.731847763061523,35000
44,and,CCONJ,22.748329162597656,35000,Tal,NOUN,30.06395149230957,35000
45,such,ADJ,19.276458740234375,35000,y,CONJ,33.69377899169922,35000
46,Dummies,NOUN,21.478727340698242,35000,tal,NOUN,29.14570426940918,35000
47,For,ADP,20.650959014892578,35000,para,ADP,31.331518173217773,35000
48,0,0,0.0,0,Dummies,PROPN,36.5832633972168,35000
49,"""",PUNCT,21.737089157104492,35000,"""",PUNCT,31.517467498779297,35000
50,?,PUNCT,20.874584197998047,35000,?,PUNCT,31.59004020690918,35000
51,My,DET,22.354907989501953,37000,Mis,DET,31.30482292175293,37000
52,daughters,NOUN,23.27090835571289,37000,hijas,NOUN,34.82172393798828,37000
53,pointed,VERB,25.147619247436523,37000,comentaron,VERB,34.31307601928711,37000
54,out,ADP,21.962671279907227,37000,me,PRON,32.24477005004883,37000
55,that,SCONJ,20.12792205810547,37000,que,SCONJ,31.604124069213867,37000
56,I,PRON,23.64594841003418,37000,yo,PRON,33.53385925292969,37000
57,'m,AUX,24.03095817565918,37000,soy,AUX,35.2849235534668,37000
58,very,ADV,27.85376739501953,37000,muy,ADV,37.20410919189453,37000
59,similar,ADJ,24.360069274902344,37000,parecido,ADJ,34.726104736328125,37000
60,looking,NOUN,20.991069793701172,37000,así,ADV,33.636871337890625,37000
61,",",PUNCT,21.940292358398438,37000,",",PUNCT,29.433307647705078,37000
62,so,CCONJ,18.07470703125,37000,que,SCONJ,30.768461227416992,37000
63,this,DET,21.300430297851562,37000,esto,PRON,33.0998420715332,37000
64,is,AUX,23.923992156982422,37000,es,AUX,33.13749694824219,37000
65,a,DET,23.930240631103516,37000,un,DET,36.37150192260742,37000
66,bit,NOUN,20.588733673095703,37000,pequeño,ADJ,36.052879333496094,37000
67,of,ADP,22.119585037231445,37000,0,0,0.0,0
68,a,DET,21.89175796508789,37000,0,0,0.0,0
69,problem,NOUN,20.263002395629883,37000,problema,NOUN,33.39499282836914,37000
70,.,PUNCT,22.512651443481445,37000,.,PUNCT,32.079158782958984,37000
71,(,PUNCT,19.138301849365234,41000,(,PUNCT,28.748825073242188,41000
72,Laughter,PROPN,20.165264129638672,41000,Risas,PROPN,34.865478515625,41000
73,),PUNCT,20.96363067626953,41000,),PUNCT,32.331058502197266,41000
74,But,CCONJ,21.418533325195312,44000,Pero,CONJ,33.874237060546875,44000
75,I,PRON,25.158954620361328,44000,",",PUNCT,27.655752182006836,44000
76,was,AUX,25.877779006958008,44000,estuve,AUX,35.914058685302734,44000
77,looking,VERB,24.643795013427734,44000,buscando,VERB,36.260128021240234,44000
78,online,ADV,21.085124969482422,44000,Internet,PROPN,33.98361587524414,44000
79,at,ADP,23.498397827148438,44000,en,ADP,31.815227508544922,44000
80,Amazon.com,PROPN,22.711809158325195,44000,Amazon.com,PROPN,35.195804595947266,44000
81,for,ADP,21.533817291259766,44000,en,ADP,30.855152130126953,44000
82,other,ADJ,21.23748779296875,44000,otros,DET,32.97736740112305,44000
83,books,NOUN,21.154661178588867,44000,libros,NOUN,34.80979919433594,44000
84,like,SCONJ,20.51274299621582,44000,como,SCONJ,35.64639663696289,44000
85,this,DET,21.735185623168945,44000,este,DET,30.54501724243164,44000
86,.,PUNCT,21.237937927246094,44000,.,PUNCT,33.57001495361328,44000
87,You,PRON,24.048614501953125,48000,0,0,0.0,0
88,know,VERB,24.101070404052734,48000,Saben,VERB,33.54518127441406,48000
89,",",PUNCT,21.250200271606445,48000,¿,PUNCT,29.89430809020996,48000
90,there,PRON,22.640012741088867,48000,algo,PRON,35.41786575317383,48000
91,'s,AUX,20.68642807006836,48000,que,SCONJ,32.386592864990234,48000
92,also,ADV,22.3112850189209,48000,llamado,ADJ,32.29499053955078,48000
93,something,PRON,21.035682678222656,48000,del,ADP,32.940975189208984,48000
94,called,VERB,19.481428146362305,48000,existe,VERB,37.05409240722656,48000
95,the,DET,21.302627563476562,48000,la,DET,30.449533462524414,48000
96,"""",PUNCT,21.8749942779541,48000,?,PUNCT,32.41536331176758,48000
97,Complete,PROPN,18.906082153320312,48000,Idiota,PROPN,35.72062301635742,48000
98,Idiot,PROPN,20.833988189697266,48000,Completo,PROPN,36.51766586303711,48000
99,'s,PART,18.969738006591797,48000,0,0,0.0,0
100,Guide,PROPN,20.810335159301758,48000,Guía,PROPN,35.84904098510742,48000
101,?,PUNCT,22.00188446044922,48000,0,0,0.0,0
102,"""",PUNCT,21.391502380371094,48000,0,0,0.0,0
103,'s,AUX,21.991300582885742,51000,Hay,AUX,36.0495719909668,51000
104,a,DET,22.373069763183594,51000,una,DET,35.11037063598633,51000
105,sort,NOUN,21.17156982421875,51000,clase,NOUN,32.08341979980469,51000
106,of,ADP,23.471229553222656,51000,de,ADP,30.94856834411621,51000
107,business,NOUN,20.37157440185547,51000,modelo,NOUN,28.41720199584961,51000
108,0,0,0.0,0,de,ADP,31.89811134338379,51000
109,model,NOUN,19.105566024780273,51000,negocios,NOUN,35.29459762573242,51000
110,0,0,0.0,0,alrededor,ADV,32.696998596191406,51000
111,around,ADP,21.91522979736328,51000,de,ADP,29.92754364013672,51000
112,There,PRON,22.499860763549805,51000,esto,PRON,31.334421157836914,51000
113,in,ADP,23.071401596069336,51000,de,ADP,31.163785934448242,51000
114,being,AUX,23.887907028198242,51000,ser,AUX,38.68362808227539,51000
115,stupid,ADJ,21.47724723815918,51000,estúpido,ADJ,33.97523498535156,51000
116,0,0,0.0,0,de,ADP,30.06039047241211,51000
117,some,DET,24.37766456604004,51000,alguna,DET,35.30205535888672,51000
118,sense,NOUN,20.062562942504883,51000,manera,NOUN,33.29165267944336,51000
119,.,PUNCT,21.738872528076172,51000,.,PUNCT,32.86051940917969,51000
120,We,PRON,24.701852798461914,54000,Nos,PRON,33.01338577270508,54000
121,like,VERB,20.61625862121582,54000,gusta,VERB,37.000736236572266,54000
122,have,AUX,24.269001007080078,54000,hacer,AUX,36.90218734741211,54000
123,to,PART,22.46931266784668,54000,que,SCONJ,32.95570373535156,54000
124,0,0,0.0,0,la,DET,33.60530090332031,54000
125,technology,NOUN,22.45500946044922,54000,tecnología,NOUN,31.83553695678711,54000
126,us,PRON,23.497169494628906,54000,nos,PRON,31.953765869140625,54000
127,feel,VERB,24.156190872192383,54000,haga,VERB,35.5926399230957,54000
128,make,VERB,23.732275009155273,54000,sentir,VERB,36.3525276184082,54000
129,bad,ADJ,23.012378692626953,54000,mal,ADV,32.94731903076172,54000
130,",",PUNCT,21.87837791442871,54000,",",PUNCT,30.632244110107422,54000
131,for,ADP,21.147939682006836,54000,por,ADP,34.11316680908203,54000
132,some,DET,21.38765525817871,54000,alguna,DET,34.22362518310547,54000
133,strange,ADJ,20.537389755249023,54000,extraña,ADJ,33.31241226196289,54000
134,reason,NOUN,19.79810333251953,54000,razón,NOUN,33.11709976196289,54000
135,.,PUNCT,20.71290397644043,54000,.,PUNCT,33.32461929321289,54000
136,But,CCONJ,21.232807159423828,57000,Pero,CONJ,32.0760383605957,57000
137,I,PRON,24.406654357910156,57000,eso,PRON,31.564970016479492,57000
138,really,ADV,24.185791015625,57000,realmente,ADV,33.613868713378906,57000
139,0,0,0.0,0,me,PRON,32.737998962402344,57000
140,like,VERB,22.940731048583984,57000,gusta,VERB,33.75696563720703,57000
141,",",PUNCT,21.13642120361328,57000,",",PUNCT,28.02729606628418,57000
142,so,ADV,18.23394203186035,57000,por,ADP,32.08783721923828,57000
143,that,DET,19.134511947631836,57000,lo,DET,35.13860321044922,57000
144,I,PRON,23.738239288330078,57000,que,PRON,32.00102996826172,57000
145,wrote,VERB,22.495563507080078,57000,escribí,VERB,33.662654876708984,57000
146,a,DET,23.418960571289062,57000,un,DET,36.067501068115234,57000
147,book,NOUN,19.883115768432617,57000,libro,NOUN,31.50917625427246,57000
148,called,VERB,20.181625366210938,57000,llamado,ADJ,35.36366271972656,57000
149,"""",PUNCT,21.803367614746094,57000,"""",PUNCT,28.167682647705078,57000
150,The,DET,20.828210830688477,57000,Las,DET,32.21852493286133,57000
151,Laws,PROPN,20.749086380004883,57000,Leyes,PROPN,34.70222091674805,57000
152,of,ADP,22.202266693115234,57000,de,ADP,29.782642364501953,57000
153,Simplicity,NOUN,20.887100219726562,57000,la,DET,29.24785041809082,57000
154,0,0,0.0,0,Simplicidad,PROPN,37.24270248413086,57000
155,"""",PUNCT,21.197172164916992,57000,"""",PUNCT,31.864578247070312,57000
156,.,PUNCT,21.842588424682617,57000,.,PUNCT,33.23442077636719,57000
157,I,PRON,24.484079360961914,61000,Estuve,VERB,32.461219787597656,61000
158,in,ADP,18.748695373535156,61000,en,ADP,32.28420639038086,61000
159,Milan,PROPN,20.67132568359375,61000,Milán,PROPN,36.42153549194336,61000
160,was,AUX,23.955543518066406,61000,la,DET,30.657339096069336,61000
161,week,NOUN,19.31633186340332,61000,semana,NOUN,31.75836944580078,61000
162,last,ADJ,20.470294952392578,61000,pasada,ADJ,32.88755798339844,61000
163,",",PUNCT,21.15919303894043,61000,",",PUNCT,30.64946937561035,61000
164,for,ADP,20.74134635925293,61000,para,ADP,33.74214553833008,61000
165,the,DET,20.97679328918457,61000,su,DET,32.93556594848633,61000
166,launch,NOUN,20.549741744995117,61000,lanzamiento,NOUN,32.85563659667969,61000
167,Italian,ADJ,22.63408660888672,61000,en,ADP,33.19124984741211,61000
168,0,0,0.0,0,Italia,PROPN,37.580142974853516,61000
169,.,PUNCT,21.123327255249023,61000,.,PUNCT,31.98149871826172,61000
170,It,PRON,23.436870574951172,64000,como,SCONJ,35.55501937866211,64000
171,'s,AUX,23.85340118408203,64000,Es,AUX,34.539642333984375,64000
172,kind,ADV,22.01119041442871,64000,libro,NOUN,30.238319396972656,64000
173,of,ADV,22.527978897094727,64000,acerca,ADV,32.180198669433594,64000
174,a,DET,21.837356567382812,64000,un,DET,35.55277633666992,64000
175,book,NOUN,19.34772300720215,64000,preguntas,NOUN,31.309303283691406,64000
176,about,ADP,20.170846939086914,64000,de,ADP,32.40229034423828,64000
177,questions,NOUN,21.20414924621582,64000,preguntas,NOUN,31.489925384521484,64000
178,",",PUNCT,22.502647399902344,64000,--,PUNCT,31.96320915222168,64000
179,questions,NOUN,22.65703582763672,64000,la,DET,33.64706802368164,64000
180,about,ADP,21.56665802001953,64000,de,ADP,33.112037658691406,64000
181,simplicity,NOUN,19.534597396850586,64000,simplicidad,NOUN,32.43264389038086,64000
182,.,PUNCT,21.489665985107422,64000,.,PUNCT,33.32378005981445,64000
183,Very,ADV,22.38323974609375,68000,Muy,ADV,35.20622634887695,68000
184,few,ADJ,23.302404403686523,68000,pocas,DET,36.21171569824219,68000
185,answers,NOUN,23.444469451904297,68000,respuestas,NOUN,35.931556701660156,68000
186,.,PUNCT,19.787046432495117,68000,.,PUNCT,32.47311019897461,68000
187,also,ADV,23.60586929321289,68000,También,ADV,34.92852783203125,68000
188,I,PRON,24.183338165283203,68000,me,PRON,31.595746994018555,68000
189,wondering,VERB,24.78963279724121,68000,pregunto,VERB,37.37503433227539,68000
190,'m,AUX,21.891502380371094,68000,a,ADP,32.7818717956543,68000
191,myself,PRON,21.390148162841797,68000,mi,DET,30.417373657226562,68000
192,0,0,0.0,0,mismo,ADJ,33.099205017089844,68000
