,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,ADV,20.85866355895996,12160,0,0,0.0,0
1,",",PUNCT,19.141769409179688,12160,unos,DET,32.272544860839844,12160
2,about,ADV,21.101289749145508,12160,0,0,0.0,0
3,three,NUM,23.793941497802734,12160,tres,NUM,37.82965850830078,12160
4,years,NOUN,24.34116554260254,12160,años,NOUN,35.96238327026367,12160
5,ago,ADV,20.190048217773438,12160,estaba,VERB,35.90119934082031,12160
6,I,PRON,23.955612182617188,12160,yo,PRON,32.035892486572266,12160
7,was,AUX,24.496334075927734,12160,Hace,AUX,35.970123291015625,12160
8,in,ADP,19.82417869567871,12160,en,ADP,32.344871520996094,12160
9,London,PROPN,21.689931869506836,12160,Londres,PROPN,36.05448532104492,12160
10,",",PUNCT,21.53160858154297,12160,0,0,0.0,0
11,and,CCONJ,20.787057876586914,16160,y,CONJ,33.27031326293945,16160
12,somebody,PRON,22.982860565185547,16160,alguien,PRON,33.731292724609375,16160
13,called,VERB,22.18893814086914,16160,llamado,ADJ,31.98380470275879,16160
14,Howard,PROPN,20.56275177001953,16160,Howard,PROPN,35.07242965698242,16160
15,Burton,PROPN,24.09708595275879,16160,Burton,PROPN,36.323585510253906,16160
16,came,VERB,22.851341247558594,16160,buscó,VERB,34.364925384521484,16160
17,to,ADP,20.371612548828125,16160,y,CONJ,31.158437728881836,16160
18,me,PRON,26.116193771362305,16160,me,PRON,30.396562576293945,16160
19,and,CCONJ,20.875782012939453,16160,me,PRON,32.843482971191406,16160
20,said,VERB,21.398279190063477,16160,dijo,VERB,36.65653991699219,16160
21,",",PUNCT,20.25763702392578,16160,:,PUNCT,32.73605728149414,16160
22,I,PRON,24.318492889404297,21160,Represento,NOUN,28.499969482421875,21160
23,represent,VERB,24.477703094482422,21160,a,ADP,32.734378814697266,21160
24,a,DET,22.981544494628906,21160,un,DET,37.07415771484375,21160
25,group,NOUN,18.778467178344727,21160,grupo,NOUN,30.7078800201416,21160
26,of,ADP,24.329853057861328,21160,de,ADP,31.757997512817383,21160
27,people,NOUN,20.473844528198242,21160,personas,NOUN,35.15058898925781,21160
28,",",PUNCT,20.518550872802734,21160,"""",PUNCT,31.045717239379883,21160
29,and,CCONJ,20.93055534362793,23160,y,CONJ,32.20579147338867,23160
30,we,PRON,25.982887268066406,23160,deseamos,AUX,32.580467224121094,23160
31,want,VERB,23.265424728393555,23160,crear,VERB,36.70674133300781,23160
32,to,PART,24.075851440429688,23160,0,0,0.0,0
33,start,VERB,25.370834350585938,23160,0,0,0.0,0
34,an,DET,21.489219665527344,23160,un,DET,34.45585632324219,23160
35,institute,NOUN,18.93575668334961,23160,física,NOUN,32.71408462524414,23160
36,in,ADP,19.12482261657715,23160,de,ADP,32.1944694519043,23160
37,theoretical,ADJ,18.162822723388672,23160,teórica,ADJ,34.46452331542969,23160
38,physics,NOUN,20.24342155456543,23160,instituto,NOUN,29.330379486083984,23160
39,.,PUNCT,21.524703979492188,23160,0,0,0.0,0
40,We,PRON,24.768512725830078,27160,unos,PRON,31.52276039123535,27160
41,have,AUX,21.816560745239258,27160,Tenemos,VERB,32.70655059814453,27160
42,about,ADV,21.43353843688965,27160,millones,NOUN,36.41846466064453,27160
43,120,NUM,22.246517181396484,27160,120,NUM,37.764915466308594,27160
44,million,NUM,22.615278244018555,27160,de,ADP,32.451202392578125,27160
45,dollars,NOUN,19.588497161865234,27160,dólares,NOUN,33.56354904174805,27160
46,",",PUNCT,22.70370101928711,27160,y,CONJ,33.93107223510742,27160
47,and,CCONJ,20.71402359008789,27160,0,0,0.0,0
48,we,PRON,24.806917190551758,27160,hacerlo,PROPN,32.403324127197266,27160
49,want,VERB,23.427576065063477,27160,queremos,VERB,32.39017868041992,27160
50,to,PART,22.03517723083496,27160,0,0,0.0,0
51,do,AUX,24.761823654174805,27160,0,0,0.0,0
52,it,PRON,23.34261703491211,27160,0,0,0.0,0
53,well,ADV,24.109941482543945,27160,bien,ADV,32.66628646850586,27160
54,.,PUNCT,21.533592224121094,27160,.,PUNCT,31.9102725982666,27160
55,We,PRON,24.7526798248291,32160,Queremos,VERB,32.90057373046875,32160
56,want,VERB,22.887605667114258,32160,tener,VERB,35.38207244873047,32160
57,to,PART,22.871856689453125,32160,presencia,NOUN,33.06795883178711,32160
58,in,ADP,22.792863845825195,32160,en,ADP,32.24261474609375,32160
59,the,DET,22.300697326660156,32160,los,DET,34.91022872924805,32160
60,be,AUX,25.747922897338867,32160,cuatro,NUM,35.091129302978516,32160
61,forefront,ADJ,20.27240562438965,32160,campos,NOUN,34.11409378051758,32160
62,0,0,0.0,0,de,ADP,32.513763427734375,32160
63,fields,NOUN,19.929311752319336,32160,vanguardia,NOUN,29.771778106689453,32160
64,",",PUNCT,20.396657943725586,32160,",",PUNCT,31.126832962036133,32160
65,and,CCONJ,20.934734344482422,34160,y,CONJ,33.915130615234375,34160
66,we,PRON,25.936595916748047,34160,hacerlo,NOUN,31.171518325805664,34160
67,want,VERB,23.441165924072266,34160,queremos,VERB,33.5747184753418,34160
