,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,It,PRON,23.21038055419922,24560,0,0,0.0,0
1,'s,AUX,22.380064010620117,24560,Es,AUX,34.47403335571289,24560
2,1974,NUM,20.685176849365234,24560,1974,NOUN,32.58915710449219,24560
3,.,PUNCT,21.104238510131836,24560,.,PUNCT,33.52294921875,24560
4,There,PRON,20.58245277404785,29960,En,ADP,33.16091537475586,29960
5,is,AUX,24.017919540405273,29960,galería,NOUN,34.598995208740234,29960
6,the,DET,22.399410247802734,29960,alguna,DET,32.51276397705078,29960
7,gallery,NOUN,20.714872360229492,29960,arte,NOUN,31.081880569458008,29960
8,somewhere,ADV,20.134620666503906,29960,de,ADP,32.812225341796875,29960
9,in,ADP,20.934036254882812,33880,del,ADP,33.345733642578125,33880
10,the,DET,23.86386489868164,33880,0,0,0.0,0
11,world,NOUN,17.89935874938965,33880,mundo,NOUN,29.80727195739746,33880
12,",",PUNCT,21.684194564819336,33880,",",PUNCT,29.663625717163086,33880
13,standing,VERB,21.864465713500977,37080,de,ADP,31.80207061767578,37080
14,in,ADP,21.765308380126953,37080,en,ADP,31.736587524414062,37080
15,the,DET,22.569780349731445,37080,el,DET,33.43988800048828,37080
16,middle,NOUN,18.869474411010742,37080,pie,NOUN,30.93780517578125,37080
17,of,ADP,23.02412223815918,37080,del,ADP,34.19883728027344,37080
18,the,DET,22.48274803161621,37080,centro,NOUN,30.785552978515625,37080
19,space,NOUN,18.62289047241211,37080,espacio,NOUN,30.274595260620117,37080
20,.,PUNCT,21.53124237060547,37080,.,PUNCT,31.996719360351562,37080
21,In,ADP,20.354310989379883,44759,Delante,ADV,33.29332733154297,44759
22,the,DET,23.970218658447266,44759,0,0,0.0,0
23,front,NOUN,20.60666275024414,44759,0,0,0.0,0
24,of,ADP,23.315052032470703,44759,de,ADP,31.254682540893555,44759
25,her,PRON,20.312414169311523,44759,ella,PRON,31.480327606201172,44759
26,is,AUX,23.090951919555664,44759,hay,AUX,33.401859283447266,44759
27,a,DET,23.991180419921875,44759,una,DET,35.702083587646484,44759
28,table,NOUN,20.583345413208008,44759,mesa,NOUN,32.998111724853516,44759
29,.,PUNCT,21.806182861328125,44759,.,PUNCT,33.83466720581055,44759
30,On,ADP,21.449289321899414,49000,Sobre,ADP,32.216957092285156,49000
31,the,DET,23.243331909179688,49000,la,DET,32.23906326293945,49000
32,table,NOUN,20.825551986694336,49000,mesa,NOUN,32.681034088134766,49000
