,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.580167770385742,12520,Hoy,ADV,33.27775573730469,12520
1,'m,AUX,22.1976261138916,12520,0,0,0.0,0
2,here,ADV,19.519277572631836,12520,aquí,ADV,35.38441467285156,12520
3,to,PART,22.8681640625,12520,contarles,ADJ,34.29478073120117,12520
4,talk,VERB,24.79456329345703,12520,vine,VERB,33.37688064575195,12520
5,to,ADP,20.23306655883789,12520,a,ADP,32.27280044555664,12520
6,you,PRON,23.740446090698242,12520,0,0,0.0,0
7,today,NOUN,21.16489601135254,12520,0,0,0.0,0
8,about,ADP,20.08353614807129,14659,0,0,0.0,0
9,a,DET,22.056577682495117,14659,una,DET,33.3856201171875,14659
10,story,NOUN,19.612098693847656,14659,historia,NOUN,34.04467010498047,14659
11,that,DET,19.8045711517334,14659,que,PRON,32.224090576171875,14659
12,we,PRON,24.16377830505371,14659,nos,PRON,33.75448989868164,14659
13,have,AUX,23.517610549926758,14659,hecho,AUX,33.76527404785156,14659
14,all,ADV,20.316980361938477,14659,0,0,0.0,0
15,been,AUX,23.362934112548828,14659,han,AUX,36.129638671875,14659
16,conditioned,VERB,23.628555297851562,14659,creer,VERB,37.17866897583008,14659
17,to,PART,21.168128967285156,14659,0,0,0.0,0
18,believe,VERB,22.119842529296875,14659,0,0,0.0,0
19,is,AUX,22.622722625732422,17795,es,AUX,34.81857681274414,17795
20,not,PART,22.350324630737305,17795,que,SCONJ,32.53939437866211,17795
21,possible,ADJ,22.585105895996094,17795,imposible,ADJ,36.9581184387207,17795
22,.,PUNCT,22.58485984802246,17795,.,PUNCT,32.85955810546875,17795
23,It,PRON,23.773950576782227,19359,que,PRON,35.368316650390625,19219
24,'s,AUX,22.41057014465332,19359,es,AUX,34.00661087036133,19219
25,a,DET,22.092622756958008,19359,Esta,DET,33.89280319213867,19219
26,story,NOUN,20.977937698364258,19359,historia,NOUN,33.7801513671875,19219
27,about,ADP,21.10782814025879,19359,de,ADP,29.486398696899414,19219
28,a,DET,20.942800521850586,19359,una,DET,34.92784881591797,19219
29,living,NOUN,19.162446975708008,19359,empresa,NOUN,32.034915924072266,19219
30,",",PUNCT,19.77210807800293,19359,",",PUNCT,30.148128509521484,19219
31,breathing,VERB,21.754865646362305,19359,vive,VERB,34.715450286865234,19219
32,start,NOUN,21.60655403137207,19359,0,0,0.0,0
33,-,PUNCT,22.767841339111328,19359,",",PUNCT,30.23780059814453,19219
34,up,NOUN,19.848299026489258,19359,0,0,0.0,0
35,flourishing,VERB,21.53447914123535,21681,respira,VERB,32.84927749633789,19219
36,in,ADP,21.932247161865234,21681,0,0,0.0,0
37,an,DET,23.027441024780273,21681,0,0,0.0,0
