,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,when,ADV,23.009868621826172,15256,0,0,0.0,0
1,anyone,PRON,21.150863647460938,15256,la,DET,32.77994918823242,12772
2,from,ADP,22.081106185913086,15256,antigua,ADJ,31.847734451293945,12772
3,slaves,NOUN,20.623821258544922,15256,Grecia,PROPN,37.61209487915039,12772
4,to,ADP,22.416217803955078,15256,En,ADP,32.889549255371094,12772
5,soldiers,NOUN,22.071239471435547,15256,0,0,0.0,0
6,",",PUNCT,21.61810874938965,15256,",",PUNCT,29.965576171875,12772
7,poets,NOUN,22.316736221313477,15256,0,0,0.0,0
8,and,CCONJ,25.27613067626953,15256,0,0,0.0,0
9,politicians,NOUN,20.470674514770508,15256,0,0,0.0,0
10,",",PUNCT,20.1966495513916,15256,0,0,0.0,0
11,needed,VERB,22.388042449951172,19223,necesitaba,VERB,34.53319549560547,19170
12,to,PART,23.08711814880371,19223,0,0,0.0,0
13,make,VERB,25.094520568847656,19223,tomar,VERB,37.04122543334961,19170
14,a,DET,22.65250015258789,19223,una,DET,34.311492919921875,19170
15,big,ADJ,21.527359008789062,19223,gran,ADJ,36.89375686645508,19170
16,decision,NOUN,20.902935028076172,19223,decisión,NOUN,32.10026168823242,19170
17,on,ADP,20.974756240844727,19223,sobre,ADP,33.42520523071289,19170
18,life,NOUN,18.619874954223633,19223,preguntas,NOUN,34.417572021484375,19170
19,'s,PART,22.544429779052734,19223,las,DET,34.37040710449219,19170
20,most,ADV,23.0986328125,19223,más,ADV,39.46957015991211,19170
21,important,ADJ,22.714323043823242,19223,importantes,ADJ,35.26405715942383,19170
22,questions,NOUN,22.09191131591797,19223,0,0,0.0,0
23,",",PUNCT,21.219985961914062,19223,",",PUNCT,31.932130813598633,19170
24,like,INTJ,21.557035446166992,23251,como,SCONJ,35.36588668823242,22707
25,",",PUNCT,21.27031707763672,23251,",",PUNCT,29.80965805053711,22707
26,"""",PUNCT,20.566293716430664,23251,"""",PUNCT,29.742582321166992,22707
27,Should,VERB,21.445100784301758,23251,¿,PUNCT,30.686059951782227,22707
28,I,PRON,24.95005226135254,23251,0,0,0.0,0
29,get,AUX,27.472803115844727,23251,Debería,AUX,31.912120819091797,22707
30,married,ADJ,21.3211669921875,23251,casarme,ADJ,31.27906608581543,22707
31,?,PUNCT,21.688194274902344,23251,"""",PUNCT,32.34065628051758,22707
32,"""",PUNCT,21.481996536254883,23251,?,PUNCT,34.06143569946289,22707
33,or,CCONJ,22.377775192260742,24666,o,CONJ,32.41263198852539,24619
34,"""",PUNCT,20.877948760986328,24666,"""",PUNCT,29.50284194946289,24619
35,Should,VERB,20.67890739440918,24666,¿,PUNCT,32.05574417114258,24619
36,we,PRON,23.41925811767578,24666,Deberíamos,AUX,31.919401168823242,24619
37,embark,VERB,22.543855667114258,24666,iniciar,VERB,35.334739685058594,24619
38,on,ADP,20.790632247924805,24666,0,0,0.0,0
39,this,DET,23.29775619506836,24666,este,DET,33.76703643798828,24619
40,voyage,NOUN,18.808551788330078,24666,viaje,NOUN,32.873291015625,24619
41,?,PUNCT,19.758342742919922,24666,"""",PUNCT,31.28582191467285,24619
42,"""",PUNCT,22.253864288330078,24666,?,PUNCT,32.17237091064453,24619
43,or,CCONJ,22.157352447509766,26547,0,0,0.0,0
44,"""",PUNCT,20.270444869995117,26547,0,0,0.0,0
45,Should,VERB,19.809890747070312,26547,0,0,0.0,0
46,our,DET,23.325958251953125,26547,0,0,0.0,0
47,army,NOUN,20.474300384521484,26547,0,0,0.0,0
48,advance,VERB,20.762840270996094,26547,0,0,0.0,0
49,into,ADP,21.828405380249023,26547,0,0,0.0,0
50,this,DET,23.287458419799805,26547,0,0,0.0,0
51,territory,NOUN,20.058223724365234,26547,0,0,0.0,0
52,?,PUNCT,19.687816619873047,26547,0,0,0.0,0
53,"""",PUNCT,21.21091079711914,26547,0,0,0.0,0
54,they,PRON,23.53459930419922,29499,todos,PRON,33.478050231933594,29059
55,all,DET,21.64315414428711,29499,el,DET,33.936397552490234,29059
56,consulted,VERB,21.22258186340332,29499,consultaban,VERB,31.36920738220215,29059
57,the,DET,21.45684051513672,29499,0,0,0.0,0
58,oracle,NOUN,18.729467391967773,29499,oráculo,NOUN,29.45022201538086,29059
59,.,PUNCT,20.26831817626953,29499,.,PUNCT,32.13279724121094,29059
60,So,CCONJ,19.320730209350586,32840,0,0,0.0,0
61,this,DET,22.794172286987305,32840,0,0,0.0,0
62,is,AUX,24.82154083251953,32840,0,0,0.0,0
63,how,ADV,21.7000732421875,32840,0,0,0.0,0
64,it,PRON,22.90334129333496,32840,0,0,0.0,0
65,worked,VERB,23.00838279724121,32840,0,0,0.0,0
66,:,PUNCT,19.06243133544922,32840,0,0,0.0,0
67,you,PRON,23.599271774291992,34304,Así,ADV,34.52469253540039,33065
68,would,VERB,24.958925247192383,34304,funcionaba,VERB,34.2723503112793,33065
69,bring,VERB,27.128915786743164,34304,:,PUNCT,32.124629974365234,33065
70,her,PRON,21.507978439331055,34304,0,0,0.0,0
71,a,DET,22.55706214904785,34304,0,0,0.0,0
72,question,NOUN,20.00734519958496,34304,0,0,0.0,0
73,and,CCONJ,20.702707290649414,34304,0,0,0.0,0
74,you,PRON,24.03141975402832,34304,0,0,0.0,0
75,would,VERB,26.326461791992188,34304,0,0,0.0,0
76,get,AUX,26.1086368560791,34304,0,0,0.0,0
77,on,ADP,20.94817543029785,34304,0,0,0.0,0
78,your,DET,24.252197265625,34304,0,0,0.0,0
79,knees,NOUN,19.93312644958496,34304,0,0,0.0,0
80,",",PUNCT,19.255231857299805,34304,0,0,0.0,0
81,and,CCONJ,20.594310760498047,37440,y,CONJ,33.61103057861328,37052
82,then,ADV,20.776086807250977,37440,luego,ADV,34.66694259643555,37052
83,she,PRON,25.328977584838867,37440,ella,PRON,32.32933044433594,37052
84,would,VERB,26.70493507385254,37440,entraba,VERB,36.325443267822266,37052
85,go,VERB,24.309438705444336,37440,0,0,0.0,0
86,into,ADP,20.9869327545166,37440,en,ADP,34.91512680053711,37052
87,this,DET,23.947513580322266,37440,un,DET,37.53281784057617,37052
88,trance,NOUN,20.848356246948242,37440,trance,NOUN,34.17359924316406,37052
89,.,PUNCT,22.037382125854492,37440,.,PUNCT,31.57784652709961,37052
90,It,PRON,24.161903381347656,39335,0,0,0.0,0
91,would,VERB,26.50670623779297,39335,Llevaba,VERB,33.586097717285156,38806
92,take,VERB,25.13524055480957,39335,0,0,0.0,0
93,a,DET,20.89274787902832,39335,un,DET,32.41557312011719,38806
94,couple,NOUN,19.880599975585938,39335,días,NOUN,32.07406234741211,38806
95,of,ADP,24.235591888427734,39335,de,ADP,31.91172218322754,38806
96,days,NOUN,20.13973617553711,39335,par,NOUN,30.849197387695312,38806
97,",",PUNCT,20.549013137817383,39335,",",PUNCT,31.083213806152344,38806
98,and,CCONJ,20.4932804107666,40908,y,CONJ,34.86414337158203,40708
99,then,ADV,21.537675857543945,40908,eventualmente,ADJ,31.139223098754883,40708
100,eventually,ADV,20.154224395751953,40908,0,0,0.0,0
101,she,PRON,24.856096267700195,40908,0,0,0.0,0
102,would,VERB,26.053709030151367,40908,trance,NOUN,31.391605377197266,40708
103,come,VERB,24.088642120361328,40908,salía,VERB,33.05585861206055,40708
104,out,SCONJ,20.949214935302734,40908,0,0,0.0,0
105,of,ADP,22.63776206970215,40908,del,ADP,35.15496826171875,40708
106,it,PRON,23.053680419921875,40908,0,0,0.0,0
107,",",PUNCT,21.730405807495117,40908,",",PUNCT,29.783010482788086,40708
108,giving,VERB,20.65816307067871,43095,dando,VERB,34.8272819519043,42626
109,you,PRON,22.320220947265625,43095,0,0,0.0,0
110,her,DET,21.500137329101562,43095,sus,DET,35.359317779541016,42626
111,predictions,NOUN,21.08480453491211,43095,predicciones,NOUN,36.532501220703125,42626
112,as,SCONJ,23.24327850341797,43095,como,SCONJ,37.13230514526367,42626
113,your,DET,22.028440475463867,43095,0,0,0.0,0
114,answer,NOUN,20.623210906982422,43095,respuesta,NOUN,32.305206298828125,42626
115,.,PUNCT,22.36269187927246,43095,.,PUNCT,32.85629653930664,42626
116,From,ADP,22.370145797729492,46730,0,0,0.0,0
117,the,DET,22.429780960083008,46730,0,0,0.0,0
118,oracle,ADJ,18.812618255615234,46730,0,0,0.0,0
119,bones,NOUN,22.556848526000977,46730,0,0,0.0,0
120,of,ADP,25.6978759765625,46730,0,0,0.0,0
121,ancient,ADJ,20.432411193847656,46730,0,0,0.0,0
122,China,PROPN,21.702524185180664,46730,0,0,0.0,0
123,to,ADP,22.775785446166992,49320,Desde,ADP,34.440616607666016,46742
124,ancient,ADJ,21.89533233642578,49320,los,DET,37.478790283203125,46742
125,0,0,0.0,0,oráculos,NOUN,33.92210006713867,46742
126,to,ADP,21.308090209960938,49320,de,ADP,32.69076156616211,46742
127,calendars,NOUN,21.679494857788086,49320,huesos,NOUN,32.25562286376953,46742
128,0,0,0.0,0,de,ADP,32.080440521240234,46742
129,",",PUNCT,20.23633575439453,49320,la,DET,31.540836334228516,46742
130,Mayan,ADJ,23.53339195251465,49320,antigua,ADJ,31.89425277709961,46742
131,Greece,PROPN,20.731203079223633,49320,China,PROPN,37.60224914550781,46742
132,people,NOUN,22.436813354492188,51689,a,ADP,34.53341293334961,49768
133,have,AUX,23.151784896850586,51689,la,DET,33.089012145996094,49768
134,craved,VERB,20.967491149902344,51689,antigua,ADJ,31.79277801513672,49768
135,0,0,0.0,0,Grecia,PROPN,37.010169982910156,49768
136,0,0,0.0,0,",",PUNCT,28.758451461791992,49768
137,for,ADP,22.070526123046875,51689,a,ADP,32.034400939941406,49768
138,0,0,0.0,0,los,DET,36.02568054199219,49768
139,prophecy,NOUN,17.41027069091797,51689,calendarios,NOUN,36.42746353149414,49768
140,0,0,0.0,0,mayas,ADJ,32.903663635253906,49768
141,0,0,0.0,0,",",PUNCT,30.646459579467773,49768
142,in,ADP,20.56675910949707,54009,la,DET,34.026859283447266,51874
143,order,NOUN,20.57222557067871,54009,gente,NOUN,33.164031982421875,51874
144,to,PART,24.674583435058594,54009,0,0,0.0,0
145,find,VERB,25.61081886291504,54009,buscado,VERB,34.22398376464844,51874
146,out,ADP,21.797428131103516,54009,la,DET,31.19891929626465,51874
147,what,PRON,22.66595458984375,54009,profecía,NOUN,32.319671630859375,51874
148,'s,AUX,22.846818923950195,54009,ha,AUX,34.59782028198242,51874
149,going,VERB,24.71673583984375,54009,0,0,0.0,0
150,to,PART,21.279438018798828,54009,0,0,0.0,0
151,happen,VERB,24.87122917175293,54009,0,0,0.0,0
152,next,ADV,20.937429428100586,54009,0,0,0.0,0
153,.,PUNCT,21.17011260986328,54009,0,0,0.0,0
154,And,CCONJ,18.963998794555664,58336,Y,CONJ,32.93450927734375,58273
155,that,DET,19.46860122680664,58336,eso,PRON,34.557594299316406,58273
156,'s,AUX,20.821619033813477,58336,se,PRON,31.2808837890625,58273
157,because,SCONJ,20.303346633911133,58336,que,SCONJ,32.5019416809082,58273
158,we,PRON,21.883520126342773,58336,todos,PRON,34.261444091796875,58273
159,all,DET,21.90595245361328,58336,a,ADP,32.58881759643555,58273
160,want,VERB,25.055233001708984,58336,debe,VERB,35.001705169677734,58273
161,to,PART,23.8333797454834,58336,queremos,VERB,34.450435638427734,58273
162,make,VERB,25.91391944885254,58336,tomar,VERB,35.869606018066406,58273
163,the,DET,21.65741539001465,58336,la,DET,34.84368133544922,58273
164,right,ADJ,21.218873977661133,58336,correcta,ADJ,33.58461380004883,58273
165,decision,NOUN,19.582244873046875,58336,decisión,NOUN,32.13220977783203,58273
166,.,PUNCT,20.7169189453125,58336,.,PUNCT,33.85734176635742,58273
167,We,PRON,24.283443450927734,61599,nos,PRON,31.75811195373535,61543
168,do,AUX,22.75849151611328,61599,No,ADV,33.71639633178711,61543
169,n't,PART,24.753210067749023,61599,0,0,0.0,0
