,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,One,NUM,22.5684757232666,15260,Una,PRON,30.6578426361084,15260
1,of,ADP,25.25067901611328,15260,de,ADP,30.362350463867188,15260
2,the,DET,20.85418128967285,15260,las,DET,33.01008224487305,15260
3,things,NOUN,21.678314208984375,15260,cosas,NOUN,34.407814025878906,15260
4,that,DET,22.90760612487793,15260,que,PRON,34.959476470947266,15260
5,defines,VERB,19.854015350341797,17260,define,VERB,30.863086700439453,17260
6,0,0,0.0,0,a,ADP,31.496295928955078,17260
7,a,DET,20.957855224609375,17260,los,DET,35.579715728759766,17260
8,TEDster,NOUN,17.917465209960938,17260,miembros,NOUN,35.365535736083984,17260
9,0,0,0.0,0,de,ADP,33.5031852722168,17260
10,0,0,0.0,0,TED,PROPN,34.88816833496094,17260
11,is,AUX,20.406423568725586,19260,es,AUX,33.37805938720703,19260
12,0,0,0.0,0,que,SCONJ,34.78676223754883,19260
13,you,PRON,22.841815948486328,19260,ustedes,PRON,34.92959213256836,19260
14,'ve,AUX,22.352920532226562,19260,han,AUX,35.87845993041992,19260
15,taken,VERB,24.138444900512695,19260,tomado,VERB,35.350791931152344,19260
16,your,DET,23.503334045410156,19260,su,DET,34.884525299072266,19260
17,passion,NOUN,20.571327209472656,19260,pasión,NOUN,32.28115463256836,19260
18,",",PUNCT,21.557697296142578,19260,",",PUNCT,29.953025817871094,19260
19,and,CCONJ,20.482114791870117,21260,y,CONJ,33.85786437988281,21260
20,you,PRON,24.034393310546875,21260,la,PRON,31.82688331604004,21260
21,'ve,AUX,22.06232261657715,21260,han,AUX,34.59821701049805,21260
22,turned,VERB,24.35683822631836,21260,convertido,VERB,34.11140441894531,21260
23,it,PRON,22.29936408996582,21260,0,0,0.0,0
24,into,ADP,20.141969680786133,21260,en,ADP,35.77012634277344,21260
25,stewardship,NOUN,19.18659210205078,21260,diligencia,NOUN,31.334033966064453,21260
26,.,PUNCT,21.74734878540039,21260,.,PUNCT,33.13075256347656,21260
27,You,PRON,24.538043975830078,23260,Han,AUX,32.69468307495117,23260
28,actually,ADV,26.57513999938965,23260,realmente,ADV,34.63168716430664,23260
29,put,VERB,24.444761276245117,23260,puesto,VERB,34.89136505126953,23260
30,action,NOUN,21.070032119750977,23260,acción,NOUN,31.734102249145508,23260
31,to,ADP,22.685131072998047,23260,en,ADP,33.629268646240234,23260
32,the,DET,23.06889533996582,23260,los,DET,33.876747131347656,23260
33,issues,NOUN,19.189279556274414,23260,temas,NOUN,34.360694885253906,23260
34,you,PRON,22.696426391601562,23260,que,PRON,33.311405181884766,23260
35,care,VERB,21.905750274658203,23260,interesan,VERB,35.92729949951172,23260
36,about,ADP,21.399967193603516,23260,les,PRON,30.06497573852539,23260
37,.,PUNCT,22.087390899658203,23260,.,PUNCT,31.454679489135742,23260
38,But,CCONJ,22.278928756713867,26260,Pero,CONJ,31.627389907836914,26260
39,0,0,0.0,0,con,ADP,31.87666893005371,26260
40,'re,AUX,23.889789581298828,26260,lo,DET,33.67377853393555,26260
41,you,PRON,24.022079467773438,26260,que,PRON,33.9239501953125,26260
42,going,VERB,25.77655601501465,26260,en,ADP,32.6135368347168,26260
43,to,PART,22.0534725189209,26260,algún,DET,35.93169403076172,26260
44,eventually,ADV,22.582792282104492,26260,momento,NOUN,32.780189514160156,26260
45,what,PRON,22.775882720947266,26260,se,PRON,31.17754554748535,26260
46,is,AUX,22.253999710083008,26260,van,AUX,34.68514633178711,26260
47,0,0,0.0,0,a,ADP,34.40317153930664,26260
48,find,VERB,23.696552276611328,26260,encontrar,VERB,36.39119338989258,26260
49,you,PRON,23.235435485839844,28260,es,AUX,33.680118560791016,28260
50,may,VERB,23.208786010742188,28260,que,SCONJ,33.35396957397461,28260
51,need,VERB,21.87569808959961,28260,necesitar,VERB,37.59976577758789,28260
52,to,PART,22.788013458251953,28260,a,ADP,33.43701934814453,28260
53,actually,ADV,26.963973999023438,28260,0,0,0.0,0
54,get,AUX,25.39521598815918,28260,van,AUX,34.53498840332031,28260
55,elected,VERB,22.925342559814453,28260,electos,ADJ,34.09562683105469,28260
56,officials,NOUN,22.53075408935547,28260,funcionarios,NOUN,33.91496276855469,28260
57,to,PART,21.027023315429688,30260,que,SCONJ,33.08916473388672,30260
58,help,VERB,24.63555335998535,30260,ayuden,VERB,36.25432586669922,30260
59,you,PRON,24.071002960205078,30260,les,PRON,30.316818237304688,30260
60,out,ADP,21.785781860351562,30260,para,ADP,35.71572494506836,30260
61,.,PUNCT,22.35744285583496,30260,.,PUNCT,32.25931930541992,30260
62,So,CCONJ,20.45623779296875,32260,Y,CONJ,31.273677825927734,32260
63,",",PUNCT,19.25249671936035,32260,¿,PUNCT,29.189300537109375,32260
