,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Good,ADJ,19.932456970214844,13204,Buenas,ADJ,32.0385627746582,13236
1,afternoon,NOUN,18.465221405029297,13204,tardes,NOUN,34.96697998046875,13236
2,",",PUNCT,21.93549346923828,13204,",",PUNCT,31.30745506286621,13236
3,I,PRON,25.252225875854492,13204,me,PRON,30.899913787841797,13236
4,'m,AUX,22.89438247680664,13204,siento,VERB,36.52306365966797,13236
5,proud,ADJ,21.333749771118164,13204,orgulloso,ADJ,34.89288330078125,13236
6,to,PART,22.15375328063965,13204,de,ADP,31.41357421875,13236
7,be,AUX,23.833738327026367,13204,estar,VERB,33.23920440673828,13236
8,at,ADP,22.27994155883789,13204,en,ADP,31.94840431213379,13236
9,TEDxKrakow,PROPN,21.81715202331543,13204,TEDxKrakow,PROPN,37.132591247558594,13236
10,.,PUNCT,19.382930755615234,13204,.,PUNCT,32.908504486083984,13236
11,0,0,0.0,0,Hablaré,VERB,33.182281494140625,16316
12,here,ADV,22.822757720947266,13204,acerca,ADV,34.73278045654297,16316
13,0,0,0.0,0,de,ADP,32.83872604370117,16316
14,0,0,0.0,0,un,DET,36.77058410644531,16316
15,0,0,0.0,0,fenómeno,NOUN,31.64031982421875,16316
16,which,DET,22.940242767333984,19350,que,SCONJ,33.18220901489258,19368
17,can,VERB,23.131948471069336,19350,puede,AUX,34.87010955810547,19368
18,0,0,0.0,0,y,CONJ,32.45206832885742,19368
19,and,CCONJ,22.433582305908203,19350,que,SCONJ,31.63668441772461,19368
20,",",PUNCT,23.572465896606445,19350,",",PUNCT,31.637868881225586,19368
21,actually,ADV,22.56778907775879,19350,en,ADP,34.61475372314453,19368
22,world,NOUN,17.950273513793945,19350,realidad,NOUN,32.13734817504883,19368
23,",",PUNCT,21.94916534423828,19350,",",PUNCT,30.60605812072754,19368
24,is,AUX,22.876588821411133,19350,está,AUX,38.83041763305664,19368
25,changing,VERB,26.67579460144043,19350,cambiando,VERB,34.98678970336914,19368
26,the,DET,21.13620948791504,19350,el,DET,36.509361267089844,19368
27,0,0,0.0,0,mundo,NOUN,31.804990768432617,19368
28,0,0,0.0,0,y,CONJ,34.0916633605957,22294
29,0,0,0.0,0,es,AUX,32.42615509033203,22294
30,0,0,0.0,0,el,DET,33.525028228759766,22294
31,0,0,0.0,0,poder,NOUN,33.659645080566406,22294
32,0,0,0.0,0,popular,ADJ,33.68546676635742,22294
33,0,0,0.0,0,.,PUNCT,34.441471099853516,22294
34,and,CCONJ,20.62253189086914,22376,Empezaré,VERB,31.264476776123047,24284
35,whose,DET,21.540306091308594,22376,una,DET,34.27854537963867,24284
36,name,NOUN,18.840007781982422,22376,con,ADP,34.665199279785156,24284
37,is,AUX,22.052236557006836,22376,0,0,0.0,0
38,people,NOUN,20.905908584594727,22376,anécdota,NOUN,31.149431228637695,24284
39,power,NOUN,16.39985466003418,22376,0,0,0.0,0
40,.,PUNCT,23.20102310180664,22376,",",PUNCT,31.10321044921875,24284
41,or,CCONJ,21.810224533081055,25924,o,CONJ,30.23118782043457,27036
42,for,ADP,21.564165115356445,25924,para,ADP,34.7957878112793,27036
