,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,ADV,20.694381713867188,12687,0,0,0.0,0
1,",",PUNCT,18.6562442779541,12687,0,0,0.0,0
2,raise,VERB,22.41084861755371,12687,Levanten,VERB,32.31308364868164,12687
3,your,DET,23.015901565551758,12687,la,DET,32.049652099609375,12687
4,hand,NOUN,20.404613494873047,12687,mano,NOUN,33.28682327270508,12687
5,if,SCONJ,20.518407821655273,12687,si,SCONJ,34.11147689819336,12687
6,you,PRON,22.932188034057617,12687,a,ADP,33.28232192993164,12687
7,'ve,AUX,23.03489875793457,12687,han,AUX,35.63112258911133,12687
8,seen,VERB,23.188800811767578,12687,visto,VERB,34.52900314331055,12687
9,somebody,PRON,21.16533660888672,12687,alguien,PRON,32.921348571777344,12687
10,in,ADP,22.17583656311035,12687,en,ADP,31.39493179321289,12687
11,your,DET,23.46923828125,12687,su,DET,35.38981628417969,12687
12,city,NOUN,19.178321838378906,12687,ciudad,NOUN,33.14491271972656,12687
13,standing,VERB,23.144779205322266,16383,0,0,0.0,0
14,on,ADP,21.731861114501953,16383,en,ADP,34.30655288696289,16383
15,a,DET,22.13920783996582,16383,una,DET,34.898956298828125,16383
16,corner,NOUN,20.06270980834961,16383,esquina,NOUN,32.71693801879883,16383
17,",",PUNCT,20.807661056518555,16383,0,0,0.0,0
18,holding,VERB,23.581249237060547,16383,sujetando,VERB,33.88617706298828,16383
19,a,DET,21.58656883239746,16383,un,DET,38.46026611328125,16383
20,sign,NOUN,20.739107131958008,16383,cartel,NOUN,32.039344787597656,16383
21,like,SCONJ,20.479808807373047,16383,como,SCONJ,34.88402557373047,16383
22,this,DET,22.500289916992188,16383,este,DET,30.919429779052734,16383
23,.,PUNCT,21.209001541137695,16383,.,PUNCT,33.485084533691406,16383
24,I,PRON,25.279666900634766,22229,todos,PRON,33.541019439697266,22229
25,think,VERB,23.816055297851562,22229,Creo,VERB,35.06827163696289,22229
26,we,PRON,23.311195373535156,22229,lo,PRON,30.52668571472168,22229
27,all,DET,20.82420539855957,22229,que,SCONJ,31.990495681762695,22229
28,have,AUX,21.975337982177734,22229,tenemos,VERB,34.77853012084961,22229
29,.,PUNCT,20.907854080200195,22229,.,PUNCT,32.556854248046875,22229
30,If,SCONJ,21.80621910095215,23502,Si,SCONJ,32.997406005859375,23502
31,you,PRON,23.47056770324707,23502,0,0,0.0,0
32,'re,AUX,23.049253463745117,23502,son,AUX,34.43259048461914,23502
33,being,AUX,25.912355422973633,23502,0,0,0.0,0
34,honest,ADJ,20.513103485107422,23502,sinceros,ADJ,34.067874908447266,23502
35,",",PUNCT,20.07700538635254,23502,",",PUNCT,32.062835693359375,23502
36,at,ADV,21.297292709350586,24691,al,ADP,35.59511184692383,24601
37,least,ADV,19.622217178344727,24691,menos,ADV,34.08932113647461,24601
38,one,NUM,22.48807144165039,24691,por,ADP,32.509403228759766,24601
39,0,0,0.0,0,una,DET,32.865997314453125,24601
40,time,NOUN,19.640365600585938,24691,vez,NOUN,32.80183792114258,24601
41,",",PUNCT,20.11444664001465,24691,",",PUNCT,30.229997634887695,24601
42,you,PRON,23.557331085205078,24691,¿,PUNCT,31.01352310180664,24601
43,they,PRON,25.40036392211914,24691,se,PRON,32.42364501953125,24601
44,have,AUX,20.6075496673584,24691,han,AUX,36.9668083190918,24601
45,wondered,VERB,21.421236038208008,24691,preguntado,VERB,33.55528259277344,24601
46,if,SCONJ,20.781492233276367,24691,si,SCONJ,37.401222229003906,24601
47,it,PRON,21.55990219116211,24691,es,AUX,33.788089752197266,24601
48,mean,VERB,23.434101104736328,24691,verdad,NOUN,31.781038284301758,24601
49,?,PUNCT,22.800111770629883,24691,?,PUNCT,32.63740921020508,24601
