,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Take,VERB,22.701732635498047,18330,Miren,VERB,31.869680404663086,18330
1,a,DET,22.180543899536133,18330,esta,DET,34.179656982421875,18330
2,look,NOUN,22.230186462402344,18330,foto,NOUN,31.869726181030273,18330
3,at,ADP,23.37811279296875,18330,a,ADP,33.48942947387695,21330
4,this,DET,24.13189125061035,18330,una,DET,33.960289001464844,21330
5,picture,NOUN,22.356582641601562,18330,interrogante,NOUN,33.67484664916992,21330
6,.,PUNCT,21.801502227783203,18330,.,PUNCT,33.15472412109375,18330
7,It,PRON,22.757810592651367,21330,Nos,PRON,31.80438804626465,21330
8,poses,VERB,25.88266944885254,21330,enfrenta,VERB,34.9179573059082,21330
9,a,DET,23.309778213500977,21330,Estos,DET,30.100610733032227,24330
10,very,ADV,26.020599365234375,21330,fascinante,ADJ,36.222537994384766,21330
11,fascinating,ADJ,21.290559768676758,21330,africanos,ADJ,32.16135787963867,24330
12,puzzle,NOUN,20.954126358032227,21330,estudiantes,NOUN,37.371707916259766,24330
13,for,ADP,22.445405960083008,21330,bajo,ADP,30.769100189208984,28330
14,us,PRON,24.42484474182129,21330,están,AUX,36.26194763183594,24330
15,.,PUNCT,21.067907333374023,21330,.,PUNCT,33.466922760009766,21330
16,These,DET,22.03305435180664,24330,sus,DET,35.53911590576172,24330
17,African,ADJ,23.261249542236328,24330,faroles,ADJ,33.37065505981445,28330
18,students,NOUN,22.533424377441406,24330,tareas,NOUN,35.827232360839844,24330
19,are,AUX,25.617116928100586,24330,los,DET,36.174766540527344,28330
20,doing,VERB,27.00707244873047,24330,haciendo,VERB,34.96261978149414,24330
21,their,DET,21.2469539642334,24330,el,DET,34.37983703613281,28330
22,homework,NOUN,20.109872817993164,24330,aeropuerto,NOUN,30.65526580810547,28330
23,under,ADP,20.617084503173828,28330,en,ADP,31.5404052734375,28330
24,streetlights,NOUN,20.864072799682617,28330,capital,NOUN,31.705717086791992,28330
25,at,ADP,23.814559936523438,28330,de,ADP,31.698562622070312,28330
26,the,DET,20.88117218017578,28330,su,DET,34.64912033081055,28330
27,airport,NOUN,16.62058448791504,28330,.,PUNCT,33.08670425415039,28330
28,in,ADP,20.5707950592041,28330,en,ADP,34.323570251464844,31330
29,the,DET,23.14643669128418,28330,sus,DET,32.77471160888672,31330
30,capital,NOUN,16.49993324279785,28330,Ya,ADV,33.300636291503906,31330
31,city,NOUN,19.307823181152344,28330,hogares,NOUN,34.85684585571289,31330
32,because,SCONJ,20.6638126373291,31330,que,SCONJ,32.052955627441406,31330
33,they,PRON,25.61054229736328,31330,no,ADV,34.60936737060547,31330
34,do,AUX,23.680727005004883,31330,hay,AUX,34.13726806640625,31330
35,n't,PART,25.262460708618164,31330,En,ADP,32.35173034667969,35330
36,have,AUX,23.401601791381836,31330,.,PUNCT,32.89374923706055,31330
37,any,DET,22.605043411254883,31330,este,DET,35.61691665649414,35330
38,electricity,NOUN,19.811086654663086,31330,electricidad,NOUN,33.76175308227539,31330
39,at,ADP,22.563671112060547,31330,a,ADP,31.927106857299805,35330
40,home,NOUN,20.694549560546875,31330,caso,NOUN,31.95481300354004,35330
41,.,PUNCT,21.864980697631836,31330,",",PUNCT,29.44305992126465,35330
42,Now,ADV,23.88692283630371,35330,no,ADV,32.54368209838867,35330
43,",",PUNCT,22.028766632080078,35330,conozco,VERB,36.26658248901367,35330
44,I,PRON,23.852649688720703,35330,otros,PRON,33.02311325073242,37330
45,have,AUX,24.07016372680664,35330,he,AUX,33.9388313293457,37330
46,n't,PART,25.313695907592773,35330,pero,CONJ,32.767887115478516,37330
47,met,VERB,20.707311630249023,35330,conocido,VERB,34.95810317993164,37330
48,these,DET,21.927471160888672,35330,los,DET,35.856895446777344,35330
49,particular,ADJ,22.140871047973633,35330,a,ADP,32.512733459472656,37330
50,students,NOUN,21.435903549194336,35330,estudiantes,NOUN,36.476219177246094,35330
51,",",PUNCT,20.163803100585938,35330,.,PUNCT,32.178375244140625,37330
52,but,CCONJ,20.32706642150879,37330,como,SCONJ,32.19075393676758,37330
53,I,PRON,24.95340919494629,37330,ellos,PRON,34.936180114746094,37330
54,'ve,AUX,21.317235946655273,37330,a,ADP,30.638883590698242,39330
55,met,VERB,21.29386329650879,37330,Tomemos,VERB,31.508974075317383,39330
56,students,NOUN,23.81802749633789,37330,ejemplo,NOUN,31.327394485473633,39330
57,like,SCONJ,21.3096981048584,37330,de,ADP,30.398212432861328,39330
58,them,PRON,24.397705078125,37330,ellos,PRON,34.98569107055664,39330
59,.,PUNCT,21.280437469482422,37330,.,PUNCT,32.227481842041016,39330
60,Let,VERB,21.8378963470459,39330,Por,ADP,34.901084899902344,39330
61,'s,PRON,21.477947235107422,39330,uno,PRON,33.95946502685547,39330
