,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,ADV,19.626630783081055,12904,0,0,0.0,0
1,it,PRON,24.499448776245117,12904,1969,NOUN,33.76225280761719,12904
2,'s,AUX,19.728923797607422,12904,Es,AUX,34.291717529296875,12904
3,1969,NUM,21.30208396911621,12904,0,0,0.0,0
4,",",PUNCT,22.900331497192383,12904,",",PUNCT,31.49789810180664,12904
5,New,PROPN,21.714569091796875,12904,York,PROPN,36.416656494140625,12904
6,York,PROPN,19.243881225585938,12904,Nueva,PROPN,35.54279327392578,12904
7,City,PROPN,21.512290954589844,12904,0,0,0.0,0
8,",",PUNCT,20.682022094726562,12904,",",PUNCT,30.178104400634766,12904
9,grade,NOUN,16.68114471435547,18577,clase,NOUN,30.47843360900879,18577
10,0,0,0.0,0,de,ADP,31.190471649169922,18577
11,music,NOUN,19.211950302124023,18577,música,NOUN,31.04641342163086,18577
12,0,0,0.0,0,de,ADP,31.437910079956055,18577
13,third,ADJ,18.789709091186523,18577,tercer,ADJ,32.725101470947266,18577
14,class,NOUN,17.903703689575195,18577,grado,NOUN,31.66352081298828,18577
15,",",PUNCT,20.8070125579834,18577,",",PUNCT,29.727243423461914,18577
16,and,CCONJ,20.24204444885254,22141,y,CONJ,32.747352600097656,22141
17,our,DET,22.224138259887695,22141,el,DET,33.93442916870117,22141
18,teacher,NOUN,22.01546287536621,22141,profesor,NOUN,29.90422248840332,22141
19,us,PRON,24.93060874938965,22141,nos,PRON,33.99959945678711,22141
20,brings,VERB,25.900196075439453,22141,lleva,VERB,36.1846809387207,22141
21,into,ADP,21.489057540893555,22141,a,ADP,34.39308166503906,22141
22,a,DET,22.99274444580078,22141,un,DET,36.00336456298828,22141
23,room,NOUN,19.782024383544922,22141,aula,NOUN,31.249752044677734,22141
24,nothing,PRON,19.343904495239258,22141,donde,PRON,33.435028076171875,22141
25,with,ADP,19.955976486206055,22141,solo,ADV,33.0964241027832,22141
26,but,SCONJ,19.98969268798828,22141,había,AUX,33.25776672363281,22141
27,a,DET,21.85187530517578,22141,un,DET,35.693077087402344,22141
28,piano,NOUN,18.995586395263672,22141,piano,NOUN,31.127811431884766,22141
29,and,CCONJ,26.505840301513672,22141,y,CONJ,34.31092834472656,22141
30,chairs,NOUN,21.830036163330078,22141,sillas,ADJ,32.49100875854492,22141
31,.,PUNCT,20.770645141601562,22141,.,PUNCT,32.8857307434082,22141
32,And,CCONJ,21.52626609802246,28541,Nos,PRON,32.28278350830078,28541
33,one,NUM,20.898151397705078,28541,0,0,0.0,0
34,by,ADP,21.95744514465332,28541,a,ADP,33.2121696472168,28541
35,one,NUM,20.854351043701172,28541,0,0,0.0,0
36,",",PUNCT,21.55389976501465,28541,",",PUNCT,29.06393814086914,28541
37,he,PRON,23.858121871948242,28541,uno,PRON,32.22384262084961,28541
38,calls,VERB,25.801254272460938,28541,llama,VERB,36.156185150146484,28541
39,us,PRON,24.021577835083008,28541,uno,PRON,31.96861457824707,28541
40,up,ADP,22.64280128479004,28541,por,ADP,32.91394805908203,28541
41,",",PUNCT,21.32197380065918,28541,0,0,0.0,0
42,and,CCONJ,19.81237030029297,31279,do,ADP,32.45775604248047,31279
43,he,PRON,23.841899871826172,31279,un,DET,31.945341110229492,31279
44,plays,VERB,23.450183868408203,31279,toca,VERB,34.79995346069336,31279
45,middle,ADJ,20.74241828918457,31279,central,NOUN,28.37181282043457,31279
46,C,PROPN,18.87601661682129,31279,y,CONJ,32.5278205871582,31279
47,",",PUNCT,23.104623794555664,31279,",",PUNCT,30.317703247070312,31279
48,and,CCONJ,20.20648956298828,31279,0,0,0.0,0
49,he,PRON,23.930875778198242,31279,nos,PRON,34.219486236572266,31279
50,asks,VERB,27.407623291015625,31279,pide,VERB,35.246673583984375,31279
51,us,PRON,24.751163482666016,31279,que,SCONJ,32.34461212158203,31279
52,to,PART,20.511070251464844,31279,0,0,0.0,0
53,sing,VERB,26.23073387145996,31279,cantemos,VERB,32.143550872802734,31279
54,it,PRON,22.653270721435547,31279,0,0,0.0,0
55,.,PUNCT,21.56784439086914,31279,.,PUNCT,32.611141204833984,31279
56,(,PUNCT,20.03936195373535,34787,(,PUNCT,29.267982482910156,34787
57,Singing,NOUN,21.94786834716797,34787,Canta,PROPN,36.790382385253906,34787
58,),PUNCT,21.19869613647461,34787,),PUNCT,32.621376037597656,34787
59,And,CCONJ,20.897581100463867,37333,0,0,0.0,0
60,you,PRON,22.676067352294922,37333,Nos,PRON,31.056537628173828,37333
61,'re,AUX,20.475881576538086,37333,a,ADP,32.625858306884766,37333
62,either,ADV,21.84806251525879,37333,la,DET,34.16365432739258,37333
63,instructed,VERB,19.40900421142578,37333,manda,VERB,34.38136672973633,37333
64,to,PART,22.43414878845215,37333,derecha,NOUN,29.275114059448242,37333
65,go,VERB,24.294910430908203,37333,0,0,0.0,0
66,to,ADP,19.132217407226562,37333,de,ADP,30.26821517944336,37333
67,the,DET,21.172475814819336,37333,la,DET,32.52717208862305,37333
68,right,NOUN,17.841983795166016,37333,sala,NOUN,33.02633285522461,37333
69,of,ADP,23.85060691833496,37333,0,0,0.0,0
70,the,DET,20.791772842407227,37333,0,0,0.0,0
71,room,NOUN,17.94036865234375,37333,0,0,0.0,0
72,or,CCONJ,19.227806091308594,40191,o,CONJ,32.158538818359375,40191
73,left,ADJ,19.935625076293945,40191,a,ADP,32.3598518371582,40191
74,the,DET,22.481325149536133,40191,la,DET,33.21343994140625,40191
75,side,NOUN,18.326953887939453,40191,izquierda,NOUN,30.257736206054688,40191
76,of,ADP,23.662090301513672,40191,de,ADP,32.14569854736328,40191
77,the,DET,21.95213508605957,40191,la,DET,31.800508499145508,40191
78,room,NOUN,17.866670608520508,40191,sala,NOUN,33.08891296386719,40191
79,.,PUNCT,20.97768783569336,40191,.,PUNCT,34.192012786865234,40191
80,(,PUNCT,19.138301849365234,41699,(,PUNCT,28.748825073242188,41699
81,Laughter,PROPN,20.165264129638672,41699,Risas,PROPN,34.865478515625,41699
82,),PUNCT,20.96363067626953,41699,),PUNCT,32.331058502197266,41699
83,And,CCONJ,20.50776481628418,45139,Y,CONJ,32.02170181274414,45139
84,0,0,0.0,0,cuando,SCONJ,35.609256744384766,45139
85,when,ADV,23.212976455688477,45139,ya,ADV,34.23537826538086,45139
86,are,AUX,25.645915985107422,45139,hemos,AUX,34.370140075683594,45139
87,done,VERB,23.418180465698242,45139,terminado,VERB,33.99489974975586,45139
88,all,DET,20.4761962890625,45139,los,DET,33.67965316772461,45139
89,35,NUM,20.87893295288086,45139,35,NUM,35.35511779785156,45139
90,kids,NOUN,22.666505813598633,45139,niños,NOUN,35.69183349609375,45139
91,",",PUNCT,20.051454544067383,45139,",",PUNCT,31.2756290435791,45139
92,of,ADP,23.579004287719727,48916,a,ADP,34.414764404296875,48916
93,the,DET,21.120283126831055,48916,la,DET,32.610652923583984,48916
94,side,NOUN,17.859033584594727,48916,parte,NOUN,30.889719009399414,48916
95,left,ADJ,19.158288955688477,48916,izquierda,ADJ,33.83818054199219,48916
96,the,DET,22.356149673461914,48916,del,ADP,34.242889404296875,48916
97,room,NOUN,17.51478385925293,48916,aula,PROPN,31.47860336303711,48916
98,",",PUNCT,21.300792694091797,48916,",",PUNCT,31.501224517822266,48916
