,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,These,DET,21.503511428833008,12930,Estos,PRON,29.26313018798828,12930
1,are,AUX,23.51847267150879,12930,son,AUX,33.297061920166016,12930
2,simple,ADJ,22.507591247558594,12930,simples,ADJ,34.28672790527344,12930
3,objects,NOUN,21.28675079345703,12930,objetos,NOUN,36.829551696777344,12930
4,:,PUNCT,18.905946731567383,12930,:,PUNCT,30.629064559936523,12930
5,clocks,NOUN,20.18056297302246,14385,relojes,NOUN,34.101680755615234,14385
6,",",PUNCT,21.12864875793457,14385,",",PUNCT,31.083295822143555,14385
7,keys,NOUN,21.59571075439453,14385,llaves,NOUN,33.58821487426758,14385
8,",",PUNCT,23.554166793823242,14385,",",PUNCT,31.437820434570312,14385
9,combs,NOUN,20.3929500579834,14385,peines,NOUN,33.9481201171875,14385
10,",",PUNCT,22.81062889099121,14385,",",PUNCT,30.68657684326172,14385
11,glasses,NOUN,21.470718383789062,14385,gafas,NOUN,33.79558563232422,14385
12,.,PUNCT,20.420507431030273,14385,.,PUNCT,33.06317901611328,14385
13,They,PRON,24.463354110717773,18180,que,SCONJ,32.59213638305664,17760
14,are,AUX,25.513879776000977,18180,Son,AUX,31.78537940979004,17760
15,the,DET,21.654090881347656,18180,los,DET,36.22357940673828,17760
16,things,NOUN,20.212722778320312,18180,objetos,NOUN,34.90937423706055,17760
17,the,DET,19.714202880859375,18180,las,DET,33.24934768676758,17760
18,victims,NOUN,22.43418312072754,18180,víctimas,NOUN,35.31509780883789,17760
19,of,ADP,27.06387710571289,18180,del,ADP,35.46134567260742,17760
20,genocide,NOUN,21.708194732666016,18180,genocidio,NOUN,29.00284194946289,17760
21,in,ADP,21.86004066467285,18180,de,ADP,30.526927947998047,17760
22,Bosnia,PROPN,22.948516845703125,18180,Bosnia,PROPN,37.541141510009766,17760
23,carried,VERB,20.844785690307617,20520,llevaban,VERB,32.84617233276367,20520
24,with,ADP,23.944360733032227,20520,consigo,VERB,31.4697322845459,20520
25,them,PRON,24.7557430267334,20520,0,0,0.0,0
26,on,ADP,19.787681579589844,20520,en,ADP,34.060638427734375,20520
27,their,DET,22.385828018188477,20520,su,DET,31.98531723022461,20520
28,final,ADJ,21.626415252685547,20520,último,ADJ,34.754764556884766,20520
29,journey,NOUN,20.565523147583008,20520,viaje,NOUN,34.1906852722168,20520
30,.,PUNCT,21.567487716674805,20520,.,PUNCT,32.66169738769531,20520
31,We,PRON,23.972251892089844,23517,0,0,0.0,0
32,are,AUX,24.985286712646484,23517,0,0,0.0,0
33,all,ADV,23.915618896484375,23517,0,0,0.0,0
34,familiar,ADJ,21.58927345275879,23517,0,0,0.0,0
35,with,ADP,21.86347198486328,23517,0,0,0.0,0
36,these,DET,22.360942840576172,23517,0,0,0.0,0
37,mundane,ADJ,17.058446884155273,23517,0,0,0.0,0
38,",",PUNCT,19.3388671875,23517,0,0,0.0,0
39,0,0,0.0,0,estos,DET,34.73756408691406,25880
40,objects,NOUN,20.701059341430664,26240,objetos,NOUN,37.57267379760742,25880
41,everyday,ADJ,17.780120849609375,26240,terrenales,ADJ,36.063289642333984,25880
42,.,PUNCT,21.2141056060791,26240,",",PUNCT,29.630218505859375,25880
43,0,0,0.0,0,de,ADP,31.419565200805664,25880
44,0,0,0.0,0,todos,DET,31.91878318786621,25880
45,0,0,0.0,0,los,DET,35.6554069519043,25880
46,0,0,0.0,0,días,NOUN,34.93852996826172,25880
47,0,0,0.0,0,.,PUNCT,31.96769905090332,25880
48,The,DET,22.402986526489258,27974,algunas,DET,35.15098571777344,27974
49,fact,NOUN,19.995561599731445,27974,victimas,NOUN,34.31496810913086,27974
50,that,SCONJ,20.923307418823242,27974,Que,SCONJ,32.38207244873047,27974
51,some,DET,21.58745574951172,27974,0,0,0.0,0
52,of,ADP,23.21677017211914,27974,0,0,0.0,0
53,the,DET,22.06604766845703,27974,0,0,0.0,0
54,victims,NOUN,22.33795928955078,27974,0,0,0.0,0
55,carried,VERB,20.493257522583008,27974,0,0,0.0,0
56,personal,ADJ,20.556961059570312,29559,llevaran,VERB,31.834901809692383,29559
57,items,NOUN,23.265087127685547,29559,artículos,NOUN,35.051788330078125,29559
58,such,ADJ,20.819358825683594,29559,personales,ADJ,34.95821762084961,29559
59,and,CCONJ,22.066396713256836,29559,",",PUNCT,31.388599395751953,29559
60,as,SCONJ,21.5502872467041,29559,como,SCONJ,36.11835479736328,29559
61,toothpaste,NOUN,19.141557693481445,29559,pasta,NOUN,31.404199600219727,29559
62,a,DET,20.473974227905273,29559,de,ADP,32.20459747314453,29559
63,toothbrush,NOUN,21.73636817932129,29559,dientes,NOUN,35.54258728027344,29559
64,0,0,0.0,0,y,CONJ,34.94748306274414,29559
65,0,0,0.0,0,cepillos,NOUN,31.255207061767578,29559
66,is,AUX,20.164098739624023,32973,es,AUX,35.65917205810547,32973
67,a,DET,24.700942993164062,32973,una,DET,35.06277847290039,32973
68,sign,NOUN,19.11733055114746,32973,señal,NOUN,33.41518783569336,32973
69,clear,ADJ,19.738967895507812,32973,clara,ADJ,36.69142150878906,32973
70,they,PRON,22.0006046295166,32973,de,ADP,33.109046936035156,32973
71,had,AUX,23.50716209411621,32973,que,SCONJ,34.857051849365234,32973
72,no,DET,22.947477340698242,32973,no,ADV,34.618431091308594,32973
73,0,0,0.0,0,tenían,VERB,35.282894134521484,32973
74,0,0,0.0,0,ni,CONJ,32.390869140625,32973
