,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,in,ADP,20.23163604736328,20369,en,ADP,33.9522819519043,20369
1,children,NOUN,21.0638484954834,20369,hogares,NOUN,35.32017517089844,20369
2,'s,PART,24.433128356933594,20369,y,CONJ,33.40186309814453,20369
3,homes,NOUN,20.055078506469727,20369,familias,NOUN,34.264076232910156,20369
4,and,CCONJ,23.141576766967773,20369,de,ADP,31.18533706665039,20369
5,foster,ADJ,19.23416519165039,20369,0,0,0.0,0
6,care,NOUN,19.3085880279541,20369,acogida,NOUN,30.117250442504883,20369
7,",",PUNCT,20.162433624267578,20369,",",PUNCT,30.57744598388672,20369
8,you,PRON,24.072797775268555,22675,podría,AUX,32.687278747558594,22675
9,could,VERB,24.222822189331055,22675,decirse,VERB,32.67369079589844,22675
10,say,VERB,24.937166213989258,22675,0,0,0.0,0
11,that,SCONJ,18.810117721557617,22675,que,SCONJ,34.1196403503418,22675
12,I,PRON,24.217878341674805,22675,0,0,0.0,0
13,'m,AUX,22.302270889282227,22675,soy,AUX,31.098569869995117,22675
14,an,DET,22.53933334350586,22675,un,DET,37.75450134277344,22675
15,expert,NOUN,18.644540786743164,22675,experto,NOUN,32.45648193359375,22675
16,on,ADP,19.17219352722168,22675,en,ADP,31.371423721313477,22675
17,the,DET,21.087173461914062,22675,el,DET,34.32480239868164,22675
18,subject,NOUN,19.074893951416016,22675,tema,NOUN,29.950727462768555,22675
19,",",PUNCT,19.343149185180664,22675,",",PUNCT,29.22891616821289,22675
20,and,CCONJ,20.405290603637695,25723,y,CONJ,32.902652740478516,25723
21,in,ADP,19.11283302307129,25723,0,0,0.0,0
22,being,AUX,24.91605567932129,25723,siendo,AUX,36.48109436035156,25723
23,an,DET,20.572956085205078,25723,un,DET,36.82605743408203,25723
24,expert,NOUN,19.180707931518555,25723,experto,NOUN,33.63658905029297,25723
25,",",PUNCT,20.8807430267334,25723,",",PUNCT,29.93035125732422,25723
26,I,PRON,23.93669319152832,25723,haceros,NOUN,31.990129470825195,25723
27,want,VERB,23.429582595825195,25723,quiero,VERB,32.78279113769531,25723
28,to,PART,21.34217643737793,25723,que,SCONJ,31.790136337280273,25723
29,let,VERB,24.126785278320312,25723,saber,AUX,34.88967514038086,25723
30,you,PRON,24.066837310791016,25723,0,0,0.0,0
31,know,VERB,22.96384620666504,25723,0,0,0.0,0
32,that,DET,20.602128982543945,25723,0,0,0.0,0
33,being,AUX,24.12216567993164,29281,ser,AUX,34.434242248535156,29281
34,an,DET,21.45879364013672,29281,un,DET,36.78781509399414,29281
35,expert,NOUN,20.3018741607666,29281,experto,NOUN,33.214576721191406,29281
36,does,AUX,22.705604553222656,29281,no,ADV,32.40461730957031,29281
37,in,ADP,21.03766441345215,29281,en,ADP,32.399742126464844,29281
38,no,DET,24.708791732788086,29281,lo,DET,31.869972229003906,29281
39,way,NOUN,20.456449508666992,29281,significa,VERB,33.68014907836914,29281
40,make,VERB,21.712045669555664,29281,estar,VERB,36.40218734741211,29281
41,you,PRON,23.311159133911133,29281,0,0,0.0,0
42,right,ADJ,22.647899627685547,29281,cierto,ADJ,35.2787971496582,29281
43,in,ADP,21.00377655029297,34888,a,ADP,34.542686462402344,34888
44,0,0,0.0,0,la,DET,33.1092414855957,34888
45,light,NOUN,19.098329544067383,34888,luz,NOUN,30.943471908569336,34888
46,of,ADP,23.374568939208984,34888,de,ADP,30.6690731048584,34888
47,the,DET,23.467803955078125,34888,la,DET,33.22931671142578,34888
48,truth,NOUN,17.22571563720703,34888,verdad,NOUN,32.41716384887695,34888
49,.,PUNCT,21.145263671875,34888,.,PUNCT,32.73858642578125,34888
50,If,SCONJ,21.700328826904297,37888,Si,SCONJ,34.176902770996094,37888
51,you,PRON,23.54888916015625,37888,estás,VERB,33.766380310058594,37888
52,'re,AUX,22.794416427612305,37888,a,ADP,33.8135986328125,37888
53,in,ADP,21.327930450439453,37888,del,ADP,33.712913513183594,37888
54,care,NOUN,18.76598358154297,37888,cargo,NOUN,30.16620445251465,37888
55,",",PUNCT,20.624723434448242,37888,",",PUNCT,31.332067489624023,37888
56,legally,ADV,21.385807037353516,37888,legalmente,ADV,31.8073673248291,37888
57,the,DET,21.640172958374023,37888,el,DET,33.4300537109375,37888
58,government,NOUN,20.617767333984375,37888,estado,PROPN,32.56422424316406,37888
59,is,AUX,22.322566986083984,37888,gobierno,PROPN,31.718088150024414,37888
60,your,DET,21.06553840637207,37888,0,0,0.0,0
61,parent,NOUN,17.651805877685547,42076,es,AUX,34.46879196166992,42076
62,0,0,0.0,0,tu,DET,32.09407424926758,42076
63,loco,NOUN,17.774070739746094,42076,padre,NOUN,32.403472900390625,42076
64,",",PUNCT,21.812124252319336,42076,",",PUNCT,28.21723175048828,42076
65,.,PUNCT,21.52206039428711,42076,"""",PUNCT,30.645124435424805,42076
66,0,0,0.0,0,loco,PROPN,31.489545822143555,42076
67,parentis,NOUN,18.210472106933594,42076,parentis,NOUN,32.68008804321289,42076
68,0,0,0.0,0,"""",PUNCT,32.716617584228516,42076
69,0,0,0.0,0,.,PUNCT,33.1388053894043,42076
70,Margaret,PROPN,19.605731964111328,45803,Margaret,PROPN,34.079681396484375,45803
71,Thatcher,PROPN,22.128337860107422,45803,Thatcher,PROPN,36.7220458984375,45803
72,was,AUX,22.576520919799805,45803,fue,AUX,34.3162841796875,45803
73,my,DET,22.851133346557617,45803,mi,DET,33.808197021484375,45803
74,mother,NOUN,19.69153594970703,45803,madre,NOUN,31.93748664855957,45803
75,.,PUNCT,21.628511428833008,45803,.,PUNCT,30.88690185546875,45803
76,(,PUNCT,20.367111206054688,45803,(,PUNCT,28.632532119750977,45803
77,Laughter,NOUN,19.669034957885742,45803,Risas,PROPN,34.74401092529297,45803
78,),PUNCT,20.944971084594727,45803,),PUNCT,32.32643508911133,45803
79,Let,VERB,21.8490047454834,49752,Mejor,ADV,32.71333694458008,49752
80,'s,PRON,22.218427658081055,49752,ni,CONJ,31.912981033325195,49752
81,talk,VERB,21.86380386352539,49752,hablamos,VERB,31.908798217773438,49752
82,about,ADP,22.441068649291992,49752,de,ADP,31.3145809173584,49752
83,not,PART,26.26595115661621,49752,la,DET,33.5800666809082,49752
84,Laughter,NOUN,19.96634292602539,49752,lactancia,NOUN,30.910037994384766,49752
85,.,PUNCT,21.398143768310547,49752,.,PUNCT,31.269506454467773,49752
86,(,PUNCT,20.666959762573242,49752,(,PUNCT,27.973041534423828,49752
87,breastfeeding,VERB,19.516674041748047,49752,Risas,PROPN,34.837066650390625,49752
