,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Three,NUM,23.667949676513672,12478,tres,NUM,36.914913177490234,12478
1,and,CCONJ,21.505321502685547,12478,Hace,AUX,36.325401306152344,12478
2,a,DET,20.374401092529297,12478,y,CONJ,36.298282623291016,12478
3,half,NOUN,19.994281768798828,12478,años,NOUN,36.09933090209961,12478
4,years,NOUN,19.599397659301758,12478,medio,NUM,33.42509460449219,12478
5,ago,ADV,20.453353881835938,12478,0,0,0.0,0
6,",",PUNCT,21.949338912963867,12478,",",PUNCT,30.296279907226562,12478
7,I,PRON,24.0811824798584,14213,una,PRON,30.832538604736328,14213
8,made,VERB,24.321517944335938,14213,tomé,VERB,33.52021026611328,14213
9,one,NUM,21.934755325317383,14213,0,0,0.0,0
10,of,ADP,24.422836303710938,14213,de,ADP,30.882591247558594,14213
11,the,DET,20.35517692565918,14213,las,DET,34.165016174316406,14213
12,best,ADJ,21.14519691467285,14213,mejores,ADJ,37.291717529296875,14213
13,decisions,NOUN,21.480281829833984,14213,decisiones,NOUN,36.273765563964844,14213
14,of,ADP,24.492063522338867,14213,de,ADP,31.959434509277344,14213
15,my,DET,22.12023162841797,14213,mi,DET,35.029205322265625,14213
16,life,NOUN,18.492626190185547,14213,vida,NOUN,30.79249382019043,14213
17,.,PUNCT,22.019906997680664,14213,.,PUNCT,33.09043884277344,14213
18,As,SCONJ,22.276046752929688,17463,Como,SCONJ,33.77558898925781,17463
19,my,DET,23.23478126525879,17463,objetivo,NOUN,32.677791595458984,17463
20,New,PROPN,20.42300796508789,17463,de,ADP,30.649023056030273,17463
21,Year,PROPN,20.24039077758789,17463,principio,NOUN,30.074268341064453,17463
22,'s,PART,21.611570358276367,17463,de,ADP,30.00205421447754,17463
23,resolution,NOUN,20.82271385192871,17463,año,NOUN,30.493911743164062,17463
24,",",PUNCT,20.19393539428711,17463,",",PUNCT,29.745834350585938,17463
25,I,PRON,24.700124740600586,19526,de,ADP,31.140464782714844,19526
26,gave,VERB,24.73835563659668,19526,dejé,VERB,31.259859085083008,19526
27,up,ADP,21.671672821044922,19526,de,ADP,30.414337158203125,19526
28,dieting,NOUN,20.101558685302734,19526,dieta,NOUN,28.913692474365234,19526
29,",",PUNCT,20.789159774780273,19526,",",PUNCT,31.142440795898438,19526
30,stopped,VERB,22.22416114807129,19526,hacer,VERB,33.37328338623047,19526
31,worrying,VERB,23.437299728393555,19526,preocuparme,NOUN,30.42841911315918,19526
32,about,ADP,21.97910499572754,19526,por,ADP,33.48253631591797,19526
33,my,DET,21.75716781616211,19526,mi,DET,32.325172424316406,19526
34,weight,NOUN,20.68126106262207,19526,peso,NOUN,30.893766403198242,19526
35,",",PUNCT,21.079788208007812,19526,0,0,0.0,0
36,and,CCONJ,20.287233352661133,23765,y,CONJ,34.694313049316406,23765
37,learned,VERB,21.93251609802246,23765,aprendí,VERB,29.304454803466797,23765
38,to,PART,23.49164581298828,23765,a,ADP,33.22209548950195,23765
39,eat,VERB,24.609039306640625,23765,ser,AUX,35.11713790893555,23765
40,mindfully,ADV,21.032167434692383,23765,más,ADV,37.76103210449219,23765
41,0,0,0.0,0,cuidadosa,ADJ,35.11446762084961,23765
42,0,0,0.0,0,con,ADP,34.1422233581543,23765
43,0,0,0.0,0,la,DET,32.96467590332031,23765
44,0,0,0.0,0,comida,NOUN,31.57343292236328,23765
45,.,PUNCT,22.1190242767334,23765,.,PUNCT,33.66427993774414,23765
46,Now,ADV,22.370820999145508,26790,Ahora,ADV,29.448720932006836,26790
