,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.674091339111328,12860,Nací,PROPN,29.318309783935547,12860
1,was,AUX,23.843351364135742,12860,0,0,0.0,0
2,born,VERB,23.561138153076172,12860,0,0,0.0,0
3,in,ADP,20.92230224609375,12860,en,ADP,33.21977233886719,12860
4,Taiwan,PROPN,24.373577117919922,12860,Taiwán,PROPN,37.272064208984375,12860
5,.,PUNCT,19.258947372436523,12860,.,PUNCT,31.923925399780273,12860
6,I,PRON,25.332178115844727,14595,Crecí,PROPN,33.104530334472656,14595
7,grew,VERB,25.557554244995117,14595,rodeado,ADJ,32.63365173339844,14595
8,up,ADP,19.12457847595215,14595,de,ADP,28.650583267211914,14595
9,surrounded,VERB,22.455644607543945,14595,0,0,0.0,0
10,by,ADP,20.812179565429688,14595,0,0,0.0,0
11,different,ADJ,19.175710678100586,16419,diferentes,DET,33.81290817260742,16419
12,types,NOUN,21.344945907592773,16419,tipos,NOUN,35.346431732177734,16419
13,of,ADP,24.092308044433594,16419,de,ADP,31.649965286254883,16419
14,hardware,NOUN,21.53653335571289,16419,ferreterías,NOUN,33.845191955566406,16419
15,stores,NOUN,21.13650131225586,16419,0,0,0.0,0
16,",",PUNCT,20.184608459472656,16419,0,0,0.0,0
17,and,CCONJ,19.32387924194336,19119,y,CONJ,31.201210021972656,19119
18,I,PRON,24.225332260131836,19119,me,PRON,33.481361389160156,19119
19,like,VERB,22.797353744506836,19119,gusta,VERB,36.71131896972656,19119
20,going,VERB,23.66183853149414,19119,ir,VERB,37.258392333984375,19119
21,to,ADP,20.280500411987305,19119,a,ADP,33.411285400390625,19119
22,night,NOUN,20.47833251953125,19119,los,DET,35.76633071899414,19119
23,markets,NOUN,20.456533432006836,19119,mercados,NOUN,36.81813430786133,19119
24,0,0,0.0,0,nocturnos,ADJ,33.71403884887695,19119
25,.,PUNCT,20.24925994873047,19119,.,PUNCT,31.608152389526367,19119
26,I,PRON,24.638132095336914,21467,Me,PRON,32.3466796875,21467
27,love,VERB,23.784025192260742,21467,encanta,VERB,35.34975051879883,21467
28,the,DET,22.967815399169922,21467,la,DET,31.7286319732666,21467
29,energy,NOUN,19.38985824584961,21467,energía,NOUN,29.855175018310547,21467
30,of,ADP,22.95392608642578,21467,de,ADP,32.182865142822266,21467
31,the,DET,23.49045181274414,21467,los,DET,34.24102020263672,21467
32,night,NOUN,18.570228576660156,21467,mercados,NOUN,36.5009765625,21467
33,markets,NOUN,19.19400405883789,21467,nocturnos,ADJ,34.19507598876953,21467
34,",",PUNCT,20.277790069580078,21467,",",PUNCT,30.423046112060547,21467
35,the,DET,21.015443801879883,23307,los,DET,33.30397415161133,23307
36,colors,NOUN,18.9017333984375,23307,colores,NOUN,33.96220779418945,23307
37,",",PUNCT,22.6872501373291,23307,",",PUNCT,31.51894760131836,23307
38,the,DET,20.954851150512695,23307,las,DET,34.75214385986328,23307
39,lights,NOUN,18.829648971557617,23307,luces,NOUN,33.212398529052734,23307
40,",",PUNCT,22.227235794067383,23307,",",PUNCT,31.498584747314453,23307
41,the,DET,19.23465347290039,23307,los,DET,33.622474670410156,23307
42,toys,NOUN,18.221981048583984,23307,juguetes,NOUN,35.68182373046875,23307
43,",",PUNCT,19.868572235107422,23307,",",PUNCT,30.071304321289062,23307
44,and,CCONJ,19.53061294555664,25859,y,CONJ,33.65511703491211,25859
45,all,DET,18.671533584594727,25859,todas,DET,34.90449523925781,25859
46,the,DET,22.011762619018555,25859,las,DET,32.8253059387207,25859
47,unexpected,ADJ,21.37302017211914,25859,inesperadas,ADJ,34.318641662597656,25859
48,things,NOUN,21.62995147705078,25859,cosas,NOUN,34.23074722290039,25859
49,I,PRON,25.92227554321289,25859,que,PRON,32.48088836669922,25859
50,find,VERB,24.667325973510742,25859,encuentro,VERB,35.3543701171875,25859
51,every,DET,23.168819427490234,25859,cada,DET,32.53395462036133,25859
52,time,NOUN,19.08880615234375,25859,vez,NOUN,33.752357482910156,25859
53,I,PRON,26.000364303588867,25859,que,PRON,31.898279190063477,25859
54,go,VERB,22.132192611694336,25859,voy,VERB,33.82487106323242,25859
55,",",PUNCT,19.781234741210938,25859,",",PUNCT,29.092866897583008,25859
56,things,NOUN,20.00602149963379,29302,cosas,NOUN,33.452877044677734,29302
57,like,SCONJ,19.059343338012695,29302,como,SCONJ,36.164344787597656,29302
58,watermelon,PROPN,19.271638870239258,29302,sandías,NOUN,34.92542266845703,29302
59,with,ADP,21.568456649780273,29302,con,ADP,33.8062629699707,29302
60,straw,NOUN,18.758758544921875,29302,antenas,NOUN,34.034751892089844,29302
61,0,0,0.0,0,de,ADP,31.015085220336914,29302
62,antennas,NOUN,21.371047973632812,29302,sorbete,NOUN,30.238134384155273,29302
63,or,CCONJ,22.935199737548828,32672,o,CONJ,32.08806610107422,32672
64,puppies,NOUN,21.224306106567383,32672,cachorros,NOUN,34.20188522338867,32672
65,with,ADP,22.600692749023438,32672,con,ADP,33.6382942199707,32672
66,mohawks,NOUN,19.628890991210938,32672,penachos,NOUN,32.87639236450195,32672
67,.,PUNCT,21.682212829589844,32672,.,PUNCT,33.58486557006836,32672
68,When,ADV,23.119606018066406,36494,Mientras,SCONJ,34.65626525878906,36494
69,I,PRON,24.210351943969727,36494,me,PRON,32.03086853027344,36494
70,was,AUX,25.72415542602539,36494,0,0,0.0,0
71,growing,VERB,23.425491333007812,36494,crecía,VERB,35.16239547729492,36494
72,up,ADP,20.398120880126953,36494,0,0,0.0,0
73,",",PUNCT,22.39339256286621,36494,",",PUNCT,30.500614166259766,36494
74,I,PRON,25.01552391052246,36494,juguetes,PROPN,33.49268341064453,36494
75,liked,VERB,25.28925132751465,36494,desarmar,VERB,35.78245162963867,36494
76,taking,VERB,23.129850387573242,36494,gustaba,VERB,34.31386184692383,36494
77,toys,NOUN,21.347043991088867,36494,0,0,0.0,0
78,apart,ADV,21.118452072143555,36494,0,0,0.0,0
79,",",PUNCT,19.965190887451172,36494,",",PUNCT,30.592084884643555,36494
80,any,DET,22.29070281982422,39304,cualquier,DET,34.89734649658203,39304
81,kind,NOUN,18.607337951660156,39304,juguete,NOUN,34.50986862182617,39304
82,of,ADP,22.20513153076172,39304,en,ADP,34.77671432495117,39304
83,toys,NOUN,22.837182998657227,39304,casa,NOUN,31.309919357299805,39304
84,I,PRON,24.567869186401367,39304,que,PRON,30.736103057861328,39304
85,'d,VERB,22.819950103759766,39304,encontrara,VERB,32.78002166748047,39304
86,find,VERB,22.076913833618164,39304,0,0,0.0,0
87,around,ADP,23.179691314697266,39304,0,0,0.0,0
88,the,DET,22.145545959472656,39304,0,0,0.0,0
89,house,NOUN,18.155967712402344,39304,0,0,0.0,0
90,",",PUNCT,20.885108947753906,39304,",",PUNCT,30.855125427246094,39304
91,like,SCONJ,20.981218338012695,41328,como,SCONJ,35.42006301879883,41328
92,my,DET,22.124507904052734,41328,la,DET,33.44514465332031,41328
93,brother,NOUN,17.914945602416992,41328,pistola,NOUN,30.645164489746094,41328
94,'s,PART,18.85138511657715,41328,de,ADP,32.51341247558594,41328
95,BB,PROPN,20.437589645385742,41328,balines,NOUN,32.52580261230469,41328
96,0,0,0.0,0,de,ADP,32.27507019042969,41328
97,when,ADV,21.8995304107666,41328,mi,DET,33.65212631225586,41328
98,gun,NOUN,20.06449317932129,41328,hermano,NOUN,32.31855010986328,41328
99,not,PART,23.619468688964844,41328,cuando,SCONJ,32.59560775756836,41328
100,he,PRON,23.945981979370117,41328,él,PRON,31.658315658569336,41328
101,home,ADV,19.850046157836914,41328,no,ADV,32.97629928588867,41328
102,'s,AUX,22.1008358001709,41328,estaba,AUX,34.243473052978516,41328
103,.,PUNCT,22.15959930419922,41328,.,PUNCT,32.998966217041016,41328
104,I,PRON,24.18571662902832,43562,me,PRON,33.06674575805664,43562
105,also,ADV,24.895952224731445,43562,También,ADV,35.75942611694336,43562
106,liked,VERB,22.724990844726562,43562,gustaba,VERB,34.783443450927734,43562
107,to,PART,22.41431999206543,43562,0,0,0.0,0
108,make,VERB,24.618921279907227,43562,hacer,VERB,37.32338333129883,43562
109,environments,NOUN,19.977218627929688,43562,ambientes,NOUN,35.51484298706055,43562
110,for,ADP,22.1721134185791,45580,para,ADP,35.83125305175781,45580
111,0,0,0.0,0,que,SCONJ,34.17943572998047,45580
112,to,PART,21.94618034362793,45580,las,DET,33.785194396972656,45580
113,people,NOUN,21.330720901489258,45580,personas,NOUN,35.73869705200195,45580
114,explore,VERB,23.510587692260742,45580,exploren,VERB,33.5150260925293,45580
115,and,CCONJ,23.30271339416504,45580,y,CONJ,32.14712905883789,45580
116,play,VERB,21.657243728637695,45580,jueguen,VERB,35.03654479980469,45580
117,.,PUNCT,20.695417404174805,45580,.,PUNCT,31.38602066040039,45580
118,In,ADP,21.616682052612305,47668,En,ADP,33.34828567504883,47668
