,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,25.355504989624023,15805,Crecí,PROPN,32.46864700317383,15805
1,grew,VERB,25.72977638244629,15805,viendo,VERB,32.26771545410156,15805
2,up,ADP,19.87387466430664,15805,0,0,0.0,0
3,watching,VERB,21.632938385009766,15805,0,0,0.0,0
4,Star,PROPN,19.6735897064209,15805,Trek,PROPN,36.393009185791016,15805
5,Trek,PROPN,19.80837631225586,15805,Star,PROPN,33.94104766845703,15805
6,.,PUNCT,20.902297973632812,15805,.,PUNCT,30.709726333618164,15805
7,I,PRON,24.906227111816406,15805,Me,PRON,32.20197296142578,15805
8,love,VERB,21.129173278808594,15805,encanta,VERB,34.06513977050781,15805
9,Star,PROPN,19.41149139404297,15805,Trek,PROPN,36.712318420410156,15805
10,Trek,PROPN,19.84515953063965,15805,Star,PROPN,32.33509063720703,15805
11,.,PUNCT,19.30535888671875,15805,.,PUNCT,31.976396560668945,15805
12,Star,PROPN,19.5128116607666,19337,Star,PROPN,33.205936431884766,19337
13,Trek,PROPN,21.76742172241211,19337,Trek,PROPN,35.077667236328125,19337
14,made,VERB,23.87552261352539,19337,hizo,AUX,35.89677047729492,19337
15,me,PRON,26.6606502532959,19337,me,PRON,30.78544044494629,19337
16,want,VERB,23.413291931152344,19337,querer,AUX,35.27306365966797,19337
17,to,PART,23.106826782226562,19337,0,0,0.0,0
18,see,VERB,26.189929962158203,19337,ver,VERB,35.083412170410156,19337
19,alien,ADJ,19.493345260620117,19337,alienígenas,ADJ,36.1385612487793,19337
20,creatures,NOUN,21.476375579833984,19337,criaturas,NOUN,32.466251373291016,19337
21,",",PUNCT,19.320253372192383,19337,",",PUNCT,31.07271957397461,19337
22,creatures,NOUN,21.864221572875977,23799,criaturas,NOUN,32.19697952270508,23799
23,from,ADP,21.60641098022461,23799,de,ADP,32.95111083984375,23799
24,a,DET,20.656431198120117,23799,un,DET,37.08589553833008,23799
25,far,ADV,22.01949691772461,23799,0,0,0.0,0
26,-,PUNCT,22.30845069885254,23799,.,PUNCT,33.695762634277344,23799
27,distant,ADJ,20.90255355834961,23799,distante,ADJ,34.906227111816406,23799
28,world,NOUN,20.0861873626709,23799,mundo,NOUN,31.214038848876953,23799
29,.,PUNCT,21.805452346801758,23799,0,0,0.0,0
30,But,CCONJ,21.66324806213379,26102,Pero,CONJ,34.48154830932617,26102
31,basically,ADV,21.70175552368164,26102,básicamente,ADV,33.394676208496094,26102
32,",",PUNCT,20.552928924560547,26102,",",PUNCT,28.78565788269043,26102
33,I,PRON,24.75677490234375,26102,me,PRON,31.206642150878906,26102
34,figured,VERB,24.68994903564453,26102,di,VERB,32.1075439453125,26102
35,I,PRON,24.683664321899414,26102,cuenta,NOUN,33.18860626220703,26102
36,out,ADP,21.20789337158203,26102,de,ADP,29.350482940673828,26102
37,that,SCONJ,19.942651748657227,26102,que,SCONJ,34.905025482177734,26102
38,could,VERB,24.385025024414062,26102,podía,AUX,33.59520721435547,26102
39,find,VERB,25.13991928100586,26102,encontrar,VERB,36.165306091308594,26102
40,those,DET,21.442665100097656,28889,esas,DET,32.63689422607422,28889
41,creatures,VERB,21.875354766845703,28889,criaturas,NOUN,33.50437927246094,28889
42,alien,ADJ,17.941089630126953,28889,extraterrestres,ADJ,33.20829391479492,28889
43,right,ADV,21.27625274658203,28889,aquí,ADV,34.643959045410156,28889
44,on,ADP,19.425527572631836,28889,en,ADP,31.778411865234375,28889
45,0,0,0.0,0,la,DET,32.16387176513672,28889
46,Earth,PROPN,21.937143325805664,28889,Tierra,PROPN,35.98830032348633,28889
47,.,PUNCT,22.59120750427246,28889,.,PUNCT,31.7254695892334,28889
48,And,CCONJ,21.116676330566406,31866,Y,CONJ,32.059024810791016,31866
49,what,PRON,21.680604934692383,31866,lo,DET,35.011390686035156,31866
50,I,PRON,25.942434310913086,31866,que,PRON,32.9423713684082,31866
51,do,AUX,23.700695037841797,31866,hago,VERB,32.1617431640625,31866
52,is,AUX,19.656766891479492,31866,es,AUX,34.050167083740234,31866
53,I,PRON,22.023509979248047,31866,0,0,0.0,0
54,study,VERB,22.06584358215332,31866,estudiar,VERB,36.96575927734375,31866
55,insects,NOUN,20.688779830932617,31866,insectos,NOUN,36.32733154296875,31866
56,.,PUNCT,21.91832160949707,31866,.,PUNCT,32.70930862426758,31866
57,'m,AUX,22.356529235839844,34519,Estoy,AUX,33.36436462402344,34519
58,I,PRON,24.684431076049805,34519,obsesionado,ADJ,33.58456039428711,34519
59,with,ADP,22.270524978637695,34519,con,ADP,31.55232048034668,34519
60,obsessed,VERB,22.779619216918945,34519,los,DET,35.42880630493164,34519
61,insects,NOUN,21.518211364746094,34519,insectos,NOUN,34.12663650512695,34519
62,",",PUNCT,20.718252182006836,34519,",",PUNCT,32.06038284301758,34519
63,particularly,ADV,24.382902145385742,34519,particularmente,ADV,32.86244583129883,34519
