,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,This,DET,23.50226402282715,19330,Éste,PRON,32.89527893066406,19330
1,is,AUX,24.519241333007812,19330,es,AUX,31.807838439941406,19330
2,the,DET,22.2764835357666,19330,el,DET,33.84480667114258,19330
3,Large,PROPN,21.519325256347656,19330,Gran,ADJ,34.813594818115234,19330
4,Hadron,PROPN,20.746755599975586,19330,Colisionador,PROPN,34.86933135986328,19330
5,0,0,0.0,0,de,ADP,28.637615203857422,19330
6,Collider,PROPN,21.09027671813965,19330,Hadrones,PROPN,36.155372619628906,19330
7,.,PUNCT,21.076913833618164,19330,.,PUNCT,30.688695907592773,19330
8,It,PRON,23.294363021850586,22330,Tiene,VERB,33.419551849365234,22330
9,'s,AUX,21.56480598449707,22330,0,0,0.0,0
10,27,NUM,22.739120483398438,22330,27,NUM,35.89724349975586,22330
11,kilometers,NOUN,22.047548294067383,22330,kilómetros,NOUN,35.26559066772461,22330
12,in,ADP,22.08037567138672,22330,de,ADP,31.839994430541992,22330
13,circumference,NOUN,21.968950271606445,22330,circunferencia,NOUN,30.49883270263672,22330
14,.,PUNCT,21.54741668701172,22330,",",PUNCT,30.6065616607666,22330
15,It,PRON,23.038589477539062,24330,más,ADV,37.69919967651367,24330
16,'s,AUX,22.992048263549805,24330,es,AUX,33.326026916503906,24330
17,the,DET,22.804208755493164,24330,el,DET,36.546775817871094,24330
18,biggest,ADJ,22.02628517150879,24330,científico,ADJ,34.82758712768555,24330
19,scientific,ADJ,20.473356246948242,24330,grande,ADJ,33.071903228759766,24330
20,experiment,NOUN,20.423507690429688,24330,experimento,NOUN,32.353721618652344,24330
21,ever,ADV,21.361671447753906,24330,jamás,ADV,35.20417022705078,24330
22,attempted,VERB,21.16568374633789,24330,intentado,ADJ,34.48358917236328,24330
23,.,PUNCT,20.905078887939453,24330,.,PUNCT,34.26164245605469,24330
24,0,0,0.0,0,Más,ADV,34.18336486816406,27330
25,Over,ADP,20.328468322753906,27330,de,ADP,32.073543548583984,27330
26,"10,000",NUM,23.101581573486328,27330,"10,000",NUM,34.14524459838867,27330
27,physicists,NOUN,22.48110580444336,27330,físicos,NOUN,34.15038299560547,27330
28,and,CCONJ,25.081693649291992,27330,e,CONJ,33.342742919921875,27330
29,engineers,NOUN,19.140396118164062,27330,ingenieros,NOUN,34.567047119140625,27330
30,from,ADP,21.348526000976562,30330,de,ADP,32.49495315551758,30330
31,85,NUM,21.59844398498535,30330,85,NUM,35.160709381103516,30330
32,countries,NOUN,21.857444763183594,30330,países,NOUN,36.13768005371094,30330
33,around,ADP,21.408987045288086,30330,de,ADP,33.08464050292969,30330
34,the,DET,21.638607025146484,30330,todo,DET,33.36494827270508,30330
35,0,0,0.0,0,el,DET,35.25452423095703,30330
36,world,NOUN,18.091264724731445,30330,mundo,NOUN,31.777193069458008,30330
37,have,AUX,21.95447540283203,32330,han,AUX,36.58199691772461,32330
38,come,VERB,23.429677963256836,32330,reunido,VERB,36.177738189697266,32330
39,together,ADV,21.24283218383789,32330,se,PRON,32.86531066894531,32330
40,over,ADP,19.72356605529785,32330,durante,ADP,34.53657531738281,32330
41,several,ADJ,21.25014305114746,32330,varias,DET,36.22867202758789,32330
42,decades,NOUN,20.88300323486328,32330,décadas,NOUN,34.598533630371094,32330
43,to,PART,21.80049705505371,34330,para,ADP,35.69021224975586,34330
44,build,VERB,24.378019332885742,34330,construir,VERB,37.42213821411133,34330
45,this,DET,23.02309799194336,34330,esta,DET,33.2802619934082,34330
46,machine,NOUN,19.065153121948242,34330,máquina,NOUN,32.32849884033203,34330
47,.,PUNCT,20.84902000427246,34330,.,PUNCT,33.43485641479492,34330
48,What,PRON,22.060684204101562,36330,Lo,DET,32.488250732421875,36330
49,we,PRON,25.318941116333008,36330,que,PRON,31.246549606323242,36330
50,do,AUX,22.99501609802246,36330,hacemos,VERB,33.27111053466797,36330
51,is,AUX,19.69367218017578,36330,es,AUX,33.097259521484375,36330
52,we,PRON,21.965970993041992,36330,0,0,0.0,0
53,accelerate,VERB,22.9086856842041,36330,acelerar,VERB,36.61649703979492,36330
54,protons,NOUN,20.545448303222656,36330,protones,NOUN,34.29828643798828,36330
