,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,ADV,19.684125900268555,16055,Cuando,SCONJ,35.259864807128906,16055
1,when,ADV,22.022621154785156,16055,se,PRON,33.18959045410156,16055
2,the,DET,19.550090789794922,16055,la,DET,30.952762603759766,16055
3,White,PROPN,21.704708099365234,16055,Casa,PROPN,35.455665588378906,16055
4,House,PROPN,22.75341796875,16055,Blanca,PROPN,35.22044372558594,16055
5,was,AUX,22.28990364074707,16055,a,ADP,33.825748443603516,17875
6,built,VERB,21.316808700561523,16055,construyó,VERB,38.873291015625,16055
7,in,ADP,20.777259826660156,17875,del,ADP,33.894813537597656,17875
8,the,DET,21.340755462646484,17875,principios,NOUN,32.52336120605469,17875
9,early,ADJ,19.792264938354492,17875,siglo,NOUN,32.40095520019531,17875
10,19th,ADJ,19.367942810058594,17875,XIX,NOUN,36.1464729309082,17875
11,century,NOUN,19.29450798034668,17875,recinto,NOUN,32.19470977783203,17875
12,",",PUNCT,19.458528518676758,17875,",",PUNCT,30.59630012512207,17875
13,it,PRON,23.60967254638672,17875,de,ADP,31.133283615112305,17875
14,was,AUX,24.53960609436035,17875,era,AUX,33.524105072021484,17875
15,an,DET,25.042585372924805,17875,un,DET,37.704429626464844,17875
16,open,ADJ,20.851760864257812,17875,abiertas,ADJ,33.624568939208984,17875
17,house,NOUN,21.949012756347656,17875,puertas,NOUN,35.34033966064453,17875
18,.,PUNCT,22.042543411254883,17875,.,PUNCT,33.643768310546875,17875
19,Neighbors,NOUN,24.494482040405273,20868,vecinos,NOUN,34.60033416748047,20868
20,came,VERB,24.131084442138672,20868,entraban,VERB,33.321311950683594,20868
21,and,CCONJ,21.569643020629883,20868,Los,DET,34.55470657348633,20868
22,went,VERB,23.602741241455078,20868,salían,VERB,33.11335754394531,20868
23,.,PUNCT,18.449443817138672,20868,.,PUNCT,31.982410430908203,20868
24,Under,ADP,20.421483993530273,20868,Durante,ADP,35.03467559814453,20868
25,President,PROPN,23.861690521240234,20868,y,CONJ,33.50343704223633,20868
26,Adams,PROPN,21.14035415649414,20868,Adams,PROPN,35.97025680541992,20868
27,",",PUNCT,21.358959197998047,20868,gestión,NOUN,31.3268985748291,20868
28,a,DET,20.650293350219727,24004,la,DET,33.132564544677734,20868
29,local,ADJ,20.525026321411133,24004,local,ADJ,34.15101623535156,24004
30,dentist,NOUN,21.543611526489258,24004,presidente,NOUN,30.150836944580078,20868
31,happened,VERB,22.713708877563477,24004,pasó,VERB,36.45729446411133,24004
32,by,ADP,20.050939559936523,24004,del,ADP,32.96971130371094,20868
33,.,PUNCT,21.28316879272461,24004,.,PUNCT,33.43964385986328,24004
34,He,PRON,23.8371524810791,25373,dentista,NOUN,32.70343017578125,24004
35,wanted,VERB,25.296850204467773,25373,visitarlo,VERB,36.210479736328125,24004
36,to,PART,25.140377044677734,25373,a,ADP,32.49726104736328,24004
37,shake,VERB,25.837617874145508,25373,Quería,VERB,35.07407760620117,25373
38,the,DET,21.628982543945312,25373,un,DET,35.968772888183594,24004
39,President,PROPN,20.089323043823242,25373,saludar,VERB,33.278343200683594,25373
40,'s,PART,20.508880615234375,25373,de,ADP,33.70557403564453,25373
41,hand,NOUN,19.665319442749023,25373,mano,NOUN,29.78372573852539,25373
42,.,PUNCT,21.287424087524414,25373,.,PUNCT,32.30913162231445,25373
43,The,DET,21.629981994628906,27964,al,ADP,34.48989486694336,25373
44,President,PROPN,22.35100555419922,27964,Presidente,PROPN,35.450565338134766,25373
45,dismissed,VERB,23.428586959838867,27964,despachó,VERB,34.01271057128906,27964
46,the,DET,22.756103515625,27964,El,DET,36.68206024169922,27964
47,Secretary,PROPN,20.275789260864258,27964,presidente,NOUN,32.23679733276367,27964
48,of,ADP,21.356842041015625,27964,al,ADP,36.05207824707031,27964
49,State,PROPN,21.3405818939209,27964,Secretario,PROPN,34.5859489440918,27964
50,",",PUNCT,21.152626037597656,27964,de,ADP,28.92449951171875,27964
51,whom,PRON,22.3765811920166,30114,Estado,PROPN,36.53779983520508,27964
52,he,PRON,23.838918685913086,30114,quien,PRON,31.322221755981445,30114
53,was,AUX,25.84906768798828,30114,estaba,AUX,35.544593811035156,30114
54,conferring,VERB,23.934274673461914,30114,reunido,ADJ,34.245792388916016,30114
55,with,ADP,18.4785099029541,30114,con,ADP,31.593914031982422,30114
56,",",PUNCT,21.910186767578125,30114,y,CONJ,34.93822479248047,30114
57,and,CCONJ,20.752504348754883,30114,le,PRON,32.84809112548828,30114
58,asked,VERB,23.423627853393555,30114,pidió,VERB,37.29734802246094,30114
59,the,DET,23.100631713867188,30114,al,ADP,36.70500183105469,30114
60,dentist,NOUN,17.974231719970703,30114,dentista,NOUN,32.77573013305664,30114
61,if,SCONJ,23.065479278564453,32032,que,SCONJ,32.76141357421875,32032
62,he,PRON,23.47343635559082,32032,le,PRON,31.438840866088867,32032
63,would,VERB,26.81070327758789,32032,removiera,VERB,35.0997200012207,32032
