,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,and,CCONJ,19.82788848876953,21389,Quiero,VERB,35.63481903076172,15967
1,all,DET,18.999120712280273,21389,un,DET,31.214250564575195,15967
2,it,PRON,21.024404525756836,21389,ofreciéndoles,ADJ,32.4179801940918,15967
3,requires,VERB,24.08739471435547,21389,comenzar,VERB,37.39445114135742,15967
4,of,ADP,20.90817642211914,21389,sencillo,PROPN,31.3333740234375,18765
5,you,PRON,22.020538330078125,21389,truco,PROPN,34.43220520019531,18765
6,is,AUX,22.302949905395508,21389,productivo,ADJ,32.29193115234375,18765
7,this,DET,19.8664493560791,21389,solo,ADV,35.80424499511719,21389
8,:,PUNCT,18.610794067382812,21389,:,PUNCT,31.48642349243164,21389
9,that,SCONJ,20.19322967529297,24010,que,SCONJ,32.273704528808594,21389
10,you,PRON,23.300907135009766,24010,siguiente,ADJ,32.43170166015625,21389
11,change,VERB,23.123170852661133,24010,requiere,VERB,36.41996765136719,21389
12,your,DET,23.77736473083496,24010,lo,DET,30.734649658203125,21389
13,posture,NOUN,18.574377059936523,24010,que,SCONJ,32.24275588989258,24010
14,for,ADP,21.561220169067383,24010,de,ADP,30.587188720703125,24010
15,two,NUM,23.330900192260742,24010,2,NUM,33.99301528930664,24010
16,minutes,NOUN,22.360610961914062,24010,postura,NOUN,28.720096588134766,24010
17,.,PUNCT,21.50690269470215,24010,.,PUNCT,33.63840103149414,24010
18,But,CCONJ,23.216108322143555,28197,minutos,NOUN,34.68696594238281,24010
19,before,ADP,21.090824127197266,28197,por,ADP,30.469196319580078,24010
20,I,PRON,25.508520126342773,28197,Pero,CONJ,33.2866325378418,28197
21,give,VERB,24.31369972229004,28197,cambien,VERB,30.878175735473633,24010
22,it,PRON,24.559194564819336,28197,pedirles,ADJ,33.34233474731445,28197
23,away,ADV,24.12914276123047,28197,antes,ADV,34.53401565551758,28197
24,",",PUNCT,22.08124542236328,28197,",",PUNCT,30.70255470275879,28197
25,I,PRON,24.3118953704834,28197,que,PRON,33.97850799560547,28197
26,want,VERB,23.586803436279297,28197,quiero,VERB,33.81261444091797,28197
27,to,PART,23.65047836303711,28197,ahora,ADV,33.64625930786133,28197
28,ask,VERB,26.710693359375,28197,hagan,VERB,35.21084213256836,31621
