,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,and,CCONJ,20.77398109436035,20330,y,CONJ,34.92786407470703,20330
1,to,PART,20.709976196289062,20330,dejarles,ADJ,33.65156173706055,20330
2,kind,ADV,22.19489288330078,20330,saber,VERB,33.810245513916016,20330
3,of,ADV,22.33297348022461,20330,0,0,0.0,0
4,give,VERB,21.674392700195312,20330,vengo,VERB,33.31831741333008,20330
5,you,PRON,22.640531539916992,20330,donde,PRON,28.931264877319336,20330
6,a,DET,21.83888816833496,20330,0,0,0.0,0
7,background,NOUN,19.600616455078125,20330,0,0,0.0,0
8,to,ADP,18.643754959106445,20330,de,ADP,31.806270599365234,20330
9,where,ADV,20.511024475097656,20330,0,0,0.0,0
10,I,PRON,24.393840789794922,20330,0,0,0.0,0
11,'m,AUX,22.555988311767578,20330,0,0,0.0,0
12,coming,VERB,24.32099723815918,20330,0,0,0.0,0
13,from,ADP,20.14673614501953,20330,0,0,0.0,0
14,",",PUNCT,21.275033950805664,20330,0,0,0.0,0
15,so,SCONJ,19.124340057373047,24330,para,ADP,35.93800735473633,24330
16,that,SCONJ,16.969709396362305,24330,que,SCONJ,33.12649154663086,24330
17,a,DET,23.06962013244629,24330,muchas,PRON,34.168174743652344,24330
18,lot,NOUN,21.363344192504883,24330,0,0,0.0,0
19,of,ADP,25.24144172668457,24330,de,ADP,30.24424171447754,24330
20,the,DET,21.891712188720703,24330,las,DET,33.75752258300781,24330
21,things,NOUN,20.514236450195312,24330,cosas,NOUN,34.35594177246094,24330
22,I,PRON,25.6365966796875,24330,que,PRON,33.252742767333984,24330
23,'m,AUX,24.540746688842773,24330,voy,AUX,35.00429153442383,24330
24,going,VERB,25.004817962646484,24330,decir,VERB,35.984161376953125,24330
25,to,PART,20.98375129699707,24330,a,ADP,33.71821594238281,24330
26,say,VERB,24.357999801635742,24330,0,0,0.0,0
27,",",PUNCT,20.763769149780273,24330,0,0,0.0,0
28,and,CCONJ,18.764057159423828,26330,y,CONJ,33.31670379638672,26330
29,the,DET,21.28461265563965,26330,las,DET,33.48896789550781,26330
30,things,NOUN,20.166776657104492,26330,cosas,NOUN,33.697505950927734,26330
31,I,PRON,25.85194206237793,26330,que,PRON,33.42027282714844,26330
32,'m,AUX,24.613752365112305,26330,voy,AUX,34.80445098876953,26330
33,going,VERB,24.85730743408203,26330,hacer,VERB,36.07735061645508,26330
34,to,PART,20.408952713012695,26330,a,ADP,34.308555603027344,26330
35,do,AUX,23.524948120117188,26330,0,0,0.0,0
36,--,PUNCT,19.71660804748535,26330,0,0,0.0,0
37,or,CCONJ,21.086116790771484,29330,o,CONJ,32.869590759277344,29330
38,things,NOUN,20.76708984375,29330,cosas,NOUN,34.98759460449219,29330
39,I,PRON,25.70450782775879,29330,que,PRON,32.6064453125,29330
40,'m,AUX,24.617355346679688,29330,a,ADP,34.13600540161133,29330
41,going,VERB,24.982769012451172,29330,voy,VERB,33.03398513793945,29330
42,to,PART,22.412031173706055,29330,decirles,NOUN,34.78902053833008,29330
43,tell,VERB,23.92373275756836,29330,hecho,VERB,32.994441986083984,29330
44,you,PRON,21.69144058227539,29330,que,PRON,34.763004302978516,29330
45,I,PRON,23.007482528686523,29330,0,0,0.0,0
46,'ve,AUX,22.962886810302734,29330,he,AUX,34.332984924316406,29330
47,done,VERB,20.744890213012695,29330,0,0,0.0,0
48,--,PUNCT,19.73533058166504,29330,0,0,0.0,0
49,you,PRON,23.67098045349121,31330,ustedes,PRON,34.25309753417969,31330
50,will,VERB,24.602441787719727,31330,entiendan,VERB,35.99509811401367,31330
51,understand,VERB,23.145963668823242,31330,por,ADP,33.81705856323242,31330
52,exactly,ADV,21.616065979003906,31330,exactamente,ADV,35.57096862792969,31330
53,why,ADV,20.00202751159668,31330,qué,PRON,32.708065032958984,31330
54,and,CCONJ,22.132307052612305,31330,y,CONJ,30.30796241760254,31330
55,how,ADV,21.596261978149414,31330,0,0,0.0,0
56,I,PRON,25.118791580200195,31330,cómo,PRON,32.52732849121094,31330
57,got,VERB,23.481786727905273,31330,motivado,ADJ,34.972564697265625,31330
58,motivated,VERB,21.16985321044922,31330,estoy,VERB,31.689144134521484,31330
59,to,PART,22.16503143310547,31330,para,ADP,36.164791107177734,31330
60,be,AUX,23.191007614135742,31330,estar,AUX,37.492210388183594,31330
61,where,ADV,20.138914108276367,31330,0,0,0.0,0
62,I,PRON,24.602928161621094,31330,donde,PRON,31.12672233581543,31330
63,am,AUX,22.172033309936523,31330,fui,AUX,32.556461334228516,31330
64,.,PUNCT,20.791677474975586,31330,.,PUNCT,32.96295166015625,31330
65,I,PRON,23.189884185791016,38330,Me,PRON,31.190202713012695,38330
66,graduated,VERB,24.191139221191406,38330,gradué,VERB,35.304012298583984,38330
67,in,ADP,19.044763565063477,38330,de,ADP,32.38975143432617,38330
68,0,0,0.0,0,la,DET,32.18270492553711,38330
69,school,NOUN,19.538780212402344,38330,escuela,NOUN,30.779760360717773,38330
70,high,ADJ,17.929035186767578,38330,secundaria,ADJ,32.521751403808594,38330
71,",",PUNCT,19.578386306762695,38330,en,ADP,32.59609603881836,38330
72,Ohio,PROPN,23.164081573486328,38330,Cleaveland,PROPN,37.8852424621582,38330
73,",",PUNCT,22.787086486816406,38330,",",PUNCT,29.523494720458984,38330
74,Cleveland,PROPN,21.76793670654297,38330,Ohio,PROPN,32.20252227783203,38330
75,.,PUNCT,20.25640869140625,38330,",",PUNCT,30.845468521118164,38330
76,1975,NUM,21.18872833251953,38330,en,ADP,32.75285339355469,38330
77,0,0,0.0,0,1975,NOUN,34.40576934814453,38330
78,0,0,0.0,0,.,PUNCT,32.15782165527344,38330
79,And,CCONJ,22.234355926513672,42330,Y,CONJ,30.56051254272461,42330
80,just,ADV,23.659053802490234,42330,al,ADP,35.28323745727539,42330
81,0,0,0.0,0,igual,ADJ,33.88392639160156,42330
82,like,SCONJ,20.306821823120117,42330,que,SCONJ,31.562625885009766,42330
83,finished,VERB,25.762928009033203,42330,hicieron,VERB,35.637115478515625,42330
84,my,DET,21.59236717224121,42330,mis,DET,34.76791000366211,42330
85,parents,NOUN,21.64431381225586,42330,padres,NOUN,33.53194046020508,42330
86,they,PRON,26.55381965637207,42330,cuando,SCONJ,36.41539001464844,42330
87,did,AUX,23.119890213012695,42330,terminaron,AUX,36.70609664916992,42330
88,when,ADV,21.729686737060547,42330,de,ADP,31.868242263793945,42330
