,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,CCONJ,18.06153106689453,16982,Hoy,ADV,33.67219543457031,15260
1,I,PRON,25.823049545288086,16982,hablarles,ADJ,34.876121520996094,15260
2,want,VERB,23.414676666259766,16982,quiero,VERB,32.82442855834961,15260
3,to,PART,23.630535125732422,16982,0,0,0.0,0
4,talk,VERB,25.964014053344727,16982,y,CONJ,32.5084342956543,15260
5,today,NOUN,20.836118698120117,16982,dinero,NOUN,29.008161544799805,15260
6,about,ADP,21.33997344970703,16982,del,ADP,34.295413970947266,15260
7,money,NOUN,18.933345794677734,16982,felicidad,NOUN,31.33111000061035,15260
8,and,CCONJ,23.294471740722656,16982,la,DET,33.35367202758789,15260
9,happiness,NOUN,17.53227996826172,16982,0,0,0.0,0
10,",",PUNCT,22.10565185546875,16982,",",PUNCT,28.765565872192383,15260
11,which,DET,23.128671646118164,19419,que,SCONJ,31.833660125732422,18260
12,are,AUX,23.030433654785156,19419,son,AUX,34.55299377441406,18260
13,two,NUM,23.760963439941406,19419,dos,NUM,36.04017639160156,18260
14,things,NOUN,22.856731414794922,19419,cosas,NOUN,34.95226287841797,18260
15,a,DET,23.643400192260742,19419,0,0,0.0,0
16,lot,NOUN,21.326871871948242,19419,0,0,0.0,0
17,of,ADP,25.201641082763672,19419,0,0,0.0,0
18,us,PRON,22.372173309326172,19419,0,0,0.0,0
19,spend,VERB,22.392465591430664,19419,0,0,0.0,0
20,a,DET,23.049697875976562,19419,0,0,0.0,0
21,lot,NOUN,22.1610107421875,19419,0,0,0.0,0
22,of,ADP,25.474498748779297,19419,0,0,0.0,0
23,our,DET,22.085485458374023,19419,0,0,0.0,0
24,time,NOUN,18.982221603393555,19419,0,0,0.0,0
25,thinking,VERB,21.69136619567871,19419,0,0,0.0,0
26,about,ADP,20.78931999206543,19419,0,0,0.0,0
27,",",PUNCT,20.634281158447266,19419,0,0,0.0,0
28,either,CCONJ,21.70947265625,23001,ya,ADV,33.83082962036133,22260
29,trying,VERB,22.75853729248047,23001,sea,AUX,32.62310791015625,22260
30,to,PART,24.588092803955078,23001,para,ADP,33.2819709777832,22260
31,earn,VERB,26.19611358642578,23001,ganarlas,NOUN,34.797916412353516,22260
32,them,PRON,22.179838180541992,23001,o,CONJ,34.1141357421875,22260
33,or,CCONJ,22.640222549438477,23001,de,ADP,32.64086151123047,22260
34,trying,VERB,21.398889541625977,23001,tratar,VERB,35.44868850708008,22260
35,to,PART,24.240253448486328,23001,aumentarlas,NOUN,34.661415100097656,22260
36,increase,VERB,26.246946334838867,23001,0,0,0.0,0
37,them,PRON,24.627971649169922,23001,0,0,0.0,0
38,.,PUNCT,21.63534164428711,23001,.,PUNCT,33.34914779663086,22260
39,And,CCONJ,19.144454956054688,25855,Y,CONJ,34.349525451660156,25260
40,a,DET,22.832738876342773,25855,muchos,PRON,33.90696716308594,25260
41,of,ADP,25.76472282409668,25855,de,ADP,28.55695343017578,25260
42,us,PRON,21.22948455810547,25855,nosotros,PRON,31.846250534057617,25260
43,0,0,0.0,0,estamos,AUX,34.07099914550781,25260
44,resonate,VERB,19.511335372924805,25855,de,ADP,33.01344680786133,25260
45,lot,NOUN,21.473857879638672,25855,acuerdo,NOUN,31.35059356689453,25260
46,with,ADP,20.987520217895508,25855,con,ADP,32.82746887207031,25260
47,this,DET,22.719945907592773,25855,esta,DET,33.107303619384766,25260
48,phrase,NOUN,18.878686904907227,25855,frase,NOUN,32.22666931152344,25260
49,",",PUNCT,21.280874252319336,25855,",",PUNCT,29.936519622802734,25260
50,we,PRON,25.28592300415039,28158,porque,SCONJ,35.72404479980469,27260
51,see,VERB,25.11948585510254,28158,visto,VERB,34.93317794799805,27260
52,it,PRON,23.99894905090332,28158,la,PRON,32.41987991333008,27260
53,in,ADP,21.46031951904297,28158,en,ADP,36.634056091308594,27260
54,religions,NOUN,20.58397674560547,28158,hemos,AUX,35.35356140136719,27260
55,and,CCONJ,24.1544132232666,28158,y,CONJ,34.9205322265625,27260
56,self,NOUN,21.444910049438477,28158,religiones,NOUN,35.02476501464844,27260
57,-,PUNCT,20.2300968170166,28158,de,ADP,29.82049560546875,27260
58,help,NOUN,19.49462127685547,28158,libros,NOUN,34.467220306396484,27260
59,books,NOUN,21.425703048706055,28158,autoayuda,NOUN,29.01896858215332,27260
60,:,PUNCT,19.55862808227539,28158,",",PUNCT,29.89150619506836,27260
61,0,0,0.0,0,que,SCONJ,31.613704681396484,29260
62,ca,VERB,23.3931941986084,30991,el,DET,34.51124954223633,29260
63,money,NOUN,20.338478088378906,30991,dinero,NOUN,29.75054359436035,29260
64,n't,PART,26.643295288085938,30991,no,ADV,34.613372802734375,29260
65,0,0,0.0,0,puede,AUX,36.66456985473633,29260
66,buy,VERB,21.656286239624023,30991,comprar,VERB,37.53635787963867,29260
67,0,0,0.0,0,la,DET,34.16415023803711,29260
68,happiness,NOUN,18.919456481933594,30991,felicidad,NOUN,32.555747985839844,29260
69,.,PUNCT,22.765514373779297,30991,.,PUNCT,32.7165412902832,29260
70,And,CCONJ,19.82262420654297,32310,Hoy,ADV,33.860626220703125,31260
71,I,PRON,26.041353225708008,32310,que,PRON,30.848840713500977,31260
72,want,VERB,23.852340698242188,32310,quiero,VERB,33.3756217956543,31260
73,to,PART,21.899578094482422,32310,mostrarles,ADJ,34.6077880859375,31260
74,suggest,VERB,23.380441665649414,32310,eso,PRON,32.0048942565918,31260
75,today,NOUN,20.364717483520508,32310,es,AUX,32.945316314697266,31260
76,that,SCONJ,18.665517807006836,32310,falso,ADJ,34.212589263916016,31260
77,",",PUNCT,20.970613479614258,32310,.,PUNCT,31.961856842041016,31260
78,in,ADP,22.186063766479492,32310,0,0,0.0,0
79,fact,NOUN,19.462522506713867,32310,0,0,0.0,0
80,",",PUNCT,19.207761764526367,32310,0,0,0.0,0
81,that,DET,19.108688354492188,32310,0,0,0.0,0
82,'s,AUX,23.872575759887695,32310,0,0,0.0,0
83,wrong,ADJ,20.157075881958008,32310,0,0,0.0,0
84,.,PUNCT,21.67902946472168,32310,0,0,0.0,0
85,(,PUNCT,19.138301849365234,35109,(,PUNCT,28.748825073242188,34260
86,Laughter,PROPN,20.165264129638672,35109,Risas,PROPN,34.865478515625,34260
87,),PUNCT,20.96363067626953,35109,),PUNCT,32.331058502197266,34260
88,I,PRON,24.545087814331055,37184,Trabajo,VERB,33.246646881103516,36260
89,'m,AUX,21.601301193237305,37184,en,ADP,35.283390045166016,36260
90,at,ADP,22.16199493408203,37184,de,ADP,33.12120056152344,36260
91,a,DET,22.540267944335938,37184,una,DET,34.261837005615234,36260
92,business,NOUN,18.94220733642578,37184,escuela,NOUN,30.838882446289062,36260
93,school,NOUN,19.18362045288086,37184,negocios,NOUN,35.94322967529297,36260
94,",",PUNCT,21.826068878173828,37184,0,0,0.0,0
95,so,SCONJ,18.091005325317383,37184,0,0,0.0,0
96,that,DET,19.542179107666016,37184,0,0,0.0,0
97,'s,AUX,23.78080940246582,37184,0,0,0.0,0
98,what,PRON,22.59368896484375,37184,0,0,0.0,0
99,we,PRON,25.758073806762695,37184,0,0,0.0,0
100,do,AUX,22.934720993041992,37184,0,0,0.0,0
101,.,PUNCT,22.602664947509766,37184,0,0,0.0,0
102,So,ADV,19.710796356201172,39425,y,CONJ,33.41891098022461,38260
103,that,DET,20.118614196777344,39425,sé,VERB,37.326148986816406,38260
104,'s,AUX,24.52630043029785,39425,es,AUX,32.537593841552734,38260
105,wrong,ADJ,18.766935348510742,39425,falso,ADJ,34.47455596923828,38260
106,",",PUNCT,20.19631576538086,39425,.,PUNCT,32.1832389831543,38260
107,and,CCONJ,20.279603958129883,40602,esto,PRON,33.32283020019531,38260
108,in,ADP,21.232059478759766,40602,De,ADP,33.456817626953125,38260
109,fact,NOUN,19.688167572021484,40602,hecho,NOUN,31.34300422668457,38260
110,",",PUNCT,21.229795455932617,40602,",",PUNCT,28.773099899291992,38260
111,if,SCONJ,21.409421920776367,40602,que,SCONJ,31.19317054748535,38260
112,you,PRON,25.040185928344727,40602,lo,PRON,32.37599563598633,38260
113,think,VERB,22.72832489013672,40602,creemos,VERB,33.92780685424805,38260
114,that,SCONJ,19.548664093017578,40602,si,SCONJ,34.66816329956055,38260
115,",",PUNCT,21.4935245513916,40602,",",PUNCT,29.90908432006836,38260
116,you,PRON,21.894094467163086,40602,0,0,0.0,0
117,'re,AUX,22.73221206665039,40602,0,0,0.0,0
118,just,ADV,25.065282821655273,40602,0,0,0.0,0
119,not,PART,23.724985122680664,40602,0,0,0.0,0
120,spending,VERB,23.169527053833008,40602,0,0,0.0,0
121,it,PRON,22.053388595581055,40602,0,0,0.0,0
122,right,ADJ,22.40292739868164,40602,0,0,0.0,0
123,.,PUNCT,21.700130462646484,40602,0,0,0.0,0
124,So,ADV,20.21160888671875,43849,Así,ADV,35.475494384765625,43260
125,instead,ADV,22.636850357055664,43849,que,SCONJ,31.670623779296875,43260
126,of,ADP,22.50049591064453,43849,en,ADP,34.56270980834961,43260
127,spending,VERB,24.36625099182129,43849,vez,NOUN,34.4583740234375,43260
128,it,PRON,21.43009376525879,43849,de,ADP,30.901193618774414,43260
129,0,0,0.0,0,gastarlo,PROPN,32.5721321105957,43260
130,you,PRON,24.582902908325195,43849,de,ADP,32.97952651977539,43260
131,the,DET,21.10972785949707,43849,la,DET,31.598861694335938,43260
132,way,NOUN,19.70140838623047,43849,forma,NOUN,31.861309051513672,43260
