,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,For,ADP,21.00154685974121,12841,En,ADP,33.04716491699219,12841
1,the,DET,21.846813201904297,12841,los,DET,34.515663146972656,12841
2,last,ADJ,20.567588806152344,12841,últimos,ADJ,33.61734390258789,12841
3,50,NUM,23.423866271972656,12841,50,NUM,35.46688461303711,12841
4,years,NOUN,22.2460880279541,12841,años,NOUN,35.2457275390625,12841
5,",",PUNCT,20.311494827270508,12841,",",PUNCT,31.233367919921875,12841
6,a,DET,23.717945098876953,15047,mucha,DET,32.91340255737305,15047
7,lot,NOUN,21.282657623291016,15047,gente,NOUN,32.402584075927734,15047
8,of,ADP,23.6442928314209,15047,de,ADP,30.85366439819336,15047
9,smart,ADJ,18.89635467529297,15047,inteligente,ADJ,34.21271514892578,15047
10,",",PUNCT,19.12975311279297,15047,y,CONJ,32.923316955566406,15047
11,well,ADV,18.305341720581055,15047,altos,ADJ,34.46257019042969,15047
12,-,PUNCT,22.12742042541504,15047,",",PUNCT,30.77000617980957,15047
13,resourced,VERB,22.983474731445312,15047,algunos,PRON,33.511390686035156,15047
14,people,NOUN,21.796113967895508,15047,recursos,NOUN,33.88818359375,15047
15,--,PUNCT,20.22953224182129,15047,de,ADP,31.362436294555664,15047
16,some,DET,22.044950485229492,15047,0,0,0.0,0
17,of,ADP,21.867246627807617,15047,sin,ADP,34.469303131103516,15047
18,you,PRON,21.447216033935547,15047,ustedes,PRON,32.71165466308594,15047
19,",",PUNCT,21.332780838012695,15047,",",PUNCT,29.65130043029785,15047
20,no,ADV,21.364639282226562,15047,duda,NOUN,31.604612350463867,15047
21,doubt,ADV,21.43870735168457,15047,0,0,0.0,0
22,--,PUNCT,20.425195693969727,15047,",",PUNCT,27.423646926879883,15047
23,have,AUX,21.055002212524414,20662,ha,AUX,36.972225189208984,20622
24,been,AUX,27.17766571044922,20662,estado,AUX,36.342987060546875,20622
25,trying,VERB,23.678903579711914,20662,tratando,AUX,34.144107818603516,20622
26,to,PART,24.084863662719727,20662,0,0,0.0,0
27,figure,VERB,26.150949478149414,20662,entender,AUX,35.90385055541992,20622
28,out,ADP,22.109237670898438,20662,de,ADP,31.537425994873047,20622
29,how,ADV,22.075929641723633,20662,cómo,PRON,34.369606018066406,20622
30,to,PART,22.955259323120117,20662,la,DET,34.84270477294922,20622
31,reduce,VERB,25.4544677734375,20662,reducir,VERB,34.92677688598633,20622
32,poverty,NOUN,19.42070770263672,20662,pobreza,NOUN,31.51193618774414,20622
33,in,ADP,20.76668930053711,23988,en,ADP,33.40884017944336,23968
34,the,DET,23.164060592651367,23988,los,DET,34.27144241333008,23968
35,United,PROPN,22.420650482177734,23988,Estados,PROPN,36.630409240722656,23968
36,States,PROPN,21.31028938293457,23988,Unidos,PROPN,35.78038024902344,23968
37,.,PUNCT,19.793729782104492,23988,.,PUNCT,32.377689361572266,23968
38,0,0,0.0,0,La,DET,34.14124298095703,26180
39,People,NOUN,23.87626838684082,26180,gente,NOUN,33.61643981933594,26180
40,have,AUX,23.1992244720459,26180,ha,AUX,35.48514938354492,26180
41,created,VERB,22.232763290405273,26180,creado,VERB,34.98809051513672,26180
42,invested,VERB,21.960254669189453,26180,e,CONJ,29.700132369995117,26180
43,and,CCONJ,22.33213996887207,26180,invertido,ADJ,32.680816650390625,26180
44,millions,NOUN,23.13828468322754,26180,millones,NOUN,34.12925338745117,26180
45,of,ADP,25.819019317626953,26180,de,ADP,31.394794464111328,26180
46,dollars,NOUN,20.421092987060547,26180,dólares,NOUN,34.668025970458984,26180
47,into,ADP,19.961347579956055,30168,en,ADP,33.57661056518555,30158
48,non,ADJ,21.682390213012695,30168,organizaciones,NOUN,32.913185119628906,30158
49,-,ADJ,23.31201171875,30168,sin,ADP,33.495357513427734,30158
50,profit,ADJ,21.780620574951172,30168,fines,NOUN,33.23081588745117,30158
51,0,0,0.0,0,de,ADP,33.45682907104492,30158
52,organizations,NOUN,20.403278350830078,30168,lucro,NOUN,30.092544555664062,30158
53,with,ADP,21.308168411254883,32409,con,ADP,32.25156021118164,32379
54,the,DET,22.439584732055664,32409,el,DET,31.56060218811035,32379
55,mission,NOUN,17.60908317565918,32409,objetivo,NOUN,31.66847801208496,32379
56,of,ADP,21.563148498535156,32409,de,ADP,32.113155364990234,32379
57,helping,VERB,21.925193786621094,32409,ayudar,VERB,33.82240295410156,32379
58,people,NOUN,21.675037384033203,32409,pobres,NOUN,35.25396728515625,32379
59,who,PRON,24.950199127197266,32409,los,DET,37.000953674316406,32379
60,are,AUX,25.733850479125977,32409,a,ADP,33.15909194946289,32379
61,poor,ADJ,22.690574645996094,32409,0,0,0.0,0
62,.,PUNCT,22.32807159423828,32409,.,PUNCT,33.0740966796875,32379
63,They,PRON,23.681930541992188,36249,comités,NOUN,32.4993896484375,36249
64,'ve,AUX,21.624019622802734,36249,Han,AUX,35.622154235839844,36249
65,created,VERB,21.356224060058594,36249,creado,VERB,31.88908576965332,36249
