,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,0,0,0.0,0,En,ADP,33.01731872558594,15260
1,January,PROPN,21.76978874206543,15260,enero,NOUN,35.98012924194336,15260
2,Last,ADJ,21.251209259033203,15260,pasado,ADJ,34.61696243286133,15260
3,",",PUNCT,22.470176696777344,15260,",",PUNCT,31.44949722290039,15260
4,my,DET,20.604990005493164,15260,mi,DET,33.407684326171875,15260
5,company,NOUN,18.917749404907227,15260,empresa,NOUN,29.484485626220703,15260
6,",",PUNCT,20.8243465423584,15260,",",PUNCT,30.500886917114258,15260
7,Fark.com,X,18.276336669921875,15260,Fark.com,PROPN,31.713769912719727,15260
8,",",PUNCT,21.991554260253906,15260,",",PUNCT,31.814882278442383,15260
9,was,AUX,22.355201721191406,15260,fue,AUX,35.83231735229492,15260
10,sued,VERB,20.49308967590332,15260,demandada,VERB,32.5526237487793,15260
11,along,ADP,19.97227668762207,19260,junto,ADJ,34.34199905395508,19260
12,with,ADP,20.75688934326172,19260,con,ADP,31.948869705200195,19260
13,Yahoo,PROPN,20.505990982055664,19260,Yahoo,PROPN,37.32024002075195,19260
14,",",PUNCT,20.554405212402344,19260,",",PUNCT,30.12991714477539,19260
15,MSN,PROPN,23.56378746032715,19260,MSN,PROPN,32.513946533203125,19260
16,",",PUNCT,20.239845275878906,19260,",",PUNCT,30.429079055786133,19260
17,Reddit,PROPN,20.518692016601562,19260,Reddit,PROPN,33.196533203125,19260
18,",",PUNCT,20.87631607055664,19260,",",PUNCT,31.044677734375,19260
19,AOL,PROPN,22.195993423461914,22260,AOL,PROPN,33.76095962524414,22260
20,",",PUNCT,20.736562728881836,22260,",",PUNCT,29.985044479370117,22260
21,TechCrunch,PROPN,22.270496368408203,22260,TechCrunch,PROPN,33.961917877197266,22260
22,and,CCONJ,21.94733238220215,22260,y,CONJ,32.42165756225586,22260
23,others,NOUN,19.792152404785156,22260,otras,PRON,32.922122955322266,22260
24,by,ADP,21.573902130126953,25260,por,ADP,35.7380485534668,25260
25,a,DET,23.456472396850586,25260,una,DET,36.07997512817383,25260
26,company,NOUN,20.219749450683594,25260,empresa,NOUN,34.33808898925781,25260
27,called,VERB,21.84494972229004,25260,llamada,ADJ,31.95671272277832,25260
