,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Thank,VERB,22.126169204711914,27000,¡,PUNCT,33.66378402709961,27000
1,you,PRON,23.841970443725586,27000,Gracias,INTJ,31.74736785888672,27000
2,.,PUNCT,21.331514358520508,27000,!,PUNCT,31.430871963500977,27000
3,It,PRON,22.932544708251953,27000,gran,ADJ,36.299686431884766,27000
4,'s,AUX,22.250452041625977,27000,Es,AUX,32.339576721191406,27000
5,really,ADV,24.779010772705078,27000,aquí,ADV,36.52993392944336,27000
6,an,DET,22.310871124267578,27000,un,DET,35.95173645019531,27000
7,honor,NOUN,19.20911407470703,27000,honor,NOUN,32.109962463378906,27000
8,and,CCONJ,22.95854377746582,27000,y,CONJ,31.414390563964844,27000
9,a,DET,21.784517288208008,27000,un,DET,36.01732635498047,27000
10,privilege,NOUN,21.614761352539062,27000,privilegio,NOUN,32.06058883666992,27000
11,to,PART,22.424928665161133,27000,de,ADP,31.43730926513672,31000
12,be,AUX,24.05043601989746,27000,estar,AUX,35.28535461425781,27000
13,here,ADV,20.441862106323242,27000,Hoy,ADV,34.90732192993164,33000
14,spending,VERB,23.717056274414062,31000,pasando,VERB,35.8408317565918,31000
15,my,DET,19.935134887695312,31000,mi,DET,30.6724796295166,31000
16,last,ADJ,21.227081298828125,31000,último,ADJ,35.54802322387695,31000
17,day,NOUN,21.523242950439453,31000,adolescente,NOUN,31.842308044433594,31000
18,as,SCONJ,21.6424503326416,31000,quiero,VERB,32.31793975830078,33000
19,a,DET,21.916656494140625,31000,el,DET,35.158355712890625,33000
20,teenager,NOUN,19.720317840576172,31000,día,NOUN,33.0748405456543,31000
21,.,PUNCT,22.672786712646484,31000,.,PUNCT,32.86374282836914,31000
22,Today,NOUN,20.590539932250977,33000,futuro,NOUN,31.791200637817383,33000
23,I,PRON,26.280725479125977,33000,les,PRON,31.256763458251953,33000
24,want,VERB,24.395994186401367,33000,hablar,VERB,37.39055252075195,33000
25,to,PART,23.767839431762695,33000,",",PUNCT,29.198619842529297,33000
26,talk,VERB,26.251728057861328,33000,empieza,VERB,34.02320861816406,37000
27,to,ADP,20.49403190612793,33000,sobre,ADP,33.040428161621094,33000
28,you,PRON,24.294578552246094,33000,pero,CONJ,33.361305236816406,33000
29,about,ADP,22.010028839111328,33000,de,ADP,30.865663528442383,37000
30,the,DET,20.579139709472656,33000,Mi,DET,34.609283447265625,37000
31,future,NOUN,18.50692367553711,33000,historia,NOUN,33.98337936401367,37000
32,",",PUNCT,21.243267059326172,33000,mucho,ADV,32.48763656616211,37000
33,but,CCONJ,20.352800369262695,33000,antes,ADV,34.033721923828125,37000
34,My,DET,22.69785499572754,37000,Mi,DET,33.61036682128906,44000
35,story,NOUN,21.204389572143555,37000,que,SCONJ,32.12746810913086,37000
36,starts,VERB,21.850738525390625,37000,naciera,VERB,32.419857025146484,37000
37,way,NOUN,20.160741806030273,37000,abuela,NOUN,33.7427864074707,44000
38,before,ADP,21.322011947631836,37000,en,ADP,33.33500289916992,44000
39,I,PRON,23.893491744995117,37000,yo,PRON,33.785850524902344,37000
40,was,AUX,24.18099594116211,37000,estaba,AUX,34.662384033203125,44000
41,born,VERB,24.37286376953125,37000,Iba,VERB,30.056032180786133,48000
42,.,PUNCT,21.35209846496582,37000,.,PUNCT,32.56648254394531,37000
43,My,DET,23.323989868164062,44000,un,DET,36.98616409301758,44000
44,grandmother,NOUN,21.964818954467773,44000,tren,NOUN,33.24484634399414,44000
45,was,AUX,22.894729614257812,44000,",",PUNCT,27.626306533813477,44000
46,on,ADP,18.71792984008789,44000,a,ADP,31.611188888549805,44000
47,a,DET,20.75577735900879,44000,el,DET,33.598575592041016,44000
48,train,NOUN,21.207609176635742,44000,campo,NOUN,32.63185501098633,44000
49,to,ADP,20.584793090820312,44000,de,ADP,31.67041015625,44000
50,Auschwitz,PROPN,20.791051864624023,44000,Auschwitz,PROPN,38.46373748779297,44000
51,",",PUNCT,22.302946090698242,44000,.,PUNCT,33.14360046386719,44000
52,the,DET,21.085466384887695,44000,lo,DET,30.062225341796875,48000
53,death,NOUN,20.699058532714844,44000,concentración,NOUN,29.810388565063477,44000
54,camp,NOUN,19.296361923217773,44000,largo,NOUN,32.23929977416992,48000
55,.,PUNCT,21.78657341003418,44000,a,ADP,32.028873443603516,48000
56,And,CCONJ,20.209278106689453,48000,de,ADP,32.4141845703125,48000
57,she,PRON,24.75392723083496,48000,las,DET,32.72694396972656,48000
58,was,AUX,26.06591796875,48000,vías,NOUN,32.75780487060547,48000
59,going,VERB,24.76546287536621,48000,y,CONJ,31.3637638092041,48000
60,along,ADP,21.921804428100586,48000,del,ADP,33.81570816040039,48000
61,the,DET,21.87908172607422,48000,las,DET,33.001502990722656,48000
62,tracks,NOUN,19.08243179321289,48000,tren,NOUN,32.93861770629883,48000
63,",",PUNCT,21.61180877685547,48000,",",PUNCT,30.66438865661621,48000
64,and,CCONJ,19.690698623657227,48000,Y,CONJ,31.086984634399414,53000
65,the,DET,21.31842803955078,48000,alguna,DET,34.44632339477539,53000
66,tracks,NOUN,21.0462589263916,48000,vías,NOUN,31.938871383666992,48000
67,split,VERB,19.55012321472168,48000,dividieron,VERB,35.39930725097656,48000
68,.,PUNCT,21.148067474365234,48000,.,PUNCT,32.04115295410156,48000
69,And,CCONJ,21.65930938720703,53000,de,ADP,31.599878311157227,53000
70,somehow,ADV,20.539392471313477,53000,no,ADV,30.645526885986328,53000
71,--,PUNCT,18.785594940185547,53000,--,PUNCT,33.233558654785156,53000
72,we,PRON,25.6032772064209,53000,se,PRON,32.73289489746094,48000
73,do,AUX,23.626907348632812,53000,forma,NOUN,33.14852523803711,53000
74,n't,PART,24.180150985717773,53000,toda,DET,32.6440544128418,53000
75,really,ADV,25.29822540283203,53000,exactamente,ADV,35.57115936279297,53000
76,know,VERB,23.520896911621094,53000,sabemos,VERB,37.08699417114258,53000
77,exactly,ADV,22.233104705810547,53000,historia,NOUN,32.106536865234375,53000
78,the,DET,20.2116756439209,53000,la,DET,30.997678756713867,53000
79,whole,ADJ,19.496532440185547,53000,pero,CONJ,33.58721923828125,53000
80,story,NOUN,19.054841995239258,53000,tren,NOUN,32.892417907714844,58000
81,--,PUNCT,18.308866500854492,53000,--,PUNCT,31.73201560974121,53000
82,but,CCONJ,21.573535919189453,53000,y,CONJ,32.81052780151367,58000
83,the,DET,20.7840576171875,58000,el,DET,35.147216796875,58000
84,train,NOUN,19.896512985229492,58000,vía,NOUN,32.62421798706055,58000
85,took,VERB,24.104394912719727,58000,tomó,VERB,34.80852127075195,58000
86,the,DET,21.67875862121582,58000,la,DET,34.977664947509766,58000
87,wrong,ADJ,20.651771545410156,58000,equivocada,ADJ,34.17142105102539,58000
88,track,NOUN,19.597806930541992,58000,campo,NOUN,33.48989486694336,58000
89,and,CCONJ,22.73430824279785,58000,fue,AUX,30.935928344726562,58000
90,went,VERB,23.956491470336914,58000,a,ADP,31.916339874267578,58000
91,to,ADP,19.173152923583984,58000,de,ADP,29.46196937561035,58000
92,a,DET,23.712146759033203,58000,un,DET,37.98812484741211,58000
93,work,NOUN,20.973007202148438,58000,trabajo,NOUN,31.732484817504883,58000
94,camp,NOUN,22.446941375732422,58000,vez,NOUN,32.53046798706055,58000
95,rather,ADV,21.864885330200195,58000,en,ADP,33.35020065307617,58000
96,than,SCONJ,23.48533058166504,58000,de,ADP,30.21335792541504,58000
97,the,DET,21.226518630981445,58000,un,DET,37.38805389404297,58000
98,death,NOUN,20.79191780090332,58000,campo,NOUN,33.729793548583984,58000
99,camp,NOUN,18.899581909179688,58000,de,ADP,31.996078491210938,58000
100,.,PUNCT,21.775028228759766,58000,.,PUNCT,33.40263748168945,58000
101,My,DET,22.798431396484375,63000,Mi,DET,33.48828125,63000
102,grandmother,NOUN,21.795021057128906,63000,muerte,NOUN,29.282426834106445,58000
103,survived,VERB,20.82611656188965,63000,sobrevivió,VERB,32.37847900390625,63000
