,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Alright,INTJ,21.88062858581543,12197,Bien,ADV,32.974220275878906,12197
1,",",PUNCT,19.50401496887207,12197,",",PUNCT,30.686742782592773,12197
2,let,VERB,22.03817367553711,12197,empecemos,NOUN,31.51005744934082,12197
3,'s,PRON,21.161863327026367,12197,0,0,0.0,0
4,get,AUX,23.35112762451172,12197,0,0,0.0,0
5,this,DET,20.90373992919922,12197,0,0,0.0,0
6,kicked,VERB,20.84388542175293,12197,0,0,0.0,0
7,off,ADP,22.261564254760742,12197,0,0,0.0,0
8,.,PUNCT,21.654644012451172,12197,.,PUNCT,32.34868240356445,12197
9,(,PUNCT,18.674592971801758,15486,(,PUNCT,29.855510711669922,15486
10,Music,NOUN,22.019737243652344,15486,Música,PROPN,34.05133819580078,15486
11,),PUNCT,21.842891693115234,15486,),PUNCT,31.957921981811523,15486
12,(,PUNCT,20.281679153442383,17540,(,PUNCT,31.159788131713867,17540
13,Singing,VERB,21.880430221557617,17540,Cantando,PROPN,34.874656677246094,17540
14,),PUNCT,19.192319869995117,17540,),PUNCT,32.254920959472656,17540
15,It,PRON,25.4493408203125,17540,BIEN,ADV,33.874122619628906,17540
16,'s,AUX,23.447410583496094,17540,Está,AUX,34.73945617675781,17540
17,OK,ADJ,20.814952850341797,17540,0,0,0.0,0
18,to,PART,23.101947784423828,17540,gay,PROPN,33.08280944824219,17540
19,be,AUX,25.709766387939453,17540,ser,AUX,30.93160057067871,17540
20,gay,ADJ,22.27566146850586,17540,0,0,0.0,0
21,.,PUNCT,21.84872055053711,17540,.,PUNCT,33.33583450317383,17540
22,We,PRON,23.809383392333984,20843,0,0,0.0,0
23,are,AUX,25.448673248291016,20843,Somos,AUX,30.047428131103516,20843
24,different,ADJ,24.454181671142578,20843,diferentes,ADJ,28.871492385864258,20843
25,in,ADP,22.353153228759766,20843,en,ADP,33.89444351196289,20843
26,many,ADJ,22.30082893371582,20843,muchos,DET,34.7008056640625,20843
27,ways,NOUN,23.10308265686035,20843,aspectos,NOUN,35.79458999633789,20843
28,.,PUNCT,22.20085334777832,20843,0,0,0.0,0
29,Does,AUX,20.96954917907715,24095,eres,AUX,33.228145599365234,24095
30,n't,PART,24.148488998413086,24095,igual,ADV,34.9991455078125,24095
31,matter,VERB,23.546852111816406,24095,Da,VERB,32.68722915649414,24095
32,if,SCONJ,20.606075286865234,24095,si,SCONJ,32.74726867675781,24095
33,you,PRON,23.28035545349121,24095,algo,PRON,31.32132911682129,24095
34,'re,AUX,22.25888442993164,24095,niño,NOUN,31.20863914489746,24095
35,a,DET,22.56452751159668,24095,o,CONJ,33.033729553222656,24095
36,boy,NOUN,19.792789459228516,24095,niña,NOUN,27.748624801635742,24095
37,",",PUNCT,22.667383193969727,24095,",",PUNCT,32.4446907043457,24095
38,girl,NOUN,18.3223819732666,24095,medias,NOUN,30.745925903320312,24095
39,or,CCONJ,22.014223098754883,24095,0,0,0.0,0
