,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Welcome,INTJ,24.467018127441406,19330,Bienvenidos,NOUN,31.458051681518555,19330
1,.,PUNCT,20.22911262512207,19330,.,PUNCT,32.02527618408203,19330
2,If,SCONJ,21.319900512695312,19330,¿,PUNCT,31.315643310546875,19330
3,I,PRON,24.86959457397461,19330,Me,PRON,28.431900024414062,19330
4,could,VERB,24.73836326599121,19330,poner,VERB,39.163978576660156,19330
5,have,AUX,24.785335540771484,19330,pueden,AUX,34.56002426147461,19330
6,the,DET,23.88935089111328,19330,la,DET,34.26637649536133,19330
7,first,ADJ,20.324975967407227,19330,primera,ADJ,35.76797866821289,19330
8,slide,NOUN,18.224605560302734,19330,diapositiva,NOUN,30.799348831176758,19330
9,",",PUNCT,19.819591522216797,19330,?,PUNCT,34.45789337158203,19330
10,please,INTJ,20.105255126953125,19330,En,ADP,31.373746871948242,33330
11,?,PUNCT,19.98000717163086,19330,contra,NOUN,28.701204299926758,33330
12,Contrary,ADJ,18.1564998626709,33330,los,DET,34.975162506103516,33330
13,to,ADP,21.45119285583496,33330,de,ADP,31.21735954284668,33330
14,calculations,NOUN,25.052310943603516,33330,cálculos,NOUN,34.76849365234375,33330
15,made,VERB,24.574764251708984,33330,algunos,DET,34.622413635253906,33330
16,by,ADP,22.369016647338867,33330,de,ADP,31.44141387939453,33330
17,some,DET,23.939016342163086,33330,las,DET,35.199825286865234,33330
18,engineers,NOUN,19.8999080657959,33330,ingenieros,NOUN,34.304107666015625,33330
19,",",PUNCT,23.376110076904297,33330,",",PUNCT,31.43928337097168,33330
20,bees,NOUN,21.173799514770508,33330,abejas,NOUN,33.043617248535156,33330
21,can,VERB,23.499591827392578,33330,pueden,AUX,35.455047607421875,33330
22,fly,VERB,24.039108276367188,33330,volar,VERB,35.914825439453125,33330
23,",",PUNCT,19.472557067871094,33330,los,DET,33.210472106933594,38330
24,dolphins,NOUN,21.42979621887207,38330,delfines,NOUN,32.220703125,38330
25,can,VERB,21.519378662109375,38330,pueden,AUX,37.63478088378906,38330
26,swim,VERB,24.294960021972656,38330,nadar,VERB,35.0169792175293,38330
27,",",PUNCT,21.94048500061035,38330,y,CONJ,32.541507720947266,38330
28,and,CCONJ,19.710216522216797,38330,las,DET,34.03831481933594,38330
29,geckos,PROPN,22.027996063232422,38330,lagartijas,NOUN,32.38420104980469,38330
30,can,VERB,24.57583236694336,38330,pueden,AUX,36.17708206176758,38330
31,even,ADV,22.527551651000977,38330,más,ADV,38.722084045410156,45330
32,climb,VERB,22.323448181152344,38330,escalar,VERB,34.1500129699707,38330
33,up,ADP,19.5540714263916,45330,sobre,ADP,32.98444747924805,45330
34,the,DET,19.94469451904297,45330,las,DET,33.21534729003906,45330
35,smoothest,ADJ,21.604463577270508,45330,lisas,ADJ,35.82972717285156,45330
