,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,ADV,18.63738441467285,13692,0,0,0.0,0
1,two,NUM,23.62819480895996,13692,eran,AUX,34.906089782714844,17799
2,weeks,NOUN,23.642995834350586,13692,resultados,NOUN,36.671573638916016,17799
3,ago,ADV,20.51384925842285,13692,bastante,ADV,33.37032699584961,17799
4,",",PUNCT,23.046796798706055,13692,0,0,0.0,0
5,I,PRON,24.87783432006836,13692,0,0,0.0,0
6,searched,VERB,27.958892822265625,13692,0,0,0.0,0
7,the,DET,22.891878128051758,13692,Los,DET,34.101524353027344,17799
8,word,NOUN,18.237709045410156,13692,0,0,0.0,0
9,"""",PUNCT,20.855016708374023,13692,0,0,0.0,0
10,nationalist,ADJ,23.3637638092041,13692,pintorescos,ADJ,35.99745178222656,17799
11,"""",PUNCT,22.183622360229492,13692,0,0,0.0,0
12,on,ADP,17.72608184814453,13692,0,0,0.0,0
13,Twitter,PROPN,20.64069366455078,13692,0,0,0.0,0
14,.,PUNCT,21.840492248535156,13692,0,0,0.0,0
15,The,DET,22.35434341430664,18109,con,ADP,32.98080825805664,19707
16,results,NOUN,22.07549285888672,18109,expresiones,NOUN,35.67909240722656,19707
17,were,AUX,24.587121963500977,18109,como,SCONJ,34.547264099121094,19707
18,quite,ADV,24.782350540161133,18109,:,PUNCT,30.391517639160156,19707
19,",",PUNCT,22.05483627319336,18109,"""",PUNCT,33.42885208129883,19707
20,0,0,0.0,0,idiota,NOUN,32.984275817871094,19707
21,colorful,ADJ,21.986488342285156,18109,racista,ADJ,33.89570617675781,19707
22,0,0,0.0,0,valiente,ADJ,32.73456573486328,19707
23,0,0,0.0,0,"""",PUNCT,31.910961151123047,19707
24,0,0,0.0,0,.,PUNCT,33.07671356201172,19707
25,with,ADP,20.547428131103516,19974,0,0,0.0,0
26,expressions,NOUN,21.77674102783203,19974,0,0,0.0,0
27,like,SCONJ,19.10536766052246,19974,0,0,0.0,0
28,",",PUNCT,20.347867965698242,19974,),PUNCT,32.331058502197266,23240
29,"""",PUNCT,21.159488677978516,19974,(,PUNCT,28.748825073242188,23240
30,Emboldened,ADJ,20.254091262817383,19974,0,0,0.0,0
31,Racist,PROPN,20.14019012451172,19974,Risas,PROPN,34.865478515625,23240
32,Moron,PROPN,19.28360366821289,19974,0,0,0.0,0
33,",",PUNCT,22.741756439208984,19974,0,0,0.0,0
34,"""",PUNCT,21.183860778808594,19974,0,0,0.0,0
35,--,PUNCT,19.876243591308594,19974,0,0,0.0,0
36,(,PUNCT,19.138301849365234,23351,"""",PUNCT,31.7296142578125,23951
37,Laughter,PROPN,20.165264129638672,23351,Idiota,PROPN,34.134979248046875,23951
38,0,0,0.0,0,racista,ADJ,31.4505672454834,23951
39,0,0,0.0,0,blanco,ADJ,31.516862869262695,23951
40,),PUNCT,20.96363067626953,23351,"""",PUNCT,31.703588485717773,23951
41,0,0,0.0,0,",",PUNCT,30.239110946655273,23951
42,"""",PUNCT,20.264404296875,26534,"""",PUNCT,31.1543025970459,26700
43,Fascist,PROPN,18.821151733398438,26534,Marioneta,PROPN,30.900663375854492,26700
44,Sock,PROPN,19.880041122436523,26534,fascista,ADJ,31.84771156311035,26700
45,0,0,0.0,0,"""",PUNCT,32.195621490478516,26700
46,",",PUNCT,20.318649291992188,26534,.,PUNCT,33.24070358276367,26700
47,"""",PUNCT,20.925249099731445,26534,(,PUNCT,28.748825073242188,28330
