,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.188106536865234,12988,mucho,ADV,36.218505859375,12808
1,'ve,AUX,22.17197608947754,12988,estado,AUX,35.47140884399414,12808
2,been,AUX,25.430953979492188,12988,He,AUX,34.88521194458008,12808
3,thinking,VERB,22.83610725402832,12988,pensando,VERB,36.46755599975586,12808
4,a,DET,23.37129020690918,12988,el,DET,35.0709228515625,12808
5,lot,NOUN,22.053699493408203,12988,mundo,NOUN,30.448335647583008,12808
6,about,ADP,22.606884002685547,12988,en,ADP,32.16636276245117,12808
7,the,DET,20.64895248413086,12988,los,DET,33.45551681518555,16045
8,world,NOUN,20.0710506439209,12988,y,CONJ,33.81485366821289,16045
9,recently,ADV,24.02766990661621,12988,recientemente,ADV,33.31317138671875,12808
10,and,CCONJ,20.080018997192383,16045,ha,AUX,34.493900299072266,16045
11,how,ADV,21.68569564819336,16045,20,NUM,32.0125617980957,16045
12,it,PRON,23.326099395751953,16045,cómo,PRON,35.03907775878906,16045
13,'s,AUX,22.160959243774414,16045,Hace,AUX,34.40236282348633,19732
14,changed,VERB,22.086685180664062,16045,cambiado,VERB,35.61422348022461,16045
15,over,ADP,21.602590560913086,16045,en,ADP,33.23908996582031,16045
16,the,DET,20.605701446533203,16045,",",PUNCT,30.867088317871094,16045
17,last,ADJ,19.67760467529297,16045,últimos,ADJ,32.98752975463867,16045
18,20,NUM,20.33265495300293,16045,30,NUM,31.45453643798828,16045
19,",",PUNCT,21.973133087158203,16045,",",PUNCT,30.771465301513672,16045
20,30,NUM,21.336734771728516,16045,40,NUM,34.54642105102539,16045
21,",",PUNCT,22.65760612487793,16045,.,PUNCT,33.20212173461914,16045
22,40,NUM,22.931060791015625,16045,20,NUM,34.116920471191406,19732
23,years,NOUN,22.684009552001953,16045,años,NOUN,36.303497314453125,16045
24,.,PUNCT,20.556474685668945,16045,o,CONJ,33.11761474609375,19732
25,Twenty,NUM,23.099742889404297,19732,30,NUM,32.45596694946289,19732
26,or,CCONJ,21.048965454101562,19732,años,NOUN,34.395076751708984,19732
27,30,NUM,21.73770523071289,19732,un,DET,37.14362335205078,22151
28,years,NOUN,23.784048080444336,19732,pollo,NOUN,32.52965545654297,22151
29,ago,ADV,20.357431411743164,19732,se,PRON,32.16872787475586,22151
30,",",PUNCT,21.757091522216797,19732,",",PUNCT,30.524364471435547,22151
31,if,SCONJ,22.625377655029297,22151,si,SCONJ,35.09330368041992,22151
32,a,DET,24.679750442504883,22151,y,CONJ,33.57131576538086,22151
33,chicken,NOUN,19.210309982299805,22151,moría,NOUN,33.899925231933594,22151
34,caught,VERB,21.55375862121582,22151,resfriaba,VERB,33.30685806274414,22151
35,a,DET,22.14952278137207,22151,una,DET,35.268409729003906,24681
36,cold,ADJ,19.142744064331055,22151,lejana,ADJ,32.6585578918457,24681
37,and,CCONJ,22.258602142333984,22151,en,ADP,34.46711730957031,24681
38,sneezed,VERB,22.05571746826172,22151,estornudaba,VERB,35.28295135498047,22151
39,and,CCONJ,23.562498092651367,22151,aldea,NOUN,31.758108139038086,24681
40,died,VERB,21.506959915161133,22151,del,ADP,34.38214874267578,24681
41,in,ADP,20.1925048828125,24681,de,ADP,29.226781845092773,24681
42,a,DET,23.29606819152832,24681,una,DET,33.78684997558594,26650
43,remote,ADJ,20.458213806152344,24681,habría,AUX,32.99363708496094,26650
44,village,NOUN,21.903337478637695,24681,este,NOUN,30.824748992919922,24681
45,in,ADP,20.27452278137207,24681,para,ADP,33.0682258605957,26650
46,East,PROPN,20.26325798034668,24681,Asia,PROPN,36.71110916137695,24681
47,Asia,PROPN,22.005674362182617,24681,tragedia,NOUN,32.352840423583984,26650
48,",",PUNCT,20.450721740722656,24681,",",PUNCT,31.096046447753906,24681
49,it,PRON,25.288833618164062,26650,pollo,NOUN,30.740495681762695,26650
50,would,VERB,25.392438888549805,26650,creo,VERB,36.15995407104492,30217
51,have,AUX,24.13773536682129,26650,sido,AUX,35.30788040161133,26650
52,been,AUX,23.57756233215332,26650,y,CONJ,33.8259391784668,29020
53,a,DET,24.078338623046875,26650,sus,DET,32.2501220703125,29020
54,tragedy,NOUN,20.116687774658203,26650,parientes,NOUN,36.034000396728516,29020
55,for,ADP,19.774023056030273,26650,cercanos,ADJ,35.09956741333008,29020
56,the,DET,22.202774047851562,26650,el,DET,32.662445068359375,26650
57,chicken,NOUN,17.562938690185547,26650,pero,CONJ,33.21973419189453,30217
58,and,CCONJ,20.20990753173828,29020,no,ADV,33.66740798950195,30217
59,its,DET,21.52454948425293,29020,que,SCONJ,31.21668815612793,30217
60,closest,ADJ,21.661134719848633,29020,probable,ADJ,37.69806671142578,30217
61,relatives,NOUN,19.723695755004883,29020,pandemia,NOUN,32.71442794799805,32425
62,",",PUNCT,20.072690963745117,29020,",",PUNCT,30.221736907958984,29020
63,but,CCONJ,20.523984909057617,30217,muy,ADV,37.69660949707031,30217
64,I,PRON,25.459413528442383,30217,que,SCONJ,31.464811325073242,32425
65,do,AUX,23.582469940185547,30217,fuese,AUX,35.2934455871582,30217
66,n't,PART,24.972978591918945,30217,una,DET,33.94661331176758,32425
67,think,VERB,24.27765464782715,30217,temiésemos,VERB,35.977237701416016,32425
68,there,PRON,23.122785568237305,30217,y,CONJ,34.070457458496094,35100
69,was,AUX,24.379539489746094,30217,Hace,AUX,34.40236282348633,37093
70,much,ADJ,22.58249282836914,30217,global,ADJ,35.00435256958008,32425
71,possibility,NOUN,19.6070556640625,30217,muerte,NOUN,28.504741668701172,35100
72,of,ADP,21.37527084350586,32425,de,ADP,31.491191864013672,35100
73,us,PRON,23.598806381225586,32425,millones,NOUN,35.888301849365234,35100
74,fearing,VERB,23.2609806060791,32425,.,PUNCT,32.39749526977539,35100
75,a,DET,19.04217529296875,32425,la,DET,33.362911224365234,35100
76,global,ADJ,20.652488708496094,32425,20,NUM,34.12202072143555,37093
77,pandemic,NOUN,21.495656967163086,32425,o,CONJ,33.069908142089844,37093
78,and,CCONJ,18.854238510131836,35100,si,SCONJ,33.74208450317383,37093
79,the,DET,20.830121994018555,35100,un,DET,35.32770919799805,37093
80,deaths,NOUN,21.790550231933594,35100,años,NOUN,33.096900939941406,37093
81,of,ADP,24.32179069519043,35100,en,ADP,32.4688720703125,37093
82,millions,NOUN,21.822778701782227,35100,banco,NOUN,33.04203414916992,37093
83,.,PUNCT,21.446887969970703,35100,",",PUNCT,31.242341995239258,37093
84,Twenty,NUM,23.099742889404297,37093,30,NUM,32.76458740234375,37093
85,or,CCONJ,21.048965454101562,37093,Norteamérica,PROPN,34.86293029785156,37093
86,30,NUM,21.74026870727539,37093,prestaba,VERB,36.12409210205078,39821
87,years,NOUN,23.793912887573242,37093,dinero,NOUN,32.88722610473633,39821
88,ago,ADV,19.9581356048584,37093,demasiado,ADV,34.27010726928711,39821
89,",",PUNCT,21.3336238861084,37093,alguien,PRON,32.09208679199219,39821
90,if,SCONJ,21.176799774169922,37093,que,SCONJ,34.41743087768555,41966
91,a,DET,23.978694915771484,37093,el,DET,34.80340576171875,41966
92,bank,NOUN,20.711591720581055,37093,dinero,NOUN,30.19293785095215,41966
93,in,ADP,21.1279239654541,37093,a,ADP,32.30702209472656,39821
94,North,PROPN,21.834548950195312,37093,podía,AUX,36.35963439941406,41966
95,America,PROPN,22.459930419921875,37093,y,CONJ,32.70756530761719,43987
96,lent,VERB,19.5988826751709,39821,devolver,VERB,36.32152557373047,41966
97,too,ADV,22.967214584350586,39821,no,ADV,34.668975830078125,41966
98,much,ADJ,22.754323959350586,39821,malo,ADJ,34.273292541503906,45719
99,money,NOUN,19.026975631713867,39821,banco,NOUN,30.286012649536133,43987
100,to,ADP,20.04729652404785,39821,para,ADP,33.53835678100586,45719
101,some,DET,22.156259536743164,39821,el,DET,33.687862396240234,43987
102,people,NOUN,19.971675872802734,39821,",",PUNCT,30.852205276489258,43987
103,who,PRON,21.938610076904297,41966,era,AUX,36.3068962097168,45719
104,could,VERB,26.300674438476562,41966,quebraba,VERB,32.50110626220703,43987
105,n't,PART,26.680721282958984,41966,el,DET,32.601627349853516,45719
106,afford,VERB,24.490510940551758,41966,prestamista,NOUN,30.16813850402832,45719
107,to,PART,24.8729305267334,41966,y,CONJ,31.070602416992188,46736
108,pay,VERB,27.874608993530273,41966,para,ADP,34.04389572143555,46736
109,it,PRON,24.19259262084961,41966,prestatario,ADJ,29.763938903808594,46736
