,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,The,DET,22.35095977783203,15260,La,DET,34.78654479980469,15260
1,substance,NOUN,20.5938663482666,15260,sustancia,NOUN,31.532337188720703,15260
2,of,ADP,23.224510192871094,15260,de,ADP,32.417476654052734,15260
3,unseen,ADJ,19.258678436279297,15260,las,DET,33.53691864013672,15260
4,things,NOUN,22.582195281982422,15260,cosas,NOUN,34.22500228881836,15260
5,0,0,0.0,0,que,PRON,36.32847595214844,15260
6,0,0,0.0,0,no,ADV,33.31722640991211,15260
7,0,0,0.0,0,se,PRON,32.32661056518555,15260
8,0,0,0.0,0,ven,VERB,37.69755554199219,15260
9,.,PUNCT,21.965776443481445,15260,.,PUNCT,31.053110122680664,15260
10,Cities,NOUN,21.72551918029785,18260,Ciudades,PROPN,35.28324508666992,18260
11,",",PUNCT,20.956602096557617,18260,",",PUNCT,30.769428253173828,18260
12,past,NOUN,18.248634338378906,18260,pasado,ADJ,32.16897964477539,18260
13,and,CCONJ,25.322446823120117,18260,y,CONJ,33.377498626708984,18260
14,future,NOUN,18.80556869506836,18260,futuro,NOUN,33.9342155456543,18260
15,.,PUNCT,21.16716194152832,18260,.,PUNCT,32.47188949584961,18260
16,In,ADP,19.169328689575195,21260,En,ADP,33.2717399597168,21260
17,Oxford,PROPN,18.669696807861328,21260,Oxford,PROPN,35.51087188720703,21260
18,",",PUNCT,22.90559959411621,21260,",",PUNCT,30.319002151489258,21260
19,perhaps,ADV,22.209081649780273,21260,quizá,ADV,32.13380432128906,21260
20,we,PRON,24.627378463745117,21260,podemos,AUX,32.723636627197266,21260
21,can,VERB,24.612594604492188,21260,servirnos,ADJ,32.45856475830078,21260
22,use,VERB,26.58449935913086,21260,de,ADP,31.06142234802246,21260
23,Lewis,PROPN,21.185340881347656,21260,Lewis,PROPN,36.16367721557617,21260
24,Carroll,PROPN,21.246170043945312,21260,Carroll,PROPN,36.7759895324707,21260
25,and,CCONJ,21.21518325805664,25260,para,ADP,36.42257308959961,25260
26,look,VERB,21.752059936523438,25260,mirar,VERB,36.13433837890625,25260
27,in,ADP,21.443500518798828,25260,en,ADP,33.33149719238281,25260
28,the,DET,21.769140243530273,25260,el,DET,34.59840393066406,25260
29,looking,VERB,21.34039306640625,25260,que,PRON,32.751895904541016,25260
30,glass,NOUN,19.750307083129883,25260,espejo,NOUN,30.961233139038086,25260
31,that,DET,21.499086380004883,25260,0,0,0.0,0
32,is,AUX,23.94171142578125,25260,es,AUX,30.675159454345703,25260
33,New,PROPN,21.603485107421875,25260,York,PROPN,36.2606086730957,25260
34,York,PROPN,19.085172653198242,25260,Nueva,PROPN,35.16635513305664,25260
35,City,PROPN,20.97747039794922,25260,",",PUNCT,30.22195816040039,25260
36,to,PART,20.869497299194336,28260,e,CONJ,30.816354751586914,28260
37,try,VERB,25.267322540283203,28260,intentar,AUX,35.0448112487793,28260
38,and,CCONJ,22.173124313354492,28260,0,0,0.0,0
39,see,VERB,23.468257904052734,28260,ver,VERB,37.13742446899414,28260
40,our,DET,21.19500732421875,28260,nuestro,DET,34.105072021484375,28260
41,true,ADJ,21.064281463623047,28260,verdadero,ADJ,33.97603988647461,28260
42,selves,NOUN,20.257400512695312,28260,ser,NOUN,31.25516128540039,28260
43,",",PUNCT,21.21455955505371,28260,",",PUNCT,30.952817916870117,28260
44,or,CCONJ,22.91066551208496,31260,o,CONJ,33.30329132080078,31260
45,0,0,0.0,0,",",PUNCT,30.064632415771484,31260
46,perhaps,ADV,22.307771682739258,31260,quizá,ADV,33.25786590576172,31260
47,through,ADP,20.173398971557617,31260,",",PUNCT,30.3958740234375,31260
48,pass,VERB,22.5294246673584,31260,pasar,VERB,37.77399826049805,31260
49,to,ADP,19.60506820678711,31260,a,ADP,33.433170318603516,31260
50,another,DET,23.57377052307129,31260,otro,DET,34.58350372314453,31260
51,world,NOUN,19.3005428314209,31260,mundo,NOUN,33.11734390258789,31260
52,.,PUNCT,22.03767967224121,31260,.,PUNCT,32.228633880615234,31260
53,Or,CCONJ,20.917837142944336,34260,O,CONJ,33.56487274169922,34260
54,",",PUNCT,18.646303176879883,34260,",",PUNCT,29.324729919433594,34260
55,in,ADP,21.06130027770996,34260,en,ADP,31.065946578979492,34260
56,the,DET,23.370141983032227,34260,0,0,0.0,0
57,words,NOUN,20.873096466064453,34260,palabras,NOUN,32.560325622558594,34260
58,of,ADP,23.429882049560547,34260,de,ADP,32.43763732910156,34260
59,F.,PROPN,20.871004104614258,34260,Scott,PROPN,36.02240753173828,34260
60,Scott,PROPN,22.434789657592773,34260,F.,PROPN,34.05768585205078,34260
61,Fitzgerald,PROPN,21.860538482666016,34260,Fitzgerald,PROPN,33.89625549316406,34260
62,",",PUNCT,20.085037231445312,34260,",",PUNCT,30.28236961364746,34260
63,"""",PUNCT,19.938379287719727,37260,"""",PUNCT,30.653995513916016,37260
64,As,SCONJ,21.971641540527344,37260,Mientras,SCONJ,31.340879440307617,37260
65,the,DET,23.249134063720703,37260,la,DET,32.21699523925781,37260
66,moon,NOUN,19.797245025634766,37260,luna,NOUN,32.727657318115234,37260
67,rose,VERB,24.10853385925293,37260,ascendía,NOUN,32.211143493652344,37260
68,higher,ADV,21.579309463500977,37260,0,0,0.0,0
69,",",PUNCT,20.40922737121582,37260,",",PUNCT,31.31330108642578,37260
70,the,DET,20.13833236694336,39260,las,DET,32.252315521240234,39260
71,inessential,ADJ,21.102203369140625,39260,esenciales,ADJ,34.02830505371094,39260
72,houses,NOUN,22.135101318359375,39260,casas,NOUN,34.701454162597656,39260
73,began,VERB,24.69559097290039,39260,no,ADV,34.54067611694336,39260
74,to,PART,23.224842071533203,39260,empezaron,AUX,35.1382942199707,39260
75,melt,VERB,21.88270378112793,39260,desaparecer,VERB,35.09199523925781,39260
76,away,ADP,24.098968505859375,39260,a,ADP,34.72163009643555,39260
77,until,ADP,22.030506134033203,42260,hasta,ADP,36.77635192871094,42260
78,gradually,ADV,20.955034255981445,42260,que,SCONJ,32.83053970336914,42260
79,I,PRON,24.904409408569336,42260,me,PRON,32.297584533691406,42260
80,became,VERB,25.388826370239258,42260,di,VERB,32.154014587402344,42260
81,aware,ADJ,20.53504180908203,42260,cuenta,NOUN,33.58917999267578,42260
82,of,ADP,23.6382999420166,42260,de,ADP,29.94766616821289,42260
83,0,0,0.0,0,que,SCONJ,31.444746017456055,42260
84,the,DET,22.444957733154297,42260,la,DET,34.29506301879883,42260
85,old,ADJ,20.277345657348633,42260,vieja,ADJ,32.16718292236328,42260
86,island,NOUN,21.211231231689453,42260,isla,NOUN,31.49785041809082,42260
87,0,0,0.0,0,",",PUNCT,30.085674285888672,42260
88,here,ADV,20.948192596435547,44260,que,SCONJ,32.9567756652832,44260
89,that,DET,19.92817497253418,44260,una,DET,32.55487823486328,44260
90,once,ADV,20.349559783935547,44260,vez,NOUN,33.49397659301758,44260
91,flowered,VERB,21.550491333007812,44260,floreció,VERB,34.190921783447266,44260
92,for,ADP,22.107576370239258,44260,ante,ADP,35.36917495727539,44260
93,0,0,0.0,0,los,DET,35.09440612792969,44260
94,sailors,NOUN,19.4523868560791,44260,ojos,NOUN,34.476497650146484,44260
95,',PART,23.12783432006836,44260,del,ADP,33.215946197509766,44260
96,eyes,NOUN,20.818479537963867,44260,marinero,NOUN,30.578418731689453,44260
97,Dutch,ADJ,22.270828247070312,44260,holandés,ADJ,30.929365158081055,44260
98,",",PUNCT,20.0196475982666,44260,",",PUNCT,29.059356689453125,44260
99,a,DET,22.08600425720215,47260,el,DET,32.07292175292969,47260
100,fresh,ADJ,19.292951583862305,47260,era,AUX,33.427574157714844,47260
101,green,ADJ,19.639888763427734,47260,verde,ADJ,31.666767120361328,47260
102,breast,NOUN,19.189533233642578,47260,fresco,NOUN,31.479270935058594,47260
103,of,ADP,21.862640380859375,47260,del,ADP,32.48944091796875,47260
104,the,DET,21.05783462524414,47260,y,CONJ,34.65209197998047,47260
105,new,ADJ,20.22321891784668,47260,nuevo,ADJ,31.31028938293457,47260
106,world,NOUN,19.185409545898438,47260,pecho,NOUN,31.160493850708008,47260
107,.,PUNCT,20.85574722290039,47260,mundo.,NOUN,33.53208541870117,47260
108,"""",PUNCT,21.29115867614746,47260,0,0,0.0,0
109,My,DET,21.747236251831055,50260,Mis,DET,31.058433532714844,50260
110,colleagues,NOUN,19.739299774169922,50260,colegas,NOUN,36.811832427978516,50260
111,and,CCONJ,21.03911590576172,50260,y,CONJ,34.41984558105469,50260
112,I,PRON,24.770662307739258,50260,yo,PRON,34.22686767578125,50260
113,have,AUX,23.32357406616211,50260,hemos,AUX,32.64497375488281,50260
114,been,AUX,27.382566452026367,50260,estado,AUX,35.847320556640625,50260
115,working,VERB,24.171533584594727,50260,trabajando,VERB,35.98383712768555,50260
116,for,ADP,22.55042839050293,50260,durante,ADP,34.679656982421875,50260
117,10,NUM,24.91737937927246,50260,diez,NUM,35.48737716674805,50260
118,years,NOUN,22.834402084350586,50260,años,NOUN,36.31654357910156,50260
119,to,PART,21.102293014526367,52260,para,ADP,35.195438385009766,52260
120,rediscover,VERB,20.813692092895508,52260,redescubrir,VERB,36.966182708740234,52260
121,this,DET,22.058996200561523,52260,este,DET,36.93949890136719,52260
122,lost,VERB,18.731088638305664,52260,perdido,ADJ,32.105491638183594,52260
123,world,NOUN,20.236114501953125,52260,mundo,NOUN,33.519954681396484,52260
