,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.70767593383789,12760,0,0,0.0,0
1,teach,VERB,24.21609878540039,12760,Enseño,VERB,32.375484466552734,12760
2,history,NOUN,19.8155574798584,12760,historia,NOUN,29.757356643676758,12760
3,at,ADP,22.297306060791016,14719,en,ADP,32.2987174987793,14719
4,Marjory,PROPN,21.786815643310547,14719,el,DET,33.158206939697266,14719
5,Stoneman,PROPN,21.135860443115234,14719,instituto,NOUN,29.395008087158203,14719
6,Douglas,PROPN,20.433584213256836,14719,Marjory,PROPN,35.97405242919922,14719
7,High,PROPN,19.812955856323242,14719,Stoneman,PROPN,37.22089385986328,14719
8,School,PROPN,20.422826766967773,14719,Douglas,PROPN,35.186588287353516,14719
9,.,PUNCT,20.54273223876953,14719,.,PUNCT,31.566329956054688,14719
10,February,PROPN,23.198707580566406,18560,El,DET,31.596227645874023,18560
11,14,NUM,21.236543655395508,18560,14,NUM,31.66450309753418,18560
12,On,ADP,20.465608596801758,18560,de,ADP,30.95309829711914,18560
13,",",PUNCT,23.400894165039062,18560,Febrero,NOUN,31.014320373535156,18560
14,0,0,0.0,0,de,ADP,33.20918655395508,18560
15,2018,NUM,21.32008171081543,18560,2018,NUM,30.797557830810547,18560
16,",",PUNCT,20.35251235961914,18560,",",PUNCT,30.94278907775879,18560
17,my,DET,20.761783599853516,22560,mi,DET,34.3745231628418,22560
18,school,NOUN,19.911102294921875,22560,escuela,NOUN,33.843292236328125,22560
19,experienced,VERB,23.53390884399414,22560,experimentó,VERB,35.963661193847656,22560
20,one,NUM,22.297239303588867,22560,uno,PRON,34.96855163574219,22560
21,of,ADP,23.50333023071289,22560,de,ADP,30.063106536865234,22560
22,the,DET,20.229307174682617,22560,los,DET,35.096187591552734,22560
23,worst,ADJ,19.576217651367188,22560,peores,ADJ,37.450157165527344,22560
24,mass,ADJ,18.902820587158203,22560,0,0,0.0,0
25,school,NOUN,19.12286949157715,22560,tiroteos,NOUN,35.5069580078125,22560
26,shootings,NOUN,20.25054931640625,22560,la,DET,33.321189880371094,22560
27,in,ADP,21.253131866455078,22560,de,ADP,32.61882781982422,22560
28,American,ADJ,22.529754638671875,22560,estadounidense,ADJ,34.49134826660156,22560
29,history,NOUN,19.015514373779297,22560,historia,NOUN,33.69439697265625,22560
30,.,PUNCT,22.41309356689453,22560,.,PUNCT,33.009918212890625,22560
31,People,NOUN,23.652179718017578,31200,gente,NOUN,33.0466423034668,31200
32,want,VERB,22.963136672973633,31200,quiere,VERB,35.85029983520508,31200
33,to,PART,22.409616470336914,31200,La,DET,34.33722686767578,31200
34,know,VERB,24.65436363220215,31200,saber,VERB,34.9384651184082,31200
35,what,PRON,22.03136444091797,31200,lo,DET,35.270015716552734,31200
36,we,PRON,25.731626510620117,31200,que,PRON,31.505096435546875,31200
37,saw,VERB,24.580368041992188,31200,vimos,VERB,35.60496520996094,31200
38,",",PUNCT,20.513668060302734,31200,",",PUNCT,29.875734329223633,31200
39,what,PRON,22.02117919921875,34480,lo,DET,33.73400115966797,34480
40,I,PRON,25.768814086914062,34480,que,PRON,29.742460250854492,34480
41,felt,VERB,23.142776489257812,34480,sentí,VERB,32.668975830078125,34480
42,.,PUNCT,20.563648223876953,34480,.,PUNCT,33.26310729980469,34480
43,I,PRON,24.854822158813477,37120,No,ADV,32.23976516723633,37120
44,do,AUX,23.71564292907715,37120,0,0,0.0,0
45,n't,PART,25.701852798461914,37120,0,0,0.0,0
46,remember,VERB,23.686481475830078,37120,recuerdo,VERB,36.990379333496094,37120
47,everything,PRON,21.58247947692871,37120,nada,PRON,35.678890228271484,37120
48,",",PUNCT,23.022754669189453,37120,.,PUNCT,34.500301361083984,37120
49,but,CCONJ,20.547210693359375,39840,Pero,CONJ,33.05168914794922,39840
50,I,PRON,24.892847061157227,39840,recuerdo,VERB,34.79520797729492,39840
51,do,AUX,22.95408821105957,39840,que,SCONJ,31.0706787109375,39840
52,remember,VERB,21.267683029174805,39840,entré,VERB,32.38454055786133,39840
53,I,PRON,25.010494232177734,39840,en,ADP,35.49541091918945,39840
54,went,VERB,23.960222244262695,39840,un,DET,36.81781768798828,39840
55,into,ADP,20.93309211730957,39840,de,ADP,30.063634872436523,39840
56,crisis,NOUN,18.52574348449707,39840,estado,NOUN,32.25663375854492,39840
57,mode,NOUN,17.387296676635742,39840,crisis,NOUN,33.62129592895508,39840
58,",",PUNCT,20.764039993286133,39840,",",PUNCT,30.406951904296875,39840
59,0,0,0.0,0,en,ADP,32.845211029052734,43240
60,mode,PROPN,17.135784149169922,43240,el,DET,34.73457336425781,43240
61,mother,NOUN,17.541662216186523,43240,estado,NOUN,32.32012939453125,43240
62,0,0,0.0,0,de,ADP,32.91214370727539,43240
63,0,0,0.0,0,madre,NOUN,31.349714279174805,43240
64,.,PUNCT,20.349565505981445,43240,.,PUNCT,33.60383987426758,43240
65,There,PRON,22.077184677124023,44560,No,ADV,32.52284240722656,44560
66,was,AUX,23.510860443115234,44560,había,AUX,33.14581298828125,44560
67,no,DET,25.38524627685547,44560,0,0,0.0,0
68,emotion,NOUN,19.964155197143555,44560,emoción,NOUN,32.85320281982422,44560
69,.,PUNCT,21.85427474975586,44560,.,PUNCT,33.29979705810547,44560
70,I,PRON,23.923099517822266,47200,0,0,0.0,0
71,held,VERB,23.69504165649414,47200,sostenía,VERB,33.138145446777344,47200
72,up,ADP,20.33228302001953,47200,para,ADP,32.80522918701172,47200
73,a,DET,20.74118423461914,47200,una,DET,33.5268440246582,47200
74,sign,NOUN,20.703472137451172,47200,señal,NOUN,30.990238189697266,47200
75,so,SCONJ,19.339616775512695,47200,que,SCONJ,35.01978302001953,47200
76,they,PRON,25.200397491455078,47200,seguirme,ADJ,29.166519165039062,47200
77,could,VERB,25.994638442993164,47200,pudieran,AUX,35.41395568847656,47200
78,follow,VERB,26.683439254760742,47200,0,0,0.0,0
79,me,PRON,23.824918746948242,47200,0,0,0.0,0
80,through,ADP,21.87567901611328,47200,por,ADP,32.782020568847656,47200
81,the,DET,22.61405372619629,47200,el,DET,35.14852523803711,47200
82,hall,NOUN,18.918872833251953,47200,pasillo,NOUN,31.943897247314453,47200
83,",",PUNCT,20.64695167541504,47200,",",PUNCT,29.292444229125977,47200
84,just,ADV,21.56804847717285,51840,de,ADP,29.23308563232422,51840
85,like,SCONJ,19.83155059814453,51840,como,SCONJ,36.78857421875,51840
86,a,DET,23.70528221130371,51840,un,DET,37.268882751464844,51840
87,fire,NOUN,19.064311981201172,51840,simulacro,NOUN,30.90313148498535,51840
88,drill,NOUN,21.506011962890625,51840,incendio,NOUN,31.15302085876465,51840
89,.,PUNCT,23.003976821899414,51840,.,PUNCT,32.09083938598633,51840
90,I,PRON,25.36223793029785,53920,Escuché,PROPN,31.372604370117188,53920
91,heard,VERB,25.16340446472168,53920,0,0,0.0,0
92,shots,NOUN,21.722652435302734,53920,disparos,NOUN,33.85382843017578,53920
93,from,ADP,20.632781982421875,53920,en,ADP,33.80600357055664,53920
94,one,NUM,21.97247314453125,53920,una,DET,35.072547912597656,53920
95,direction,NOUN,20.58538055419922,53920,dirección,NOUN,32.369876861572266,53920
96,.,PUNCT,21.790416717529297,53920,.,PUNCT,33.12677764892578,53920
97,Luckily,ADV,20.589872360229492,56720,Por,ADP,33.65202713012695,56720
98,0,0,0.0,0,suerte,NOUN,28.538509368896484,56720
99,",",PUNCT,21.861806869506836,56720,",",PUNCT,30.81795310974121,56720
100,already,ADV,25.24078369140625,56720,ya,ADV,34.828365325927734,56720
101,we,PRON,23.93885040283203,56720,nos,PRON,30.900054931640625,56720
102,were,AUX,24.898681640625,56720,estábamos,AUX,35.26521682739258,56720
103,moving,VERB,24.520496368408203,56720,moviendo,VERB,36.91486358642578,56720
104,in,ADP,20.52983283996582,56720,hacia,ADP,34.06526184082031,56720
105,the,DET,22.770620346069336,56720,el,DET,34.68075942993164,56720
106,direction,NOUN,21.09345054626465,56720,lado,NOUN,31.58216667175293,56720
