,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Today,NOUN,20.604001998901367,12772,0,0,0.0,0
1,I,PRON,24.09131622314453,12772,estoy,VERB,33.69559860229492,12772
2,'m,AUX,22.599708557128906,12772,para,ADP,33.59910202026367,12772
3,here,ADV,19.908618927001953,12772,Hoy,ADV,33.014244079589844,12772
4,",",PUNCT,19.858627319335938,12772,plantearles,ADJ,34.26044845581055,12772
5,actually,ADV,21.74193000793457,12772,aquí,ADV,36.16635513305664,12772
6,",",PUNCT,20.123857498168945,12772,0,0,0.0,0
7,to,PART,23.199831008911133,12772,0,0,0.0,0
8,pose,VERB,22.827346801757812,12772,0,0,0.0,0
9,you,PRON,23.18362808227539,12772,0,0,0.0,0
10,a,DET,21.38492774963379,12772,una,DET,31.000028610229492,12772
11,question,NOUN,21.30531883239746,12772,pregunta,NOUN,32.23789978027344,12772
12,.,PUNCT,21.877201080322266,12772,0,0,0.0,0
13,0,0,0.0,0,¿,PUNCT,30.735292434692383,15876
14,What,PRON,20.348237991333008,15876,Qué,PRON,31.68556022644043,15876
15,is,AUX,21.642391204833984,15876,es,AUX,32.067386627197266,15876
16,0,0,0.0,0,la,DET,32.0234375,15876
17,life,NOUN,20.15445899963379,15876,vida,NOUN,31.333415985107422,15876
18,?,PUNCT,22.292858123779297,15876,?,PUNCT,33.574485778808594,15876
19,It,PRON,22.611408233642578,17560,Me,PRON,33.06074523925781,17560
20,has,AUX,25.509950637817383,17560,ha,AUX,35.01533126831055,17560
21,been,AUX,25.350055694580078,17560,estado,AUX,35.324607849121094,17560
22,really,ADV,26.4655818939209,17560,más,ADV,37.55630111694336,17560
23,puzzling,VERB,25.263498306274414,17560,desconcertando,VERB,36.15266418457031,17560
24,me,PRON,25.379344940185547,17560,0,0,0.0,0
25,for,ADP,22.816638946533203,17560,de,ADP,32.72761917114258,17560
26,more,ADJ,19.13953971862793,17560,0,0,0.0,0
27,than,SCONJ,24.759605407714844,17560,0,0,0.0,0
28,25,NUM,23.133134841918945,17560,25,NUM,35.04602813720703,17560
29,years,NOUN,22.492549896240234,17560,años,NOUN,36.43411636352539,17560
30,",",PUNCT,19.855558395385742,17560,0,0,0.0,0
31,and,CCONJ,20.547780990600586,21247,Y,CONJ,34.20995330810547,21247
32,will,VERB,24.731708526611328,21247,lo,PRON,32.26278305053711,21247
33,probably,ADV,27.864179611206055,21247,probablemente,ADV,35.420372009277344,21247
34,continue,VERB,25.639657974243164,21247,siga,AUX,33.87856674194336,21247
35,doing,VERB,25.315555572509766,21247,haciendo,VERB,34.41701889038086,21247
36,so,ADV,20.950315475463867,21247,0,0,0.0,0
37,for,ADP,20.3746337890625,21247,0,0,0.0,0
38,the,DET,20.352840423583984,21247,los,DET,34.61996078491211,21247
39,next,ADJ,20.17669677734375,21247,siguientes,ADJ,33.94868087768555,21247
