,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,For,ADP,19.670408248901367,13491,0,0,0.0,0
1,over,ADP,20.060361862182617,13491,0,0,0.0,0
2,40,NUM,24.368791580200195,13491,trabajador,ADJ,33.29159927368164,13491
3,years,NOUN,22.484464645385742,13491,psicólogo,NOUN,31.661426544189453,13491
4,",",PUNCT,21.899139404296875,13491,social,ADJ,33.30819320678711,13491
5,I,PRON,23.67314910888672,13491,y,CONJ,32.832210540771484,13491
6,'ve,AUX,22.43039321899414,13491,sido,AUX,34.64508056640625,13491
7,been,AUX,24.23697853088379,13491,He,AUX,34.449012756347656,13491
8,a,DET,23.333927154541016,13491,0,0,0.0,0
9,clinical,ADJ,22.374465942382812,13491,evolutivo,ADJ,33.039363861083984,13491
10,social,ADJ,20.3953857421875,13491,clínico,ADJ,31.798095703125,13491
11,worker,NOUN,20.499267578125,13491,0,0,0.0,0
12,and,CCONJ,19.648910522460938,16190,más,ADV,35.302921295166016,16190
13,a,DET,23.45844841003418,16190,de,ADP,32.48087692260742,16190
14,developmental,ADJ,20.341215133666992,16190,40,NUM,34.86592483520508,16190
15,psychologist,NOUN,18.542673110961914,16190,años,NOUN,36.8808708190918,16190
16,.,PUNCT,21.025585174560547,16190,.,PUNCT,33.220611572265625,16190
17,And,CCONJ,20.577524185180664,18466,Y,CONJ,32.04579162597656,18466
18,it,PRON,25.559810638427734,18466,mí,PRON,33.779502868652344,18466
19,seemed,VERB,26.030963897705078,18466,pareció,AUX,32.77095413208008,18466
20,almost,ADV,24.952836990356445,18466,casi,ADV,35.59927749633789,18466
21,natural,ADJ,24.088844299316406,18466,natural,ADJ,32.54176330566406,18466
22,for,ADP,22.43341636657715,18466,para,ADP,33.83915710449219,18466
23,me,PRON,24.571374893188477,18466,orientarme,PROPN,33.49502182006836,18466
24,to,PART,21.23370933532715,18466,hacia,ADP,34.19123840332031,18466
25,go,VERB,25.001371383666992,18466,profesiones,NOUN,32.11022186279297,18466
26,into,ADP,19.874834060668945,18466,de,ADP,32.667877197265625,18466
27,the,DET,21.04087257385254,18466,0,0,0.0,0
28,helping,VERB,20.910388946533203,18466,0,0,0.0,0
29,professions,NOUN,20.339414596557617,18466,ayuda,NOUN,31.050312042236328,18466
30,.,PUNCT,19.998865127563477,18466,.,PUNCT,33.68317794799805,18466
31,My,DET,23.579692840576172,22285,Mis,DET,30.437955856323242,22285
32,parents,NOUN,23.4739933013916,22285,padres,NOUN,32.77290344238281,22285
33,me,PRON,24.889665603637695,22285,me,PRON,34.21533966064453,22285
34,had,AUX,23.563949584960938,22285,habían,AUX,32.958221435546875,22285
35,do,AUX,23.59571647644043,22285,enseñado,AUX,33.13165283203125,22285
36,to,PART,21.234966278076172,22285,a,ADP,34.775814056396484,22285
37,taught,VERB,23.207691192626953,22285,hacer,VERB,35.900943756103516,22285
38,good,NOUN,21.191631317138672,22285,el,DET,36.2884521484375,22285
39,others,NOUN,23.529659271240234,22285,bien,NOUN,30.89459991455078,22285
40,for,ADP,21.030261993408203,22285,a,ADP,32.48815155029297,22285
41,0,0,0.0,0,otros,PRON,34.20551300048828,22285
42,.,PUNCT,21.237415313720703,22285,.,PUNCT,33.27421188354492,22285
43,And,CCONJ,19.96321678161621,26551,0,0,0.0,0
44,so,ADV,17.08500099182129,26551,Así,ADV,35.53815841674805,26551
45,I,PRON,23.604578018188477,26551,que,SCONJ,30.524642944335938,26551
46,devoted,VERB,23.21453285217285,26551,centré,VERB,33.66956329345703,26551
47,my,DET,22.232179641723633,26551,mi,DET,34.05646896362305,26551
48,career,NOUN,19.39678955078125,26551,carrera,NOUN,30.753612518310547,26551
49,to,ADP,20.78200912475586,29072,en,ADP,33.47372055053711,29072
50,working,VERB,23.340089797973633,29072,trabajar,VERB,35.644134521484375,29072
51,with,ADP,21.337129592895508,29072,con,ADP,33.9637451171875,29072
52,families,NOUN,21.830333709716797,29072,familias,NOUN,34.906436920166016,29072
53,in,ADP,21.2545166015625,29072,en,ADP,33.84676742553711,29072
54,some,DET,23.326257705688477,29072,las,DET,32.59590530395508,29072
55,of,ADP,22.678123474121094,29072,0,0,0.0,0
56,the,DET,21.420223236083984,29072,0,0,0.0,0
57,toughest,ADJ,22.43097686767578,29072,peores,ADJ,35.02974319458008,29072
58,circumstances,NOUN,20.26032257080078,29072,circunstancias,NOUN,34.403533935546875,29072
59,:,PUNCT,19.253196716308594,29072,:,PUNCT,31.67659568786621,29072
60,poverty,NOUN,18.149232864379883,32852,pobreza,NOUN,29.117307662963867,32852
61,",",PUNCT,19.91917610168457,32852,",",PUNCT,31.084604263305664,32852
62,mental,ADJ,19.656396865844727,32852,mental,ADJ,32.916343688964844,32852
63,illness,NOUN,18.626691818237305,32852,enfermedad,NOUN,33.435081481933594,32852
64,",",PUNCT,21.3704891204834,32852,",",PUNCT,30.817577362060547,32852
65,immigration,NOUN,18.437870025634766,35050,inmigración,PROPN,30.95265007019043,35050
66,",",PUNCT,22.272348403930664,35050,",",PUNCT,30.69661521911621,35050
67,refugees,NOUN,20.05234146118164,35050,refugiados,NOUN,32.85139083862305,35050
68,.,PUNCT,19.895938873291016,35050,",",PUNCT,31.76341438293457,35050
69,0,0,0.0,0,...,PUNCT,30.32606315612793,35050
70,And,CCONJ,21.302562713623047,38516,Y,CONJ,31.556900024414062,38516
71,for,ADP,20.68047332763672,38516,en,ADP,32.385433197021484,38516
72,all,DET,20.436946868896484,38516,todos,DET,32.24689865112305,38516
73,those,DET,23.83778953552246,38516,estos,DET,34.02639389038086,38516
74,years,NOUN,20.229061126708984,38516,años,NOUN,35.7547492980957,38516
75,",",PUNCT,21.927406311035156,38516,0,0,0.0,0
76,I,PRON,23.175546646118164,38516,0,0,0.0,0
77,'ve,AUX,22.34762191772461,38516,he,AUX,35.18544006347656,38516
78,worked,VERB,20.294328689575195,38516,trabajado,VERB,34.97513198852539,38516
79,with,ADP,21.946308135986328,38516,con,ADP,33.668209075927734,38516
80,hope,NOUN,19.570520401000977,38516,esperanza,NOUN,30.81648063659668,38516
81,and,CCONJ,21.204946517944336,38516,y,CONJ,34.28606033325195,38516
82,with,ADP,18.580257415771484,38516,0,0,0.0,0
83,optimism,NOUN,19.179658889770508,38516,optimismo,NOUN,31.663814544677734,38516
84,.,PUNCT,20.77379608154297,38516,.,PUNCT,32.93001937866211,38516
85,In,ADP,20.81096839904785,43857,Sin,ADP,34.03861999511719,43857
86,years,NOUN,21.966768264770508,43857,embargo,NOUN,32.349056243896484,43857
87,",",PUNCT,22.122970581054688,43857,",",PUNCT,29.438661575317383,43857
88,0,0,0.0,0,en,ADP,32.4554443359375,43857
89,the,DET,22.121177673339844,43857,los,DET,33.81786346435547,43857
90,past,ADJ,18.03352928161621,43857,últimos,ADJ,33.2124137878418,43857
91,five,NUM,22.43305206298828,43857,cinco,NUM,36.88692092895508,43857
92,though,ADV,19.23897361755371,43857,años,NOUN,35.843116760253906,43857
93,",",PUNCT,20.927949905395508,43857,",",PUNCT,31.055234909057617,43857
94,my,DET,21.220489501953125,45918,mi,DET,34.433536529541016,45918
95,hope,NOUN,18.971834182739258,45918,optimismo,NOUN,33.78509521484375,45918
