,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,In,ADP,20.75115966796875,15827,En,ADP,32.18812942504883,15827
1,the,DET,22.84800148010254,15827,el,DET,33.038238525390625,15827
2,century,NOUN,19.036977767944336,15827,siglo,NOUN,34.19444274902344,15827
3,17th,ADJ,19.2674617767334,15827,17,NUM,33.15110778808594,15827
4,",",PUNCT,19.45024871826172,15827,",",PUNCT,31.028337478637695,15827
5,a,DET,20.52622413635254,15827,una,DET,34.189231872558594,15827
6,woman,NOUN,22.239662170410156,15827,mujer,NOUN,33.1568603515625,15827
7,named,VERB,24.24651336669922,15827,llamada,ADJ,32.23668670654297,15827
8,Giulia,PROPN,20.82900619506836,15827,Giuliana,PROPN,36.300262451171875,15827
9,Tofana,PROPN,20.360340118408203,15827,Tofana,PROPN,34.920013427734375,15827
10,had,AUX,21.163158416748047,20358,poseía,VERB,35.126487731933594,20358
11,a,DET,23.613178253173828,20358,un,DET,35.808197021484375,20358
12,very,ADV,25.742895126342773,20358,negocio,NOUN,30.397457122802734,20358
13,successful,ADJ,22.57839012145996,20358,de,ADP,30.481693267822266,20358
14,perfume,NOUN,20.08751678466797,20358,perfumes,NOUN,33.06180953979492,20358
15,0,0,0.0,0,con,ADP,33.01276397705078,20358
16,0,0,0.0,0,mucho,DET,35.301719665527344,20358
17,business,NOUN,19.639057159423828,20358,éxito,NOUN,34.22568130493164,20358
18,.,PUNCT,22.28864288330078,20358,.,PUNCT,32.29047393798828,20358
19,For,ADP,19.575057983398438,23069,Durante,ADP,33.90542221069336,23069
20,over,ADP,20.049776077270508,23069,0,0,0.0,0
21,50,NUM,24.160423278808594,23069,50,NUM,35.589263916015625,23069
22,years,NOUN,22.63924789428711,23069,años,NOUN,34.14756774902344,23069
23,she,PRON,26.12662124633789,23069,lo,PRON,30.598663330078125,23069
24,ran,VERB,25.97844123840332,23069,regentó,VERB,35.65802001953125,23069
25,it,PRON,23.654613494873047,23069,unos,PRON,32.277278900146484,23069
26,.,PUNCT,21.81328010559082,23069,.,PUNCT,31.0666561126709,23069
27,sort,ADV,22.28005599975586,25326,Y,CONJ,32.91287612915039,25326
28,It,PRON,21.80649757385254,25326,se,PRON,33.003379821777344,25326
29,of,ADV,21.525541305541992,25326,fue,AUX,32.693477630615234,25326
30,ended,VERB,22.171905517578125,25326,a,ADP,32.287654876708984,25326
