,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,said,VERB,20.77739715576172,14963,Dicen,VERB,33.90740203857422,15123
1,that,SCONJ,18.832225799560547,14963,que,SCONJ,32.89663314819336,15123
2,It,PRON,22.368059158325195,14963,para,ADP,34.21501541137695,15123
3,'s,AUX,21.094680786132812,14963,ser,AUX,38.91780090332031,15123
4,to,PART,22.342309951782227,14963,poeta,NOUN,31.7163143157959,15123
5,be,AUX,24.74057960510254,14963,hay,AUX,32.225860595703125,15123
6,0,0,0.0,0,que,SCONJ,32.47512435913086,15123
7,0,0,0.0,0,bajar,VERB,34.01291275024414,15123
8,a,DET,21.322677612304688,14963,alguna,DET,35.05265426635742,15123
9,poet,NOUN,19.176734924316406,14963,vez,NOUN,33.705509185791016,15123
10,0,0,0.0,0,al,ADP,34.26466751098633,15123
11,0,0,0.0,0,infierno,NOUN,31.171844482421875,15123
12,0,0,0.0,0,.,PUNCT,31.739707946777344,15123
13,0,0,0.0,0,La,DET,33.02155685424805,23982
14,have,AUX,22.395008087158203,18948,primera,ADJ,36.803401947021484,23982
15,to,PART,22.17974281311035,18948,vez,NOUN,33.60969924926758,23982
16,you,PRON,23.513994216918945,18948,que,PRON,30.6439151763916,23982
17,go,VERB,24.33531951904297,18948,entré,VERB,33.09889602661133,23982
18,to,ADP,19.639976501464844,18948,en,ADP,33.785484313964844,23982
19,and,CCONJ,21.485027313232422,18948,la,DET,33.595947265625,23982
20,hell,NOUN,21.23871421813965,18948,cárcel,NOUN,30.888933181762695,23982
21,back,ADV,18.400157928466797,18948,no,ADV,31.047391891479492,23982
22,.,PUNCT,21.856081008911133,18948,me,PRON,33.033042907714844,23982
23,0,0,0.0,0,sorprendió,VERB,37.78506851196289,23982
24,0,0,0.0,0,ni,ADV,33.570919036865234,23982
25,0,0,0.0,0,el,DET,33.83977508544922,23982
26,0,0,0.0,0,ruido,NOUN,30.182445526123047,23982
27,by,ADP,24.151653289794922,27349,de,ADP,31.953956604003906,29985
28,was,AUX,24.15995216369629,27349,los,DET,34.83124923706055,29985
29,not,PART,25.322650909423828,27349,candados,NOUN,35.479373931884766,29985
30,surprised,VERB,23.722566604614258,27349,",",PUNCT,30.223962783813477,29985
31,0,0,0.0,0,ni,CONJ,31.68851089477539,29985
32,the,DET,22.767271041870117,27349,las,DET,33.079437255859375,29985
33,noise,NOUN,18.805932998657227,27349,puertas,NOUN,36.21799850463867,29985
34,I,PRON,24.61308479309082,27349,que,PRON,35.583316802978516,29985
35,of,ADP,21.830482482910156,27349,se,PRON,31.550113677978516,29985
36,0,0,0.0,0,iban,AUX,35.529476165771484,29985
