,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,[,PUNCT,20.733108520507812,13592,Rebecca,PROPN,32.07527542114258,13592
1,"""",PUNCT,19.317880630493164,13592,(,PUNCT,29.364742279052734,13592
2,Rebecca,PROPN,20.832874298095703,13592,Goldstein,PROPN,36.116485595703125,13592
3,Newberger,PROPN,22.774944305419922,13592,Newberger,PROPN,34.8568115234375,13592
4,Goldstein,PROPN,20.741636276245117,13592,RNG,PROPN,34.55379104614258,13592
5,"""",PUNCT,23.154664993286133,13592,),PUNCT,31.319442749023438,13592
6,],PUNCT,22.52020835876465,13592,0,0,0.0,0
7,[,PUNCT,20.663869857788086,16270,Steven,PROPN,32.765689849853516,16270
8,"""",PUNCT,19.374231338500977,16270,(,PUNCT,31.22136688232422,16270
9,Steven,PROPN,20.448772430419922,16270,Pinker,PROPN,35.572906494140625,16270
10,Pinker,PROPN,21.379648208618164,16270,SP,PROPN,33.91690444946289,16270
11,"""",PUNCT,24.202058792114258,16270,),PUNCT,31.175037384033203,16270
12,],PUNCT,22.749698638916016,16270,0,0,0.0,0
13,[,PUNCT,20.0822696685791,18349,El,DET,34.377235412597656,18349
14,"""",PUNCT,20.155166625976562,18349,gran,ADJ,36.271793365478516,18349
15,The,DET,19.384746551513672,18349,la,DET,32.17555618286133,18349
16,Long,PROPN,18.806608200073242,18349,alcance,NOUN,31.430679321289062,18349
17,Reach,PROPN,22.281539916992188,18349,razón,NOUN,31.775711059570312,18349
18,of,ADP,23.020875930786133,18349,de,ADP,32.06399154663086,18349
19,Reason,PROPN,20.342416763305664,18349,0,0,0.0,0
20,"""",PUNCT,23.391611099243164,18349,0,0,0.0,0
21,],PUNCT,21.394752502441406,18349,0,0,0.0,0
22,Cabbie,PROPN,18.723873138427734,23348,Veintidós,PROPN,32.13431930541992,23348
23,:,PUNCT,20.142250061035156,23348,:,PUNCT,33.42695617675781,23348
24,Twenty,NUM,21.251428604125977,23348,Taxista,ADV,30.77052116394043,23348
25,-,PUNCT,22.132654190063477,23348,.,PUNCT,34.96294403076172,23348
26,two,NUM,23.648544311523438,23348,dólares,NOUN,29.832502365112305,23348
27,dollars,NOUN,20.738601684570312,23348,SP,NOUN,28.933977127075195,23348
28,.,PUNCT,20.90342903137207,23348,:,PUNCT,31.449628829956055,23348
29,Steven,PROPN,20.088359832763672,23348,Aquí,ADV,33.13929748535156,23348
30,Pinker,PROPN,20.108285903930664,23348,tiene,VERB,34.86061477661133,23348
31,:,PUNCT,19.328983306884766,23348,.,PUNCT,32.60604476928711,23348
32,Okay,INTJ,21.992300033569336,23348,0,0,0.0,0
33,.,PUNCT,20.42034339904785,23348,0,0,0.0,0
34,Rebecca,PROPN,21.16537094116211,29857,RNG,PROPN,30.107498168945312,29857
35,Newberger,PROPN,21.83333969116211,29857,0,0,0.0,0
36,Goldstein,PROPN,20.241147994995117,29857,que,SCONJ,33.35038375854492,29857
37,:,PUNCT,20.83782958984375,29857,:,PUNCT,32.7403450012207,29857
38,Reason,NOUN,20.934284210205078,29857,razón,NOUN,32.41382598876953,29857
39,appears,VERB,23.179407119750977,29857,Parece,VERB,34.64755630493164,29857
40,to,PART,23.42706298828125,29857,la,DET,33.94808578491211,29857
41,have,AUX,26.00676918029785,29857,0,0,0.0,0
42,fallen,VERB,21.88246726989746,29857,pasa,VERB,35.557373046875,29857
43,on,ADP,21.675018310546875,29857,por,ADP,34.05073547363281,29857
44,hard,ADJ,20.49056625366211,29857,difíciles,ADJ,34.965816497802734,29857
45,times,NOUN,19.45116424560547,29857,tiempos,NOUN,35.16069412231445,29857
46,:,PUNCT,17.526159286499023,29857,:,PUNCT,30.54790687561035,29857
47,0,0,0.0,0,La,DET,34.65614700317383,33975
48,culture,NOUN,19.168149948120117,33975,cultura,NOUN,32.279205322265625,33975
49,Popular,ADJ,20.879451751708984,33975,popular,ADJ,35.90220260620117,33975
50,0,0,0.0,0,está,AUX,36.41667556762695,33975
51,plumbs,VERB,20.148639678955078,33975,alcanzando,VERB,37.16263961791992,33975
52,new,ADJ,22.013425827026367,33975,nuevos,ADJ,35.6157112121582,33975
53,dumbth,PROPN,20.676345825195312,33975,límites,NOUN,33.907249450683594,33975
54,of,ADP,26.75165557861328,33975,de,ADP,29.933452606201172,33975
55,depths,NOUN,20.12148666381836,33975,estupidez,NOUN,32.192047119140625,33975
56,and,CCONJ,19.902576446533203,37310,y,CONJ,32.55693817138672,37310
57,0,0,0.0,0,el,DET,37.03927993774414,37310
58,discourse,NOUN,18.839719772338867,37310,discurso,NOUN,34.221763610839844,37310
59,political,ADJ,19.32605743408203,37310,político,ADJ,34.225162506103516,37310
60,0,0,0.0,0,se,PRON,31.594154357910156,37310
61,has,AUX,24.054723739624023,37310,ha,AUX,35.84281539916992,37310
62,become,VERB,23.46815299987793,37310,convertido,VERB,35.323795318603516,37310
63,0,0,0.0,0,en,ADP,34.99129867553711,37310
64,a,DET,21.05128288269043,37310,una,DET,34.544097900390625,37310
65,race,NOUN,21.117229461669922,37310,carrera,NOUN,31.53839111328125,37310
66,to,ADP,22.00868797302246,39776,hacia,ADP,32.83584213256836,39776
67,the,DET,23.09529685974121,39776,el,DET,33.29927062988281,39776
68,bottom,NOUN,19.848491668701172,39776,abismo,NOUN,30.803998947143555,39776
69,.,PUNCT,21.362491607666016,39776,.,PUNCT,31.545574188232422,39776
70,We,PRON,23.528568267822266,42791,0,0,0.0,0
71,'re,AUX,21.542940139770508,42791,Estamos,AUX,32.016597747802734,42791
72,living,VERB,24.160205841064453,42791,viviendo,VERB,33.787841796875,42791
73,in,ADP,21.927515029907227,42791,en,ADP,34.69178009033203,42791
74,an,DET,24.389629364013672,42791,una,DET,33.25624084472656,42791
75,era,NOUN,20.830291748046875,42791,era,NOUN,34.63109588623047,42791
76,of,ADP,24.513662338256836,42791,de,ADP,31.35467529296875,42791
77,scientific,ADJ,21.29318618774414,42791,científico,ADJ,33.137630462646484,42791
78,creationism,NOUN,18.60411834716797,42791,creacionismo,NOUN,33.72606658935547,42791
79,",",PUNCT,22.67681121826172,42791,",",PUNCT,30.49267578125,42791
80,conspiracy,NOUN,19.201953887939453,47345,teorías,NOUN,33.48938751220703,47345
81,0,0,0.0,0,sobre,ADP,33.777076721191406,47345
82,",",PUNCT,23.061006546020508,47345,las,DET,33.46312713623047,47345
83,theories,NOUN,22.134374618530273,47345,conspiraciones,NOUN,34.78395080566406,47345
84,0,0,0.0,0,del,ADP,34.41044616699219,47345
85,9/11,NUM,21.610036849975586,47345,11-S,NUM,32.067298889160156,47345
86,",",PUNCT,19.469499588012695,47345,",",PUNCT,29.997966766357422,47345
87,hotlines,NOUN,20.47484016418457,47345,líneas,NOUN,33.17662048339844,47345
88,0,0,0.0,0,directas,NOUN,31.89560317993164,47345
89,psychic,ADJ,19.557777404785156,47345,psíquicas,ADJ,38.53531265258789,47345
90,and,CCONJ,19.21519660949707,51359,y,CONJ,32.527957916259766,51359
91,a,DET,23.127166748046875,51359,el,DET,34.313323974609375,51359
92,resurgence,NOUN,20.54463005065918,51359,resurgimiento,NOUN,29.002689361572266,51359
93,of,ADP,21.215444564819336,51359,del,ADP,33.37209701538086,51359
94,religious,ADJ,21.05906105041504,51359,religioso,ADJ,33.9588737487793,51359
95,fundamentalism,NOUN,20.249954223632812,51359,fundamentalismo,NOUN,31.94041633605957,51359
96,.,PUNCT,20.679771423339844,51359,.,PUNCT,32.63457107543945,51359
97,0,0,0.0,0,La,DET,34.43779373168945,54466
98,People,NOUN,22.84669303894043,54466,gente,NOUN,32.74482345581055,54466
99,who,PRON,26.393735885620117,54466,que,PRON,34.361080169677734,54466
100,think,VERB,23.971174240112305,54466,piensa,VERB,38.081600189208984,54466
101,well,ADV,22.47673797607422,54466,demasiado,ADV,36.116966247558594,54466
102,too,ADV,24.291568756103516,54466,bien,ADV,37.054622650146484,54466
103,are,AUX,22.485279083251953,56520,es,AUX,35.81254577636719,56520
104,often,ADV,23.79616928100586,56520,a,ADP,30.606660842895508,56520
105,accused,VERB,22.68511199951172,56520,menudo,NOUN,30.592674255371094,56520
106,0,0,0.0,0,acusada,ADJ,32.09519577026367,56520
107,of,ADP,22.495784759521484,56520,de,ADP,32.14073944091797,56520
108,elitism,NOUN,18.636947631835938,56520,elitismo,NOUN,29.55478286743164,56520
109,",",PUNCT,21.94254493713379,56520,",",PUNCT,29.671972274780273,56520
110,and,CCONJ,21.639955520629883,58876,y,CONJ,33.59587478637695,58876
111,even,ADV,19.704057693481445,58876,aún,ADV,35.539573669433594,58876
112,in,ADP,20.18921661376953,58876,en,ADP,31.251834869384766,58876
113,the,DET,22.352176666259766,58876,la,DET,32.693363189697266,58876
114,academy,NOUN,17.04058265686035,58876,academia,NOUN,31.52931785583496,58876
115,",",PUNCT,18.830595016479492,58876,",",PUNCT,31.191011428833008,58876
116,there,PRON,21.88676643371582,61035,el,DET,34.19862365722656,61035
117,are,AUX,24.184045791625977,61035,hay,AUX,33.54624938964844,61035
118,attacks,NOUN,21.736406326293945,61035,ataques,NOUN,34.58146667480469,61035
119,on,ADP,20.788122177124023,61035,contra,ADP,32.61661148071289,61035
120,logocentrism,NOUN,18.73478889465332,61035,logocentrismo,NOUN,30.5848331451416,61035
121,",",PUNCT,21.9047794342041,61035,",",PUNCT,28.968521118164062,61035
122,the,DET,19.835468292236328,63684,el,DET,35.80962371826172,63684
123,crime,NOUN,17.65069007873535,63684,crimen,NOUN,30.903806686401367,63684
124,of,ADP,21.69780158996582,63684,de,ADP,33.0103645324707,63684
125,letting,VERB,21.07642936706543,63684,dejar,AUX,37.92403793334961,63684
126,0,0,0.0,0,que,SCONJ,33.54973220825195,63684
127,our,DET,24.09443473815918,63684,la,DET,33.3612060546875,63684
128,logic,NOUN,18.845144271850586,63684,lógica,NOUN,31.176130294799805,63684
129,dominate,VERB,22.148033142089844,63684,domine,VERB,34.619163513183594,63684
130,0,0,0.0,0,nuestro,DET,35.13128662109375,63684
131,thinking,NOUN,20.3328914642334,63684,pensamiento,NOUN,33.0816764831543,63684
132,.,PUNCT,21.46405792236328,63684,.,PUNCT,31.72807502746582,63684
133,SP,PROPN,19.908748626708984,68569,SP,NOUN,28.99829864501953,68569
134,:,PUNCT,18.360158920288086,68569,:,PUNCT,32.638580322265625,68569
135,But,CCONJ,23.532636642456055,68569,¿,PUNCT,30.470420837402344,68569
136,is,AUX,20.517763137817383,68569,es,AUX,33.62887191772461,68569
137,this,DET,22.356164932250977,68569,eso,PRON,33.57267761230469,68569
138,necessarily,ADV,22.42978286743164,68569,necesariamente,ADV,34.74589538574219,68569
139,a,DET,22.820568084716797,68569,Pero,CONJ,30.36716651916504,68569
140,bad,ADJ,20.897274017333984,68569,malo,ADJ,32.728755950927734,68569
141,thing,NOUN,20.89879035949707,68569,algo,PRON,34.62739944458008,68569
142,?,PUNCT,22.20553207397461,68569,?,PUNCT,32.356910705566406,68569
143,Perhaps,ADV,18.89438247680664,71076,Quizá,ADV,35.470550537109375,71076
144,0,0,0.0,0,la,DET,33.27492904663086,71076
145,reason,NOUN,19.056428909301758,71076,razón,NOUN,33.61833953857422,71076
146,is,AUX,24.83599281311035,71076,está,AUX,35.26675796508789,71076
147,overrated,VERB,22.655298233032227,71076,sobrevalorada,ADJ,33.998291015625,71076
148,.,PUNCT,21.987380981445312,71076,.,PUNCT,34.587120056152344,71076
149,Many,ADJ,21.580310821533203,73295,Muchos,DET,31.703594207763672,73295
150,pundits,NOUN,25.6402587890625,73295,expertos,NOUN,34.57112121582031,73295
151,have,AUX,21.728120803833008,73295,han,AUX,35.66071319580078,73295
152,argued,VERB,23.8526611328125,73295,argumentado,VERB,32.99386978149414,73295
153,that,SCONJ,19.783416748046875,73295,que,SCONJ,32.46684646606445,73295
154,a,DET,23.079315185546875,73295,un,DET,35.45145034790039,73295
155,good,ADJ,19.78168296813965,73295,buen,ADJ,36.86536407470703,73295
156,heart,NOUN,20.000879287719727,73295,corazón,NOUN,34.55043411254883,73295
157,and,CCONJ,20.888811111450195,75438,y,CONJ,33.68533706665039,75438
