,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,CCONJ,18.06153106689453,16260,.,PUNCT,31.420446395874023,16260
1,I,PRON,25.823049545288086,16260,Me,PRON,31.93149185180664,16260
2,want,VERB,23.414676666259766,16260,hablar,VERB,37.024051666259766,16260
3,to,PART,23.651172637939453,16260,hoy,ADV,35.255558013916016,16260
4,talk,VERB,26.045162200927734,16260,gustaría,VERB,31.702194213867188,16260
5,today,NOUN,21.038850784301758,16260,idea,NOUN,30.45753288269043,16260
6,about,ADP,20.851272583007812,16260,sobre,ADP,33.27205276489258,16260
7,an,DET,22.49526596069336,16260,una,DET,35.06326675415039,16260
8,idea,NOUN,22.51552391052246,16260,idea,NOUN,31.662128448486328,16260
9,.,PUNCT,20.623287200927734,16260,.,PUNCT,33.22981643676758,16260
10,It,PRON,24.849260330200195,16260,De,ADP,33.3412971496582,19260
11,'s,AUX,22.904430389404297,16260,Es,AUX,34.37447738647461,16260
12,a,DET,23.564979553222656,16260,una,DET,34.43918991088867,16260
13,big,ADJ,22.095518112182617,16260,gran,ADJ,36.09423828125,16260
14,idea,NOUN,22.063169479370117,16260,hecho,NOUN,30.105798721313477,19260
15,.,PUNCT,22.168537139892578,16260,",",PUNCT,29.953903198242188,19260
16,Actually,ADV,22.478015899658203,19260,creo,VERB,36.705474853515625,19260
17,",",PUNCT,21.244815826416016,19260,que,SCONJ,32.11906051635742,19260
18,I,PRON,24.627243041992188,19260,será,AUX,34.2447624206543,21260
19,think,VERB,22.614402770996094,19260,eventualmente,VERB,34.38642120361328,19260
20,it,PRON,24.83893394470215,19260,como,SCONJ,35.26644515991211,21260
21,'ll,VERB,23.27950096130371,19260,vista,VERB,36.462669372558594,21260
22,eventually,ADV,23.007946014404297,19260,probablemente,ADV,34.87632369995117,21260
23,be,AUX,22.363283157348633,21260,haya,AUX,34.9512825012207,23260
24,seen,VERB,24.295696258544922,21260,idea,NOUN,30.4883975982666,21260
25,as,SCONJ,19.988943099975586,21260,que,SCONJ,30.94646644592285,23260
26,probably,ADV,23.044191360473633,21260,más,ADV,38.18569564819336,21260
27,the,DET,21.856197357177734,21260,la,DET,33.41798782348633,21260
28,single,ADJ,21.51355743408203,21260,grande,ADJ,35.4970703125,21260
29,biggest,ADJ,20.53870964050293,21260,surgido,VERB,34.39973831176758,23260
