,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,This,DET,23.413843154907227,26000,Esta,PRON,32.415313720703125,26000
1,is,AUX,24.703510284423828,26000,es,AUX,32.22739028930664,26000
2,a,DET,25.413450241088867,26000,un,DET,37.3320198059082,26000
3,picture,NOUN,23.40533447265625,26000,fotografía,NOUN,31.275651931762695,26000
4,of,ADP,23.367952346801758,26000,de,ADP,30.02866554260254,26000
5,Maurice,PROPN,18.665430068969727,26000,Maurice,PROPN,36.642738342285156,26000
6,Druon,PROPN,18.906179428100586,26000,Druon,PROPN,37.31599426269531,26000
7,",",PUNCT,21.719165802001953,26000,",",PUNCT,31.276023864746094,26000
8,the,DET,20.27754783630371,28000,secretario,NOUN,32.82943344116211,28000
9,Honorary,PROPN,20.856470108032227,28000,honorario,ADJ,34.606895446777344,28000
10,Perpetual,PROPN,21.448158264160156,28000,perpetuo,VERB,32.63540267944336,28000
11,Secretary,PROPN,22.081422805786133,28000,L'Academie,PROPN,36.12073516845703,28000
12,of,ADP,21.181459426879883,28000,de,ADP,29.650705337524414,28000
13,L'Academie,PROPN,20.453779220581055,28000,francaise,PROPN,30.121458053588867,28000
14,francaise,PROPN,20.042940139770508,28000,Academia,PROPN,35.008514404296875,32000
15,",",PUNCT,19.783649444580078,28000,",",PUNCT,30.06928253173828,28000
16,the,DET,19.604507446289062,32000,la,DET,32.52201843261719,32000
17,French,PROPN,21.771011352539062,32000,francesa,ADJ,33.801795959472656,32000
18,Academy,PROPN,20.851511001586914,32000,con,ADP,31.081344604492188,34000
19,.,PUNCT,19.753305435180664,32000,.,PUNCT,32.006404876708984,32000
20,He,PRON,24.703044891357422,34000,vestido,ADJ,33.48058319091797,34000
21,is,AUX,25.93882179260254,34000,Va,AUX,33.536434173583984,34000
22,splendidly,ADV,25.946002960205078,34000,espléndidamente,ADV,36.88566589355469,34000
23,attired,VERB,23.72228240966797,34000,uniforme,ADJ,33.80793762207031,34000
24,in,ADP,22.220596313476562,34000,de,ADP,31.522214889526367,34000
25,his,DET,21.63144874572754,34000,su,DET,33.28274154663086,34000
26,"68,000-dollar",NUM,20.519514083862305,34000,68.000,NUM,36.15090560913086,34000
27,uniform,NOUN,18.68831443786621,34000,dólares,NOUN,35.494590759277344,34000
28,",",PUNCT,21.592269897460938,34000,",",PUNCT,31.04579734802246,34000
29,befitting,VERB,18.9577693939209,39000,adecuado,ADJ,31.594999313354492,39000
30,the,DET,22.4866943359375,39000,al,ADP,32.35739517211914,39000
31,role,NOUN,19.60259246826172,39000,papel,NOUN,30.464414596557617,39000
32,of,ADP,22.84835433959961,39000,de,ADP,30.21702766418457,39000
33,the,DET,20.630874633789062,39000,la,DET,32.19841003417969,39000
34,French,PROPN,21.71753692626953,39000,Academia,PROPN,36.111820220947266,39000
35,Academy,PROPN,20.499238967895508,39000,Francesa,PROPN,36.25632858276367,39000
36,as,SCONJ,22.44170379638672,42000,como,SCONJ,37.26860046386719,42000
37,legislating,VERB,25.130414962768555,42000,reguladora,NOUN,31.709436416625977,42000
38,the,DET,20.5346736907959,42000,del,ADP,32.49099349975586,45000
39,correct,ADJ,19.756193161010742,45000,correcto,ADJ,34.62054443359375,45000
40,usage,NOUN,20.703296661376953,45000,uso,NOUN,30.404142379760742,45000
41,in,ADP,20.222070693969727,45000,del,ADP,31.2607479095459,45000
42,French,PROPN,23.071996688842773,45000,francés,NOUN,32.07808303833008,45000
43,and,CCONJ,21.98288917541504,47000,y,CONJ,34.26231384277344,47000
44,perpetuating,VERB,25.313373565673828,47000,conservadora,NOUN,30.812944412231445,47000
45,the,DET,22.382740020751953,47000,la,DET,32.73985290527344,47000
46,language,NOUN,19.7948055267334,47000,lengua,NOUN,30.284076690673828,47000
47,.,PUNCT,21.119157791137695,47000,.,PUNCT,34.038299560546875,47000
48,The,DET,20.759014129638672,49000,La,DET,31.224668502807617,49000
49,French,PROPN,22.686429977416992,49000,de,ADP,30.29959487915039,47000
50,Academy,PROPN,21.217533111572266,49000,Academia,PROPN,34.465755462646484,49000
51,has,AUX,22.198516845703125,49000,tiene,VERB,36.05714797973633,49000
52,two,NUM,24.653684616088867,49000,dos,NUM,35.74545669555664,49000
53,main,ADJ,20.264984130859375,49000,francesa,ADJ,34.44580078125,49000
54,tasks,NOUN,20.818744659423828,49000,tareas,NOUN,36.02806091308594,49000
55,:,PUNCT,19.830249786376953,49000,:,PUNCT,29.7495059967041,49000
56,it,PRON,23.22671127319336,52000,principales,ADJ,33.98188018798828,49000
57,compiles,VERB,22.15962028503418,52000,compila,VERB,32.03557586669922,52000
58,a,DET,22.40689468383789,52000,un,DET,36.0061149597168,52000
59,dictionary,NOUN,19.01490592956543,52000,diccionario,NOUN,31.032129287719727,52000
60,of,ADP,23.342327117919922,52000,de,ADP,29.244688034057617,52000
61,official,ADJ,19.721614837646484,52000,francés,NOUN,31.354747772216797,52000
62,French,PROPN,19.58576011657715,52000,estándar,PROPN,33.284263610839844,52000
63,.,PUNCT,19.187862396240234,52000,--,PUNCT,31.0538272857666,52000
64,They,PRON,24.03803253173828,55000,que,PRON,31.966211318969727,58000
65,'re,AUX,22.104339599609375,55000,están,AUX,34.32283020019531,55000
66,now,ADV,23.83222007751465,55000,ya,ADV,35.30226516723633,58000
67,working,VERB,23.685361862182617,55000,trabajando,VERB,35.09782028198242,55000
68,on,ADP,20.855018615722656,55000,en,ADP,34.25064468383789,55000
69,their,DET,23.307863235473633,55000,su,DET,31.97486114501953,55000
70,ninth,ADJ,19.167205810546875,55000,novena,ADJ,33.943809509277344,55000
71,edition,NOUN,19.061199188232422,55000,edición,NOUN,34.04985809326172,55000
72,",",PUNCT,20.029462814331055,55000,en,ADP,31.559803009033203,58000
73,which,DET,22.638885498046875,58000,1930,NOUN,35.473350524902344,58000
74,they,PRON,26.15611457824707,58000,y,CONJ,33.10917663574219,58000
75,began,VERB,26.2807674407959,58000,empezaron,VERB,34.37908935546875,58000
76,in,ADP,20.8868350982666,58000,sobre,ADP,33.09819793701172,62000
77,1930,NUM,23.250810623168945,58000,alcanzado,VERB,34.6552619934082,58000
78,",",PUNCT,22.338069915771484,58000,la,DET,32.29008102416992,58000
79,and,CCONJ,21.08930206298828,58000,letra,NOUN,32.08103942871094,58000
80,they,PRON,22.761064529418945,58000,P.,PROPN,34.0860595703125,58000
81,'ve,AUX,22.43563461303711,58000,han,AUX,33.050270080566406,58000
82,reached,VERB,23.563663482666016,58000,legislan,VERB,35.03004837036133,62000
83,the,DET,22.473491668701172,58000,el,DET,34.024532318115234,62000
84,letter,NOUN,18.09508514404297,58000,lengua,NOUN,30.319284439086914,62000
85,P.,NOUN,19.912187576293945,58000,uso,NOUN,31.517635345458984,62000
86,They,PRON,24.4982852935791,62000,correcto,ADJ,32.98975372314453,62000
87,also,ADV,26.97746467590332,62000,También,ADV,35.582576751708984,62000
88,legislate,VERB,21.597890853881836,62000,la,DET,33.472312927246094,62000
89,on,ADP,20.17321014404297,62000,de,ADP,31.504018783569336,62000
90,correct,ADJ,19.391706466674805,62000,el,DET,34.332210540771484,65000
91,usage,NOUN,19.949630737304688,62000,término,NOUN,33.06199645996094,65000
92,",",PUNCT,20.113693237304688,62000,",",PUNCT,30.929691314697266,62000
93,such,ADJ,20.056861877441406,65000,adecuado,ADJ,33.194007873535156,65000
94,as,SCONJ,23.858182907104492,65000,como,SCONJ,34.809749603271484,65000
95,the,DET,22.02146339416504,65000,lo,DET,34.454307556152344,65000
96,proper,ADJ,19.806354522705078,65000,para,ADP,32.034934997558594,65000
97,term,NOUN,20.435476303100586,65000,francés,NOUN,30.653852462768555,65000
98,for,ADP,21.725805282592773,65000,en,ADP,33.329166412353516,65000
99,what,PRON,20.335935592651367,65000,que,PRON,34.5669059753418,65000
100,the,DET,20.379291534423828,65000,llaman,VERB,34.77705001831055,65000
101,French,ADJ,23.14879035949707,65000,email,ADJ,34.21739196777344,65000
102,call,NOUN,19.188480377197266,65000,que,SCONJ,31.409395217895508,69000
103,"""",PUNCT,20.760313034057617,65000,"""",PUNCT,30.177257537841797,65000
104,email,NOUN,19.167999267578125,65000,courriel,NOUN,32.45853805541992,69000
105,",",PUNCT,21.682697296142578,65000,"""",PUNCT,29.96760368347168,65000
106,"""",PUNCT,22.56615447998047,65000,"""",PUNCT,34.71573257446289,69000
107,which,DET,22.984848022460938,69000,debería,AUX,32.89013671875,69000
108,ought,VERB,22.941791534423828,69000,Dicen,VERB,33.89276885986328,71000
109,to,PART,23.785152435302734,69000,"""",PUNCT,32.73322296142578,69000
110,be,AUX,27.149490356445312,69000,ser,AUX,34.05866622924805,69000
111,"""",PUNCT,19.042415618896484,69000,.,PUNCT,32.84324264526367,69000
112,courriel,PROPN,20.817764282226562,69000,que,SCONJ,32.60955810546875,71000
113,.,PUNCT,20.37657928466797,69000,en,ADP,33.82230758666992,71000
114,"""",PUNCT,21.85799217224121,69000,francés,NOUN,31.76290512084961,71000
115,The,DET,21.134159088134766,71000,la,DET,29.86846351623535,71000
116,World,PROPN,20.582773208618164,71000,World,PROPN,37.03831100463867,71000
117,Wide,PROPN,19.130416870117188,71000,Wide,PROPN,37.05004119873047,71000
118,Web,PROPN,20.59327507019043,71000,Web,PROPN,33.92704772949219,71000
119,",",PUNCT,22.667510986328125,71000,"""",PUNCT,33.794071197509766,75000
120,the,DET,19.344684600830078,71000,la,DET,32.186927795410156,75000
121,French,PROPN,22.5545654296875,71000,llamarse,PROPN,33.2451057434082,73000
122,are,AUX,23.712547302246094,71000,debería,AUX,32.18877410888672,73000
123,told,VERB,23.80569076538086,71000,toile,PROPN,32.72842025756836,75000
124,",",PUNCT,20.055971145629883,71000,d'araignee,PROPN,34.18902587890625,75000
125,ought,VERB,22.117830276489258,73000,"mondiale""-",PROPN,32.75575256347656,75000
126,to,PART,23.79058074951172,73000,la,DET,30.97991943359375,75000
127,be,AUX,25.995309829711914,73000,telaraña,NOUN,31.403945922851562,75000
128,referred,VERB,23.355398178100586,73000,global,ADJ,33.94668960571289,75000
129,to,ADP,18.053178787231445,73000,que,PRON,33.54543685913086,79000
130,as,SCONJ,18.913053512573242,73000,recomendaciones,NOUN,36.090702056884766,79000
131,"""",PUNCT,17.79456329345703,75000,--,PUNCT,31.003314971923828,75000
132,la,PROPN,19.327903747558594,75000,los,DET,34.72509002685547,79000
133,toile,PROPN,17.663436889648438,75000,franceses,NOUN,34.12344741821289,79000
134,d'araignee,PROPN,18.728425979614258,75000,ignoran,VERB,35.740596771240234,79000
135,mondiale,PROPN,16.85004997253418,75000,alegremente,ADV,33.14469909667969,79000
136,"""",PUNCT,23.169174194335938,75000,.,PUNCT,31.39613914489746,79000
137,--,PUNCT,18.884218215942383,75000,",",PUNCT,31.120031356811523,84000
138,the,DET,18.05597686767578,75000,un,DET,37.51036071777344,84000
139,Global,PROPN,19.50263023376465,75000,este,PRON,30.892126083374023,84000
140,Spider,PROPN,20.47446632385254,75000,es,AUX,31.491334915161133,84000
141,Web,PROPN,20.89855194091797,75000,Bien,ADV,33.63508224487305,84000
142,--,PUNCT,19.420785903930664,75000,sobre,ADP,32.06220626831055,84000
143,recommendations,NOUN,20.425207138061523,79000,modelo,NOUN,31.445070266723633,84000
144,that,SCONJ,21.520343780517578,79000,cómo,PRON,34.87262725830078,84000
145,the,DET,19.4299259185791,79000,el,DET,36.047760009765625,84000
146,French,ADJ,23.76265525817871,79000,lenguaje,NOUN,31.59731101989746,84000
147,gaily,ADV,21.303056716918945,79000,es,NOUN,33.93632888793945,88000
148,ignore,VERB,20.20156478881836,79000,evoluciona,VERB,34.25780487060547,84000
149,.,PUNCT,21.34065055847168,79000,decir,NOUN,35.23250961303711,88000
150,Now,ADV,23.437185287475586,84000,mediante,ADP,33.42500305175781,88000
151,",",PUNCT,20.99846649169922,84000,",",PUNCT,31.410823822021484,88000
152,this,DET,21.497949600219727,84000,la,DET,34.92673873901367,88000
153,is,AUX,22.039752960205078,84000,legislación,NOUN,32.465999603271484,88000
154,one,NUM,22.369853973388672,84000,una,DET,32.95344924926758,88000
155,model,NOUN,20.53002166748047,84000,academia,NOUN,30.991085052490234,88000
156,of,ADP,24.197242736816406,84000,de,ADP,31.33404541015625,88000
157,how,ADV,21.814733505249023,84000,Pero,CONJ,32.92151641845703,91000
158,language,NOUN,20.723421096801758,84000,lenguaje,NOUN,32.45671081542969,91000
159,comes,VERB,22.46484375,84000,observe,VERB,35.704097747802734,91000
160,to,PART,20.8259220123291,84000,cualquiera,PRON,33.72746658325195,91000
161,be,AUX,23.121103286743164,84000,que,PRON,33.456565856933594,91000
162,:,PUNCT,20.81352996826172,84000,.,PUNCT,33.542476654052734,88000
163,namely,ADV,22.357255935668945,88000,el,DET,37.19108200073242,91000
164,",",PUNCT,19.270639419555664,88000,cuenta,NOUN,31.711009979248047,91000
165,it,PRON,23.498268127441406,88000,se,PRON,31.30733299255371,91000
166,'s,AUX,21.8068904876709,88000,es,AUX,32.68128204345703,94000
167,legislated,VERB,21.32651138305664,88000,da,VERB,34.27580642700195,91000
168,by,ADP,24.305438995361328,88000,que,SCONJ,33.01703643798828,94000
169,an,DET,23.987154006958008,88000,una,DET,35.68726348876953,94000
170,academy,NOUN,19.40554428100586,88000,presunción,NOUN,32.04108810424805,94000
