,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,For,ADP,21.464828491210938,13087,Para,ADP,33.06370544433594,13087
1,me,PRON,23.809799194335938,13087,mí,PRON,34.633636474609375,13087
2,",",PUNCT,20.693681716918945,13087,fue,AUX,32.69169235229492,13087
3,it,PRON,23.800989151000977,13087,el,DET,33.70682907104492,13087
4,not,PART,24.65218734741211,13087,no,ADV,30.556888580322266,13087
5,was,AUX,24.672101974487305,13087,haber,AUX,35.15081024169922,13087
6,being,AUX,24.92134666442871,13087,sido,AUX,35.6612434387207,13087
7,invited,VERB,22.420387268066406,13087,invitado,VERB,34.50407409667969,13087
8,to,ADP,21.093257904052734,13087,a,ADP,32.029727935791016,13087
9,a,DET,24.143505096435547,13087,la,DET,33.194557189941406,13087
10,friend,NOUN,20.104934692382812,13087,boda,NOUN,31.211502075195312,13087
11,'s,PART,21.798620223999023,13087,de,ADP,32.00607681274414,13087
12,0,0,0.0,0,un,DET,35.615474700927734,13087
13,wedding,NOUN,20.969106674194336,13087,amigo,NOUN,32.20180130004883,13087
14,.,PUNCT,22.183509826660156,13087,.,PUNCT,32.12504577636719,13087
15,At,ADP,21.697649002075195,17184,Al,ADP,34.78859329223633,17184
16,first,ADV,20.23752784729004,17184,principio,NOUN,32.07915115356445,17184
17,",",PUNCT,21.11439323425293,17184,",",PUNCT,29.638580322265625,17184
18,I,PRON,24.808277130126953,17184,me,PRON,32.075618743896484,17184
19,did,AUX,24.57386589050293,17184,0,0,0.0,0
20,n't,PART,24.32933807373047,17184,0,0,0.0,0
21,really,ADV,22.783370971679688,17184,no,ADV,33.76946258544922,17184
22,mind,VERB,21.472753524780273,17184,importó,VERB,36.55735778808594,17184
23,.,PUNCT,21.893156051635742,17184,.,PUNCT,31.917539596557617,17184
24,thought,VERB,24.931350708007812,19358,Pensé,VERB,32.921199798583984,19358
25,I,PRON,24.70534324645996,19358,que,SCONJ,32.6955451965332,19358
26,he,PRON,24.34610939025879,19358,se,PRON,32.06209182739258,19358
27,having,VERB,25.7077693939209,19358,trataba,VERB,36.13740921020508,19358
28,was,AUX,25.22429656982422,19358,de,ADP,32.36948013305664,19358
29,a,DET,21.90643882751465,19358,una,DET,34.81724166870117,19358
30,small,ADJ,22.645641326904297,19358,pequeña,ADJ,36.284358978271484,19358
31,reception,NOUN,21.071563720703125,19358,recepción,NOUN,33.39241027832031,19358
32,.,PUNCT,21.341590881347656,19358,.,PUNCT,33.5587158203125,19358
33,But,CCONJ,21.36707305908203,22044,Pero,CONJ,33.79770278930664,22044
34,then,ADV,19.215116500854492,22044,luego,ADV,33.607261657714844,22044
35,I,PRON,25.005884170532227,22044,a,ADP,33.04283142089844,22044
36,kept,VERB,25.469724655151367,22044,encontrarme,PROPN,32.69435501098633,22044
37,meeting,VERB,23.453786849975586,22044,con,ADP,34.20123291015625,22044
38,people,NOUN,22.56001091003418,22044,gente,NOUN,31.36729621887207,22044
39,who,PRON,23.37366485595703,22044,que,PRON,32.12318420410156,22044
40,were,AUX,27.64654541015625,22044,empecé,AUX,34.198394775390625,22044
41,going,VERB,23.619873046875,22044,iba,VERB,33.29134750366211,22044
42,to,ADP,19.32123565673828,22044,a,ADP,33.18046188354492,22044
43,the,DET,23.19283103942871,22044,esa,DET,35.19824981689453,22044
44,same,ADJ,21.770170211791992,22044,misma,DET,36.158199310302734,22044
45,wedding,NOUN,20.632884979248047,22044,boda,NOUN,33.29425811767578,22044
46,",",PUNCT,20.604372024536133,22044,0,0,0.0,0
47,and,CCONJ,20.316875457763672,25521,y,CONJ,35.80450439453125,25521
48,they,PRON,23.82693862915039,25521,que,SCONJ,33.668033599853516,25521
49,were,AUX,25.44300651550293,25521,era,AUX,34.23149490356445,25521
50,n't,PART,24.72014808654785,25521,no,ADV,33.6994514465332,25521
51,as,ADV,22.46320343017578,25521,tan,ADV,34.762420654296875,25521
52,close,ADJ,19.569360733032227,25521,cercana,ADJ,35.082069396972656,25521
53,to,ADP,20.739444732666016,25521,al,ADP,36.04932403564453,25521
54,the,DET,21.27983283996582,25521,0,0,0.0,0
55,groom,NOUN,19.450008392333984,25521,novio,NOUN,31.05470085144043,25521
56,as,SCONJ,19.460546493530273,25521,como,SCONJ,33.5445442199707,25521
57,I,PRON,25.007081985473633,25521,yo,PRON,32.74729537963867,25521
58,was,AUX,23.770401000976562,25521,0,0,0.0,0
59,...,PUNCT,17.901029586791992,25521,.,PUNCT,32.79928970336914,25521
60,and,CCONJ,19.111595153808594,29192,0,0,0.0,0
61,I,PRON,26.28801155090332,29192,Me,PRON,32.24655532836914,29192
62,felt,VERB,23.548860549926758,29192,excluido,ADJ,32.710533142089844,29192
63,left,VERB,20.973674774169922,29192,sentí,VERB,35.2235107421875,29192
64,out,ADP,20.731443405151367,29192,0,0,0.0,0
65,.,PUNCT,21.57839012145996,29192,.,PUNCT,32.918365478515625,29192
66,That,DET,20.44229507446289,30703,Fue,AUX,33.15695571899414,30703
67,really,ADV,23.847366333007812,30703,horrible,ADJ,36.55913543701172,30703
68,sucked,VERB,21.843795776367188,30703,0,0,0.0,0
69,.,PUNCT,21.17947769165039,30703,.,PUNCT,34.527156829833984,30703
70,It,PRON,24.75026512145996,32013,Me,PRON,30.426219940185547,32013
71,felt,VERB,26.03826141357422,32013,pareció,AUX,33.461830139160156,32013
72,really,ADV,26.3259220123291,32013,totalmente,ADV,36.727874755859375,32013
73,unfair,ADJ,20.904359817504883,32013,injusto,ADJ,34.65224075317383,32013
74,.,PUNCT,20.749507904052734,32013,.,PUNCT,32.65828323364258,32013
75,For,ADP,21.172035217285156,34813,Para,ADP,33.457130432128906,34813
76,my,DET,22.4665584564209,34813,mis,DET,34.231197357177734,34813
77,daughters,NOUN,20.197763442993164,34813,hijas,NOUN,35.116268157958984,34813
78,",",PUNCT,21.277292251586914,34813,",",PUNCT,29.386634826660156,34813
79,Lipsi,PROPN,22.501102447509766,34813,Lipsi,PROPN,35.958740234375,34813
80,and,CCONJ,21.378202438354492,34813,y,CONJ,32.1224479675293,34813
81,Greta,PROPN,21.390613555908203,34813,Greta,PROPN,34.80923843383789,34813
82,",",PUNCT,20.909893035888672,34813,",",PUNCT,30.134984970092773,34813
83,was,AUX,24.300678253173828,34813,fue,AUX,32.89507293701172,34813
84,it,PRON,23.672624588012695,34813,la,DET,33.43086242675781,34813
85,week,NOUN,19.011262893676758,34813,semana,NOUN,32.37995147705078,34813
86,last,ADJ,23.050756454467773,34813,pasada,ADJ,33.72547912597656,34813
87,.,PUNCT,19.95750617980957,34813,.,PUNCT,34.25111770629883,34813
88,They,PRON,23.525657653808594,40124,Se,PRON,31.43030548095703,40124
89,taking,VERB,24.073890686035156,40124,turnaban,VERB,36.37648010253906,40124
90,were,AUX,25.573379516601562,40124,para,ADP,34.556190490722656,40124
91,massaging,VERB,25.05358123779297,40124,dar,VERB,36.87155532836914,40124
92,turns,NOUN,20.798189163208008,40124,masaje,NOUN,29.068561553955078,40124
93,0,0,0.0,0,de,ADP,30.415918350219727,40124
94,mom,NOUN,19.83527374267578,40124,espalda,PROPN,30.679475784301758,40124
95,'s,PART,21.2351131439209,40124,a,ADP,33.27326583862305,40124
96,their,DET,24.714176177978516,40124,su,DET,33.22259521484375,40124
97,back,NOUN,19.189708709716797,40124,madre,NOUN,32.2337760925293,40124
98,with,ADP,20.21836280822754,42726,con,ADP,33.57358932495117,43222
99,a,DET,23.762889862060547,42726,un,DET,37.09395217895508,43222
100,toy,NOUN,21.350875854492188,42726,masajeador,NOUN,31.47977638244629,43222
101,for,ADP,21.794897079467773,42726,de,ADP,31.02229881286621,43222
102,back,ADJ,19.66680908203125,42726,0,0,0.0,0
103,rubs,NOUN,20.194276809692383,42726,juguete,NOUN,29.805112838745117,43222
104,",",PUNCT,21.225486755371094,42726,",",PUNCT,30.35166358947754,43222
105,and,CCONJ,20.334182739257812,44838,y,CONJ,34.76652145385742,44838
106,then,ADV,21.64761734008789,44838,una,PRON,31.378305435180664,44838
