,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,(,PUNCT,19.138301849365234,15560,(,PUNCT,28.748825073242188,15560
1,Laughter,PROPN,20.165264129638672,15560,Risas,PROPN,34.865478515625,15560
2,),PUNCT,20.96363067626953,15560,),PUNCT,32.331058502197266,15560
3,(,PUNCT,19.33601188659668,17720,(,PUNCT,29.47212028503418,17720
4,Applause,NOUN,21.975845336914062,17720,Aplausos,PROPN,34.93049240112305,17720
5,),PUNCT,20.301513671875,17720,),PUNCT,30.808273315429688,17720
6,Never,ADV,20.57048988342285,20880,Nunca,ADV,32.21886444091797,20880
7,before,ADV,19.31099510192871,20880,antes,ADV,34.0343132019043,20880
8,has,AUX,21.998655319213867,20880,soy,AUX,33.74834060668945,20880
9,the,DET,22.610872268676758,20880,la,DET,32.3839225769043,20880
10,phrase,NOUN,18.875839233398438,20880,frase,NOUN,30.405227661132812,20880
11,"""",PUNCT,21.193227767944336,20880,"""",PUNCT,32.53032684326172,20880
12,I,PRON,24.891515731811523,20880,muchos,PRON,34.133121490478516,26800
13,am,AUX,22.69331169128418,20880,había,AUX,36.86091995239258,20880
14,British,ADJ,19.050785064697266,20880,británico,ADJ,32.72691345214844,20880
15,"""",PUNCT,22.998598098754883,20880,"""",PUNCT,33.003658294677734,20880
16,elicited,VERB,23.357851028442383,20880,suscitado,VERB,34.723876953125,20880
17,so,ADV,21.27866554260254,20880,tanta,DET,36.33948516845703,20880
18,much,ADJ,22.035924911499023,20880,.,PUNCT,32.66640090942383,20880
19,pity,NOUN,20.0738582611084,20880,lástima,NOUN,29.709192276000977,20880
20,.,PUNCT,21.216838836669922,20880,(,PUNCT,28.748825073242188,24680
21,(,PUNCT,19.138301849365234,24680,),PUNCT,32.331058502197266,24680
22,Laughter,PROPN,20.165264129638672,24680,Risas,PROPN,34.865478515625,24680
23,),PUNCT,20.96363067626953,24680,de,ADP,29.873401641845703,26800
24,I,PRON,25.275053024291992,26800,donde,PRON,34.850563049316406,26800
25,come,VERB,23.683229446411133,26800,Vengo,VERB,33.834197998046875,26800
26,from,ADP,20.611854553222656,26800,a,ADP,33.264766693115234,26800
27,an,DET,22.38888931274414,26800,una,DET,34.38289260864258,26800
28,island,NOUN,21.767518997192383,26800,isla,NOUN,33.08302307128906,26800
