,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,When,ADV,23.154008865356445,12695,Cuando,SCONJ,35.727088928222656,12709
1,I,PRON,24.710580825805664,12695,tenía,VERB,36.512542724609375,12709
2,was,AUX,23.14130401611328,12695,0,0,0.0,0
3,nine,NUM,24.2503604888916,12695,9,NUM,34.7848014831543,12709
4,years,NOUN,23.123376846313477,12695,años,NOUN,35.86619567871094,12709
5,old,ADJ,20.909732818603516,12695,0,0,0.0,0
6,",",PUNCT,18.949748992919922,12695,",",PUNCT,30.922758102416992,12709
7,my,DET,20.98063850402832,14599,mi,DET,35.0367431640625,14599
8,mom,NOUN,18.361604690551758,14599,madre,NOUN,34.00557327270508,14599
9,asked,VERB,23.73877716064453,14599,preguntó,VERB,36.638099670410156,14599
10,me,PRON,23.10832405090332,14599,me,PRON,32.52462387084961,14599
11,what,PRON,21.41632080078125,14599,0,0,0.0,0
12,I,PRON,25.542593002319336,14599,me,PRON,31.601823806762695,14599
13,would,VERB,26.091129302978516,14599,gustaría,VERB,31.813589096069336,14599
14,want,VERB,25.361968994140625,14599,tener,VERB,36.565208435058594,14599
15,my,DET,22.886825561523438,14599,qué,DET,31.033946990966797,14599
16,house,NOUN,19.861656188964844,14599,casa,NOUN,31.21324920654297,14599
17,to,PART,23.312604904174805,14599,0,0,0.0,0
18,look,VERB,24.900970458984375,14599,0,0,0.0,0
19,like,SCONJ,19.472902297973633,14599,0,0,0.0,0
20,",",PUNCT,20.913461685180664,14599,0,0,0.0,0
21,and,CCONJ,19.257261276245117,18037,y,CONJ,35.146976470947266,18037
22,I,PRON,26.34465789794922,18037,le,PRON,30.793018341064453,18037
23,drew,VERB,24.65992546081543,18037,dibujé,VERB,32.464637756347656,18037
24,this,DET,23.489187240600586,18037,esta,DET,30.165441513061523,18037
25,fairy,NOUN,20.094572067260742,18037,seta,NOUN,32.283626556396484,18037
26,mushroom,NOUN,19.262304306030273,18037,mágica,ADJ,32.3035888671875,18037
27,.,PUNCT,19.388364791870117,18037,.,PUNCT,32.67314147949219,18037
28,And,CCONJ,20.98813819885254,20520,Que,SCONJ,32.40528869628906,20520
29,then,ADV,20.871902465820312,20520,luego,ADV,34.651954650878906,20520
30,she,PRON,23.63677978515625,20520,ella,PRON,32.508907318115234,20520
31,actually,ADV,27.343339920043945,20520,realmente,ADV,32.518898010253906,20520
32,built,VERB,23.54181671142578,20520,construyó,VERB,35.21001052856445,20520
33,it,PRON,23.061370849609375,20520,0,0,0.0,0
34,.,PUNCT,21.772964477539062,20520,.,PUNCT,31.308557510375977,20520
35,(,PUNCT,19.138301849365234,23794,(,PUNCT,28.748825073242188,23794
36,Laughter,PROPN,20.165264129638672,23794,Risas,PROPN,34.865478515625,23794
37,),PUNCT,20.96363067626953,23794,),PUNCT,32.331058502197266,23794
38,think,VERB,22.46251678466797,25791,Creo,VERB,35.830055236816406,25791
39,do,AUX,23.941381454467773,25791,que,SCONJ,31.925445556640625,25791
40,n't,PART,25.039304733276367,25791,por,ADP,33.343448638916016,25791
41,I,PRON,24.827007293701172,25791,aquel,PRON,32.73688888549805,25791
42,this,DET,22.232807159423828,25791,entonces,ADV,31.07469367980957,25791
43,so,ADV,25.495586395263672,25791,no,ADV,30.902324676513672,25791
