,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,In,ADP,21.11806869506836,14286,En,ADP,31.73538589477539,14286
1,1994,NUM,22.38555335998535,14286,1994,NOUN,33.821712493896484,14286
2,",",PUNCT,20.58869743347168,14286,",",PUNCT,30.54539680480957,14286
3,Charles,PROPN,21.58635711669922,15833,Charles,PROPN,32.11491775512695,15783
4,Murray,PROPN,21.612548828125,15833,Murray,PROPN,33.36893081665039,15783
5,and,CCONJ,21.734766006469727,15833,y,CONJ,32.05564498901367,15783
6,Richard,PROPN,23.09208869934082,15833,Richard,PROPN,37.31366729736328,15783
7,Herrnstein,PROPN,23.019241333007812,15833,Herrnstein,PROPN,35.22956848144531,15783
8,coauthored,VERB,22.73698616027832,15833,escribieron,VERB,33.613258361816406,15783
9,"""",PUNCT,20.31827163696289,15833,"""",PUNCT,29.536651611328125,15783
10,The,DET,20.18857765197754,15833,Bell,ADJ,36.99883270263672,15783
11,Bell,PROPN,21.29170036315918,15833,The,PROPN,30.737403869628906,15783
12,Curve,PROPN,18.084877014160156,15833,Curve,PROPN,35.30143737792969,15783
13,",",PUNCT,21.295434951782227,15833,"""",PUNCT,31.848533630371094,15783
14,"""",PUNCT,22.836057662963867,15833,",",PUNCT,30.713428497314453,15783
15,an,DET,20.072509765625,20071,un,DET,35.97347640991211,20031
16,extremely,ADV,23.657949447631836,20071,extremadamente,ADV,35.8613166809082,20031
17,controversial,ADJ,21.41341781616211,20071,controvertido,ADJ,34.12670135498047,20031
18,book,NOUN,21.216812133789062,20071,libro,NOUN,30.78118896484375,20031
19,which,DET,22.917612075805664,22196,que,PRON,33.92694091796875,22196
20,claims,VERB,25.12523651123047,22196,afirma,VERB,36.906341552734375,22196
21,that,SCONJ,20.980432510375977,22196,que,SCONJ,30.88104820251465,22196
22,average,ADJ,17.239797592163086,22196,",",PUNCT,31.20062828063965,22196
23,on,ADP,19.35788917541504,22196,en,ADP,31.795591354370117,22196
24,0,0,0.0,0,promedio,NOUN,29.196054458618164,22196
25,",",PUNCT,19.692134857177734,22196,",",PUNCT,30.081953048706055,22196
26,some,DET,21.819421768188477,24141,algunas,DET,34.84735107421875,24141
27,races,NOUN,22.55132484436035,24141,razas,NOUN,35.50294876098633,24141
28,are,AUX,24.228288650512695,24141,son,AUX,34.98308181762695,24141
29,smarter,ADJ,21.896251678466797,24141,más,ADV,38.19934844970703,24141
30,likely,ADJ,22.041400909423828,24141,inteligentes,ADJ,36.85060501098633,24141
31,and,CCONJ,21.953231811523438,24141,y,CONJ,35.15479278564453,24141
32,more,ADV,22.433937072753906,24141,más,ADV,38.188289642333984,24141
33,to,PART,23.197202682495117,24141,propensas,NOUN,35.61219024658203,24141
34,succeed,VERB,26.52367401123047,24141,al,ADP,36.3438720703125,24141
35,others,NOUN,23.004783630371094,24141,éxito,NOUN,33.79677200317383,24141
36,than,SCONJ,22.48409652709961,24141,que,SCONJ,30.995420455932617,24141
37,0,0,0.0,0,otras,PRON,33.469547271728516,24141
38,.,PUNCT,21.169673919677734,24141,.,PUNCT,33.470741271972656,24141
39,Murray,PROPN,20.325483322143555,28117,Murray,PROPN,31.82090187072754,28117
40,and,CCONJ,22.52394676208496,28117,y,CONJ,32.989952087402344,28117
41,Herrnstein,PROPN,20.905458450317383,28117,Herrnstein,PROPN,34.902671813964844,28117
42,also,ADV,23.490188598632812,28117,también,ADV,33.62259292602539,28117
43,suggest,VERB,21.840131759643555,28117,sugieren,VERB,32.502525329589844,28117
44,that,SCONJ,18.516984939575195,30831,que,SCONJ,31.579099655151367,30801
45,a,DET,22.508970260620117,30831,la,DET,33.978240966796875,30801
46,lack,NOUN,20.35698699951172,30831,falta,NOUN,31.264236450195312,30801
47,of,ADP,22.679548263549805,30831,de,ADP,30.96061897277832,30801
48,critical,ADJ,20.471418380737305,30831,crítica,ADJ,35.24639129638672,30801
49,intelligence,NOUN,20.388164520263672,30831,inteligencia,NOUN,33.33515548706055,30801
50,explains,VERB,21.2388916015625,30831,explica,VERB,36.215476989746094,30801
51,the,DET,21.940847396850586,30831,el,DET,34.6844596862793,30801
52,prominence,NOUN,18.70982551574707,30831,nivel,NOUN,34.3414306640625,30801
53,of,ADP,22.81093406677246,30831,0,0,0.0,0
54,violent,ADJ,18.116710662841797,30831,alto,ADJ,34.04886245727539,30801
55,crime,NOUN,19.212562561035156,30831,0,0,0.0,0
56,in,ADP,19.423080444335938,35447,de,ADP,29.909624099731445,34227
57,0,0,0.0,0,crímenes,NOUN,30.875125885009766,34227
58,poor,ADJ,21.835649490356445,35447,violentos,ADJ,33.773075103759766,34227
59,-,PUNCT,20.339948654174805,35447,en,ADP,32.78608322143555,34227
60,0,0,0.0,0,las,DET,31.950468063354492,34227
61,communities,NOUN,22.51871681213379,35447,comunidades,NOUN,34.618690490722656,34227
62,American,ADJ,23.904216766357422,35447,afroestadounidenses,ADJ,33.425323486328125,34227
63,African,ADJ,22.211380004882812,35447,pobres,ADJ,34.44856643676758,34227
64,.,PUNCT,21.59764862060547,35447,.,PUNCT,33.0706901550293,34227
65,But,CCONJ,20.51556968688965,39575,Pero,CONJ,34.6654167175293,39575
66,Charles,PROPN,22.62500762939453,39575,Charles,PROPN,34.25117874145508,39575
67,Murray,PROPN,21.775867462158203,39575,Murray,PROPN,34.242149353027344,39575
