,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Have,AUX,21.51381492614746,12879,¿,PUNCT,29.4680233001709,12726
1,you,PRON,24.22960662841797,12879,alguna,DET,34.86325454711914,12726
2,ever,ADV,25.45770263671875,12879,vez,NOUN,31.573123931884766,12726
3,experienced,VERB,22.218767166137695,12879,Atravesaron,VERB,31.587203979492188,12726
4,a,DET,22.98908233642578,12879,un,DET,36.02676773071289,12726
5,moment,NOUN,21.726415634155273,12879,momento,NOUN,32.35651397705078,12726
6,in,ADP,22.227745056152344,12879,en,ADP,31.729806900024414,12726
7,your,DET,24.184986114501953,12879,sus,DET,31.3758487701416,12726
8,life,NOUN,18.6235294342041,12879,vidas,NOUN,35.301307678222656,12726
9,that,DET,19.159006118774414,16849,0,0,0.0,0
10,was,AUX,23.164216995239258,16849,y,CONJ,32.95914077758789,16435
11,so,ADV,23.64750099182129,16849,tan,ADV,35.260555267333984,16435
12,painful,ADJ,23.610837936401367,16849,confuso,ADJ,33.6975212097168,16435
13,and,CCONJ,22.764530181884766,16849,0,0,0.0,0
14,confusing,ADJ,20.147077560424805,16849,doloroso,ADJ,33.75010299682617,16435
15,",",PUNCT,19.169374465942383,16849,0,0,0.0,0
16,that,SCONJ,19.98309326171875,20276,en,ADP,32.89920425415039,19941
17,all,DET,23.302778244018555,20276,el,DET,34.20670700073242,19941
18,you,PRON,22.850692749023438,20276,que,PRON,33.46170425415039,19941
19,0,0,0.0,0,lo,DET,31.120895385742188,19941
20,to,PART,21.570964813232422,20276,único,ADJ,31.988666534423828,19941
21,do,AUX,24.001070022583008,20276,que,PRON,32.54373550415039,19941
22,wanted,VERB,23.82353401184082,20276,querían,VERB,33.12346649169922,19941
23,was,AUX,21.1660213470459,22098,era,AUX,33.95564270019531,21980
24,learn,VERB,20.177902221679688,22098,aprender,VERB,36.27859115600586,21980
25,as,ADV,21.72731590270996,22098,lo,DET,33.1412353515625,21980
26,much,ADV,26.342681884765625,22098,máximo,ADJ,32.51161193847656,21980
27,as,SCONJ,21.75179672241211,22098,posible,ADJ,30.273862838745117,21980
28,you,PRON,24.698169708251953,22098,para,ADP,32.63991928100586,21980
29,could,VERB,23.65302848815918,22098,darle,ADJ,32.38097381591797,21980
30,to,PART,23.877721786499023,22098,0,0,0.0,0
31,make,VERB,26.5253963470459,22098,0,0,0.0,0
32,sense,NOUN,20.901687622070312,22098,sentido,NOUN,30.9597110748291,21980
33,of,ADP,24.136096954345703,22098,a,ADP,31.52134132385254,21980
34,it,PRON,20.99358367919922,22098,todo,PRON,31.15107536315918,21980
35,all,DET,20.387697219848633,22098,0,0,0.0,0
