,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,What,PRON,21.99913787841797,12051,Lo,DET,32.896846771240234,12650
1,I,PRON,24.750730514526367,12051,que,PRON,31.712963104248047,12650
2,'m,AUX,24.105796813964844,12051,voy,AUX,35.450401306152344,12650
3,going,VERB,24.895280838012695,12051,hacer,VERB,36.56934356689453,12650
4,to,PART,20.65135383605957,12051,a,ADP,34.21247100830078,12650
5,do,AUX,24.3424015045166,12051,aquí,ADV,35.84079360961914,12650
6,is,AUX,20.570114135742188,12051,es,AUX,36.335208892822266,12650
7,",",PUNCT,20.87351417541504,12051,",",PUNCT,32.1163215637207,12650
8,I,PRON,24.347509384155273,12051,0,0,0.0,0
9,'m,AUX,22.53771209716797,12051,0,0,0.0,0
10,going,VERB,24.819286346435547,12051,explicar,VERB,34.485069274902344,12650
11,to,PART,22.273569107055664,12051,0,0,0.0,0
12,explain,VERB,23.99801254272461,12051,0,0,0.0,0
13,to,ADP,18.96111297607422,12051,0,0,0.0,0
14,you,PRON,23.773357391357422,12051,0,0,0.0,0
15,an,DET,20.55120849609375,15014,el,DET,33.5506706237793,15120
16,extreme,ADJ,17.918142318725586,15014,concepto,NOUN,29.43861961364746,15120
17,0,0,0.0,0,de,ADP,30.570541381835938,15120
18,green,ADJ,20.1336612701416,15014,verde,ADJ,31.948749542236328,15120
19,concept,NOUN,20.61219024658203,15014,extremo,NOUN,31.6671085357666,15120
20,developed,VERB,21.86324119567871,17066,desarrollado,ADJ,33.45835494995117,17066
21,was,AUX,23.702938079833984,17066,en,ADP,32.79008865356445,17066
22,that,DET,18.987838745117188,17066,el,DET,33.774742126464844,17066
23,NASA,PROPN,23.13130760192871,17066,Centro,PROPN,35.09954071044922,17066
24,at,ADP,24.14485740661621,17066,de,ADP,28.94350242614746,17066
25,Glenn,PROPN,22.148473739624023,17066,Investigación,PROPN,35.96824264526367,17066
26,Research,PROPN,21.091943740844727,17066,Glenn,PROPN,35.58069610595703,17066
27,'s,PART,18.90423583984375,17066,de,ADP,29.502634048461914,17066
28,0,0,0.0,0,la,DET,28.13191032409668,17066
29,Center,PROPN,20.9332332611084,17066,NASA,PROPN,33.99559020996094,17066
30,in,ADP,19.11295509338379,20058,en,ADP,32.97104263305664,20058
31,Cleveland,PROPN,21.76494789123535,20058,Cleveland,PROPN,37.855812072753906,20058
32,",",PUNCT,19.35724639892578,20058,",",PUNCT,29.987977981567383,20058
33,Ohio,PROPN,23.7625789642334,20058,Ohio,PROPN,32.49523162841797,20058
34,.,PUNCT,19.62410545349121,20058,.,PUNCT,31.64114761352539,20058
35,But,CCONJ,23.2047119140625,22060,Pero,CONJ,33.06321716308594,22060
36,0,0,0.0,0,antes,ADV,34.50991439819336,22060
37,before,ADP,21.092039108276367,22060,de,ADP,31.51805305480957,22060
38,do,AUX,23.362285614013672,22060,hacer,VERB,36.25717544555664,22060
39,I,PRON,25.5589542388916,22060,eso,PRON,33.99479675292969,22060
40,",",PUNCT,21.343339920043945,22060,",",PUNCT,31.155466079711914,22060
41,have,AUX,22.97035026550293,22060,revisemos,ADJ,30.110126495361328,22060
42,that,DET,20.118364334106445,22060,lo,DET,33.41219711303711,24080
43,we,PRON,24.252988815307617,22060,que,PRON,31.603403091430664,24080
44,go,VERB,24.851730346679688,22060,entendemos,VERB,34.834781646728516,24080
45,over,ADP,19.80621910095215,22060,por,ADP,34.509708404541016,24080
46,to,PART,22.36726188659668,22060,verde,ADJ,31.729259490966797,24080
47,0,0,0.0,0,",",PUNCT,30.406044006347656,24080
48,'cause,ADP,19.87425994873047,26027,porque,SCONJ,35.53976058959961,26027
49,a,DET,23.507448196411133,26027,muchos,PRON,34.929443359375,26027
50,lot,NOUN,21.03903579711914,26027,definiciones,NOUN,33.08522033691406,26027
51,of,ADP,24.977794647216797,26027,de,ADP,28.224544525146484,26027
52,us,PRON,21.90028190612793,26027,nosotros,PRON,32.143348693847656,26027
53,have,AUX,21.69788932800293,26027,tenemos,VERB,33.31262969970703,26027
54,a,DET,22.331392288208008,26027,0,0,0.0,0
55,different,ADJ,22.2841854095459,26027,diferentes,ADJ,33.44881820678711,26027
56,definition,NOUN,22.699756622314453,26027,0,0,0.0,0
57,of,ADP,24.642698287963867,26027,0,0,0.0,0
58,it,PRON,23.24506950378418,26027,0,0,0.0,0
59,.,PUNCT,21.43010902404785,26027,.,PUNCT,34.165950775146484,26027
60,Green,ADJ,20.52322769165039,29024,Verde,PROPN,30.09011459350586,29024
61,.,PUNCT,19.501123428344727,29024,.,PUNCT,30.336036682128906,29024
62,The,DET,23.161832809448242,29024,El,DET,33.498199462890625,29024
63,product,NOUN,20.472646713256836,29024,producto,NOUN,32.06229782104492,29024
64,is,AUX,24.34955596923828,29024,se,PRON,31.728017807006836,29024
65,created,VERB,22.765365600585938,29024,crea,VERB,37.2135124206543,29024
