,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Four,NUM,23.75294303894043,12466,cuatro,NUM,37.503108978271484,12466
1,years,NOUN,22.687753677368164,12466,Hace,AUX,35.79391098022461,12466
2,ago,ADV,20.71084213256836,12466,exactamente,ADV,35.99476623535156,12466
3,today,NOUN,21.091829299926758,12466,años,NOUN,35.934940338134766,12466
4,",",PUNCT,20.74375343322754,12466,0,0,0.0,0
5,exactly,ADV,20.632125854492188,12466,0,0,0.0,0
6,",",PUNCT,19.951335906982422,12466,0,0,0.0,0
7,actually,ADV,21.185367584228516,12466,0,0,0.0,0
8,",",PUNCT,20.252182006835938,12466,0,0,0.0,0
9,I,PRON,25.0028018951416,14563,empecé,AUX,33.3155517578125,14563
10,a,DET,23.112905502319336,14563,un,DET,34.574459075927734,14563
11,fashion,NOUN,20.34566879272461,14563,blog,NOUN,30.996845245361328,14563
12,started,VERB,25.389524459838867,14563,sobre,ADP,32.45475387573242,14563
13,blog,NOUN,20.3333797454834,14563,moda,NOUN,32.16932678222656,14563
14,called,VERB,19.962932586669922,14563,llamado,ADJ,30.53495979309082,14563
15,Style,PROPN,21.316211700439453,14563,Style,PROPN,35.09232711791992,14563
16,Rookie,PROPN,23.50657844543457,14563,Rookie,PROPN,36.30097198486328,14563
17,.,PUNCT,20.859893798828125,14563,.,PUNCT,32.347023010253906,14563
18,September,PROPN,23.010557174682617,17659,El,DET,33.3751335144043,17659
19,Last,ADJ,20.437118530273438,17659,pasado,ADJ,33.028079986572266,17659
20,I,PRON,25.54267692565918,17659,septiembre,NOUN,32.74144744873047,17659
21,of,ADP,23.68079948425293,17659,de,ADP,34.3059196472168,17659
22,2011,NUM,20.664281845092773,17659,2011,NUM,29.997726440429688,17659
23,",",PUNCT,22.798789978027344,17659,",",PUNCT,30.644418716430664,17659
24,started,VERB,25.279666900634766,17659,empecé,AUX,34.89630889892578,17659
25,an,DET,23.446849822998047,17659,una,DET,34.611114501953125,17659
26,magazine,NOUN,18.956148147583008,17659,revista,NOUN,31.941320419311523,17659
27,online,ADJ,19.351442337036133,17659,online,ADJ,33.985294342041016,17659
28,for,ADP,21.374555587768555,21779,para,ADP,35.00810623168945,21779
29,girls,NOUN,19.81336784362793,21779,chicas,NOUN,34.88458251953125,21779
30,teenage,ADJ,19.318082809448242,21779,adolescentes,ADJ,35.80873107910156,21779
31,called,VERB,20.712541580200195,21779,llamada,ADJ,31.622861862182617,21779
32,Rookiemag.com,PROPN,22.416748046875,21779,Rookiemag.com,PROPN,35.562381744384766,21779
33,.,PUNCT,19.402578353881836,21779,.,PUNCT,33.48261260986328,21779
34,My,DET,23.801660537719727,25654,Me,PRON,28.376487731933594,25654
35,name,NOUN,20.269323348999023,25654,llamo,VERB,34.53986740112305,25654
36,'s,PART,18.052581787109375,25654,0,0,0.0,0
37,Tavi,PROPN,19.434568405151367,25654,Gevinson,PROPN,36.663795471191406,25654
38,Gevinson,PROPN,20.83340835571289,25654,Tavi,PROPN,35.230133056640625,25654
39,",",PUNCT,22.59434700012207,25654,",",PUNCT,29.47637176513672,25654
40,and,CCONJ,18.545141220092773,25654,y,CONJ,31.64981460571289,25654
41,the,DET,21.625123977661133,29845,el,DET,34.871803283691406,29845
42,title,NOUN,17.753326416015625,29845,título,NOUN,29.61748695373535,29845
43,of,ADP,22.307279586791992,29845,de,ADP,30.570714950561523,29845
44,my,DET,21.10222625732422,29845,mi,DET,34.929988861083984,29845
45,talk,NOUN,17.973478317260742,29845,charla,PROPN,32.30378723144531,29845
46,is,AUX,20.11835479736328,29845,es,AUX,32.314266204833984,29845
47,"""",PUNCT,23.106956481933594,29845,"""",PUNCT,29.502059936523438,29845
48,Still,ADV,22.296131134033203,29845,Aún,ADV,33.849056243896484,29845
49,Figuring,VERB,20.833332061767578,29845,entendiéndolo,PROPN,33.12930679321289,29845
50,It,PRON,20.987916946411133,29845,0,0,0.0,0
51,Out,ADP,22.2247314453125,29845,0,0,0.0,0
52,",",PUNCT,22.956951141357422,29845,"""",PUNCT,30.26048469543457,29845
53,"""",PUNCT,22.14309310913086,29845,",",PUNCT,29.837783813476562,29845
54,and,CCONJ,19.408721923828125,32985,y,CONJ,33.98911666870117,32985
55,the,DET,21.0615291595459,32985,la,DET,34.59187698364258,32985
56,quality,NOUN,19.80762481689453,32985,calidad,NOUN,30.85418701171875,32985
57,MS,PROPN,20.147424697875977,32985,del,ADP,33.852500915527344,32985
58,Paint,PROPN,20.852771759033203,32985,Paint,PROPN,34.939762115478516,32985
59,of,ADP,22.886932373046875,32985,de,ADP,30.14748764038086,32985
60,my,DET,21.6322078704834,32985,mis,DET,34.063880920410156,32985
61,slides,NOUN,17.94631004333496,32985,diapositivas,NOUN,33.89887237548828,32985
62,was,AUX,20.337446212768555,35232,fue,AUX,34.0780143737793,35232
63,a,DET,23.85040283203125,35232,una,DET,36.07933807373047,35232
64,decision,NOUN,20.709857940673828,35232,decisión,NOUN,33.79520034790039,35232
65,total,ADJ,20.933868408203125,35232,totalmente,ADV,35.00634002685547,35232
66,creative,ADJ,19.717527389526367,35232,creativa,ADJ,31.90351104736328,35232
67,keeping,VERB,21.46532440185547,35232,teniendo,VERB,37.16630554199219,35232
68,in,ADP,22.950660705566406,35232,en,ADP,32.917789459228516,35232
69,today,NOUN,21.484325408935547,35232,cuenta,NOUN,33.178802490234375,35232
70,'s,PART,20.636220932006836,35232,el,DET,36.368831634521484,35232
71,theme,NOUN,17.79973793029785,35232,tema,NOUN,28.407230377197266,35232
72,with,ADP,20.83556365966797,35232,de,ADP,30.348716735839844,35232
73,0,0,0.0,0,hoy,ADV,31.760066986083984,35232
74,",",PUNCT,21.752748489379883,35232,",",PUNCT,28.55743980407715,35232
75,and,CCONJ,21.31110382080078,38544,y,CONJ,33.71576690673828,38544
76,has,AUX,21.77399444580078,38544,no,ADV,34.49453353881836,38544
77,to,PART,22.923105239868164,38544,tiene,VERB,36.10868835449219,38544
78,nothing,PRON,22.356464385986328,38544,nada,PRON,36.32900619506836,38544
79,do,AUX,24.5787353515625,38544,que,PRON,28.362028121948242,38544
80,0,0,0.0,0,ver,NOUN,34.69864273071289,38544
81,with,ADP,18.532976150512695,38544,con,ADP,35.87296676635742,38544
82,my,DET,21.60364532470703,38544,mi,DET,34.43750762939453,38544
83,inability,NOUN,20.09014320373535,38544,incapacidad,NOUN,30.436670303344727,38544
84,to,PART,21.905256271362305,40160,para,ADP,36.22641372680664,40160
85,use,VERB,23.486387252807617,40160,usar,VERB,34.74213409423828,40160
86,PowerPoint,PROPN,22.528642654418945,40160,PowerPoint,PROPN,33.77680969238281,40160
87,.,PUNCT,18.59891128540039,40160,.,PUNCT,31.64032745361328,40160
88,(,PUNCT,19.5616397857666,40160,(,PUNCT,28.496429443359375,40160
89,Laughter,NOUN,20.16396713256836,40160,Risas,PROPN,34.53498458862305,40160
90,),PUNCT,21.011808395385742,40160,),PUNCT,32.343257904052734,40160
91,So,CCONJ,17.53449821472168,43505,Así,ADV,35.57524108886719,43505
92,I,PRON,23.70832633972168,43505,que,SCONJ,31.92400550842285,43505
93,edit,VERB,22.091890335083008,43505,edito,VERB,31.964265823364258,43505
94,this,DET,24.95362091064453,43505,esta,DET,30.851356506347656,43505
95,site,NOUN,21.89874839782715,43505,página,NOUN,31.699504852294922,43505
96,for,ADP,21.969348907470703,43505,para,ADP,35.214073181152344,43505
97,teenage,ADJ,19.968957901000977,43505,adolescentes,ADJ,36.91165542602539,43505
98,girls,NOUN,20.425735473632812,43505,chicas,NOUN,35.154335021972656,43505
99,.,PUNCT,20.70768165588379,43505,.,PUNCT,33.24201965332031,43505
100,I,PRON,25.066516876220703,43505,feminista,ADJ,36.28105926513672,43505
101,'m,AUX,23.332298278808594,43505,Soy,AUX,30.859228134155273,43505
102,a,DET,21.94635581970215,43505,0,0,0.0,0
103,feminist,NOUN,20.191354751586914,43505,0,0,0.0,0
104,.,PUNCT,22.469966888427734,43505,.,PUNCT,33.4990119934082,43505
105,am,AUX,22.51226806640625,48065,Soy,AUX,31.05003547668457,48065
106,I,PRON,25.871807098388672,48065,un,DET,31.63998794555664,48065
107,kind,ADV,21.48200225830078,48065,tanto,NOUN,30.720088958740234,48065
108,pop,NOUN,19.10719108581543,48065,nerd,NOUN,32.908138275146484,48065
109,of,ADV,21.744346618652344,48065,de,ADP,31.898775100708008,48065
110,a,DET,21.622512817382812,48065,la,DET,31.69001579284668,48065
111,culture,NOUN,19.579021453857422,48065,cultura,NOUN,31.220380783081055,48065
112,and,CCONJ,19.61726188659668,48065,pop,ADJ,34.25577163696289,48065
113,",",PUNCT,21.914731979370117,48065,",",PUNCT,29.166494369506836,48065
114,I,PRON,26.04715919494629,48065,y,CONJ,33.599708557128906,48065
115,think,VERB,22.96211051940918,48065,pienso,VERB,34.26546096801758,48065
116,a,DET,22.633159637451172,48065,un,DET,34.201045989990234,48065
117,nerd,NOUN,18.669994354248047,48065,montón,NOUN,31.37003517150879,48065
118,lot,NOUN,21.73841094970703,48065,respecto,NOUN,33.21430206298828,48065
119,about,ADP,21.689014434814453,48065,a,ADP,27.452360153198242,48065
120,what,PRON,21.552780151367188,50936,qué,PRON,33.53806686401367,50936
121,0,0,0.0,0,es,AUX,32.830257415771484,50936
122,a,DET,23.422542572021484,50936,lo,DET,34.17823028564453,50936
123,0,0,0.0,0,que,PRON,32.69636535644531,50936
124,makes,VERB,25.813493728637695,50936,hace,VERB,37.44499588012695,50936
125,female,ADJ,21.25265121459961,50936,fuerte,ADJ,33.11799240112305,50936
126,0,0,0.0,0,a,ADP,31.69324493408203,50936
127,0,0,0.0,0,un,DET,38.27278518676758,50936
128,character,NOUN,20.282676696777344,50936,personaje,NOUN,33.7755126953125,50936
129,strong,ADJ,26.281436920166016,50936,femenino,ADJ,35.21271514892578,50936
130,",",PUNCT,20.784992218017578,50936,",",PUNCT,30.355756759643555,50936
131,and,CCONJ,21.164928436279297,53352,y,CONJ,34.36497497558594,53352
132,",",PUNCT,18.7155818939209,53352,",",PUNCT,29.563417434692383,53352
133,you,PRON,23.585418701171875,53352,ustedes,PRON,34.010887145996094,53352
134,know,VERB,22.78255271911621,53352,saben,VERB,36.45622634887695,53352
135,",",PUNCT,22.21094512939453,53352,",",PUNCT,30.873538970947266,53352
136,movies,NOUN,20.815988540649414,53352,las,DET,33.43550491333008,53352
137,TV,NOUN,20.15597915649414,53352,películas,NOUN,33.69660186767578,53352
138,and,CCONJ,23.155033111572266,53352,y,CONJ,32.73893356323242,53352
139,0,0,0.0,0,las,DET,33.11494827270508,53352
140,shows,NOUN,21.49285125732422,53352,series,NOUN,33.93667221069336,53352
141,",",PUNCT,19.3155517578125,53352,",",PUNCT,31.597471237182617,53352
142,these,DET,23.35859489440918,55440,Mi,DET,32.63151550292969,55440
143,things,NOUN,23.390928268432617,55440,influencia,NOUN,32.20552062988281,55440
144,have,AUX,24.131608963012695,55440,marcan,VERB,32.11003112792969,55440
145,influence,NOUN,20.735023498535156,55440,página,NOUN,32.29998779296875,55440
146,.,PUNCT,21.30780029296875,55440,.,PUNCT,32.64431381225586,55440
147,My,DET,24.21276092529297,55440,propia,DET,34.854373931884766,55440
148,own,ADJ,22.118053436279297,55440,0,0,0.0,0
149,website,NOUN,21.198820114135742,55440,web,NOUN,31.605173110961914,55440
150,.,PUNCT,21.498340606689453,55440,.,PUNCT,33.95566940307617,55440
151,think,VERB,23.277114868164062,59706,Pienso,VERB,31.497724533081055,59706
152,So,ADV,18.095754623413086,59706,que,SCONJ,31.8477725982666,59706
153,the,DET,22.297996520996094,59706,la,DET,33.84708023071289,59706
154,question,NOUN,19.83061408996582,59706,cuestión,NOUN,31.223222732543945,59706
155,of,ADP,22.424514770507812,59706,sobre,ADP,33.49873352050781,59706
156,I,PRON,26.15790367126465,59706,qué,PRON,32.85513687133789,59706
157,0,0,0.0,0,es,AUX,32.301822662353516,59706
158,a,DET,23.496896743774414,59706,lo,DET,34.216339111328125,59706
159,what,PRON,21.10059356689453,59706,que,PRON,32.71062469482422,59706
160,makes,VERB,25.318471908569336,59706,hace,VERB,37.44499588012695,59706
161,strong,ADJ,25.35957145690918,59706,fuerte,ADJ,33.13019561767578,59706
162,0,0,0.0,0,a,ADP,31.662870407104492,59706
163,0,0,0.0,0,un,DET,37.73896789550781,59706
164,female,NOUN,20.539518356323242,59706,personaje,NOUN,34.06211471557617,59706
165,misinterpreted,ADJ,21.065073013305664,62497,femenino,ADJ,33.199615478515625,62497
166,often,ADV,22.73571014404297,62497,se,PRON,32.1619873046875,62497
167,goes,VERB,24.05289077758789,62497,malinterpreta,VERB,31.271120071411133,62497
168,0,0,0.0,0,a,ADP,33.69063949584961,62497
169,character,NOUN,19.361413955688477,62497,menudo,NOUN,29.431978225708008,62497
170,",",PUNCT,20.032865524291992,62497,",",PUNCT,29.639541625976562,62497
171,and,CCONJ,20.386627197265625,64874,y,CONJ,31.777645111083984,64874
172,instead,ADV,20.796470642089844,64874,en,ADP,34.09950637817383,64874
173,we,PRON,25.27112579345703,64874,realidad,NOUN,33.197349548339844,64874
174,get,VERB,24.868223190307617,64874,pensamos,VERB,36.09185791015625,64874
175,these,DET,20.053138732910156,64874,en,ADP,33.114158630371094,64874
176,two,NUM,22.225984573364258,64874,heroínas,PROPN,34.08737564086914,64874
177,superwomen,NOUN,19.68642234802246,64874,bi,PROPN,28.94063377380371,64874
178,-,PUNCT,21.406633377075195,64874,-,PUNCT,32.67913818359375,64874
179,dimensional,ADJ,21.538177490234375,64874,dimensionales,ADJ,34.183753967285156,64874
180,who,PRON,23.166940689086914,68167,que,SCONJ,32.95313262939453,68167
181,maybe,ADV,24.767717361450195,68167,tal,NOUN,34.21040725708008,68167
182,have,AUX,21.95570945739746,68167,0,0,0.0,0
183,one,NUM,22.568130493164062,68167,tienen,VERB,35.390316009521484,68167
184,quality,NOUN,20.88563346862793,68167,vez,NOUN,33.02357482910156,68167
185,that,DET,21.70658302307129,68167,una,DET,34.711483001708984,68167
186,'s,AUX,22.180164337158203,68167,que,PRON,34.941429138183594,68167
187,played,VERB,21.589067459106445,68167,acentúa,VERB,36.915733337402344,68167
188,up,ADP,21.354516983032227,68167,se,PRON,32.054630279541016,68167
189,a,DET,21.490373611450195,68167,muchísimo,ADV,34.07371520996094,68167
190,lot,NOUN,21.227537155151367,68167,cualidad,NOUN,34.638519287109375,68167
191,",",PUNCT,21.478885650634766,68167,",",PUNCT,30.02181625366211,68167
192,like,SCONJ,19.742929458618164,71759,como,SCONJ,35.333656311035156,71759
193,a,DET,22.72220230102539,71759,el,DET,35.734310150146484,71759
194,type,NOUN,20.823951721191406,71759,estilo,NOUN,29.60812759399414,71759
195,0,0,0.0,0,de,ADP,30.266860961914062,71759
196,Catwoman,PROPN,19.471057891845703,71759,Gatúbela,PROPN,37.482635498046875,71759
197,",",PUNCT,19.847049713134766,71759,",",PUNCT,29.90526008605957,71759
198,or,CCONJ,20.10336685180664,74352,o,CONJ,34.073890686035156,74352
199,she,PRON,24.817197799682617,74352,ella,PRON,33.6895751953125,74352
200,plays,VERB,25.106800079345703,74352,utiliza,VERB,34.46165466308594,74352
201,her,DET,23.772432327270508,74352,su,DET,34.99404525756836,74352
202,sexuality,NOUN,21.660114288330078,74352,sexualidad,NOUN,32.993186950683594,74352
203,up,ADP,21.25237464904785,74352,a,ADP,32.217716217041016,74352
204,a,DET,21.196847915649414,74352,0,0,0.0,0
205,lot,NOUN,20.926532745361328,74352,menudo,NOUN,29.123214721679688,74352
206,",",PUNCT,21.50617027282715,74352,",",PUNCT,29.640825271606445,74352
207,and,CCONJ,20.41461753845215,78230,y,CONJ,33.83791732788086,78230
208,'s,AUX,21.453248977661133,78230,es,AUX,34.43327713012695,78230
209,seen,VERB,23.005882263183594,78230,visto,VERB,34.123046875,78230
210,as,SCONJ,21.805131912231445,78230,como,SCONJ,35.77436065673828,78230
211,it,PRON,24.55691909790039,78230,un,DET,36.83176040649414,78230
212,power,NOUN,19.966524124145508,78230,poder,NOUN,32.155208587646484,78230
213,.,PUNCT,22.893346786499023,78230,.,PUNCT,30.720382690429688,78230
214,But,CCONJ,21.41896629333496,79422,Pero,CONJ,32.94673156738281,79422
215,they,PRON,24.061420440673828,79422,no,ADV,33.60285949707031,79422
216,'re,AUX,22.55109977722168,79422,son,AUX,34.39879608154297,79422
217,not,PART,24.12583351135254,79422,personajes,NOUN,37.50668716430664,79422
218,strong,ADJ,21.502239227294922,79422,fuertes,ADJ,36.292842864990234,79422
219,characters,NOUN,22.71491813659668,79422,casualidad,NOUN,33.804988861083984,79422
220,who,PRON,25.459152221679688,79422,que,PRON,33.36700439453125,79422
221,happen,VERB,22.427417755126953,79422,por,ADP,33.8443489074707,79422
222,to,PART,22.022863388061523,79422,mujeres,NOUN,34.63803482055664,79422
223,be,AUX,25.349445343017578,79422,son,AUX,33.80727767944336,79422
224,female,ADJ,19.417102813720703,79422,0,0,0.0,0
225,.,PUNCT,21.161985397338867,79422,.,PUNCT,34.19824981689453,79422
