,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,because,SCONJ,19.747486114501953,20398,Crecí,PROPN,31.539457321166992,18330
1,I,PRON,24.33437156677246,20398,para,ADP,35.38322067260742,18330
2,have,AUX,22.03022575378418,20398,estudiar,VERB,37.98021697998047,18330
3,a,DET,22.714845657348633,20398,el,DET,34.16064453125,18330
4,brother,NOUN,18.596818923950195,20398,cerebro,NOUN,29.497047424316406,18330
5,who,PRON,22.824068069458008,20398,que,PRON,32.408592224121094,21330
6,has,AUX,24.34416961669922,20398,porque,SCONJ,33.08740997314453,18330
7,been,AUX,24.952770233154297,20398,fue,AUX,34.87361526489258,21330
8,diagnosed,VERB,22.212148666381836,20398,tengo,VERB,35.02579879760742,18330
9,with,ADP,20.424217224121094,22836,con,ADP,32.49762725830078,21330
10,a,DET,23.288375854492188,22836,un,DET,36.45930862426758,21330
11,brain,NOUN,19.873394012451172,22836,hermano,NOUN,34.72597122192383,21330
12,disorder,NOUN,17.628190994262695,22836,diagnosticado,VERB,33.925777435302734,21330
13,",",PUNCT,21.775434494018555,22836,:,PUNCT,32.25592803955078,21330
14,schizophrenia,NOUN,18.93429183959961,22836,trastorno,NOUN,32.208534240722656,21330
15,.,PUNCT,21.124675750732422,22836,.,PUNCT,32.13810348510742,25330
16,And,CCONJ,20.165624618530273,25806,cerebral,ADJ,35.09644317626953,21330
17,as,SCONJ,22.17319679260254,25806,como,SCONJ,36.88641357421875,25330
18,a,DET,24.070566177368164,25806,un,DET,36.9022216796875,21330
19,sister,NOUN,19.432025909423828,25806,esquizofrenia,PROPN,30.754108428955078,25330
20,and,CCONJ,23.717267990112305,25806,Y,CONJ,32.024688720703125,25330
21,later,ADV,19.248088836669922,25806,más,ADV,36.006317138671875,27330
22,",",PUNCT,19.370389938354492,25806,y,CONJ,34.57848358154297,27330
23,as,SCONJ,21.693378448486328,25806,como,SCONJ,34.45103073120117,27330
24,a,DET,24.105070114135742,25806,tarde,ADV,32.436668395996094,27330
25,scientist,NOUN,19.966812133789062,25806,hermana,NOUN,31.537187576293945,25330
26,",",PUNCT,20.7548770904541,25806,",",PUNCT,31.02284049987793,27330
27,I,PRON,24.792015075683594,29771,científica,PROPN,31.070938110351562,27330
28,wanted,VERB,24.473142623901367,29771,quería,VERB,33.81591033935547,27330
29,to,PART,22.214412689208984,29771,entender,AUX,34.89988708496094,27330
30,understand,VERB,24.26688575744629,29771,abstraer,VERB,36.008148193359375,31330
31,",",PUNCT,21.195512771606445,29771,",",PUNCT,31.392396926879883,27330
32,why,ADV,20.365083694458008,29771,por,ADP,34.88694763183594,27330
33,is,AUX,19.805822372436523,29771,puedo,AUX,35.14624786376953,31330
34,it,PRON,21.367229461669922,29771,qué,PRON,32.824256896972656,27330
35,that,DET,22.1667423248291,29771,mis,DET,32.85485076904297,31330
36,I,PRON,24.890504837036133,29771,sueños,NOUN,34.73789978027344,31330
37,can,VERB,24.458852767944336,29771,",",PUNCT,31.4345703125,31330
38,take,VERB,26.670120239257812,29771,puedo,VERB,33.99433517456055,31330
39,my,DET,24.084444046020508,29771,mi,DET,33.86988067626953,34330
40,dreams,NOUN,20.86876106262207,29771,conectarlos,NOUN,31.730127334594727,34330
41,",",PUNCT,20.10831642150879,29771,.,PUNCT,32.9964599609375,34330
42,I,PRON,24.1225528717041,34088,realidad,NOUN,29.80413818359375,34330
43,can,VERB,24.541400909423828,34088,y,CONJ,32.751991271972656,34330
44,connect,VERB,26.329204559326172,34088,hacerlos,NOUN,34.52136993408203,34330
45,them,PRON,23.879924774169922,34088,realidad,NOUN,28.4423885345459,34330
46,to,ADP,20.60281753540039,34088,a,ADP,32.585391998291016,34330
47,my,DET,22.542585372924805,34088,el,DET,31.406816482543945,37330
48,reality,NOUN,19.90996551513672,34088,cerebro,NOUN,29.48643684387207,37330
49,",",PUNCT,21.02448844909668,34088,¿,PUNCT,30.297391891479492,37330
50,and,CCONJ,19.375850677490234,36347,con,ADP,33.70283508300781,37330
51,I,PRON,25.676191329956055,36347,Qué,PRON,31.869375228881836,37330
52,can,VERB,24.67474937438965,36347,sucede,VERB,35.73207092285156,37330
53,make,VERB,26.834922790527344,36347,de,ADP,32.138671875,37330
54,my,DET,24.07717514038086,36347,mi,DET,33.92886734008789,37330
55,dreams,NOUN,21.703405380249023,36347,hermano,NOUN,30.86789894104004,37330
56,come,VERB,23.897937774658203,36347,y,CONJ,32.65364074707031,37330
57,true,ADJ,21.678964614868164,36347,su,DET,33.9577751159668,41330
58,?,PUNCT,21.780048370361328,36347,esquizofrenia,NOUN,32.68082809448242,41330
59,What,PRON,20.28707504272461,39037,que,PRON,34.17521667480469,41330
60,is,AUX,21.90774154663086,39037,puede,AUX,37.55739212036133,41330
61,it,PRON,20.65256118774414,39037,no,ADV,35.17429733276367,41330
62,about,ADP,21.932079315185547,39037,con,ADP,33.05534744262695,44330
63,my,DET,22.65138816833496,39037,sus,DET,32.50731658935547,41330
64,brother,NOUN,18.57196807861328,39037,sueños,NOUN,33.13116455078125,44330
65,'s,PART,20.48923110961914,39037,conectar,VERB,35.75202941894531,41330
66,brain,NOUN,18.928264617919922,39037,realidad,NOUN,33.13475799560547,44330
67,and,CCONJ,23.625904083251953,39037,común,ADJ,33.80619430541992,44330
68,his,DET,21.840782165527344,39037,una,DET,34.77108383178711,44330
69,schizophrenia,NOUN,19.49268913269043,39037,y,CONJ,31.244754791259766,44330
70,that,SCONJ,20.540740966796875,42838,que,SCONJ,33.77606964111328,48330
71,he,PRON,23.977508544921875,42838,se,PRON,31.822683334350586,48330
72,can,VERB,24.849021911621094,42838,sino,CONJ,32.27552795410156,44330
73,not,PART,24.89426040649414,42838,compartida,ADJ,32.94576644897461,44330
74,connect,VERB,23.08924674987793,42838,vuelven,VERB,35.7762565612793,48330
75,his,DET,24.448280334472656,42838,mi,DET,33.42720413208008,51330
76,dreams,NOUN,21.623912811279297,42838,dediqué,NOUN,33.026283264160156,51330
77,to,ADP,19.97963523864746,42838,a,ADP,34.20485305786133,51330
78,a,DET,22.535058975219727,42838,las,DET,32.895668029785156,53330
