,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,25.029190063476562,16477,Les,PRON,28.930328369140625,16160
1,'ll,VERB,22.7522029876709,16477,hablaré,VERB,35.12504577636719,16160
2,tell,VERB,23.2722225189209,16477,un,DET,32.161590576171875,16160
3,you,PRON,22.1121883392334,16477,sobre,ADP,31.72494125366211,16160
4,a,DET,22.14531898498535,16477,el,DET,34.88924789428711,16160
5,little,ADJ,19.851749420166016,16477,poquito,ADJ,31.510177612304688,16160
6,bit,NOUN,20.654096603393555,16477,comportamiento,NOUN,31.303180694580078,16160
7,about,ADP,20.94512367248535,16477,de,ADP,29.740955352783203,19160
8,irrational,ADJ,21.284849166870117,16477,irracional,ADJ,33.72393035888672,16160
9,behavior,NOUN,21.060089111328125,16477,No,ADV,32.32151794433594,19160
10,.,PUNCT,22.719192504882812,16477,.,PUNCT,33.222023010253906,16160
11,Not,PART,20.88205337524414,19160,el,DET,28.64542579650879,19160
12,yours,PRON,19.503427505493164,19160,ustedes,PRON,32.96530532836914,19160
13,",",PUNCT,23.17656898498535,19160,",",PUNCT,30.598854064941406,19160
14,of,ADP,21.73857307434082,19160,por,ADP,33.42118453979492,19160
15,course,NOUN,18.818775177001953,19160,supuesto,NOUN,32.904361724853516,19160
16,--,PUNCT,20.074954986572266,19160,",",PUNCT,31.052913665771484,19160
17,other,ADJ,19.9848690032959,19160,sino,CONJ,34.056941986083984,19160
18,people,NOUN,20.27225685119629,19160,el,DET,30.388330459594727,19160
19,'s,PART,18.961252212524414,19160,otros,PRON,34.00371170043945,19160
20,.,PUNCT,20.936613082885742,19160,.,PUNCT,33.04650115966797,19160
21,(,PUNCT,19.138301849365234,21065,(,PUNCT,28.748825073242188,21160
22,Laughter,PROPN,20.165264129638672,21065,Risas,PROPN,34.865478515625,21160
23,),PUNCT,20.96363067626953,21065,),PUNCT,32.331058502197266,21160
24,So,CCONJ,20.79937171936035,22271,Después,ADV,33.52222442626953,22160
25,after,ADP,19.21442985534668,22271,de,ADP,30.40398406982422,19160
26,being,AUX,23.082643508911133,22271,estar,VERB,37.688819885253906,22160
27,at,ADP,22.7972354888916,22271,de,ADP,31.93789291381836,22160
28,MIT,PROPN,25.698196411132812,22271,MIT,PROPN,34.864051818847656,22160
29,for,ADP,21.45854377746582,22271,en,ADP,32.55441665649414,22160
30,a,DET,21.59016227722168,22271,algunos,DET,33.59919357299805,22160
31,few,ADJ,22.228452682495117,22271,el,DET,34.317325592041016,22160
32,years,NOUN,20.38007164001465,22271,años,NOUN,35.73838424682617,22160
33,",",PUNCT,20.731035232543945,22271,",",PUNCT,29.604839324951172,22160
34,I,PRON,24.294893264770508,26160,me,PRON,31.660566329956055,26160
35,realized,VERB,25.799531936645508,26160,dí,PRON,29.777496337890625,26160
36,that,SCONJ,19.933866500854492,26160,que,SCONJ,33.75516128540039,26160
37,writing,VERB,24.05828857421875,26160,cuenta,VERB,34.94095993041992,26160
38,academic,ADJ,22.155576705932617,26160,emocionante,ADJ,36.18535614013672,26160
39,papers,NOUN,21.231243133544922,26160,artículos,NOUN,34.11677932739258,26160
40,is,AUX,23.64903450012207,26160,es,AUX,35.220340728759766,26160
41,not,PART,22.966331481933594,26160,escribir,VERB,34.5026969909668,26160
42,that,ADV,20.203689575195312,26160,no,ADV,33.96681594848633,26160
43,exciting,ADJ,20.917760848999023,26160,académicos,ADJ,34.03919982910156,26160
44,.,PUNCT,21.68744659423828,26160,.,PUNCT,32.41404724121094,26160
45,You,PRON,24.104074478149414,30841,cuántos,PRON,28.897558212280273,30160
46,know,VERB,23.53026008605957,30841,sé,VERB,32.86012268066406,30160
47,",",PUNCT,21.004215240478516,30841,No,ADV,33.67595291137695,30160
48,I,PRON,24.147214889526367,30841,estos,PRON,32.53665542602539,30160
49,do,AUX,22.839704513549805,30841,es,AUX,34.925819396972656,32160
50,n't,PART,25.07518196105957,30841,de,ADP,30.463163375854492,30160
51,know,VERB,23.017580032348633,30841,lean,VERB,32.22050476074219,30160
52,how,ADV,23.78514289855957,30841,no,ADV,33.05923080444336,32160
53,many,ADJ,22.756744384765625,30841,pero,CONJ,32.68943786621094,32160
54,of,ADP,23.11802864074707,30841,con,ADP,31.86759376525879,32160
55,those,DET,21.839725494384766,30841,y,CONJ,33.45305252075195,32160
56,you,PRON,22.027482986450195,30841,leerlos,NOUN,32.886131286621094,32160
57,read,VERB,20.265859603881836,30841,divertido,VERB,31.699796676635742,32160
