,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.64702796936035,12490,Hoy,ADV,33.70867156982422,12490
1,'d,VERB,22.904706954956055,12490,quiero,VERB,32.74326705932617,12490
2,like,VERB,21.588850021362305,12490,hablarles,ADJ,32.80300521850586,12490
3,to,PART,23.13634490966797,12490,0,0,0.0,0
4,tell,VERB,24.699058532714844,12490,0,0,0.0,0
5,you,PRON,22.954618453979492,12490,llamada,ADJ,32.14029312133789,12490
6,today,NOUN,21.467002868652344,12490,orca,NOUN,32.92658615112305,12490
7,about,ADP,20.515819549560547,12490,de,ADP,29.95574188232422,12490
8,an,DET,23.765422821044922,12490,una,DET,32.436607360839844,12490
9,orca,NOUN,20.099756240844727,12490,0,0,0.0,0
10,named,VERB,22.07712745666504,12490,0,0,0.0,0
11,Tahlequah,PROPN,21.493867874145508,12490,Tahlequah,PROPN,35.36111831665039,12490
12,.,PUNCT,19.589622497558594,12490,.,PUNCT,33.028045654296875,12490
13,Tahlequah,PROPN,21.636188507080078,17361,Los,DET,34.92792510986328,17361
14,is,AUX,24.037944793701172,17361,0,0,0.0,0
15,also,ADV,25.420448303222656,17361,también,ADV,34.535274505615234,17361
16,known,VERB,21.67361068725586,17361,llaman,VERB,34.44602966308594,17361
17,as,SCONJ,21.591936111450195,17361,la,PRON,31.055103302001953,17361
18,J35,PROPN,22.916452407836914,17361,J35,PROPN,32.874332427978516,17361
19,to,ADP,22.20856285095215,17361,"""",PUNCT,29.613840103149414,17361
20,scientists,NOUN,21.389617919921875,17361,científicos,NOUN,35.21822738647461,17361
21,",",PUNCT,20.09270668029785,17361,"""",PUNCT,29.604337692260742,17361
22,because,SCONJ,21.043701171875,21258,porque,SCONJ,34.23278045654297,21258
23,swims,VERB,22.408912658691406,21258,pertenece,VERB,34.44240188598633,21258
24,with,ADP,21.640377044677734,21258,a,ADP,31.561824798583984,21258
25,the,DET,19.767553329467773,21258,la,DET,33.30390167236328,21258
26,0,0,0.0,0,manada,NOUN,30.269973754882812,21258
