,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,25.704940795898438,15260,director,NOUN,32.04155731201172,15260
1,am,AUX,22.804391860961914,15260,Soy,AUX,30.551782608032227,15260
2,a,DET,23.264236450195312,15260,de,ADP,30.837806701660156,15260
3,conductor,NOUN,18.531761169433594,15260,orquesta,NOUN,30.326618194580078,15260
4,",",PUNCT,21.48798370361328,15260,y,CONJ,34.61394119262695,17260
5,and,CCONJ,19.975778579711914,17260,hoy,ADV,34.419795989990234,17260
6,I,PRON,25.072811126708984,17260,estoy,VERB,33.10625457763672,17260
7,'m,AUX,21.612178802490234,17260,para,ADP,34.67867660522461,19260
8,here,ADV,21.425552368164062,17260,aquí,ADV,37.63459014892578,17260
9,today,NOUN,21.31685447692871,17260,hablarles,NOUN,34.41493606567383,19260
10,to,PART,21.878297805786133,19260,la,DET,31.851667404174805,19260
11,talk,VERB,24.70918846130371,19260,depende,VERB,33.21940231323242,21260
12,to,ADP,20.008726119995117,19260,de,ADP,31.37138557434082,19260
13,you,PRON,24.674222946166992,19260,.,PUNCT,32.36725997924805,19260
14,about,ADP,19.830341339111328,19260,de,ADP,31.2728214263916,21260
15,trust,NOUN,17.31101417541504,19260,trabajo,NOUN,32.76955032348633,21260
16,.,PUNCT,21.082460403442383,19260,.,PUNCT,31.99650001525879,21260
17,My,DET,23.439455032348633,21260,Mi,DET,33.23061752319336,21260
18,job,NOUN,23.048574447631836,21260,confianza,NOUN,30.141746520996094,19260
19,depends,VERB,22.796916961669922,21260,Tiene,VERB,34.67156982421875,24260
20,upon,SCONJ,21.53963851928711,21260,que,SCONJ,31.984865188598633,24260
21,it,PRON,22.526044845581055,21260,ella,PRON,32.00457763671875,21260
22,.,PUNCT,21.34928321838379,21260,",",PUNCT,32.453636169433594,24260
23,There,PRON,21.056856155395508,24260,entre,ADP,33.27164077758789,24260
24,has,AUX,22.698705673217773,24260,haber,AUX,34.4385986328125,24260
25,to,PART,23.440048217773438,24260,la,DET,33.64328384399414,24260
26,be,AUX,24.785503387451172,24260,orquesta,NOUN,29.703853607177734,24260
27,",",PUNCT,19.476404190063477,24260,",",PUNCT,31.061756134033203,24260
28,between,ADP,23.092350006103516,24260,de,ADP,32.41973876953125,26260
29,me,PRON,23.31643295288086,24260,yo,PRON,30.462234497070312,24260
30,and,CCONJ,20.238168716430664,24260,y,CONJ,32.71629333496094,24260
31,the,DET,19.872554779052734,24260,un,DET,35.56439971923828,26260
32,orchestra,NOUN,16.937156677246094,24260,vínculo,NOUN,32.92225646972656,26260
33,",",PUNCT,18.797021865844727,24260,",",PUNCT,29.698272705078125,26260
34,an,DET,21.574970245361328,26260,confianza,NOUN,29.238264083862305,26260
35,unshakable,ADJ,21.141794204711914,26260,inquebrantable,ADJ,34.27356719970703,26260
36,bond,NOUN,20.950395584106445,26260,producto,NOUN,33.80112075805664,28260
37,of,ADP,24.0076961517334,26260,del,ADP,33.93172836303711,28260
38,trust,NOUN,19.40593910217285,26260,respeto,NOUN,31.123645782470703,28260
39,",",PUNCT,19.53660011291504,26260,",",PUNCT,30.407543182373047,28260
40,born,VERB,22.225238800048828,28260,permita,VERB,34.489341735839844,31260
41,out,SCONJ,20.699180603027344,28260,que,SCONJ,31.615556716918945,31260
42,of,ADP,20.286714553833008,28260,nos,PRON,33.95954513549805,31260
43,mutual,ADJ,20.568859100341797,28260,mutuo,ADJ,30.856565475463867,28260
44,respect,NOUN,20.80328369140625,28260,narrativa,NOUN,32.12749099731445,31260
45,",",PUNCT,21.553560256958008,28260,musical,ADJ,35.42034149169922,31260
46,through,ADP,21.064693450927734,31260,en,ADP,34.4650764465332,34260
47,which,DET,23.70792007446289,31260,una,DET,34.952781677246094,31260
