,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Hi,INTJ,23.698204040527344,12476,Hola,PROPN,32.27106475830078,12476
1,.,PUNCT,19.90842056274414,12476,.,PUNCT,32.489601135253906,12476
2,I,PRON,24.261474609375,14848,He,AUX,34.666744232177734,14848
3,'ve,AUX,21.752859115600586,14848,sido,AUX,35.72121810913086,14848
4,hate,NOUN,18.881811141967773,14848,objeto,NOUN,33.33490753173828,14848
5,received,VERB,21.483966827392578,14848,de,ADP,31.279991149902344,14848
6,online,ADV,19.639896392822266,14848,odio,NOUN,28.584938049316406,14848
7,0,0,0.0,0,online,PROPN,32.030426025390625,14848
8,.,PUNCT,21.427671432495117,14848,.,PUNCT,32.5943717956543,14848
9,A,DET,23.623733520507812,18373,Muchísimo,ADV,33.50444793701172,18373
10,lot,NOUN,22.037111282348633,18373,0,0,0.0,0
11,of,ADP,25.77417755126953,18373,0,0,0.0,0
12,it,PRON,23.18612289428711,18373,0,0,0.0,0
13,.,PUNCT,21.691558837890625,18373,.,PUNCT,33.322505950927734,18373
14,And,CCONJ,20.33367347717285,19563,Y,CONJ,34.18148422241211,19563
15,it,PRON,24.93733787536621,19563,algo,PRON,33.58981704711914,19563
16,comes,VERB,24.413766860961914,19563,viene,VERB,35.99635314941406,19563
17,with,ADP,21.89954376220703,19563,que,PRON,32.672271728515625,19563
18,the,DET,21.065959930419922,19563,es,AUX,34.806007385253906,19563
19,territory,NOUN,19.486600875854492,19563,0,0,0.0,0
20,of,ADP,22.6226749420166,19563,con,ADP,34.713531494140625,19563
21,my,DET,19.771717071533203,19563,mi,DET,33.77988052368164,19563
22,work,NOUN,18.430316925048828,19563,trabajo,NOUN,32.618953704833984,19563
23,.,PUNCT,21.94952392578125,19563,.,PUNCT,31.471914291381836,19563
24,I,PRON,24.966230392456055,22227,0,0,0.0,0
25,'m,AUX,23.070192337036133,22227,Soy,AUX,31.34273910522461,22227
26,a,DET,24.003921508789062,22227,0,0,0.0,0
27,digital,ADJ,22.70820426940918,22227,digital,ADJ,32.386566162109375,22227
28,creator,NOUN,20.73100471496582,22227,creador,NOUN,32.71320724487305,22227
